date,open,high,low,close,difference,volume,turnover,transactions
2014-04-01 00:00:00+00,0.71,0.72,0.67,0.67,-4.29,66966,46.83,48
2014-04-02 00:00:00+00,0.67,0.68,0.63,0.68,1.49,62948,41.53,26
2014-04-03 00:00:00+00,0.65,0.68,0.65,0.66,-2.94,48168,31.82,31
2014-04-04 00:00:00+00,0.66,0.66,0.64,0.65,-1.52,41657,26.83,22
2014-04-07 00:00:00+00,0.63,0.65,0.63,0.63,-3.08,3158,1.99,7
2014-04-08 00:00:00+00,0.63,0.63,0.61,0.63,0,16662,10.35,18
2014-04-09 00:00:00+00,0.63,0.63,0.62,0.63,0,10556,6.56,10
2014-04-10 00:00:00+00,0.63,0.63,0.57,0.57,-9.52,75215,43.43,35
2014-04-11 00:00:00+00,0.54,0.59,0.52,0.54,-5.26,102559,55.08,61
2014-04-14 00:00:00+00,0.53,0.54,0.52,0.52,-3.7,119451,62.93,57
2014-04-15 00:00:00+00,0.5,0.53,0.5,0.53,1.92,21627,11.26,16
2014-04-16 00:00:00+00,0.51,0.56,0.51,0.53,0,61665,32.98,39
2014-04-17 00:00:00+00,0.53,0.55,0.51,0.55,3.77,42863,22.7,22
2014-04-22 00:00:00+00,0.55,0.6,0.55,0.59,7.27,29735,17.09,17
2014-04-23 00:00:00+00,0.6,0.6,0.57,0.58,-1.69,5560,3.3,7
2014-04-24 00:00:00+00,0.59,0.59,0.56,0.56,-3.45,43746,24.74,13
2014-04-25 00:00:00+00,0.56,0.56,0.56,0.56,0,26738,14.97,6
2014-04-28 00:00:00+00,0.55,0.56,0.55,0.56,0,4056,2.23,3
2014-04-29 00:00:00+00,0.56,0.56,0.54,0.56,0,10255,5.56,6
2014-04-30 00:00:00+00,0.57,0.57,0.55,0.56,0,2370,1.31,3
2014-05-02 00:00:00+00,0.58,0.58,0.55,0.58,3.57,11421,6.39,7
2014-05-05 00:00:00+00,0.58,0.58,0.58,0.58,0,362,0.21,1
2014-05-06 00:00:00+00,0.57,0.57,0.55,0.56,-3.45,22845,12.83,6
2014-05-07 00:00:00+00,0.55,0.55,0.53,0.55,-1.79,1200,0.64,4
2014-05-08 00:00:00+00,0.55,0.55,0.55,0.55,0,14762,8.12,5
2014-05-09 00:00:00+00,0.55,0.55,0.54,0.54,-1.82,62093,33.64,7
2014-05-12 00:00:00+00,0.53,0.55,0.53,0.55,1.85,28503,15.2,10
2014-05-13 00:00:00+00,0.55,0.55,0.52,0.53,-3.64,17916,9.47,8
2014-05-14 00:00:00+00,0.51,0.54,0.51,0.54,1.89,15000,7.78,11
2014-05-15 00:00:00+00,0,0,0,0.54,0,0,0,0
2014-05-16 00:00:00+00,0,0,0,0.54,0,0,0,0
2014-05-19 00:00:00+00,0,0,0,0.54,0,0,0,0
2014-05-20 00:00:00+00,0.53,0.54,0.52,0.54,0,14722,7.84,6
2014-05-21 00:00:00+00,0.49,0.53,0.48,0.53,-1.85,55239,27.56,29
2014-05-22 00:00:00+00,0.52,0.52,0.49,0.5,-5.66,12200,6.01,5
2014-05-23 00:00:00+00,0.52,0.52,0.51,0.52,4,9499,4.93,5
2014-05-26 00:00:00+00,0.52,0.52,0.49,0.5,-3.85,7935,3.96,6
2014-05-27 00:00:00+00,0.5,0.5,0.49,0.49,-2,11100,5.44,4
2014-05-28 00:00:00+00,0.48,0.5,0.48,0.5,2.04,7020,3.46,7
2014-05-29 00:00:00+00,0.48,0.5,0.48,0.5,0,53660,25.93,9
2014-05-30 00:00:00+00,0.5,0.5,0.5,0.5,0,100,0.05,1
2014-06-02 00:00:00+00,0.48,0.5,0.46,0.5,0,40528,19.44,14
2014-06-03 00:00:00+00,0.47,0.48,0.47,0.48,-4,23910,11.3,5
2014-06-04 00:00:00+00,0.45,0.47,0.44,0.47,-2.08,20000,8.99,12
2014-06-05 00:00:00+00,0.45,0.47,0.45,0.46,-2.13,11016,5.05,10
2014-06-06 00:00:00+00,0.47,0.49,0.47,0.49,6.52,22050,10.72,8
2014-06-09 00:00:00+00,0.49,0.49,0.47,0.48,-2.04,9490,4.62,7
2014-06-10 00:00:00+00,0.48,0.49,0.47,0.49,2.08,16003,7.75,10
2014-06-11 00:00:00+00,0.49,0.49,0.47,0.48,-2.04,3100,1.49,4
2014-06-12 00:00:00+00,0.48,0.49,0.46,0.48,0,24970,11.74,11
2014-06-13 00:00:00+00,0.47,0.48,0.45,0.48,0,9350,4.31,7
2014-06-16 00:00:00+00,0.48,0.5,0.45,0.5,4.17,11223,5.46,9
2014-06-17 00:00:00+00,0.5,0.5,0.5,0.5,0,1800,0.9,2
2014-06-18 00:00:00+00,0.51,0.51,0.51,0.51,2,7777,3.97,2
2014-06-20 00:00:00+00,0.51,0.51,0.47,0.5,-1.96,11506,5.57,11
2014-06-23 00:00:00+00,0.49,0.5,0.49,0.5,0,4643,2.28,3
2014-06-24 00:00:00+00,0.5,0.52,0.5,0.51,2,12950,6.63,6
2014-06-25 00:00:00+00,0.51,0.51,0.48,0.5,-1.96,26530,13.11,14
2014-06-26 00:00:00+00,0,0,0,0.5,0,0,0,0
2014-06-27 00:00:00+00,0.49,0.49,0.49,0.49,-2,3001,1.47,4
2014-06-30 00:00:00+00,0.49,0.49,0.47,0.47,-4.08,18000,8.7,7
2014-07-01 00:00:00+00,0.48,0.5,0.44,0.46,-2.13,51280,23.79,16
