date,open,high,low,close,difference,volume,turnover,transactions
2008-05-06 00:00:00+00,13.47,13.47,12.87,13.14,5.12,8150154,214411.84,3464
2008-05-07 00:00:00+00,13.14,13.24,12.93,13.2,0.46,3173656,82799.51,1219
2008-05-08 00:00:00+00,13.1,13.2,13.02,13.15,-0.38,470837,12321.74,335
2008-05-09 00:00:00+00,13.15,13.15,12.76,12.84,-2.36,451507,11695.07,445
2008-05-12 00:00:00+00,12.87,12.93,12.76,12.85,0.08,366713,9417.21,287
2008-05-13 00:00:00+00,12.8,13.08,12.78,13,1.17,659711,17062.48,278
2008-05-14 00:00:00+00,13.15,13.49,13.15,13.45,3.46,846585,22528.7,797
2008-05-15 00:00:00+00,13.39,13.39,13.31,13.37,-0.59,198532,5301.44,263
2008-05-16 00:00:00+00,13.38,13.4,13.32,13.35,-0.15,362074,9671.83,221
2008-05-19 00:00:00+00,13.4,13.4,13.25,13.3,-0.37,796312,21183.79,204
2008-05-20 00:00:00+00,13.3,13.6,13.3,13.5,1.5,1129943,30458.48,456
2008-05-21 00:00:00+00,13.45,13.59,13.35,13.47,-0.22,400791,10795.67,133
2008-05-23 00:00:00+00,13.49,13.58,13.48,13.55,0.59,203054,5490.64,155
2008-05-26 00:00:00+00,13.55,13.55,13.46,13.5,-0.37,116564,3146.55,89
2008-05-27 00:00:00+00,13.46,13.53,13.45,13.53,0.22,214757,5798.97,136
2008-05-28 00:00:00+00,13.55,14,13.54,13.92,2.88,637736,17470.32,288
2008-05-29 00:00:00+00,13.99,14.1,13.9,13.91,-0.07,407538,11422.87,313
2008-05-30 00:00:00+00,14,14.37,13.99,14.37,3.31,195572,5556.64,308
2008-06-02 00:00:00+00,14.39,14.9,14.35,14.75,2.64,799408,23553.68,421
2008-06-03 00:00:00+00,14.79,15.45,14.77,15.4,4.41,670496,20365.92,826
2008-06-04 00:00:00+00,15.49,15.5,14.7,14.79,-3.96,229839,6879.91,572
2008-06-05 00:00:00+00,14.5,14.94,14.15,14.59,-1.35,308635,8954.99,423
2008-06-06 00:00:00+00,14.84,14.93,14.5,14.65,0.41,116488,3417.44,218
2008-06-09 00:00:00+00,14.29,14.5,13.98,14.45,-1.37,168169,4764.89,289
2008-06-10 00:00:00+00,14.2,14.25,13.7,14.01,-3.04,379276,10631.71,274
2008-06-11 00:00:00+00,13.81,13.95,13.66,13.85,-1.14,288866,7958.97,333
2008-06-12 00:00:00+00,13.65,14.05,13.61,13.7,-1.08,162756,4514.48,247
2008-06-13 00:00:00+00,13.7,14,13.52,13.92,1.61,54365,1507.37,140
2008-06-16 00:00:00+00,13.91,14.36,13.9,14.3,2.73,97037,2748.66,218
2008-06-17 00:00:00+00,14.25,14.55,14.25,14.4,0.7,84131,2432.99,109
2008-06-18 00:00:00+00,14.35,14.37,13.9,14,-2.78,118216,3312.66,180
2008-06-19 00:00:00+00,13.95,14,13.52,13.9,-0.71,453670,12569.85,169
2008-06-20 00:00:00+00,14,14.1,13.92,13.92,0.14,219307,6142.55,80
2008-06-23 00:00:00+00,13.99,14,13.65,13.7,-1.58,252414,6970.25,108
2008-06-24 00:00:00+00,13.7,13.74,13.01,13.3,-2.92,263582,7014.32,230
2008-06-25 00:00:00+00,13.2,13.3,13.09,13.15,-1.13,541794,14249.73,246
2008-06-26 00:00:00+00,13.06,13.2,13.06,13.1,-0.38,58438,1534.98,108
2008-06-27 00:00:00+00,13,13.3,12.9,13.2,0.76,164892,4319.2,210
2008-06-30 00:00:00+00,13.15,13.4,13.06,13.4,1.52,134397,3534.22,147
2008-07-01 00:00:00+00,13.48,13.64,13.13,13.13,-2.01,404627,10806.54,208
2008-07-02 00:00:00+00,13.13,13.81,13.13,13.71,4.42,171640,4598.74,158
2008-07-03 00:00:00+00,13.65,13.65,13.5,13.55,-1.17,246625,6693.58,140
2008-07-04 00:00:00+00,13.5,13.6,13.4,13.4,-1.11,89473,2406.13,69
2008-07-07 00:00:00+00,13.55,13.55,13.4,13.5,0.75,93087,2513.43,75
2008-07-08 00:00:00+00,13.4,13.54,13.21,13.48,-0.15,81223,2177.84,55
2008-07-09 00:00:00+00,13.4,13.55,13.37,13.5,0.15,92357,2475.52,99
2008-07-10 00:00:00+00,13.35,13.45,13.25,13.39,-0.81,89277,2390.85,82
2008-07-11 00:00:00+00,13.5,13.5,12.81,12.81,-4.33,43588,1138.79,96
2008-07-14 00:00:00+00,12.7,12.9,12.2,12.45,-2.81,38306,960.66,168
2008-07-15 00:00:00+00,12.11,12.13,11.9,12,-3.61,166706,4001.7,203
2008-07-16 00:00:00+00,12,12.19,11.45,12,1.18,168064,4019.79,152
2008-07-17 00:00:00+00,12.2,12.83,12.01,12.55,4.58,111222,2775.12,81
2008-07-18 00:00:00+00,12.5,13.05,12.5,13,3.59,87941,2248.73,116
2008-07-21 00:00:00+00,13.05,13.49,13,13.49,3.77,64800,1735.6,72
2008-07-22 00:00:00+00,13.47,13.7,13.42,13.7,1.56,51759,1400.09,88
2008-07-23 00:00:00+00,13.78,14.15,13.78,14.11,2.99,147478,4141.69,167
