date,open,high,low,close,difference,volume,turnover,transactions
2019-02-28 00:00:00+00,20.9,20.9,20,20.5,-0.97,1684,34.33,20
2019-03-01 00:00:00+00,20.5,21.3,20.5,21.1,2.93,3729,77.35,18
2019-03-04 00:00:00+00,21.1,21.1,20.5,21,-0.47,204,4.25,6
2019-03-05 00:00:00+00,20.4,21.9,20.4,21.8,3.81,1528,32.85,12
2019-03-06 00:00:00+00,21.2,21.2,21,21,-3.67,1097,23.2,10
2019-03-07 00:00:00+00,20.9,21.4,20.7,21.4,1.9,4586,97.62,10
2019-03-08 00:00:00+00,21.3,21.3,20,20.6,-3.74,2744,55.39,29
2019-03-11 00:00:00+00,21,21,20,20.5,-0.49,2257,45.6,18
2019-03-12 00:00:00+00,20.5,20.5,20.1,20.1,-1.95,505,10.29,7
2019-03-13 00:00:00+00,20.6,20.6,20.1,20.6,2.49,419,8.59,11
2019-03-14 00:00:00+00,20.5,20.5,19,19.2,-6.8,5191,102.27,35
2019-03-15 00:00:00+00,19.4,19.9,19,19.9,3.65,2784,54.07,34
2019-03-18 00:00:00+00,19.8,20.9,19.8,20.5,3.02,4671,94.68,41
2019-03-19 00:00:00+00,20.7,20.9,20.2,20.9,1.95,1211,25.1,12
2019-03-20 00:00:00+00,21.3,21.3,20.1,20.9,0,1624,33.11,13
2019-03-21 00:00:00+00,20.9,20.9,20.5,20.5,-1.91,740,15.21,8
2019-03-22 00:00:00+00,20.9,20.9,20.5,20.5,0,382,7.89,9
2019-03-25 00:00:00+00,20.5,20.7,20.3,20.3,-0.98,2474,50.7,13
2019-03-26 00:00:00+00,20.2,20.4,20.2,20.3,0,276,5.59,4
2019-03-27 00:00:00+00,20.2,20.2,20.2,20.2,-0.49,115,2.32,3
2019-03-28 00:00:00+00,20.5,20.5,19.5,19.6,-2.97,2342,46.84,29
2019-03-29 00:00:00+00,20.3,20.3,18.9,20.2,3.06,4680,90.49,36
2019-04-01 00:00:00+00,20,20,19.4,19.5,-3.47,954,18.63,17
2019-04-02 00:00:00+00,19.5,19.7,19,19.5,0,1972,38.1,21
2019-04-03 00:00:00+00,19.8,22.8,19.55,21.7,11.28,11972,257.64,103
2019-04-04 00:00:00+00,21.7,21.7,20.5,20.9,-3.69,6598,137.75,60
2019-04-05 00:00:00+00,20.9,21.8,20.8,21.7,3.83,1516,32.42,17
2019-04-08 00:00:00+00,21.8,21.8,21.2,21.7,0,588,12.73,6
2019-04-09 00:00:00+00,21.7,21.7,21,21,-3.23,1583,33.64,17
2019-04-10 00:00:00+00,21.3,22.7,21.1,22.6,7.62,5031,109.77,45
2019-04-11 00:00:00+00,22.6,23,22.2,22.8,0.89,2847,64.46,36
2019-04-12 00:00:00+00,22.9,23.6,22.6,22.7,-0.44,5366,124.3,50
2019-04-15 00:00:00+00,23.1,23.1,22.5,22.5,-0.88,693,15.79,15
2019-04-16 00:00:00+00,23,23.4,22.5,23,2.22,921,21.25,11
2019-04-17 00:00:00+00,23.1,23.1,22.6,22.6,-1.74,1303,29.8,17
2019-04-18 00:00:00+00,23,23,22.2,22.2,-1.77,1303,29.24,7
2019-04-23 00:00:00+00,22.5,22.6,22.3,22.4,0.9,1285,28.87,12
2019-04-24 00:00:00+00,22.4,22.4,21.7,22,-1.79,1928,42.47,10
2019-04-25 00:00:00+00,21.8,21.8,21.3,21.4,-2.73,1224,26.35,13
