date,open,high,low,close,difference,volume,turnover,transactions
2019-07-09 00:00:00+00,0,0,0,10.8,0,0,0,0
2019-07-10 00:00:00+00,20,20,16.3,17.002,57.43,2314,43.99,44
2019-07-11 00:00:00+00,18.294,18.95,17.5,17.8,4.69,1287,23.21,25
2019-07-12 00:00:00+00,17.8,17.8,17.8,17.8,0,50,0.89,2
2019-07-15 00:00:00+00,18.1,18.1,18.1,18.1,1.69,10,0.18,2
2019-07-16 00:00:00+00,18.1,19,18,18.9,4.42,944,17.29,22
2019-07-17 00:00:00+00,18.8,19.35,18.8,19.16,1.38,86,1.63,5
2019-07-18 00:00:00+00,18.98,18.98,18,18.438,-3.77,274,5.04,15
2019-07-19 00:00:00+00,18.2,18.2,17.28,17.28,-6.28,724,12.99,19
2019-07-22 00:00:00+00,17.5,17.6,17.5,17.6,1.85,664,11.67,4
2019-07-23 00:00:00+00,17.6,17.6,17,17.5,-0.57,106,1.83,5
2019-07-24 00:00:00+00,17.6,17.6,17.5,17.5,0,78,1.37,2
2019-07-25 00:00:00+00,17.5,17.5,17.2,17.2,-1.71,131,2.26,4
2019-07-26 00:00:00+00,17.4,17.4,17.2,17.2,0,134,2.31,5
2019-07-29 00:00:00+00,17.1,17.1,17,17,-1.16,270,4.6,7
2019-07-30 00:00:00+00,16.6,16.6,15.7,15.7,-7.65,91,1.47,5
2019-07-31 00:00:00+00,15.9,18.6,13,17.1,8.92,699,10.78,23
2019-08-01 00:00:00+00,0,0,0,17.1,0,0,0,0
2019-08-02 00:00:00+00,17.5,17.5,16.9,16.9,-1.17,113,1.93,8
2019-08-05 00:00:00+00,0,0,0,16.9,0,0,0,0
2019-08-06 00:00:00+00,17.1,17.5,17.1,17.5,3.55,20,0.35,3
2019-08-07 00:00:00+00,0,0,0,17.5,0,0,0,0
2019-08-08 00:00:00+00,17,17,16.2,16.2,-7.43,62,1.02,7
2019-08-09 00:00:00+00,16.5,16.7,16.5,16.7,3.09,20,0.33,2
2019-08-12 00:00:00+00,16.8,16.8,16.8,16.8,0.6,5,0.08,1
2019-08-13 00:00:00+00,16.8,16.8,16.3,16.3,-2.98,31,0.52,4
2019-08-14 00:00:00+00,17,17,17,17,4.29,60,1.02,2
2019-08-16 00:00:00+00,17.3,19.68,17.3,19,11.76,360,6.91,19
2019-08-19 00:00:00+00,19.1,19.7,18,18,-5.26,600,11.48,15
2019-08-20 00:00:00+00,18,18,18,18,0,7,0.13,2
2019-08-21 00:00:00+00,18,18.2,18,18.2,1.11,40,0.72,3
2019-08-22 00:00:00+00,18.2,19.4,18.2,19.4,6.59,351,6.65,10
2019-08-23 00:00:00+00,19.2,19.2,19.2,19.2,-1.03,20,0.38,2
2019-08-26 00:00:00+00,19.2,19.7,19.2,19.7,2.6,20,0.39,3
2019-08-27 00:00:00+00,19.7,19.7,19.6,19.7,0,54,1.06,4
