date,open,high,low,close,difference,volume,turnover,transactions
2006-10-24 00:00:00+00,130.5,140,115.5,121.5,42.94,639359,159153.93,4812
2006-10-25 00:00:00+00,128,128.8,122.5,127,4.53,115232,29194.96,1719
2006-10-26 00:00:00+00,129.4,129.4,121,121,-4.72,56490,14087.75,856
2006-10-27 00:00:00+00,121,122.5,120,121.5,0.41,51270,12392.54,420
2006-10-30 00:00:00+00,123.4,123.4,116,118.5,-2.47,25889,6114.37,347
2006-10-31 00:00:00+00,119.8,120.1,118,120,1.27,16772,4010.15,196
2006-11-02 00:00:00+00,120.4,120.4,119,119.5,-0.42,48534,11641.42,188
2006-11-03 00:00:00+00,120,120,118.8,119.3,-0.17,7934,1891.24,152
2006-11-06 00:00:00+00,120,123,118,121,1.42,12004,2886.1,252
2006-11-07 00:00:00+00,124,127.6,121,127.4,5.29,37909,9556.57,551
2006-11-08 00:00:00+00,128,128,124,128,0.47,10284,2605.92,225
2006-11-09 00:00:00+00,127,127.9,126,126,-1.56,7624,1936.6,172
2006-11-10 00:00:00+00,126,126,124.3,125.2,-0.63,4994,1248.94,135
2006-11-13 00:00:00+00,126,126,124,124,-0.96,15382,3831.64,140
2006-11-14 00:00:00+00,123.5,124.5,121,123,-0.81,19266,4708.51,112
2006-11-15 00:00:00+00,124.9,124.9,120.1,121.2,-1.46,10139,2461.5,191
2006-11-16 00:00:00+00,121.9,124.9,121.9,123,1.49,34848,8543.9,227
2006-11-17 00:00:00+00,123.2,124.5,122.2,123,0,27807,6846.27,142
2006-11-20 00:00:00+00,123,124,122.2,123.5,0.41,15220,3741.43,182
2006-11-21 00:00:00+00,124,125.7,123.5,125,1.21,20630,5156.04,276
2006-11-22 00:00:00+00,125,126.9,125,126.5,1.2,46958,11832.12,212
2006-11-23 00:00:00+00,126.9,126.9,126,126.5,0,13394,3379.17,144
2006-11-24 00:00:00+00,126.5,129,126,128.4,1.5,32616,8305.95,289
2006-11-27 00:00:00+00,129,135,129,134.4,4.67,70609,18717.81,612
2006-11-28 00:00:00+00,131.7,134.7,130.3,134.7,0.22,26032,6935.57,309
2006-11-29 00:00:00+00,134.5,138,133,137.8,2.3,30918,8443.45,311
2006-11-30 00:00:00+00,138,139.4,136.3,137.3,-0.36,18989,5224.53,277
2006-12-01 00:00:00+00,138,139.9,136.4,139.5,1.6,28733,7971.97,258
2006-12-04 00:00:00+00,140,147,138.8,145.2,4.09,28260,8029.36,379
2006-12-05 00:00:00+00,147.1,147.5,146,147,1.24,29752,8718.15,286
2006-12-06 00:00:00+00,147.2,148,143.5,144.5,-1.7,91753,26531.14,376
2006-12-07 00:00:00+00,144.5,147.5,144.5,147,1.73,12153,3553.09,171
2006-12-08 00:00:00+00,147.9,147.9,145.1,146.2,-0.54,16240,4752.9,166
2006-12-11 00:00:00+00,146.8,146.8,144,144.3,-1.3,11858,3448.52,160
2006-12-12 00:00:00+00,145,145,142.5,143.4,-0.62,62365,17858.69,193
2006-12-13 00:00:00+00,142.8,144,141.5,141.5,-1.32,13299,3803.67,154
2006-12-14 00:00:00+00,141.7,143.8,136.3,140,-1.06,20382,5772.84,223
2006-12-15 00:00:00+00,138,142,134,142,1.43,33267,9163.67,364
2006-12-18 00:00:00+00,142,143.9,139,143.8,1.27,23955,6835.64,195
2006-12-19 00:00:00+00,143.5,143.9,141,143.5,-0.21,53305,15246.83,225
2006-12-20 00:00:00+00,142,145,139.1,141,-1.74,33636,9630.48,182
2006-12-21 00:00:00+00,138.5,140,138.5,139.1,-1.35,11824,3292.58,115
2006-12-22 00:00:00+00,139.1,140,138.1,139,-0.07,29675,8265.72,116
2006-12-27 00:00:00+00,139,141.9,139,141,1.44,11206,3147,81
2006-12-28 00:00:00+00,141,142,139,142,0.71,18972,5328.87,98
2006-12-29 00:00:00+00,138.3,150,138.3,150,5.63,45829,13515.25,237
2007-01-02 00:00:00+00,148,148.9,147,147,-2,13205,3902.22,145
2007-01-03 00:00:00+00,147.8,147.8,142.5,144.2,-1.9,20809,5985.39,131
2007-01-04 00:00:00+00,144,144,140.5,141.5,-1.87,16561,4693.11,156
2007-01-05 00:00:00+00,142.5,149.5,142,146.9,3.82,62161,18348.61,413
2007-01-08 00:00:00+00,147,149.3,143,149.3,1.63,14244,4198.21,182
2007-01-09 00:00:00+00,148.5,154,147,153,2.48,48241,14643.21,419
2007-01-10 00:00:00+00,154,155,151.6,154,0.65,9802,3001.55,166
2007-01-11 00:00:00+00,152.5,157.5,152.5,157.2,2.08,17398,5432.25,209
2007-01-12 00:00:00+00,159,159.5,155.6,156.4,-0.51,30305,9609.96,243
2007-01-15 00:00:00+00,158,165,156,163.8,4.73,14087,4572.35,259
2007-01-16 00:00:00+00,165,165,159.4,163.8,0,15984,5195.46,207
2007-01-17 00:00:00+00,163,163,160,161,-1.71,14994,4848.42,175
2007-01-18 00:00:00+00,161.9,164.5,160,164.1,1.93,33831,11065.79,209
2007-01-19 00:00:00+00,164,164,160.8,162,-1.28,12878,4200.43,133
2007-01-22 00:00:00+00,160.2,162,159.7,161,-0.62,36810,11829.22,142
2007-01-23 00:00:00+00,161.5,161.5,156,160,-0.62,27363,8684.96,150
2007-01-24 00:00:00+00,160.1,162,159,162,1.25,12062,3881.38,111
2007-01-25 00:00:00+00,163.1,165.3,163.1,165,1.85,39967,13169.95,245
2007-01-26 00:00:00+00,164.1,164.8,160,163,-1.21,18556,6039.44,129
2007-01-29 00:00:00+00,163.9,169.7,162,167.8,2.94,27106,9059.75,229
2007-01-30 00:00:00+00,168.2,168.8,165,168,0.12,14545,4886.6,166
2007-01-31 00:00:00+00,166,169.7,166,168,0,14837,4985.38,149
2007-02-01 00:00:00+00,169.7,171.9,169,170.1,1.25,19274,6591.68,163
2007-02-02 00:00:00+00,171.5,177,171,175.5,3.17,10323,3587.37,235
2007-02-05 00:00:00+00,175,178.2,174,176.5,0.57,9005,3187.24,168
2007-02-06 00:00:00+00,176.5,177,174,175.5,-0.57,4003,1404.73,126
2007-02-07 00:00:00+00,172.6,175,171.1,173,-1.42,9811,3399.7,170
2007-02-08 00:00:00+00,172,172,158.6,164.5,-4.91,26663,8883.06,356
2007-02-09 00:00:00+00,163.1,167.5,163.1,164.6,0.06,14210,4686.45,198
2007-02-12 00:00:00+00,165,167.1,163,167.1,1.52,48691,16072.11,162
2007-02-13 00:00:00+00,168.3,170.5,167.1,169,1.14,35285,11927.78,101
2007-02-14 00:00:00+00,172,172,169,170.2,0.71,6131,2089.5,109
2007-02-15 00:00:00+00,171.4,171.4,162,165,-3.06,10266,3404.35,124
2007-02-16 00:00:00+00,165,170,165,165,0,12515,4235.34,79
2007-02-19 00:00:00+00,168.7,168.7,163.4,167.8,1.7,41769,13830.12,75
2007-02-20 00:00:00+00,167.8,167.9,165,165,-1.67,13079,4351.65,84
2007-02-21 00:00:00+00,167,167.5,164.5,165,0,25732,8542.15,121
2007-02-22 00:00:00+00,165.2,167,164.5,166.5,0.91,50699,16778.33,106
2007-02-23 00:00:00+00,167,167,163.9,164.5,-1.2,72070,23827.55,157
2007-02-26 00:00:00+00,167.6,167.6,164.6,164.6,0.06,8195,2717.44,95
2007-02-27 00:00:00+00,164.6,165,154.6,155,-5.83,21050,6694.55,293
2007-02-28 00:00:00+00,151.7,160.1,151.7,160.1,3.29,53307,16569.73,361
2007-03-01 00:00:00+00,162,163.9,157.5,160,-0.06,23427,7511.15,228
2007-03-02 00:00:00+00,159.5,164,157,162.5,1.56,23221,7494.43,129
2007-03-05 00:00:00+00,157.5,161.9,153.6,160.2,-1.42,26369,8326.33,187
2007-03-06 00:00:00+00,158.1,162.5,158.1,162.3,1.31,9754,3136.48,87
2007-03-07 00:00:00+00,162.5,165,162,165,1.66,22638,7414.12,137
2007-03-08 00:00:00+00,165,169.5,165,168.1,1.88,18927,6361.01,176
2007-03-09 00:00:00+00,169.8,174.5,168.5,170,1.13,40404,13736.1,223
2007-03-12 00:00:00+00,170,174,170,172.1,1.24,13766,4733.53,103
2007-03-13 00:00:00+00,172.5,172.5,172,172.2,0.06,52759,18160.1,107
2007-03-14 00:00:00+00,169,172.5,166,172.5,0.17,15919,5379.52,135
