date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,4.65,4.84,4.6,4.7,2.17,209786,1989.58,298
2005-01-04 00:00:00+00,4.7,4.72,4.6,4.62,-1.7,81664,756.85,131
2005-01-05 00:00:00+00,4.65,4.65,4.52,4.6,-0.43,74714,683.69,125
2005-01-06 00:00:00+00,4.45,4.53,4.42,4.45,-3.26,66080,587.54,135
2005-01-07 00:00:00+00,4.45,4.55,4.45,4.5,1.12,31456,281.84,74
2005-01-10 00:00:00+00,4.46,4.46,4.24,4.28,-4.89,65675,569.44,138
2005-01-11 00:00:00+00,4.23,4.23,4.03,4.03,-5.84,139826,1149.71,249
2005-01-12 00:00:00+00,4,4.09,4,4.05,0.5,52609,424.82,105
2005-01-13 00:00:00+00,4.09,4.1,4,4.02,-0.74,40428,326.29,76
2005-01-14 00:00:00+00,4.03,4.04,3.9,3.97,-1.24,84066,663.43,140
2005-01-17 00:00:00+00,3.91,3.95,3.76,3.8,-4.28,95535,730.36,172
2005-01-18 00:00:00+00,3.77,3.8,3.6,3.67,-3.42,97683,722.68,160
2005-01-19 00:00:00+00,3.65,3.96,3.61,3.93,7.08,148810,1138.75,280
2005-01-20 00:00:00+00,3.9,3.9,3.78,3.82,-2.8,32007,244.94,70
2005-01-21 00:00:00+00,3.85,3.88,3.72,3.81,-0.26,32728,247.24,76
2005-01-24 00:00:00+00,3.82,3.82,3.7,3.8,-0.26,25074,188.15,50
2005-01-25 00:00:00+00,3.82,4.09,3.8,4.08,7.37,153946,1223.49,252
2005-01-26 00:00:00+00,4.2,4.29,4.01,4.12,0.98,183500,1522.94,269
2005-01-27 00:00:00+00,4.13,4.15,4,4.09,-0.73,94107,770.1,94
2005-01-28 00:00:00+00,4.12,4.12,4.04,4.1,0.24,47901,391.15,65
2005-01-31 00:00:00+00,4.1,4.2,4.05,4.15,1.22,62339,516.54,93
2005-02-01 00:00:00+00,4.15,4.15,4.09,4.14,-0.24,19023,156.64,31
2005-02-02 00:00:00+00,4.15,4.15,4.05,4.1,-0.97,31384,256.19,55
2005-02-03 00:00:00+00,4.07,4.11,4.03,4.04,-1.46,20692,167.34,44
2005-02-04 00:00:00+00,4.04,4.09,4.04,4.06,0.5,27564,223.5,50
2005-02-07 00:00:00+00,4.06,4.06,3.95,4.04,-0.49,66558,536.07,96
2005-02-08 00:00:00+00,4,4.04,3.97,4.04,0,19010,152.42,39
2005-02-09 00:00:00+00,4.06,4.06,3.99,4.03,-0.25,10775,86.64,29
2005-02-10 00:00:00+00,4,4.03,3.99,4.03,0,11357,91.02,25
2005-02-11 00:00:00+00,4.02,4.02,3.98,4,-0.74,15062,120.14,24
2005-02-14 00:00:00+00,3.99,3.99,3.9,3.9,-2.5,39733,313.02,77
2005-02-15 00:00:00+00,3.9,3.9,3.77,3.85,-1.28,50029,381.23,78
2005-02-16 00:00:00+00,3.95,4.03,3.85,3.9,1.3,60862,481.93,85
2005-02-17 00:00:00+00,3.86,3.99,3.82,3.95,1.28,29089,226.61,48
2005-02-18 00:00:00+00,3.95,3.95,3.9,3.95,0,9559,74.85,30
2005-02-21 00:00:00+00,3.9,3.95,3.86,3.95,0,6478,50.23,16
2005-02-22 00:00:00+00,3.91,3.91,3.85,3.9,-1.27,10640,82.6,25
2005-02-23 00:00:00+00,3.9,3.9,3.86,3.86,-1.03,21502,167.22,28
2005-02-24 00:00:00+00,3.86,4.09,3.85,4.07,5.44,84121,672.31,132
2005-02-25 00:00:00+00,4.1,4.15,4,4.07,0,81249,663.79,114
2005-02-28 00:00:00+00,4.02,4.02,3.95,3.97,-2.46,10923,86.98,24
2005-03-01 00:00:00+00,3.95,4.02,3.94,3.97,0,6621,52.3,14
2005-03-02 00:00:00+00,3.94,3.95,3.88,3.91,-1.51,14246,111.26,23
2005-03-03 00:00:00+00,3.88,3.95,3.85,3.88,-0.77,16275,126.37,19
2005-03-04 00:00:00+00,3.94,3.94,3.86,3.86,-0.52,5978,46.55,12
2005-03-07 00:00:00+00,3.85,3.9,3.85,3.89,0.78,24903,192.81,17
2005-03-08 00:00:00+00,3.89,3.89,3.8,3.84,-1.29,6911,53.02,17
2005-03-09 00:00:00+00,3.88,3.88,3.82,3.83,-0.26,6482,49.74,16
2005-03-10 00:00:00+00,3.83,3.86,3.83,3.83,0,2900,22.27,7
2005-03-11 00:00:00+00,3.83,3.84,3.72,3.8,-0.78,6759,50.99,25
2005-03-14 00:00:00+00,3.8,3.8,3.76,3.8,0,2603,19.68,10
2005-03-15 00:00:00+00,3.75,3.75,3.7,3.72,-2.11,18924,140.34,28
2005-03-16 00:00:00+00,3.7,3.7,3.56,3.64,-2.15,46597,337.05,60
2005-03-17 00:00:00+00,3.6,3.61,3.55,3.56,-2.2,20856,149.65,32
2005-03-18 00:00:00+00,3.58,3.62,3.55,3.6,1.12,23049,165.44,42
2005-03-21 00:00:00+00,3.6,3.63,3.54,3.6,0,39166,279.26,21
2005-03-22 00:00:00+00,3.57,3.6,3.55,3.58,-0.56,31001,220.65,14
2005-03-23 00:00:00+00,3.58,3.59,3.49,3.54,-1.12,17802,125.72,28
2005-03-24 00:00:00+00,3.49,3.52,3.45,3.47,-1.98,9724,67.94,25
2005-03-29 00:00:00+00,3.5,3.5,3.47,3.48,0.29,4532,31.49,10
2005-03-30 00:00:00+00,3.51,3.67,3.51,3.67,5.46,19658,141.53,43
2005-03-31 00:00:00+00,3.61,3.67,3.6,3.6,-1.91,9456,68.22,18
2005-04-01 00:00:00+00,3.68,3.68,3.55,3.56,-1.11,5743,41.86,11
2005-04-04 00:00:00+00,3.55,3.55,3.48,3.48,-2.25,6711,46.9,15
2005-04-05 00:00:00+00,3.5,3.5,3.47,3.48,0,4142,28.84,11
2005-04-06 00:00:00+00,3.47,3.53,3.47,3.53,1.44,5960,41.6,16
2005-04-07 00:00:00+00,3.5,3.54,3.5,3.54,0.28,3290,23.18,10
2005-04-11 00:00:00+00,3.54,3.54,3.5,3.5,-1.13,3999,28.01,8
2005-04-12 00:00:00+00,3.49,3.51,3.49,3.5,0,1797,12.58,4
2005-04-13 00:00:00+00,3.51,3.51,3.37,3.4,-2.86,8561,59.36,15
2005-04-14 00:00:00+00,3.4,3.4,3.24,3.38,-0.59,13463,90.21,30
2005-04-15 00:00:00+00,3.36,3.36,3.27,3.36,-0.59,16406,108.79,25
2005-04-18 00:00:00+00,3.36,3.36,3.2,3.23,-3.87,21040,136.44,36
2005-04-19 00:00:00+00,3.2,3.22,3.18,3.22,-0.31,6545,41.88,18
2005-04-20 00:00:00+00,3.22,3.24,3.13,3.21,-0.31,12782,82,20
2005-04-21 00:00:00+00,3.23,3.24,3.14,3.19,-0.62,5097,32.49,13
2005-04-22 00:00:00+00,3.24,3.35,3.24,3.29,3.13,9419,61.68,28
2005-04-25 00:00:00+00,3.3,3.35,3.26,3.35,1.82,7388,48.94,13
2005-04-26 00:00:00+00,3.35,3.38,3.26,3.26,-2.69,14849,98.38,23
2005-04-27 00:00:00+00,3.26,3.26,3.26,3.26,0,647,4.22,2
2005-04-28 00:00:00+00,3.2,3.2,3.19,3.2,-1.84,7971,50.92,8
2005-04-29 00:00:00+00,3.26,3.26,3.17,3.26,1.88,1790,11.54,6
2005-05-02 00:00:00+00,3.26,3.26,3.26,3.26,0,1013,6.6,4
2005-05-04 00:00:00+00,3.28,3.32,3.24,3.24,-0.61,3601,23.77,5
2005-05-05 00:00:00+00,3.3,3.3,3.3,3.3,1.85,2500,16.5,2
2005-05-06 00:00:00+00,3.2,3.2,2.99,3.15,-4.55,30193,187.23,56
2005-05-09 00:00:00+00,3.13,3.13,3,3,-4.76,27030,163.27,55
2005-05-10 00:00:00+00,3.01,3.04,2.99,3.03,1,9710,58.38,24
2005-05-11 00:00:00+00,2.99,3.04,2.98,3.04,0.33,8401,50.65,12
2005-05-12 00:00:00+00,3.04,3.04,2.98,2.98,-1.97,910,5.45,3
2005-05-13 00:00:00+00,2.94,3,2.88,3,0.67,10210,60.29,12
2005-05-16 00:00:00+00,3,3.01,2.93,2.99,-0.33,7300,43.55,9
