date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,0,0,0,12.15,0,0,0,0
2005-01-04 00:00:00+00,13.25,13.25,13.25,13.25,9.05,3900,103.35,6
2005-01-05 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-06 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-07 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-10 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-11 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-12 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-13 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-14 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-17 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-18 00:00:00+00,0,0,0,13.25,0,0,0,0
2005-01-19 00:00:00+00,11.1,11.1,11.1,11.1,-16.23,100,2.22,2
2005-01-20 00:00:00+00,0,0,0,11.1,0,0,0,0
2005-01-21 00:00:00+00,0,0,0,11.1,0,0,0,0
2005-01-24 00:00:00+00,0,0,0,11.1,0,0,0,0
2005-01-25 00:00:00+00,0,0,0,11.1,0,0,0,0
2005-01-26 00:00:00+00,0,0,0,11.1,0,0,0,0
2005-01-27 00:00:00+00,0,0,0,11.1,0,0,0,0
2005-01-28 00:00:00+00,11.55,11.55,11.55,11.55,4.05,17,0.39,1
2005-01-31 00:00:00+00,11.5,11.5,11.5,11.5,-0.43,35,0.81,1
2005-02-01 00:00:00+00,11.5,11.5,11.5,11.5,0,25,0.58,3
2005-02-02 00:00:00+00,0,0,0,11.5,0,0,0,0
2005-02-03 00:00:00+00,0,0,0,11.5,0,0,0,0
2005-02-04 00:00:00+00,11.5,11.5,11.5,11.5,0,20,0.46,2
2005-02-07 00:00:00+00,0,0,0,11.5,0,0,0,0
2005-02-08 00:00:00+00,0,0,0,11.5,0,0,0,0
2005-02-09 00:00:00+00,11,11,11,11,-4.35,85,1.87,2
2005-02-10 00:00:00+00,0,0,0,11,0,0,0,0
2005-02-11 00:00:00+00,12.05,12.05,12.05,12.05,9.55,26,0.63,2
2005-02-14 00:00:00+00,0,0,0,12.05,0,0,0,0
2005-02-15 00:00:00+00,0,0,0,12.05,0,0,0,0
2005-02-16 00:00:00+00,0,0,0,12.05,0,0,0,0
2005-02-17 00:00:00+00,0,0,0,12.05,0,0,0,0
2005-02-18 00:00:00+00,0,0,0,12.05,0,0,0,0
2005-02-21 00:00:00+00,0,0,0,12.05,0,0,0,0
2005-02-22 00:00:00+00,0,0,0,12.05,0,0,0,0
