date,open,high,low,close,difference,volume,turnover,transactions
2006-07-12 00:00:00+00,2.65,4.75,2.6,3.7,85,5195923,33820.69,4094
2006-07-13 00:00:00+00,3.85,4.7,3.65,3.87,4.59,3868899,33791.96,4222
2006-07-14 00:00:00+00,3.89,4.22,3.5,4,3.36,1226631,9960.38,1600
2006-07-17 00:00:00+00,3.9,3.99,3.6,3.63,-9.25,628114,4700.38,804
2006-07-18 00:00:00+00,3.6,3.6,3.29,3.4,-6.34,615990,4183.49,672
2006-07-19 00:00:00+00,3.33,3.4,3.03,3.06,-10,515716,3234.69,692
2006-07-20 00:00:00+00,3.11,3.4,3.1,3.2,4.58,625991,4092.25,754
2006-07-21 00:00:00+00,3.28,3.3,3.1,3.12,-2.5,254135,1606.09,321
2006-07-24 00:00:00+00,3.15,3.15,2.98,3.01,-3.53,213737,1292.37,313
2006-07-25 00:00:00+00,3.01,3.1,2.99,3.03,0.66,120942,734.09,192
2006-07-26 00:00:00+00,3.03,3.1,2.96,3.03,0,176115,1062.7,224
2006-07-27 00:00:00+00,3.04,3.07,3,3.04,0.33,77820,471.01,128
2006-07-28 00:00:00+00,3.05,3.05,2.98,3.01,-0.99,102501,616.75,142
2006-07-31 00:00:00+00,3,3,2.96,2.98,-1,140969,839.75,193
2006-08-01 00:00:00+00,2.99,3,2.88,2.89,-3.02,149242,871.69,230
2006-08-02 00:00:00+00,2.87,2.9,2.82,2.85,-1.38,93859,536.24,142
2006-08-03 00:00:00+00,2.85,2.86,2.71,2.71,-4.91,121422,673.75,173
2006-08-04 00:00:00+00,2.75,2.93,2.7,2.89,6.64,340660,1931.62,420
2006-08-07 00:00:00+00,2.9,3.05,2.9,3.04,5.19,303224,1819.09,365
2006-08-08 00:00:00+00,3.04,3.53,3.04,3.38,11.18,1161537,7742.6,1433
2006-08-09 00:00:00+00,3.38,3.41,3.12,3.2,-5.33,543849,3517.88,702
2006-08-10 00:00:00+00,3.24,3.24,3.06,3.1,-3.13,184862,1152.41,260
