date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,80,80.2,79.8,80.2,-1.47,702,112.27,7
2005-01-04 00:00:00+00,80.1,80.1,80,80,-0.25,3964,634.8,14
2005-01-05 00:00:00+00,79.9,79.9,77.5,77.5,-3.13,3827,601.22,20
2005-01-06 00:00:00+00,76,76,74.3,75,-3.23,12918,1930.67,38
2005-01-07 00:00:00+00,75,75.5,74.5,75,0,102775,15416.31,71
2005-01-10 00:00:00+00,76,76,75,75.4,0.53,1293,195.03,9
2005-01-11 00:00:00+00,75,75,74,75,-0.53,4093,612.63,14
2005-01-12 00:00:00+00,75,75,74.2,74.2,-1.07,67,10.01,3
2005-01-13 00:00:00+00,74.1,75.1,74.1,74.9,0.94,4049,607.38,15
2005-01-14 00:00:00+00,74.5,75.5,74.5,75,0.13,6041,904.78,17
2005-01-17 00:00:00+00,75,75,74.6,75,0,2914,437.02,10
2005-01-18 00:00:00+00,75,75,72.5,73,-2.67,6514,959.47,13
2005-01-19 00:00:00+00,73,75,72.5,75,2.74,16474,2392.42,12
2005-01-20 00:00:00+00,74,74.1,74,74.1,-1.2,401,59.42,4
2005-01-21 00:00:00+00,74.1,74.1,74.1,74.1,0,6,0.89,1
2005-01-24 00:00:00+00,74,75.5,73,75.5,1.89,3907,578.15,27
2005-01-25 00:00:00+00,75.5,75.5,75.5,75.5,0,300,45.3,2
2005-01-26 00:00:00+00,75.1,75.1,75,75,-0.66,9817,1472.57,19
2005-01-27 00:00:00+00,75,75,74.5,74.9,-0.13,1593,238.78,10
2005-01-28 00:00:00+00,0,0,0,74.9,0,0,0,0
2005-01-31 00:00:00+00,75,77.8,74.9,77.8,3.87,4041,613.54,21
2005-02-01 00:00:00+00,76,76.4,74.8,76,-2.31,7626,1147.59,28
2005-02-02 00:00:00+00,75,76.5,75,76.5,0.66,547,83.58,6
2005-02-03 00:00:00+00,77.1,77.1,76.9,76.9,0.52,340,52.3,6
2005-02-04 00:00:00+00,77,77,76.9,76.9,0,20,3.08,2
2005-02-07 00:00:00+00,76.6,76.8,76.6,76.8,-0.13,6222,955.32,15
2005-02-08 00:00:00+00,76.8,77,76.8,77,0.26,1000,153.97,6
2005-02-09 00:00:00+00,77.5,77.5,77,77,0,1940,299.85,10
2005-02-10 00:00:00+00,78,79,78,79,2.6,2085,329.12,9
2005-02-11 00:00:00+00,79.5,79.5,78.1,78.1,-1.14,6960,1099.07,23
