date,open,high,low,close,difference,volume,turnover,transactions
2010-04-12 00:00:00+00,8.29,8.29,8.07,8.17,-0.24,2959,48.17,13
2010-04-13 00:00:00+00,8.17,8.18,8.07,8.18,0.12,10517,170.73,32
2010-04-14 00:00:00+00,8.18,8.29,8.04,8.29,1.34,15358,250.07,37
2010-04-15 00:00:00+00,8.29,8.29,8.11,8.19,-1.21,3568,58.15,15
2010-04-16 00:00:00+00,8.26,8.26,8.07,8.18,-0.12,6399,104.5,13
2010-04-19 00:00:00+00,8.1,8.1,7.8,7.83,-4.28,12773,202.97,25
2010-04-20 00:00:00+00,8.07,8.07,7.84,8.07,3.07,108275,1714.18,21
2010-04-21 00:00:00+00,8.09,8.2,7.95,8.2,1.61,12432,202.01,26
2010-04-22 00:00:00+00,8.23,8.23,8,8.17,-0.37,24821,403.57,30
2010-04-23 00:00:00+00,8.14,8.19,8.02,8.19,0.24,15664,254.83,38
2010-04-26 00:00:00+00,8.21,8.21,8.11,8.2,0.12,9077,148.26,23
2010-04-27 00:00:00+00,8.19,8.19,8.07,8.07,-1.59,3549,57.54,14
2010-04-28 00:00:00+00,7.86,8,7.86,8,-0.87,14119,225.09,27
2010-04-29 00:00:00+00,8,8.04,7.85,7.9,-1.25,25253,399.88,39
2010-04-30 00:00:00+00,8,8,7.9,7.9,0,1552,24.52,7
2010-05-04 00:00:00+00,7.99,7.99,7.63,7.75,-1.9,32561,503.07,22
2010-05-05 00:00:00+00,7.7,7.7,7.42,7.49,-3.35,111889,1672.28,31
2010-05-06 00:00:00+00,7.7,7.7,7.35,7.4,-1.2,141264,2091.71,20
2010-05-07 00:00:00+00,7.39,7.39,6.96,7.25,-2.03,14762,212.66,28
2010-05-10 00:00:00+00,7.54,7.54,7.25,7.49,3.31,5720,85.12,14
2010-05-11 00:00:00+00,7.47,7.47,7.2,7.47,-0.27,35579,513.12,24
2010-05-12 00:00:00+00,7.47,8,7.2,7.99,6.96,103726,1555.47,48
2010-05-13 00:00:00+00,7.99,7.99,7.7,7.95,-0.5,7737,121.89,23
2010-05-14 00:00:00+00,7.95,7.95,7.7,7.9,-0.63,4558,71.75,18
2010-05-17 00:00:00+00,7.8,7.8,7.51,7.8,-1.27,2144,33.02,10
2010-05-18 00:00:00+00,7.75,7.79,7.54,7.54,-3.33,3899,59.37,16
2010-05-19 00:00:00+00,7.8,7.8,7.13,7.48,-0.8,10074,148.49,33
2010-05-20 00:00:00+00,7.62,7.69,7.34,7.69,2.81,3128,47.29,16
2010-05-21 00:00:00+00,7.6,7.9,7.33,7.9,2.73,5382,83.58,13
2010-05-24 00:00:00+00,7.9,7.9,7.7,7.72,-2.28,8852,138.68,15
2010-05-25 00:00:00+00,7.41,7.53,7.41,7.53,-2.46,7348,109.96,18
2010-05-26 00:00:00+00,7.53,7.9,7.53,7.9,4.91,4799,73.04,8
