date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,6.35,6.5,6.35,6.45,1.57,88514,1134.43,149
2005-01-04 00:00:00+00,6.4,6.4,6.3,6.35,-1.55,44654,567.55,98
2005-01-05 00:00:00+00,6.25,6.3,6.15,6.2,-2.36,115845,1440.42,210
2005-01-06 00:00:00+00,6.2,6.25,6.15,6.2,0,72287,892.77,138
2005-01-07 00:00:00+00,6.25,6.25,6.15,6.2,0,163376,2029.37,204
2005-01-10 00:00:00+00,6.15,6.15,5.65,5.8,-6.45,575724,6743.86,712
2005-01-11 00:00:00+00,5.8,6.1,5.8,5.85,0.86,316784,3755.01,395
2005-01-12 00:00:00+00,5.9,6,5.85,5.9,0.85,90750,1072.93,135
2005-01-13 00:00:00+00,6,6.15,5.95,5.95,0.85,260649,3149.72,297
2005-01-14 00:00:00+00,5.8,5.9,5.65,5.85,-1.68,151024,1756.17,215
2005-01-17 00:00:00+00,5.85,5.9,5.7,5.75,-1.71,222474,2564.42,184
2005-01-18 00:00:00+00,5.7,5.75,5.4,5.55,-3.48,266128,2939.44,393
2005-01-19 00:00:00+00,5.5,5.5,5.2,5.45,-1.8,478997,5087.54,554
2005-01-20 00:00:00+00,5.1,5.15,4.7,4.9,-10.09,899485,9003.36,1015
2005-01-21 00:00:00+00,4.8,4.81,4.41,4.61,-5.92,1463712,13337.19,1827
2005-01-24 00:00:00+00,4.4,4.42,4.2,4.21,-8.68,689803,5968.45,971
2005-01-25 00:00:00+00,4.35,4.75,4.35,4.75,12.83,1217222,11277.71,1354
2005-01-26 00:00:00+00,5.3,5.55,5.2,5.5,15.79,1823104,19716.61,1756
2005-01-27 00:00:00+00,5.3,5.35,5.05,5.15,-6.36,692367,7235.33,804
2005-01-28 00:00:00+00,5.35,5.55,5.3,5.35,3.88,507339,5496.92,629
2005-01-31 00:00:00+00,5.55,6.4,5.4,6.3,17.76,1157957,13772.17,1355
2005-02-01 00:00:00+00,6.1,6.5,5.85,6.05,-3.97,1192769,14775.47,1308
2005-02-02 00:00:00+00,6.05,6.6,5.9,6.3,4.13,1989401,24999.36,2001
2005-02-03 00:00:00+00,6.3,6.3,6.1,6.25,-0.79,558938,6952.04,643
2005-02-04 00:00:00+00,6.2,6.25,5.95,6.1,-2.4,513685,6287.14,511
2005-02-07 00:00:00+00,6.1,6.1,5.7,5.8,-4.92,901272,10509.85,840
2005-02-08 00:00:00+00,5.7,5.8,5.05,5.4,-6.9,1062078,11482.04,1128
2005-02-09 00:00:00+00,5.4,5.85,5.25,5.55,2.78,1111264,12512.75,1157
2005-02-10 00:00:00+00,5.4,5.6,5.35,5.45,-1.8,458130,5013.5,457
2005-02-11 00:00:00+00,5,5.4,4.95,5.25,-3.67,1210185,12564.2,1174
2005-02-14 00:00:00+00,5.25,5.35,5.2,5.2,-0.95,168847,1777.06,270
2005-02-15 00:00:00+00,5.25,5.3,5.15,5.2,0,323397,3381.47,297
2005-02-16 00:00:00+00,5.2,5.3,5.15,5.3,1.92,262478,2741.98,256
2005-02-17 00:00:00+00,5.4,5.7,5.4,5.4,1.89,734806,8122.38,765
2005-02-18 00:00:00+00,5.5,5.55,5.35,5.45,0.93,193886,2100.04,241
2005-02-21 00:00:00+00,5.2,5.4,5.2,5.25,-3.67,457299,4824.35,513
2005-02-22 00:00:00+00,5.35,5.35,5.1,5.15,-1.9,291363,3021.75,350
2005-02-23 00:00:00+00,5.1,5.3,5.1,5.25,1.94,93729,980.88,169
2005-02-24 00:00:00+00,5.3,5.35,5.2,5.35,1.9,192226,2041.86,202
2005-02-25 00:00:00+00,5.55,6.8,5.4,6.8,27.1,4456682,54443.4,3801
2005-02-28 00:00:00+00,7.4,7.75,6.2,6.45,-5.15,5177725,73557.73,4931
2005-03-01 00:00:00+00,6.4,6.45,6.1,6.15,-4.65,763851,9578.41,895
2005-03-02 00:00:00+00,6,6.4,5.7,6.2,0.81,1377124,16735.57,1219
2005-03-03 00:00:00+00,6.25,6.75,6.15,6.75,8.87,1159306,15005.63,1007
2005-03-04 00:00:00+00,6.4,6.65,6.35,6.4,-5.19,900240,11691.1,853
2005-03-07 00:00:00+00,6.7,6.85,6.6,6.7,4.69,1163270,15577.35,1042
2005-03-08 00:00:00+00,6.65,6.7,6.5,6.55,-2.24,290657,3836.5,352
2005-03-09 00:00:00+00,6.55,6.75,6.5,6.5,-0.76,488479,6456.92,377
2005-03-10 00:00:00+00,6.6,6.6,6.5,6.6,1.54,232727,3046.93,183
2005-03-11 00:00:00+00,6.55,6.7,6.5,6.6,0,219808,2914.56,280
2005-03-14 00:00:00+00,6.6,6.7,6.4,6.45,-2.27,249117,3278.21,304
2005-03-15 00:00:00+00,6.5,6.5,6.35,6.45,0,207831,2676.69,221
2005-03-16 00:00:00+00,6.45,6.5,5.7,5.9,-8.53,1013475,12240.38,1043
2005-03-17 00:00:00+00,5.8,5.85,5.55,5.65,-4.24,624405,7120.27,699
2005-03-18 00:00:00+00,5.65,5.95,5.65,5.7,0.88,683664,7929.64,607
2005-03-21 00:00:00+00,5.75,5.75,5.55,5.65,-0.88,316052,3560.56,286
2005-03-22 00:00:00+00,5.65,5.8,5.6,5.7,0.88,149415,1701.54,182
