date,open,high,low,close,difference,volume,turnover,transactions
2007-05-22 00:00:00+00,39.43,40.96,38.02,39.35,1.81,15282,1193.6,101
2007-05-23 00:00:00+00,39.5,40.25,37.21,38.48,-2.21,18678,1447.5,110
2007-05-24 00:00:00+00,38.5,38.89,37.5,38.48,0,7964,610.79,52
2007-05-25 00:00:00+00,37.3,39.5,37.3,38.98,1.3,16577,1282.7,75
2007-05-28 00:00:00+00,37.55,39.4,37.55,39.4,1.08,12798,994.61,71
2007-05-29 00:00:00+00,39.45,40.99,39,40.2,2.03,25551,2052.99,121
2007-05-30 00:00:00+00,39.5,40.3,39,40.25,0.12,16102,1285.44,57
2007-05-31 00:00:00+00,40,40.5,39.5,39.9,-0.87,36225,2908.07,75
2007-06-01 00:00:00+00,39.5,40,39,40,0.25,12676,1000.84,71
2007-06-04 00:00:00+00,40.09,40.39,39.21,40.27,0.68,6646,531.51,60
2007-06-05 00:00:00+00,40.27,40.27,39.5,39.99,-0.7,2585,205.68,28
2007-06-06 00:00:00+00,39.98,40,38.1,39.6,-0.98,29720,2330.75,66
2007-06-08 00:00:00+00,38,40,38,40,1.01,25674,2002.74,67
2007-06-11 00:00:00+00,40,40,39.1,39.79,-0.53,5935,472.22,39
2007-06-12 00:00:00+00,39.78,39.9,39.15,39.6,-0.48,9425,745.13,34
2007-06-13 00:00:00+00,39.55,43,39.55,42.9,8.33,113516,9366.05,400
2007-06-14 00:00:00+00,43.5,49.5,43.5,47.9,11.66,109721,10231.4,472
2007-06-15 00:00:00+00,49,51.45,48.9,50,4.38,138626,13889.55,616
2007-06-18 00:00:00+00,51.4,51.4,49.1,50.5,1,53608,5393.77,171
2007-06-19 00:00:00+00,49.11,50.45,49.02,50,-0.99,100051,9997.98,122
2007-06-20 00:00:00+00,50.2,56.9,49,53,6,607152,61733.79,514
2007-06-21 00:00:00+00,53.8,54.5,51.05,51.5,-2.83,28860,3041.01,239
2007-06-22 00:00:00+00,52,54.8,51.7,54,4.85,33342,3570.98,255
2007-06-25 00:00:00+00,52.2,53.95,51.1,53.95,-0.09,41211,4320.57,267
2007-06-26 00:00:00+00,53,53.4,51.5,53.4,-1.02,12006,1266.81,108
2007-06-27 00:00:00+00,53.4,55.95,53.1,54.65,2.34,48281,5298.74,287
2007-06-28 00:00:00+00,55.5,55.95,55.5,55.9,2.29,11757,1313.24,134
2007-06-29 00:00:00+00,55.9,55.9,53.9,53.9,-3.58,9385,1027.31,96
2007-07-02 00:00:00+00,54.1,55,49,55,2.04,34078,3569.68,314
2007-07-03 00:00:00+00,56.85,56.85,53.1,53.3,-3.09,14094,1512.97,108
2007-07-04 00:00:00+00,53.1,53.8,51.25,53.8,0.94,15018,1593.05,105
2007-07-05 00:00:00+00,53.5,54.5,52.5,53.5,-0.56,11706,1248.91,88
2007-07-06 00:00:00+00,53.5,54.75,52,54.75,2.34,12664,1362.13,120
2007-07-09 00:00:00+00,53.5,55,52.75,54.5,-0.46,11674,1268.22,98
2007-07-10 00:00:00+00,54,54,52,52,-4.59,8651,910.67,91
2007-07-11 00:00:00+00,51.5,51.95,50,51.35,-1.25,10696,1085.92,99
2007-07-12 00:00:00+00,52,52,49,51,-0.68,13737,1380.54,83
2007-07-13 00:00:00+00,51.4,52,50.1,50.3,-1.37,4342,441.19,70
2007-07-16 00:00:00+00,49.9,53.95,48.7,53.95,7.26,26186,2660.57,143
2007-07-17 00:00:00+00,51,53.8,51,53.5,-0.83,4765,496.04,48
2007-07-18 00:00:00+00,51.9,52.8,51,52,-2.8,4569,473.51,50
2007-07-19 00:00:00+00,52.1,52.6,50.5,51,-1.92,40775,4185.18,84
2007-07-20 00:00:00+00,51.1,52.3,50.6,51.4,0.78,14185,1447.56,44
2007-07-23 00:00:00+00,51.9,52.55,50.5,52,1.17,2953,305.45,54
2007-07-24 00:00:00+00,50.7,53.1,50.5,52.4,0.77,16529,1709.39,126
2007-07-25 00:00:00+00,51.1,52.8,50,52.8,0.76,12377,1273.67,138
2007-07-26 00:00:00+00,52.7,52.95,49.5,49.5,-6.25,10797,1106.17,87
2007-07-27 00:00:00+00,46.9,48.8,44.2,48.8,-1.41,40777,3910.34,170
2007-07-30 00:00:00+00,48,49.2,46.23,49.2,0.82,28138,2724.23,85
2007-07-31 00:00:00+00,49,51,48.9,51,3.66,20346,2035.75,110
2007-08-01 00:00:00+00,49.2,49.5,47.6,48,-5.88,35547,3442.24,63
2007-08-02 00:00:00+00,48.11,48.5,47.25,48,0,13110,1248.56,56
2007-08-03 00:00:00+00,47.5,47.5,45.5,47.39,-1.27,7266,680.1,79
2007-08-06 00:00:00+00,45.98,46.35,44.7,46.35,-2.19,12321,1123.69,81
2007-08-07 00:00:00+00,46,46.8,44.05,45,-2.91,7494,675.51,66
2007-08-08 00:00:00+00,45.45,45.65,41.5,43.75,-2.78,16349,1403.07,140
2007-08-09 00:00:00+00,42.3,42.95,40,42.95,-1.83,24622,2030.61,185
2007-08-10 00:00:00+00,40.1,41.99,37.25,41.99,-2.24,42912,3458.8,238
2007-08-13 00:00:00+00,40.9,42,39.7,40.79,-2.86,26253,2124.42,162
2007-08-14 00:00:00+00,40.78,41.95,39.25,41.8,2.48,12870,1053.31,122
2007-08-16 00:00:00+00,39.99,39.99,35.95,39,-6.7,31701,2449.91,198
2007-08-17 00:00:00+00,40.5,40.6,37.1,40.49,3.82,19171,1514.32,115
2007-08-20 00:00:00+00,42.2,44,41,42,3.73,18015,1503.86,124
2007-08-21 00:00:00+00,42,42,39.6,42,0,8517,705.88,64
2007-08-22 00:00:00+00,42.7,44.9,40.5,44.9,6.9,12853,1119.84,91
2007-08-23 00:00:00+00,45.9,45.9,43.55,44.3,-1.34,16177,1441.57,117
2007-08-24 00:00:00+00,43.15,44,42.4,44,-0.68,11647,1023.56,55
2007-08-27 00:00:00+00,44,44,43.22,43.9,-0.23,10420,911.36,58
2007-08-28 00:00:00+00,43.8,44.5,42.7,44.5,1.37,5457,479.92,51
2007-08-29 00:00:00+00,43,45.5,43,45.5,2.25,6980,623.48,63
2007-08-30 00:00:00+00,45.4,46,43.35,44.6,-1.98,21899,1964.41,80
2007-08-31 00:00:00+00,45.15,45.15,44.31,45.1,1.12,3334,299.84,36
2007-09-03 00:00:00+00,45.98,45.98,45,45.49,0.86,2440,222.07,19
2007-09-04 00:00:00+00,45.7,46,44.7,45.89,0.88,11027,1005.03,39
2007-09-05 00:00:00+00,45.1,45.1,44.01,44.59,-2.83,8692,774.9,59
2007-09-06 00:00:00+00,44.5,44.98,43.23,44.69,0.22,5258,464.24,48
2007-09-07 00:00:00+00,44.69,44.69,43.5,44.59,-0.22,3617,320.54,21
2007-09-10 00:00:00+00,43.2,43.8,40.5,43.8,-1.77,7092,611.95,58
2007-09-11 00:00:00+00,43,44.4,43,44.4,1.37,8009,706.95,42
2007-09-12 00:00:00+00,44.5,44.8,43.2,43.2,-2.7,1307,116.14,21
2007-09-13 00:00:00+00,43.01,44.4,43.01,44.4,2.78,1424,125.61,17
2007-09-14 00:00:00+00,43.96,44.5,43.5,44.49,0.2,1536,136.06,19
2007-09-17 00:00:00+00,44.49,44.49,44.01,44.48,-0.02,6830,607.64,16
2007-09-18 00:00:00+00,44.48,44.7,43.8,44.7,0.49,4649,412.78,41
2007-09-19 00:00:00+00,44.8,44.8,43.8,44.78,0.18,7449,660.73,68
2007-09-20 00:00:00+00,44.69,45,44.3,45,0.49,2167,194.49,32
2007-09-21 00:00:00+00,44.5,44.51,43.92,44.39,-1.36,4554,403.25,53
2007-09-24 00:00:00+00,43.51,43.69,42.92,43,-3.13,4749,409.61,58
2007-09-25 00:00:00+00,43.1,43.1,42.15,42.78,-0.51,2864,244.71,21
2007-09-26 00:00:00+00,42.22,42.78,41.25,42,-1.82,5053,424.17,54
2007-09-27 00:00:00+00,41.8,43.1,40.55,41.41,-1.4,4798,397.92,42
2007-09-28 00:00:00+00,42,42,39.3,39.3,-5.1,10294,820.09,75
2007-10-01 00:00:00+00,39.01,39.29,37.2,38,-3.31,9350,711.56,75
2007-10-02 00:00:00+00,37.35,37.35,36.37,37,-2.63,8933,660.45,79
2007-10-03 00:00:00+00,37,38.79,36.25,38,2.7,7240,541.08,46
2007-10-04 00:00:00+00,38.77,38.77,37.82,38,0,8268,630.12,51
2007-10-05 00:00:00+00,38.7,39,38.05,39,2.63,4196,324.56,24
2007-10-08 00:00:00+00,39.1,39.5,38.71,39,0,3699,289.06,27
2007-10-09 00:00:00+00,39.2,39.2,38.4,38.94,-0.15,1808,140.51,17
2007-10-10 00:00:00+00,39,40,38.6,40,2.72,8505,674.13,59
2007-10-11 00:00:00+00,39.1,40,38.8,39.83,-0.43,9690,767.87,65
2007-10-12 00:00:00+00,39.42,40,38.81,40,0.43,5151,402.89,42
2007-10-15 00:00:00+00,40.89,40.89,40,40.49,1.23,1853,149.26,24
2007-10-16 00:00:00+00,40.1,41,39.6,41,1.26,2179,176.53,28
2007-10-17 00:00:00+00,40.99,40.99,39.39,40.19,-1.98,5766,461.26,41
2007-10-18 00:00:00+00,40,40,38.55,39.6,-1.47,3568,282.73,31
2007-10-19 00:00:00+00,39,40,38.8,40,1.01,5818,461.69,38
2007-10-22 00:00:00+00,39.12,39.49,39.02,39.49,-1.28,1552,122.17,18
2007-10-23 00:00:00+00,39.05,39.05,36.42,38,-3.77,13591,1029.04,127
2007-10-24 00:00:00+00,38.95,38.95,36.55,37.85,-0.39,24777,1877,160
2007-10-25 00:00:00+00,37.78,38.05,36.9,37.69,-0.42,6686,502.63,67
2007-10-26 00:00:00+00,37.5,37.5,35.62,36.99,-1.86,13260,962.88,144
2007-10-29 00:00:00+00,37,37,35.67,36.7,-0.78,7775,564.72,74
2007-10-30 00:00:00+00,35.77,36.65,35.55,36.33,-1.01,3734,269.43,45
2007-10-31 00:00:00+00,35.44,35.7,34.33,34.33,-5.51,18601,1291.54,171
2007-11-02 00:00:00+00,33.47,34.12,32.85,33,-3.87,5797,386.94,66
2007-11-05 00:00:00+00,32.4,32.6,30.9,31.55,-4.39,6216,392.02,70
2007-11-06 00:00:00+00,30.15,30.5,29.31,30,-4.91,10418,622.64,102
2007-11-07 00:00:00+00,30.49,30.69,28.46,29.95,-0.17,12945,753.8,82
2007-11-08 00:00:00+00,28.46,29.95,28,28.87,-3.61,15158,895.39,80
2007-11-09 00:00:00+00,29.5,29.5,27.8,29.5,2.18,12414,712.97,86
2007-11-12 00:00:00+00,28.77,29.5,28.6,29.1,-1.36,4269,247.47,41
2007-11-13 00:00:00+00,29.8,29.8,28.81,29.29,0.65,5083,297.73,29
2007-11-14 00:00:00+00,30,30.5,28.2,29.38,0.31,5797,340.75,41
2007-11-15 00:00:00+00,29.48,29.48,24.01,27.4,-6.74,21989,1150.98,70
2007-11-16 00:00:00+00,26.71,26.71,25.03,26.03,-5,11067,573.17,97
2007-11-19 00:00:00+00,27,27,25.01,26,-0.12,9590,494.32,57
2007-11-20 00:00:00+00,25.37,25.37,24.39,24.65,-5.19,5342,263.21,50
2007-11-21 00:00:00+00,24.5,24.5,22.21,22.31,-9.49,12845,583.36,83
2007-11-22 00:00:00+00,21.7,23.5,20.51,23.5,5.33,321993,14595.86,117
2007-11-23 00:00:00+00,23.5,24,23.1,24,2.13,4490,213.31,36
2007-11-26 00:00:00+00,24.15,24.65,23.3,23.99,-0.04,13513,644.28,51
2007-11-27 00:00:00+00,23.39,23.5,23.03,23.28,-2.96,5537,257.44,21
2007-11-28 00:00:00+00,23.55,23.55,23.04,23.27,-0.04,7963,370.78,42
