date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,7.3,7.95,7.3,7.95,0.63,252,3.68,3
2005-01-04 00:00:00+00,7.95,7.95,7.95,7.95,0,23,0.37,1
2005-01-05 00:00:00+00,7.55,7.7,7.55,7.7,-3.14,535,8.13,4
2005-01-06 00:00:00+00,0,0,0,7.7,0,0,0,0
2005-01-07 00:00:00+00,7.7,7.8,7.05,7.8,1.3,2922,45.05,15
2005-01-10 00:00:00+00,7.7,7.8,7.7,7.8,0,961,14.94,5
2005-01-11 00:00:00+00,7.6,7.6,7.6,7.6,-2.56,83,1.26,1
2005-01-12 00:00:00+00,7.1,7.4,7.05,7.4,-2.63,170,2.43,3
2005-01-13 00:00:00+00,7.4,7.45,7.4,7.45,0.68,180,2.67,2
2005-01-14 00:00:00+00,7.4,7.7,7.1,7.7,3.36,1445,21.45,10
2005-01-17 00:00:00+00,7.6,7.6,7,7.1,-7.79,4331,62.25,23
2005-01-18 00:00:00+00,7.2,7.8,6.55,7.5,5.63,5951,87.24,24
2005-01-19 00:00:00+00,7.5,7.75,7.5,7.75,3.33,1325,20.06,4
2005-01-20 00:00:00+00,7.5,7.5,7.5,7.5,-3.23,999,14.99,2
2005-01-21 00:00:00+00,0,0,0,7.5,0,0,0,0
2005-01-24 00:00:00+00,7.2,7.5,7.2,7.5,0,136,2.03,2
2005-01-25 00:00:00+00,0,0,0,7.5,0,0,0,0
2005-01-26 00:00:00+00,7.3,7.3,7.3,7.3,-2.67,296,4.32,2
2005-01-27 00:00:00+00,7.2,7.8,7.1,7.8,6.85,5954,89.13,16
2005-01-28 00:00:00+00,7.7,7.7,7.6,7.6,-2.56,1862,28.41,5
2005-01-31 00:00:00+00,7.3,7.8,7.25,7.8,2.63,4854,72.72,18
2005-02-01 00:00:00+00,7.6,7.9,7.5,7.9,1.28,3363,52,16
2005-02-02 00:00:00+00,7.9,8.5,7.9,8.45,6.96,6746,113.2,19
2005-02-03 00:00:00+00,8.45,10.1,8.45,10.1,19.53,12651,230.85,65
2005-02-04 00:00:00+00,10.05,10.1,9.3,9.4,-6.93,5835,113.84,48
2005-02-07 00:00:00+00,9.85,11,9.85,11,17.02,11764,242.36,63
2005-02-08 00:00:00+00,11,14.3,11,14.3,30,28952,747.58,158
2005-02-09 00:00:00+00,14.5,16.5,12.8,12.8,-10.49,33148,965.48,262
2005-02-10 00:00:00+00,11.1,12,10.8,11.1,-13.28,21176,481.2,131
2005-02-11 00:00:00+00,10.6,10.7,9.5,10.4,-6.31,15671,314.5,157
2005-02-14 00:00:00+00,10.3,10.3,9.05,9.05,-12.98,1410,26.41,13
2005-02-15 00:00:00+00,9.45,9.45,9.4,9.4,3.87,674,12.73,11
2005-02-16 00:00:00+00,8.8,8.8,8.8,8.8,-6.38,470,8.27,3
2005-02-17 00:00:00+00,8.2,8.2,8.15,8.15,-7.39,3871,63.23,17
2005-02-18 00:00:00+00,8.15,8.15,8.15,8.15,0,1679,27.37,12
2005-02-21 00:00:00+00,8.2,8.75,8.2,8.75,7.36,156,2.7,4
2005-02-22 00:00:00+00,8.95,8.95,8,8,-8.57,559,8.98,5
2005-02-23 00:00:00+00,8.1,8.1,8.1,8.1,1.25,881,14.27,6
2005-02-24 00:00:00+00,0,0,0,8.1,0,0,0,0
2005-02-25 00:00:00+00,8,8,7.3,7.3,-9.88,483,7.25,2
2005-02-28 00:00:00+00,8,8,8,8,9.59,20,0.32,2
2005-03-01 00:00:00+00,8,8,8,8,0,1200,19.2,8
2005-03-02 00:00:00+00,7.95,7.95,7.85,7.85,-1.88,1100,17.32,3
2005-03-03 00:00:00+00,0,0,0,7.85,0,0,0,0
2005-03-04 00:00:00+00,8,8,8,8,1.91,100,1.6,3
2005-03-07 00:00:00+00,7.9,7.9,7.9,7.9,-1.25,300,4.74,2
2005-03-08 00:00:00+00,0,0,0,7.9,0,0,0,0
2005-03-09 00:00:00+00,7.9,7.9,7.2,7.2,-8.86,1662,25.89,9
2005-03-10 00:00:00+00,7.2,7.2,6.45,6.45,-10.42,1237,16.27,9
2005-03-11 00:00:00+00,6.1,6.15,6.1,6.15,-4.65,1116,13.71,11
2005-03-14 00:00:00+00,6.15,6.15,6.15,6.15,0,3221,39.62,2
2005-03-15 00:00:00+00,6.6,6.6,6.2,6.2,0.81,126,1.58,2
2005-03-16 00:00:00+00,6.2,6.2,6.15,6.15,-0.81,1125,13.94,7
2005-03-17 00:00:00+00,6.15,6.15,6.15,6.15,0,399,4.91,4
2005-03-18 00:00:00+00,0,0,0,6.15,0,0,0,0
2005-03-21 00:00:00+00,0,0,0,6.15,0,0,0,0
2005-03-22 00:00:00+00,6.05,6.05,6.05,6.05,-1.63,40,0.48,1
2005-03-23 00:00:00+00,0,0,0,6.05,0,0,0,0
2005-03-24 00:00:00+00,0,0,0,6.05,0,0,0,0
2005-03-29 00:00:00+00,0,0,0,6.05,0,0,0,0
2005-03-30 00:00:00+00,5.9,5.9,5.9,5.9,-2.48,1200,14.16,2
2005-03-31 00:00:00+00,0,0,0,5.9,0,0,0,0
2005-04-01 00:00:00+00,0,0,0,5.9,0,0,0,0
2005-04-04 00:00:00+00,0,0,0,5.9,0,0,0,0
2005-04-05 00:00:00+00,5.8,5.8,5.8,5.8,-1.69,104,1.21,2
2005-04-06 00:00:00+00,0,0,0,5.8,0,0,0,0
2005-04-07 00:00:00+00,5.5,5.5,5.5,5.5,-5.17,79,0.87,2
2005-04-11 00:00:00+00,5.5,5.5,5,5,-9.09,7061,77.35,9
2005-04-12 00:00:00+00,5.5,5.5,5.45,5.45,9,181,1.99,4
2005-04-13 00:00:00+00,5.5,5.5,4.65,4.65,-14.68,764,8.25,5
2005-04-14 00:00:00+00,5,5.3,5,5.3,13.98,735,7.49,7
2005-04-15 00:00:00+00,0,0,0,5.3,0,0,0,0
2005-04-18 00:00:00+00,5.55,5.55,5.55,5.55,4.72,451,5.01,5
2005-04-19 00:00:00+00,6.1,6.1,6.1,6.1,9.91,400,4.88,3
2005-04-20 00:00:00+00,0,0,0,6.1,0,0,0,0
2005-04-21 00:00:00+00,0,0,0,6.1,0,0,0,0
2005-04-22 00:00:00+00,6,6,6,6,-1.64,427,5.12,3
2005-04-25 00:00:00+00,0,0,0,6,0,0,0,0
2005-04-26 00:00:00+00,5.9,5.9,5.8,5.8,-3.33,411,4.8,7
2005-04-27 00:00:00+00,0,0,0,5.8,0,0,0,0
2005-04-28 00:00:00+00,0,0,0,5.8,0,0,0,0
2005-04-29 00:00:00+00,0,0,0,5.8,0,0,0,0
2005-05-02 00:00:00+00,6.6,6.6,6.6,6.6,13.79,3,0.04,1
2005-05-04 00:00:00+00,6,6,4.95,4.95,-25,4860,50.2,34
2005-05-05 00:00:00+00,4.95,5.15,4.95,5.15,4.04,4433,45.39,11
2005-05-06 00:00:00+00,5.45,5.45,4.95,4.95,-3.88,8942,88.57,14
2005-05-09 00:00:00+00,5,5,5,5,1.01,438,4.38,5
2005-05-10 00:00:00+00,4.15,5,4.15,5,0,2544,25.37,13
2005-05-11 00:00:00+00,5.25,5.25,5.25,5.25,5,10,0.11,1
2005-05-12 00:00:00+00,0,0,0,5.25,0,0,0,0
2005-05-13 00:00:00+00,4.8,4.8,4.8,4.8,-8.57,1264,12.13,9
2005-05-16 00:00:00+00,4.95,4.95,4.95,4.95,3.13,5,0.05,1
2005-05-17 00:00:00+00,4.94,4.94,4.94,4.94,-0.2,100,0.99,1
2005-05-18 00:00:00+00,0,0,0,4.94,0,0,0,0
2005-05-19 00:00:00+00,0,0,0,4.94,0,0,0,0
2005-05-20 00:00:00+00,4.65,4.65,4.65,4.65,-5.87,1450,13.49,6
2005-05-23 00:00:00+00,4.2,4.23,4.2,4.23,-9.03,1107,9.32,9
2005-05-24 00:00:00+00,4.86,4.86,4.86,4.86,14.89,2,0.02,1
2005-05-25 00:00:00+00,0,0,0,4.86,0,0,0,0
