date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,13.15,13.95,13.15,13.8,4.55,1353,37.15,15
2005-01-04 00:00:00+00,13.8,13.95,13.8,13.95,1.09,1326,36.63,13
2005-01-05 00:00:00+00,13.8,13.9,13.5,13.8,-1.08,1391,37.74,9
2005-01-06 00:00:00+00,13.45,13.8,13.25,13.5,-2.17,1245,33.69,15
2005-01-07 00:00:00+00,13.25,13.6,13.25,13.6,0.74,969,26.16,6
2005-01-10 00:00:00+00,13.75,13.75,13.7,13.75,1.1,57,1.56,4
2005-01-11 00:00:00+00,13.6,13.6,13.6,13.6,-1.09,50,1.36,1
2005-01-12 00:00:00+00,13.8,13.8,13.25,13.5,-0.74,211,5.67,5
2005-01-13 00:00:00+00,13.6,13.6,13.5,13.5,0,607,16.46,6
2005-01-14 00:00:00+00,13.6,13.6,13.6,13.6,0.74,103,2.8,2
2005-01-17 00:00:00+00,13.75,13.75,13.75,13.75,1.1,5,0.14,1
2005-01-18 00:00:00+00,13.5,13.65,13.5,13.65,-0.73,15,0.41,2
2005-01-19 00:00:00+00,13.1,13.55,13.1,13.4,-1.83,541,14.38,9
2005-01-20 00:00:00+00,13.55,14.1,13.4,13.95,4.1,3894,107.46,23
2005-01-21 00:00:00+00,14,14.5,13.8,13.9,-0.36,6519,185.36,51
2005-01-24 00:00:00+00,14.05,14.05,13.7,13.9,0,1334,37.37,11
2005-01-25 00:00:00+00,14,14.15,13.9,14.15,1.8,1480,41.64,11
2005-01-26 00:00:00+00,14.4,14.4,14,14.15,0,3053,86.39,16
2005-01-27 00:00:00+00,14.25,14.25,14,14.1,-0.35,344,9.64,5
2005-01-28 00:00:00+00,14.25,14.3,14.2,14.3,1.42,2416,68.76,14
2005-01-31 00:00:00+00,14.45,14.8,14.2,14.4,0.7,5558,160.33,34
2005-02-01 00:00:00+00,14.4,14.65,13.9,14.3,-0.69,2266,64.49,25
2005-02-02 00:00:00+00,14.7,15.8,14.7,15.45,8.04,14128,433.01,105
2005-02-03 00:00:00+00,15.5,16.5,15.5,16.15,4.53,23221,743.27,146
2005-02-04 00:00:00+00,16.3,16.4,15.6,15.9,-1.55,5287,169.98,37
2005-02-07 00:00:00+00,15.8,15.8,15,15.35,-3.46,4437,135.34,39
2005-02-08 00:00:00+00,15.25,15.3,15.15,15.2,-0.98,1723,52.53,13
2005-02-09 00:00:00+00,15.15,15.2,15.05,15.05,-0.99,1340,40.47,14
2005-02-10 00:00:00+00,15.3,15.6,14.9,15.5,2.99,1197,35.9,11
2005-02-11 00:00:00+00,15.1,15.2,15,15.2,-1.94,870,26.18,10
2005-02-14 00:00:00+00,14.85,15.2,14.85,15.2,0,753,22.45,8
2005-02-15 00:00:00+00,15.2,15.6,15.2,15.6,2.63,2957,91.59,23
2005-02-16 00:00:00+00,15.8,16,15.8,15.8,1.28,2490,79.1,14
2005-02-17 00:00:00+00,15.8,15.8,15.45,15.6,-1.27,1837,57.74,13
2005-02-18 00:00:00+00,15.3,15.4,15.3,15.4,-1.28,1311,40.18,8
2005-02-21 00:00:00+00,15.05,15.05,14.45,15.05,-2.27,5882,172.86,33
2005-02-22 00:00:00+00,15.1,15.1,15.05,15.05,0,1858,56.09,6
2005-02-23 00:00:00+00,14.4,15,14.4,14.75,-1.99,1327,38.61,21
2005-02-24 00:00:00+00,14.4,14.85,14.4,14.85,0.68,96,2.78,3
2005-02-25 00:00:00+00,14.9,14.95,14.35,14.85,0,1149,33.53,22
2005-02-28 00:00:00+00,14.45,15.2,14.2,14.45,-2.69,3269,93.69,32
2005-03-01 00:00:00+00,14.3,14.5,14.05,14.4,-0.35,1458,41.4,12
2005-03-02 00:00:00+00,13.7,14.4,13.6,14,-2.78,2615,72.32,26
2005-03-03 00:00:00+00,14.1,15.3,14.1,15.3,9.29,6212,182.52,52
2005-03-04 00:00:00+00,15.3,15.3,14.9,14.95,-2.29,3414,103.23,33
2005-03-07 00:00:00+00,15.15,15.35,14.7,15.35,2.68,5840,177.23,31
2005-03-08 00:00:00+00,15.4,15.4,15.25,15.25,-0.65,1100,33.8,11
2005-03-09 00:00:00+00,15.3,15.3,15.25,15.3,0.33,1112,34.01,7
2005-03-10 00:00:00+00,15.3,15.4,15,15.3,0,2391,72.99,21
2005-03-11 00:00:00+00,15.35,15.4,14.95,15.3,0,1713,52.28,17
2005-03-14 00:00:00+00,15.35,15.35,14.4,14.4,-5.88,2144,62.82,20
2005-03-15 00:00:00+00,14.45,14.8,14.45,14.65,1.74,1464,42.8,25
2005-03-16 00:00:00+00,14.65,14.7,14.45,14.5,-1.02,2631,76.64,39
2005-03-17 00:00:00+00,14.75,14.75,14.2,14.35,-1.03,4050,115.7,29
2005-03-18 00:00:00+00,14.85,14.85,14.4,14.8,3.14,2032,59.69,16
2005-03-21 00:00:00+00,14.85,15.3,14.35,15.3,3.38,2383,71.35,21
