date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,107,107,102.5,103.5,-1.43,1301,271.24,36
2005-01-04 00:00:00+00,102,102,99.5,101,-2.42,332,66.79,24
2005-01-05 00:00:00+00,100,100,97.6,99,-1.98,3037,600.98,22
2005-01-06 00:00:00+00,97.3,99,97.3,99,0,220,43.23,7
2005-01-07 00:00:00+00,99.9,99.9,98.4,98.4,-0.61,479,94.99,7
2005-01-10 00:00:00+00,102.5,102.5,97.5,97.5,-0.91,960,191.24,16
2005-01-11 00:00:00+00,96.7,96.7,95.6,96.6,-0.92,62,11.98,4
2005-01-12 00:00:00+00,95,97.5,93.1,97.5,0.93,885,168.15,25
2005-01-13 00:00:00+00,96,101.5,93.5,96.4,-1.13,2705,526.74,53
2005-01-14 00:00:00+00,95.9,99,95.2,95.2,-1.24,1227,236.81,24
2005-01-17 00:00:00+00,95.3,95.3,94.2,94.2,-1.05,39,7.43,3
2005-01-18 00:00:00+00,95,95.1,95,95,0.85,524,99.61,10
2005-01-19 00:00:00+00,93.3,97.4,93.3,97.4,2.53,676,128.49,6
2005-01-20 00:00:00+00,97.5,97.5,95,96.8,-0.62,462,88.92,14
2005-01-21 00:00:00+00,95.4,96.5,95,95,-1.86,417,79.39,11
2005-01-24 00:00:00+00,93.2,95.1,93.2,95,0,115,21.66,7
2005-01-25 00:00:00+00,95.9,95.9,95.9,95.9,0.95,100,19.18,3
2005-01-26 00:00:00+00,0,0,0,95.9,0,0,0,0
2005-01-27 00:00:00+00,0,0,0,95.9,0,0,0,0
2005-01-28 00:00:00+00,95,95.9,95,95.9,0,300,57.02,4
2005-01-31 00:00:00+00,96,96.9,96,96.9,1.04,592,114.59,8
2005-02-01 00:00:00+00,97.2,97.2,97.1,97.1,0.21,109,21.18,4
2005-02-02 00:00:00+00,97.2,97.2,97.1,97.1,0,385,74.79,8
2005-02-03 00:00:00+00,97.1,97.1,97.1,97.1,0,75,14.57,1
2005-02-04 00:00:00+00,95.7,97.3,95.5,96.9,-0.21,527,101.72,10
2005-02-07 00:00:00+00,97,98.5,97,98.5,1.65,3241,629.43,14
2005-02-08 00:00:00+00,98.1,98.1,97.1,98,-0.51,173,33.87,10
2005-02-09 00:00:00+00,99.2,99.2,99,99,1.02,653,129.4,10
2005-02-10 00:00:00+00,97.2,99,97.2,99,0,742,145.09,14
2005-02-11 00:00:00+00,99,102,99,99,0,1897,378.66,23
2005-02-14 00:00:00+00,99.1,102,99.1,102,3.03,2649,539.75,17
2005-02-15 00:00:00+00,102,104.5,102,103,0.98,811,167.04,17
2005-02-16 00:00:00+00,105,105,103,103,0,621,129.81,12
2005-02-17 00:00:00+00,102.5,105,102.5,105,1.94,640,133.51,13
2005-02-18 00:00:00+00,106,106,105,105,0,500,105.06,8
2005-02-21 00:00:00+00,106,106,104,104,-0.95,393,81.88,10
2005-02-22 00:00:00+00,103.5,105,103,103,-0.96,2210,461.18,18
2005-02-23 00:00:00+00,102,102,102,102,-0.97,110,22.44,1
2005-02-24 00:00:00+00,101,102,101,102,0,15,3.05,2
2005-02-25 00:00:00+00,103.5,105,101,103.5,1.47,970,201.38,18
2005-02-28 00:00:00+00,103.5,104,102.5,102.5,-0.97,215,44.11,6
2005-03-01 00:00:00+00,100.5,101.5,100,101.5,-0.98,295,59.24,4
2005-03-02 00:00:00+00,100.5,100.5,100.5,100.5,-0.99,200,40.2,2
2005-03-03 00:00:00+00,102,102.5,102,102,1.49,740,151,9
2005-03-04 00:00:00+00,102,102,99.1,102,0,55,11.21,3
2005-03-07 00:00:00+00,100,100.5,100,100.5,-1.47,5039,1012.8,5
2005-03-08 00:00:00+00,0,0,0,100.5,0,0,0,0
2005-03-09 00:00:00+00,101,101,101,101,0.5,193,38.99,3
2005-03-10 00:00:00+00,100,102,100,100,-0.99,347,69.52,7
2005-03-11 00:00:00+00,104.5,104.5,100,100,0,1043,209.65,6
2005-03-14 00:00:00+00,100,100,100,100,0,450,90,3
2005-03-15 00:00:00+00,99.1,100,99.1,100,0,655,131,6
2005-03-16 00:00:00+00,99,100,98.8,100,0,22,4.39,3
2005-03-17 00:00:00+00,100,100,96.8,97.5,-2.5,796,154.82,9
2005-03-18 00:00:00+00,0,0,0,97.5,0,0,0,0
2005-03-21 00:00:00+00,98,98.5,96.7,97,-0.51,706,137.28,15
2005-03-22 00:00:00+00,96.7,97.9,95,97.9,0.93,4348,851.03,11
2005-03-23 00:00:00+00,96.7,98,96.6,98,0.1,1066,207.79,7
2005-03-24 00:00:00+00,99.5,99.5,97.3,99.5,1.53,689,135.63,11
2005-03-29 00:00:00+00,99.7,100,99.7,100,0.5,500,99.96,7
2005-03-30 00:00:00+00,100,100,100,100,0,600,120,2
2005-03-31 00:00:00+00,101.5,101.5,100.5,100.5,0.5,1428,289.48,13
2005-04-01 00:00:00+00,100,102,100,100.5,0,276,55.74,4
2005-04-04 00:00:00+00,100,101,98.7,101,0.5,200,40.09,4
2005-04-05 00:00:00+00,102.5,102.5,102,102,0.99,110,22.45,5
2005-04-06 00:00:00+00,100,100,100,100,-1.96,159,31.8,3
2005-04-07 00:00:00+00,104,104,98.5,98.5,-1.5,7,1.43,2
2005-04-11 00:00:00+00,101.5,101.5,101.5,101.5,3.05,403,81.81,4
2005-04-12 00:00:00+00,0,0,0,101.5,0,0,0,0
2005-04-13 00:00:00+00,102,102,102,102,0.49,220,44.88,2
2005-04-14 00:00:00+00,103,103,100,100,-1.96,1710,351.06,8
2005-04-15 00:00:00+00,0,0,0,100,0,0,0,0
2005-04-18 00:00:00+00,0,0,0,100,0,0,0,0
2005-04-19 00:00:00+00,0,0,0,100,0,0,0,0
2005-04-20 00:00:00+00,99,99,99,99,-1,34000,6732,10
2005-04-21 00:00:00+00,99,99,99,99,0,283,56.03,3
2005-04-22 00:00:00+00,100,100,99,99,0,48220,9550.06,15
2005-04-25 00:00:00+00,99,99,98,99,0,47898,9483.3,7
2005-04-26 00:00:00+00,100,100,99,99,0,3200,633.66,7
2005-04-27 00:00:00+00,99,99,99,99,0,15250,3019.5,7
2005-04-28 00:00:00+00,99,99,99,99,0,16521,3271.16,9
2005-04-29 00:00:00+00,99,99,99,99,0,312,61.78,3
2005-05-02 00:00:00+00,0,0,0,99,0,0,0,0
2005-05-04 00:00:00+00,99,99,96.1,96.1,-2.93,130,25.48,5
2005-05-05 00:00:00+00,99,99,98.9,98.9,2.91,2650,524.3,5
2005-05-06 00:00:00+00,0,0,0,98.9,0,0,0,0
2005-05-09 00:00:00+00,99,99,99,99,0.1,1500,297,3
2005-05-10 00:00:00+00,99,99,99,99,0,110,21.78,1
2005-05-11 00:00:00+00,99,99,97.5,97.5,-1.52,1231,240.42,7
2005-05-12 00:00:00+00,0,0,0,97.5,0,0,0,0
2005-05-13 00:00:00+00,99,99,99,99,1.54,100,19.8,1
2005-05-16 00:00:00+00,99,99,99,99,0,100,19.8,2
2005-05-17 00:00:00+00,97.3,99,97.2,99,0,250,49.05,5
2005-05-18 00:00:00+00,99,99,97,99,0,1905,370.65,8
2005-05-19 00:00:00+00,99,100,99,100,1.01,20015,4000.83,6
2005-05-20 00:00:00+00,101,107.5,98.6,102,2,602,124.79,20
2005-05-23 00:00:00+00,100.5,101,99,101,-0.98,35409,7012.27,12
2005-05-24 00:00:00+00,102,102,101.5,102,0.99,49,9.97,3
2005-05-25 00:00:00+00,99,101,99,101,-0.98,10210,2022.4,6
2005-05-27 00:00:00+00,101,101,101,101,0,100,20.2,1
2005-05-30 00:00:00+00,101,101,101,101,0,301,60.8,3
2005-05-31 00:00:00+00,0,0,0,101,0,0,0,0
2005-06-01 00:00:00+00,100,101,100,101,0,325,65.64,4
2005-06-02 00:00:00+00,0,0,0,101,0,0,0,0
2005-06-03 00:00:00+00,0,0,0,101,0,0,0,0
2005-06-06 00:00:00+00,103,103,99,99,-1.98,85227,16973.4,26
2005-06-07 00:00:00+00,100,100.5,99,99.9,0.91,11881,2353.22,15
2005-06-08 00:00:00+00,99,101,99,101,1.1,27866,5519.78,13
2005-06-09 00:00:00+00,0,0,0,101,0,0,0,0
2005-06-10 00:00:00+00,101,101,99.2,100,-0.99,20500,4100.27,11
2005-06-13 00:00:00+00,100,101,100,101,1,64,12.9,3
2005-06-14 00:00:00+00,101,101,101,101,0,350,70.7,2
2005-06-15 00:00:00+00,100,100,100,100,-0.99,30117,6023.4,4
2005-06-16 00:00:00+00,100,100,98.4,100,0,5016,1003.18,3
2005-06-17 00:00:00+00,99,101,99,101,1,2476,499.39,19
2005-06-20 00:00:00+00,100,100,100,100,-0.99,50,10,1
2005-06-21 00:00:00+00,0,0,0,100,0,0,0,0
2005-06-22 00:00:00+00,100,100,100,100,0,775,155,1
2005-06-23 00:00:00+00,101,101,100,100,0,7004,1400.81,3
2005-06-24 00:00:00+00,0,0,0,100,0,0,0,0
2005-06-27 00:00:00+00,0,0,0,100,0,0,0,0
2005-06-28 00:00:00+00,101,101,101,101,1,3700,747.4,2
2005-06-29 00:00:00+00,101,101,101,101,0,600,121.2,3
2005-06-30 00:00:00+00,0,0,0,101,0,0,0,0
2005-07-01 00:00:00+00,101,101,101,101,0,3,0.61,1
2005-07-04 00:00:00+00,102.5,102.5,101,101,0,1156,233.81,4
2005-07-05 00:00:00+00,102.5,102.5,102,102,0.99,15575,3177.31,7
2005-07-06 00:00:00+00,103,103,103,103,0.98,10,2.06,1
2005-07-07 00:00:00+00,103,103,100,100,-2.91,1691,346.44,7
2005-07-08 00:00:00+00,101.5,102,101.5,102,2,600,122.3,4
2005-07-11 00:00:00+00,102,102,102,102,0,250,51,3
2005-07-12 00:00:00+00,103,103,101,102.5,0.49,1221,250.53,8
2005-07-13 00:00:00+00,103.5,104,102.5,102.5,0,1400,290.43,4
