date,open,high,low,close,difference,volume,turnover,transactions
2005-08-17 00:00:00+00,9.25,9.6,8.75,9.2,0,5371,97.72,34
2005-08-18 00:00:00+00,9.4,9.4,9.1,9.1,-1.09,1352,24.86,3
2005-08-19 00:00:00+00,8.9,9.4,8.9,9.3,2.2,1451,26.69,10
2005-08-22 00:00:00+00,9.3,9.45,9.15,9.4,1.08,1167,21.5,10
2005-08-23 00:00:00+00,9.45,9.45,9.45,9.45,0.53,10,0.19,1
2005-08-24 00:00:00+00,9.4,10.3,9.4,10.1,6.88,5881,112.05,24
2005-08-25 00:00:00+00,10.1,10.1,9.45,9.6,-4.95,8735,168.08,41
2005-08-26 00:00:00+00,9.6,10,9.6,9.85,2.6,3575,69.99,19
2005-08-29 00:00:00+00,9.65,9.8,9.55,9.55,-3.05,3186,60.97,10
2005-08-30 00:00:00+00,9.55,9.6,9.55,9.6,0.52,2005,38.4,3
2005-08-31 00:00:00+00,9.55,9.55,9.55,9.55,-0.52,200,3.82,1
2005-09-01 00:00:00+00,9.75,9.75,9.55,9.55,0,873,16.83,3
2005-09-02 00:00:00+00,9.55,9.6,8.8,9.6,0.52,316,5.94,10
2005-09-05 00:00:00+00,9.6,9.6,9.6,9.6,0,360,6.91,2
2005-09-06 00:00:00+00,9.55,9.55,9.55,9.55,-0.52,21645,413.42,19
2005-09-07 00:00:00+00,9.35,9.6,9.35,9.4,-1.57,912,17.32,7
2005-09-08 00:00:00+00,9.35,9.35,9.35,9.35,-0.53,326,6.1,3
2005-09-09 00:00:00+00,9.4,9.4,9.2,9.4,0.53,128037,2356.18,9
2005-09-12 00:00:00+00,9.2,9.4,9.2,9.4,0,377,6.94,2
2005-09-13 00:00:00+00,9.2,9.2,9.2,9.2,-2.13,150,2.76,2
2005-09-14 00:00:00+00,9.2,9.2,9.2,9.2,0,501,9.22,5
2005-09-15 00:00:00+00,9.2,9.2,9.2,9.2,0,737,13.56,3
2005-09-16 00:00:00+00,0,0,0,9.2,0,0,0,0
2005-09-19 00:00:00+00,9.4,9.4,9.2,9.2,0,1301,23.94,3
2005-09-20 00:00:00+00,9.35,9.35,9.2,9.2,0,2349,43.59,5
2005-09-21 00:00:00+00,9.2,9.25,9.2,9.2,0,7301,134.41,11
2005-09-22 00:00:00+00,9.3,9.3,9.25,9.3,1.09,566,10.52,3
2005-09-23 00:00:00+00,9.3,9.3,9.3,9.3,0,4648,86.45,5
2005-09-26 00:00:00+00,0,0,0,9.3,0,0,0,0
2005-09-27 00:00:00+00,9.1,9.2,9.1,9.2,-1.08,5946,109.13,12
2005-09-28 00:00:00+00,9.3,9.4,9.25,9.25,0.54,4161,78.05,10
2005-09-29 00:00:00+00,9.2,9.2,9.2,9.2,-0.54,374,6.88,3
2005-09-30 00:00:00+00,9.2,9.2,9.2,9.2,0,551,10.14,2
2005-10-03 00:00:00+00,9.05,9.05,9.05,9.05,-1.63,339,6.14,2
2005-10-04 00:00:00+00,9.05,9.25,9.05,9.1,0.55,2550,46.71,4
2005-10-05 00:00:00+00,9.3,9.4,9.25,9.4,3.3,817,15.35,4
2005-10-06 00:00:00+00,9.4,9.5,9.2,9.5,1.06,1081,19.98,4
2005-10-07 00:00:00+00,9.3,9.3,9.05,9.05,-4.74,957,17.75,2
2005-10-10 00:00:00+00,9.05,9.25,9.05,9.25,2.21,1103,20.3,3
2005-10-11 00:00:00+00,9.05,9.05,9.05,9.05,-2.16,1300,23.53,2
2005-10-12 00:00:00+00,0,0,0,9.05,0,0,0,0
2005-10-13 00:00:00+00,9.1,9.3,9.1,9.3,2.76,550,10.21,2
2005-10-14 00:00:00+00,9.3,9.4,9.3,9.4,1.08,546,10.2,5
2005-10-17 00:00:00+00,9.4,9.4,9.35,9.4,0,1083,20.34,3
2005-10-18 00:00:00+00,0,0,0,9.4,0,0,0,0
2005-10-19 00:00:00+00,0,0,0,9.4,0,0,0,0
2005-10-20 00:00:00+00,9.4,10,9.4,9.5,1.06,8366,160.2,22
2005-10-21 00:00:00+00,9.7,9.95,9.4,9.95,4.74,3571,69.06,12
2005-10-24 00:00:00+00,9.75,10.6,9.55,10,0.5,3702,72.64,9
2005-10-25 00:00:00+00,9.8,10,9.8,10,0,500,9.88,2
2005-10-26 00:00:00+00,9.8,9.8,9.7,9.7,-3,1188,23.1,6
2005-10-27 00:00:00+00,9.9,10.5,9.6,9.6,-1.03,1617,32.49,7
2005-10-28 00:00:00+00,9.8,11.9,9.8,10.85,13.02,35916,802.42,174
2005-10-31 00:00:00+00,11,12.2,10.6,10.85,0,22506,499.56,115
2005-11-02 00:00:00+00,10.8,11.05,10.35,10.7,-1.38,7150,153.74,45
2005-11-03 00:00:00+00,10.6,10.9,10.05,10.85,1.4,3456,72.51,25
2005-11-04 00:00:00+00,10.7,10.95,10,10.35,-4.61,8040,169.26,45
2005-11-07 00:00:00+00,10.6,10.85,10.2,10.2,-1.45,2146,44.99,10
2005-11-08 00:00:00+00,10.25,10.85,10.05,10.85,6.37,2912,60.33,15
2005-11-09 00:00:00+00,10.6,10.85,10.35,10.6,-2.3,2666,56.44,15
2005-11-10 00:00:00+00,10.4,10.6,10.3,10.6,0,4042,85.67,13
2005-11-14 00:00:00+00,10.8,10.8,10.4,10.4,-1.89,665,14.05,8
2005-11-15 00:00:00+00,10.6,11.45,10.6,11,5.77,4407,95.67,23
2005-11-16 00:00:00+00,11,11.2,10.45,10.45,-5,4103,88.17,19
2005-11-17 00:00:00+00,10.7,11.2,10.55,10.6,1.44,3879,83.63,14
2005-11-18 00:00:00+00,10.5,11.3,10.35,10.9,2.83,6200,134.51,19
