date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,2.55,2.72,2.5,2.62,2.75,61676,323.36,88
2005-01-04 00:00:00+00,2.66,2.66,2.56,2.58,-1.53,21312,112.06,36
2005-01-05 00:00:00+00,2.61,2.61,2.45,2.45,-5.04,11997,60.33,36
2005-01-06 00:00:00+00,2.38,2.55,2.3,2.53,3.27,34927,170.06,57
2005-01-07 00:00:00+00,2.53,2.6,2.46,2.5,-1.19,25564,130.98,65
2005-01-10 00:00:00+00,2.48,2.48,2.33,2.43,-2.8,25061,120.74,57
2005-01-11 00:00:00+00,2.51,2.51,2.33,2.34,-3.7,13394,63.24,31
2005-01-12 00:00:00+00,2.45,2.46,2.35,2.45,4.7,12123,58.19,27
2005-01-13 00:00:00+00,2.5,2.65,2.36,2.56,4.49,65380,326.7,97
2005-01-14 00:00:00+00,2.56,2.6,2.52,2.52,-1.56,6940,35.42,20
2005-01-17 00:00:00+00,2.53,2.59,2.45,2.58,2.38,13666,69.67,28
2005-01-18 00:00:00+00,2.58,3.15,2.58,3.06,18.6,165167,966.19,224
2005-01-19 00:00:00+00,3.05,3.25,2.85,3.2,4.58,53971,329.88,96
2005-01-20 00:00:00+00,3.2,3.47,2.97,3.1,-3.13,125083,807.97,269
2005-01-21 00:00:00+00,3.11,3.47,3.11,3.37,8.71,99482,659.1,219
2005-01-24 00:00:00+00,3.45,3.6,3.25,3.37,0,176779,1207.57,239
2005-01-25 00:00:00+00,3.37,3.45,3.3,3.43,1.78,50132,339.52,90
2005-01-26 00:00:00+00,3.5,3.75,3.5,3.73,8.75,81345,595.44,166
2005-01-27 00:00:00+00,3.81,4.58,3.81,4.29,15.01,180299,1538.62,416
2005-01-28 00:00:00+00,4.5,5,4.49,4.88,13.75,260416,2532.95,521
2005-01-31 00:00:00+00,4.87,4.87,3.73,4,-18.03,773900,6364.85,1095
2005-02-01 00:00:00+00,4.1,4.37,4.1,4.24,6,259917,2223.58,379
2005-02-02 00:00:00+00,4.55,4.55,4.3,4.31,1.65,150123,1327.8,216
2005-02-03 00:00:00+00,4.4,4.4,4.1,4.22,-2.09,81063,677.32,143
2005-02-04 00:00:00+00,4.1,4.46,3.95,4.46,5.69,198055,1662.44,351
2005-02-07 00:00:00+00,4.53,4.56,4.28,4.35,-2.47,88578,789.86,168
2005-02-08 00:00:00+00,4.36,4.44,4,4.09,-5.98,128513,1053.93,234
2005-02-09 00:00:00+00,4.09,4.13,4,4.02,-1.71,65363,527.72,110
2005-02-10 00:00:00+00,3.98,3.98,3.63,3.63,-9.7,124040,951.02,158
2005-02-11 00:00:00+00,3.59,3.59,3.3,3.39,-6.61,105153,721.97,172
2005-02-14 00:00:00+00,3.39,3.95,3.39,3.87,14.16,108937,824.05,244
2005-02-15 00:00:00+00,3.98,4.1,3.86,3.95,2.07,102612,822.84,165
2005-02-16 00:00:00+00,3.85,3.95,3.7,3.75,-5.06,79622,606.17,154
2005-02-17 00:00:00+00,3.9,3.9,3.64,3.64,-2.93,28463,214.7,72
2005-02-18 00:00:00+00,3.61,3.77,3.53,3.57,-1.92,42461,307.31,75
2005-02-21 00:00:00+00,3.5,3.78,3.5,3.55,-0.56,17431,124.6,38
2005-02-22 00:00:00+00,3.69,3.75,3.6,3.66,3.1,44110,324.68,91
2005-02-23 00:00:00+00,3.69,3.69,3.45,3.59,-1.91,79120,562.52,95
2005-02-24 00:00:00+00,3.62,3.62,3.44,3.52,-1.95,30164,210.67,57
2005-02-25 00:00:00+00,3.5,3.59,3.45,3.56,1.14,34715,244.35,63
2005-02-28 00:00:00+00,3.5,3.55,3.39,3.4,-4.49,42515,292.28,63
2005-03-01 00:00:00+00,3.3,3.71,3.3,3.5,2.94,93172,662.86,180
2005-03-02 00:00:00+00,3.55,3.6,3.45,3.59,2.57,22569,160.54,37
2005-03-03 00:00:00+00,3.59,3.59,3.45,3.51,-2.23,39837,279.43,37
2005-03-04 00:00:00+00,3.42,3.57,3.41,3.47,-1.14,15555,109.31,28
2005-03-07 00:00:00+00,3.45,3.58,3.43,3.5,0.86,12378,87.02,31
2005-03-08 00:00:00+00,3.54,3.54,3.45,3.47,-0.86,9501,66.25,18
2005-03-09 00:00:00+00,3.46,3.49,3.39,3.39,-2.31,18287,124.97,35
2005-03-10 00:00:00+00,3.35,3.43,3.3,3.43,1.18,23451,157.45,40
2005-03-11 00:00:00+00,3.4,3.45,3.36,3.45,0.58,10354,70.73,25
2005-03-14 00:00:00+00,3.21,3.49,3.21,3.43,-0.58,12792,87.6,30
2005-03-15 00:00:00+00,3.4,3.55,3.4,3.55,3.5,16482,114.86,39
2005-03-16 00:00:00+00,3.58,3.58,3.43,3.43,-3.38,16887,116.92,29
2005-03-17 00:00:00+00,3.38,3.4,3.36,3.4,-0.87,9408,63.6,20
2005-03-18 00:00:00+00,3.3,3.42,3.3,3.42,0.59,5426,36.29,14
2005-03-21 00:00:00+00,3.42,3.42,3.3,3.4,-0.58,4625,31.03,13
2005-03-22 00:00:00+00,3.3,3.32,3.28,3.3,-2.94,9236,60.87,22
2005-03-23 00:00:00+00,3.2,3.36,3.12,3.3,0,4244,27.19,13
2005-03-24 00:00:00+00,3.34,3.34,3.22,3.33,0.91,7041,46.12,16
2005-03-29 00:00:00+00,3.27,3.36,3.27,3.36,0.9,7645,50.09,7
2005-03-30 00:00:00+00,3.25,3.32,3.2,3.26,-2.98,15789,102.69,30
2005-03-31 00:00:00+00,3.25,3.27,3.2,3.27,0.31,10055,65.04,19
2005-04-01 00:00:00+00,3.27,3.27,3.18,3.18,-2.75,12092,77.41,23
2005-04-04 00:00:00+00,3.15,3.15,2.95,3.02,-5.03,62197,378.36,86
2005-04-05 00:00:00+00,3,3.01,2.91,2.95,-2.32,20919,124.27,38
2005-04-06 00:00:00+00,2.95,2.95,2.83,2.9,-1.69,14193,82.29,38
2005-04-07 00:00:00+00,2.9,2.92,2.9,2.9,0,5629,32.71,16
2005-04-11 00:00:00+00,2.86,2.9,2.8,2.85,-1.72,14218,80.95,24
2005-04-12 00:00:00+00,2.8,2.8,2.65,2.65,-7.02,11741,63.03,38
2005-04-13 00:00:00+00,2.63,2.66,2.49,2.65,0,47262,240.37,78
2005-04-14 00:00:00+00,2.56,2.69,2.5,2.67,0.75,38316,198.2,67
2005-04-15 00:00:00+00,2.58,2.63,2.56,2.63,-1.5,11172,57.52,16
2005-04-18 00:00:00+00,2.56,2.56,2.38,2.49,-5.32,86782,423.32,109
2005-04-19 00:00:00+00,2.49,2.64,2.42,2.6,4.42,17883,91.44,24
2005-04-20 00:00:00+00,2.59,2.6,2.5,2.5,-3.85,16172,83.14,26
2005-04-21 00:00:00+00,2.58,2.6,2.52,2.52,0.8,6196,32.05,10
2005-04-22 00:00:00+00,2.6,3.2,2.6,3.2,26.98,119097,694.64,229
2005-04-25 00:00:00+00,3.24,3.57,3.05,3.24,1.25,182463,1243.74,373
2005-04-26 00:00:00+00,3.27,3.45,3.11,3.18,-1.85,74650,493.18,153
2005-04-27 00:00:00+00,3.15,3.15,2.91,2.94,-7.55,52329,315.06,139
2005-04-28 00:00:00+00,2.94,3.06,2.88,2.95,0.34,30711,182.15,70
2005-04-29 00:00:00+00,2.95,3.01,2.85,2.9,-1.69,16836,98.34,36
2005-05-02 00:00:00+00,2.99,3,2.9,2.98,2.76,1948,11.63,8
2005-05-04 00:00:00+00,2.92,2.92,2.9,2.92,-2.01,10733,62.55,18
2005-05-05 00:00:00+00,2.88,3.35,2.88,3.16,8.22,52030,330.81,130
2005-05-06 00:00:00+00,3.16,3.16,2.95,2.99,-5.38,14919,90.36,39
2005-05-09 00:00:00+00,3.1,3.24,3.08,3.14,5.02,25006,158.47,70
2005-05-10 00:00:00+00,3.19,3.19,3.02,3.02,-3.82,5149,31.85,14
2005-05-11 00:00:00+00,3,3.12,3,3.01,-0.33,4896,29.61,13
2005-05-12 00:00:00+00,3.1,3.22,2.95,3.17,5.32,31759,198.74,44
2005-05-13 00:00:00+00,3.07,3.14,3.05,3.05,-3.79,5781,35.51,23
2005-05-16 00:00:00+00,3.17,3.17,3,3.01,-1.31,6329,38.35,19
2005-05-17 00:00:00+00,3,3.06,2.95,3.02,0.33,7174,42.62,14
2005-05-18 00:00:00+00,2.91,3,2.86,3,-0.66,17713,103.63,31
2005-05-19 00:00:00+00,3.05,3.05,3.05,3.05,1.67,540,3.29,4
2005-05-20 00:00:00+00,3.03,3.09,2.95,3.09,1.31,10566,62.9,26
2005-05-23 00:00:00+00,3.09,3.19,2.95,3.04,-1.62,23737,147.82,43
2005-05-24 00:00:00+00,2.97,3.05,2.95,2.98,-1.97,21742,129.66,48
2005-05-25 00:00:00+00,3.03,3.05,2.91,2.97,-0.34,17855,105.86,27
2005-05-27 00:00:00+00,2.92,3.03,2.92,3.03,2.02,26935,161.83,62
2005-05-30 00:00:00+00,3.05,3.15,3,3,-0.99,23441,143.56,42
2005-05-31 00:00:00+00,3.02,3.1,3.02,3.03,1,9014,54.94,22
2005-06-01 00:00:00+00,3.11,3.22,3.1,3.15,3.96,76157,482.77,113
2005-06-02 00:00:00+00,3.19,3.2,3.15,3.15,0,25541,162,35
2005-06-03 00:00:00+00,3.1,3.15,3.08,3.08,-2.22,3709,22.95,8
2005-06-06 00:00:00+00,3.13,3.13,3.07,3.08,0,8794,54.36,20
2005-06-07 00:00:00+00,3.08,3.1,3.03,3.08,0,10334,63.24,19
2005-06-08 00:00:00+00,3.1,3.16,3.02,3.15,2.27,4601,28.59,12
2005-06-09 00:00:00+00,3.06,3.16,3.03,3.15,0,15686,97.4,26
2005-06-10 00:00:00+00,3.15,3.19,3.09,3.11,-1.27,28803,181.6,37
2005-06-13 00:00:00+00,3.35,3.55,3.35,3.47,11.58,211229,1457.64,281
2005-06-14 00:00:00+00,3.55,3.68,3.21,3.21,-7.49,104429,725.42,178
2005-06-15 00:00:00+00,3.19,3.31,3.18,3.2,-0.31,25968,169.43,46
2005-06-16 00:00:00+00,3.15,3.18,3.06,3.15,-1.56,29968,186.06,60
2005-06-17 00:00:00+00,3.2,3.23,3.07,3.14,-0.32,29698,187.1,34
2005-06-20 00:00:00+00,3.1,3.19,3.07,3.19,1.59,15089,94.5,15
2005-06-21 00:00:00+00,3.18,3.18,3.13,3.15,-1.25,13377,84.45,18
2005-06-22 00:00:00+00,3.19,3.19,3.08,3.08,-2.22,13290,82.21,23
2005-06-23 00:00:00+00,3.08,3.13,3.06,3.13,1.62,5663,34.88,14
2005-06-24 00:00:00+00,3.1,3.16,3.1,3.12,-0.32,4122,25.72,14
2005-06-27 00:00:00+00,3.07,3.13,3.07,3.07,-1.6,5091,31.41,12
2005-06-28 00:00:00+00,3.1,3.25,3.1,3.16,2.93,17442,110.56,42
2005-06-29 00:00:00+00,3.25,3.25,3.11,3.13,-0.95,5115,32.94,17
2005-06-30 00:00:00+00,3.24,3.24,3.16,3.22,2.88,16176,103.86,31
2005-07-01 00:00:00+00,3.2,3.28,3.14,3.25,0.93,13596,88.01,21
2005-07-04 00:00:00+00,3.25,3.31,3.2,3.25,0,19806,129.98,42
2005-07-05 00:00:00+00,3.2,3.24,3.2,3.24,-0.31,9060,58.16,17
2005-07-06 00:00:00+00,3.2,3.37,3.2,3.25,0.31,6414,41.18,13
