date,open,high,low,close,difference,volume,turnover,transactions
2009-01-30 00:00:00+00,11.3,11.35,11.11,11.28,-1.05,3339,74.79,23
2009-02-02 00:00:00+00,11.3,11.3,11.01,11.02,-2.3,9183,203.12,64
2009-02-03 00:00:00+00,11.01,11.05,10.5,10.72,-2.72,192229,4117.5,110
2009-02-04 00:00:00+00,10.6,11.2,10.4,11.2,4.48,316636,6729.02,88
2009-02-05 00:00:00+00,11.22,12.88,11.06,12.53,11.88,22644,551.5,129
2009-02-06 00:00:00+00,13.01,14,13.01,13.89,10.85,36291,985.47,174
2009-02-09 00:00:00+00,14,14.5,13.99,14.5,4.39,60485,1728.82,141
2009-02-10 00:00:00+00,14.5,14.69,14.03,14.5,0,30388,872.5,100
2009-02-11 00:00:00+00,14.3,14.45,14,14.02,-3.31,61170,1730.75,55
2009-02-12 00:00:00+00,14,14.25,13.72,14.1,0.57,10310,289.6,45
2009-02-13 00:00:00+00,14,14.5,14,14.45,2.48,13987,402.42,62
2009-02-16 00:00:00+00,14.49,14.89,14.49,14.7,1.73,62127,1805.59,85
2009-02-17 00:00:00+00,14.55,14.55,13.55,14,-4.76,30205,859.95,61
2009-02-18 00:00:00+00,13.65,14,13.47,13.9,-0.71,43377,1195.93,86
2009-02-19 00:00:00+00,14,14.2,13.8,14,0.72,56578,1584.22,31
2009-02-20 00:00:00+00,14.1,14.1,13.8,14,0,64434,1804.46,26
2009-02-23 00:00:00+00,13.8,14.01,13.8,13.86,-1,100923,2827.82,11
2009-02-24 00:00:00+00,13.9,14,13.86,14,1.01,5431,151.7,14
2009-02-25 00:00:00+00,14,14.4,14,14.4,2.86,17059,486.65,37
2009-02-26 00:00:00+00,14.4,14.5,14.2,14.5,0.69,10081,290.06,37
2009-02-27 00:00:00+00,14.25,14.8,14.25,14.7,1.38,10842,317.53,53
2009-03-02 00:00:00+00,14.65,14.65,14.15,14.34,-2.45,8127,232.47,35
2009-03-03 00:00:00+00,14.14,14.14,13.92,14.05,-2.02,7977,224.03,28
2009-03-04 00:00:00+00,14.3,14.3,14,14.23,1.28,4190,118.19,30
2009-03-05 00:00:00+00,14.01,14.23,13.8,13.96,-1.9,3075,85.88,25
2009-03-06 00:00:00+00,14,14.5,14,14.44,3.44,5398,153.78,21
2009-03-09 00:00:00+00,14.31,14.49,14.29,14.39,-0.35,1778,50.88,17
2009-03-10 00:00:00+00,14.4,14.7,14.39,14.7,2.15,8578,249.63,29
2009-03-11 00:00:00+00,14.69,14.95,14.65,14.75,0.34,14137,418.12,43
2009-03-12 00:00:00+00,14.8,14.8,14.5,14.74,-0.07,6405,186.94,24
2009-03-13 00:00:00+00,14.75,14.85,14,14,-5.02,5877,170.02,44
2009-03-16 00:00:00+00,14.15,14.56,14.15,14.3,2.14,1708,48.65,17
2009-03-17 00:00:00+00,14.2,14.6,14.2,14.5,1.4,4077,117.44,24
2009-03-18 00:00:00+00,14.59,14.59,14.21,14.55,0.34,3244,92.96,16
2009-03-19 00:00:00+00,14.58,14.58,14.22,14.5,-0.34,6479,185.74,29
2009-03-20 00:00:00+00,14.5,14.5,14.2,14.49,-0.07,3275,93.97,23
2009-03-23 00:00:00+00,14.49,14.49,14.21,14.39,-0.69,6268,179.53,42
2009-03-24 00:00:00+00,14.49,14.49,14.1,14.2,-1.32,8707,246.68,40
2009-03-25 00:00:00+00,14.21,14.4,13.95,14.4,1.41,21763,619.42,80
2009-03-26 00:00:00+00,14.3,14.4,14.2,14.4,0,8832,251.99,42
2009-03-27 00:00:00+00,14.3,14.38,14,14.3,-0.69,57671,1631.19,49
2009-03-30 00:00:00+00,14.38,14.38,14.07,14.19,-0.77,29164,826.14,42
2009-03-31 00:00:00+00,14.11,14.28,14.11,14.25,0.42,940,26.69,15
2009-04-01 00:00:00+00,14.35,14.35,13.95,14.19,-0.42,9242,259.84,31
2009-04-02 00:00:00+00,14.2,14.88,14.11,14.88,4.86,36729,1065.81,115
2009-04-03 00:00:00+00,14.83,15.1,14.73,15,0.81,57097,1699.64,105
2009-04-06 00:00:00+00,15.1,15.7,15.07,15.4,2.67,48480,1492.76,163
2009-04-07 00:00:00+00,15.3,15.3,14.86,15,-2.6,14120,424.03,37
2009-04-08 00:00:00+00,14.85,15.6,14.85,15.55,3.67,77165,2378.72,99
2009-04-09 00:00:00+00,15.4,15.86,15.3,15.86,1.99,60760,1899.21,129
2009-04-14 00:00:00+00,15.86,15.98,15.68,15.7,-1.01,35147,1110.73,98
2009-04-15 00:00:00+00,15.7,15.7,15.4,15.5,-1.27,80190,2486.03,64
2009-04-16 00:00:00+00,15.49,15.49,15.25,15.44,-0.39,17722,544.63,47
2009-04-17 00:00:00+00,15.4,15.4,15.15,15.3,-0.91,9584,291.93,47
2009-04-20 00:00:00+00,15.15,15.37,14.97,14.97,-2.16,16036,481.36,46
2009-04-21 00:00:00+00,14.8,15.1,14.8,15,0.2,16896,505.96,31
2009-04-22 00:00:00+00,15.18,15.35,15.06,15.3,2,13339,406.8,32
2009-04-23 00:00:00+00,15.3,15.5,15.3,15.5,1.31,20675,637.79,42
