date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,21.3,21.6,21.3,21.4,0.94,3794,162.7,41
2005-01-04 00:00:00+00,21.3,21.5,20.7,21.2,-0.93,2561,108.42,27
2005-01-05 00:00:00+00,21.3,21.3,20.6,21.1,-0.47,4774,198.99,27
2005-01-06 00:00:00+00,21.5,21.5,20.9,21,-0.47,773,32.93,7
2005-01-07 00:00:00+00,20.6,22.7,20.6,22.2,5.71,20501,903.22,107
2005-01-10 00:00:00+00,22.5,23.5,22.5,22.7,2.25,18911,869.58,108
2005-01-11 00:00:00+00,22.6,22.8,22.3,22.8,0.44,3831,173.55,18
2005-01-12 00:00:00+00,22.6,23.1,22,22.9,0.44,4157,186.7,30
2005-01-13 00:00:00+00,22.5,23.2,22.4,23.2,1.31,4491,205.02,29
2005-01-14 00:00:00+00,23.1,26.7,23.1,26.1,12.5,29848,1502.51,237
2005-01-17 00:00:00+00,27,27.5,25.2,25.3,-3.07,36900,1956.64,219
2005-01-18 00:00:00+00,25.6,25.6,24.1,24.8,-1.98,9454,465.29,71
2005-01-19 00:00:00+00,24.2,25.8,24.2,25,0.81,6675,330.4,53
2005-01-20 00:00:00+00,25,25.7,24.6,25.6,2.4,4305,217.55,38
2005-01-21 00:00:00+00,25.8,25.8,24.7,25.7,0.39,3783,191.14,48
2005-01-24 00:00:00+00,26,28.5,26,27.9,8.56,27913,1545.85,203
2005-01-25 00:00:00+00,28.1,29.3,28,29.2,4.66,27059,1543.16,155
2005-01-26 00:00:00+00,29.5,30.6,29.3,30.6,4.79,24910,1504.25,190
2005-01-27 00:00:00+00,30.3,30.5,29.1,29.6,-3.27,16793,1003.83,126
2005-01-28 00:00:00+00,29.1,29.9,29.1,29.7,0.34,5501,323.81,65
2005-01-31 00:00:00+00,29.6,29.9,29,29.1,-2.02,7746,454.59,59
2005-02-01 00:00:00+00,29,30,28.5,29.9,2.75,15696,912.64,88
2005-02-02 00:00:00+00,30.7,33.1,30.5,33,10.37,19854,1272.41,200
2005-02-03 00:00:00+00,32.7,33.2,31.6,32.9,-0.3,12555,819.55,110
2005-02-04 00:00:00+00,32.8,33,32,32.3,-1.82,13700,890.15,101
2005-02-07 00:00:00+00,32.8,37,31.1,35.5,9.91,33472,2299.55,311
2005-02-08 00:00:00+00,35,36,32.9,32.9,-7.32,17328,1212.55,173
2005-02-09 00:00:00+00,32,33.2,30.7,32.5,-1.22,23080,1469.1,199
2005-02-10 00:00:00+00,32.2,32.2,30,30.6,-5.85,25013,1556.97,172
2005-02-11 00:00:00+00,30.2,31.8,30.1,30.6,0,6010,369.39,77
2005-02-14 00:00:00+00,31.3,32.6,30.2,32.3,5.56,9825,624.21,82
2005-02-15 00:00:00+00,32.5,33.1,32,32.8,1.55,5239,341.68,54
2005-02-16 00:00:00+00,33.2,34.4,32.4,32.4,-1.22,9334,618.29,75
2005-02-17 00:00:00+00,33.2,33.2,30.8,30.9,-4.63,12918,810.15,125
2005-02-18 00:00:00+00,30.9,30.9,29,29.9,-3.24,8151,487.39,122
2005-02-21 00:00:00+00,29.6,29.6,27.9,28.5,-4.68,8522,486.02,103
2005-02-22 00:00:00+00,28.7,30.1,28.7,29.7,4.21,8295,488.52,74
2005-02-23 00:00:00+00,29.9,30.8,29.5,29.9,0.67,3843,230.9,54
2005-02-24 00:00:00+00,30,30.5,30,30.5,2.01,1087,65.29,16
2005-02-25 00:00:00+00,29.6,30.3,29,29.7,-2.62,3671,216.06,52
2005-02-28 00:00:00+00,29.3,29.3,28,28.5,-4.04,2446,138.85,28
2005-03-01 00:00:00+00,28.2,29.7,27.9,29.1,2.11,4842,278.14,47
2005-03-02 00:00:00+00,29.2,29.2,28.5,28.5,-2.06,1320,76.25,15
2005-03-03 00:00:00+00,29,29,27.3,28.2,-1.05,5009,279.93,35
2005-03-04 00:00:00+00,28.1,28.8,28.1,28.8,2.13,828,47.29,21
2005-03-07 00:00:00+00,28.5,28.5,27.4,27.9,-3.13,2643,147.34,39
2005-03-08 00:00:00+00,27.4,27.4,25.1,25.7,-7.89,14958,777.08,137
2005-03-09 00:00:00+00,25.5,26.6,24.7,26.2,1.95,10118,518.56,112
2005-03-10 00:00:00+00,26.4,26.4,25.5,25.5,-2.67,3531,182.47,44
2005-03-11 00:00:00+00,25.2,26.3,25.2,25.6,0.39,1407,72.89,24
2005-03-14 00:00:00+00,25.2,25.2,24.1,24.6,-3.91,2709,133.77,36
2005-03-15 00:00:00+00,24.6,25,24,25,1.63,4166,206.67,41
2005-03-16 00:00:00+00,25,25,24.3,24.7,-1.2,2071,101.26,23
2005-03-17 00:00:00+00,24,24.7,24,24.7,0,3109,151.42,19
2005-03-18 00:00:00+00,24.8,25.5,24.8,25.4,2.83,2034,102.73,24
2005-03-21 00:00:00+00,25.8,26.2,25.4,25.8,1.57,1832,94.76,25
