date,open,high,low,close,difference,volume,turnover,transactions
2007-12-07 00:00:00+00,8.4,8.58,8.2,8.25,-1.9,14164,235.79,90
2007-12-10 00:00:00+00,8.35,8.62,8.26,8.26,0.12,25731,435.86,83
2007-12-11 00:00:00+00,8.21,8.45,7.83,8,-3.15,13707,221.63,53
2007-12-12 00:00:00+00,7.74,7.94,7.61,7.75,-3.13,39246,606.09,113
2007-12-13 00:00:00+00,7.75,9.01,7.65,8.5,9.68,163797,2803.29,437
2007-12-14 00:00:00+00,8.42,9.17,8.42,9.1,7.06,202123,3607.34,476
2007-12-17 00:00:00+00,9.1,9.67,8.7,8.95,-1.65,250088,4603.5,380
2007-12-18 00:00:00+00,8.88,9.3,8.4,9.16,2.35,98482,1737.55,280
2007-12-19 00:00:00+00,9.29,9.7,9,9.47,3.38,93991,1775.51,255
2007-12-20 00:00:00+00,9.5,9.5,8.8,9,-4.96,68948,1258.43,194
2007-12-21 00:00:00+00,9,9.3,8.42,9.2,2.22,114921,2022.66,176
2007-12-27 00:00:00+00,9,9.4,9,9.29,0.98,8538,157.28,57
2007-12-28 00:00:00+00,9.1,9.1,8.71,8.85,-4.74,17674,316.41,75
2008-01-02 00:00:00+00,8.7,8.7,8.13,8.4,-5.08,33410,567.4,106
2008-01-03 00:00:00+00,8.1,8.3,8,8.2,-2.38,27082,438.95,88
2008-01-04 00:00:00+00,8.11,8.24,7.88,7.95,-3.05,20890,334.01,71
2008-01-07 00:00:00+00,7.9,7.9,7.52,7.63,-4.03,23230,355.23,71
2008-01-08 00:00:00+00,7.73,7.85,7.63,7.63,0,16937,260.63,41
2008-01-09 00:00:00+00,7.75,7.75,6.98,7,-8.26,36013,515.23,97
2008-01-10 00:00:00+00,7.03,7.1,6.4,6.8,-2.86,12543,171.29,50
2008-01-11 00:00:00+00,7.1,7.1,6.43,6.85,0.74,9968,138.99,32
2008-01-14 00:00:00+00,6.53,7.12,6.27,6.27,-8.47,22973,293.6,70
2008-01-15 00:00:00+00,6.3,6.84,6.09,6.1,-2.71,16887,221.05,70
2008-01-16 00:00:00+00,5.99,6.1,5.51,6.02,-1.31,32813,382.85,98
2008-01-17 00:00:00+00,6,6.6,6,6.3,4.65,9069,114.42,34
2008-01-18 00:00:00+00,6.21,7.2,6.21,7.15,13.49,34520,478.88,91
2008-01-21 00:00:00+00,7,7.55,6.71,7.17,0.28,49481,706.29,138
2008-01-22 00:00:00+00,6.62,7.16,6.5,6.99,-2.51,19967,275.9,78
2008-01-23 00:00:00+00,7.21,7.49,7.06,7.3,4.43,17965,263.77,51
2008-01-24 00:00:00+00,7.59,8.5,7.59,8.3,13.7,86755,1413.76,202
2008-01-25 00:00:00+00,8.7,8.85,8,8.26,-0.48,37105,619.92,135
2008-01-28 00:00:00+00,8,8,7.3,7.48,-9.44,24702,374.09,107
2008-01-29 00:00:00+00,7.68,7.88,7.05,7.11,-4.95,87919,1273.77,227
2008-01-30 00:00:00+00,7.11,7.25,6.51,6.68,-6.05,74526,997.82,247
2008-01-31 00:00:00+00,6.7,6.7,6.2,6.35,-4.94,57160,729.88,143
2008-02-01 00:00:00+00,6.3,6.3,6.01,6.13,-3.46,37604,459.75,140
2008-02-04 00:00:00+00,6.26,6.46,6.19,6.32,3.1,20772,262.89,84
2008-02-05 00:00:00+00,6.32,6.35,6.01,6.1,-3.48,22011,269.87,50
2008-02-06 00:00:00+00,5.87,6.3,5.85,6.01,-1.48,25829,307.24,89
2008-02-07 00:00:00+00,6,6.09,5.9,6.01,0,18581,222.65,60
2008-02-08 00:00:00+00,6.04,6.2,5.95,6.03,0.33,11138,134.23,42
2008-02-11 00:00:00+00,6.01,7,5.96,6.62,9.78,61562,807.67,221
2008-02-12 00:00:00+00,6.97,7.25,6.62,7.07,6.8,94974,1334.35,250
2008-02-13 00:00:00+00,7.2,7.5,7.05,7.34,3.82,50234,724.21,141
2008-02-14 00:00:00+00,7.4,7.76,7.23,7.55,2.86,32643,487.4,123
2008-02-15 00:00:00+00,7.4,7.4,7.07,7.07,-6.36,31300,450.52,79
2008-02-18 00:00:00+00,7.1,7.34,7.06,7.17,1.41,18223,261.31,51
2008-02-19 00:00:00+00,7.16,7.17,6.64,6.9,-3.77,23128,319.94,81
2008-02-20 00:00:00+00,6.8,7.29,6.75,7.12,3.19,24494,346.99,63
2008-02-21 00:00:00+00,7.5,7.59,7.21,7.5,5.34,26024,386.27,100
2008-02-22 00:00:00+00,7.22,7.44,7.1,7.36,-1.87,8447,122.16,47
2008-02-25 00:00:00+00,7.35,7.49,7.29,7.3,-0.82,6151,89.97,15
2008-02-26 00:00:00+00,7.4,7.7,7,7.19,-1.51,89944,1345.16,174
2008-02-27 00:00:00+00,7.2,7.2,6.71,6.75,-6.12,44443,608.74,109
2008-02-28 00:00:00+00,6.8,6.83,6.5,6.5,-3.7,23244,306.96,57
2008-02-29 00:00:00+00,6.75,6.75,6,6.01,-7.54,46742,569.32,156
2008-03-03 00:00:00+00,5.98,5.98,5.31,5.35,-10.98,25557,284.49,87
2008-03-04 00:00:00+00,5.6,5.88,4.83,5.19,-2.99,24185,253.97,90
2008-03-05 00:00:00+00,5.2,5.69,5.19,5.4,4.05,20082,215.5,54
2008-03-06 00:00:00+00,5.45,5.62,5.3,5.4,0,9284,101.22,40
2008-03-07 00:00:00+00,5.21,5.4,5.02,5.3,-1.85,883,9.05,7
2008-03-10 00:00:00+00,5.3,5.35,5.16,5.3,0,6199,64.7,16
2008-03-11 00:00:00+00,5.21,5.26,5.16,5.26,-0.75,7297,75.84,32
2008-03-12 00:00:00+00,5.25,5.27,5.19,5.26,0,8315,86.87,28
2008-03-13 00:00:00+00,5.25,5.25,5.09,5.15,-2.09,4814,49.5,16
2008-03-14 00:00:00+00,5.1,5.18,5.02,5.15,0,2731,27.96,13
2008-03-17 00:00:00+00,4.9,5.15,4.7,4.95,-3.88,4957,48.77,19
2008-03-18 00:00:00+00,4.9,4.9,4.69,4.81,-2.83,5195,49.37,18
2008-03-19 00:00:00+00,4.8,4.8,4.72,4.72,-1.87,5039,47.83,11
2008-03-20 00:00:00+00,4.72,5.06,4.6,4.9,3.81,15337,145.77,36
2008-03-25 00:00:00+00,5.01,5.24,5.01,5.08,3.67,5637,58.46,24
2008-03-26 00:00:00+00,5.2,5.2,5.1,5.15,1.38,2538,26.2,16
2008-03-27 00:00:00+00,5.08,5.15,5.05,5.05,-1.94,4666,47.6,20
2008-03-28 00:00:00+00,5.05,5.14,5,5.1,0.99,4124,41.89,20
2008-03-31 00:00:00+00,5.1,5.2,5.1,5.2,1.96,9315,95.25,9
2008-04-01 00:00:00+00,5.27,5.6,5.2,5.5,5.77,13195,141.73,52
2008-04-02 00:00:00+00,5.55,5.67,5.55,5.6,1.82,7298,81.66,21
2008-04-03 00:00:00+00,5.55,5.55,5.2,5.3,-5.36,2302,24.6,13
2008-04-04 00:00:00+00,5.4,5.55,5.32,5.49,3.58,26022,283.99,36
2008-04-07 00:00:00+00,5.4,5.46,5.3,5.4,-1.64,3240,35.15,12
2008-04-08 00:00:00+00,5.3,5.78,5.25,5.52,2.22,19191,212.33,68
2008-04-09 00:00:00+00,5.6,5.6,5.3,5.49,-0.54,3051,33.31,20
2008-04-10 00:00:00+00,5.27,5.4,5.18,5.2,-5.28,34296,360.63,87
2008-04-11 00:00:00+00,5.29,5.29,5.01,5.02,-3.46,30962,316.61,84
2008-04-14 00:00:00+00,5,5,4.89,4.94,-1.59,7666,75.72,25
2008-04-15 00:00:00+00,5.03,5.15,4.81,5,1.21,27693,272.04,61
2008-04-16 00:00:00+00,4.99,5.05,4.76,4.8,-4,13116,126.4,42
2008-04-17 00:00:00+00,4.85,4.9,4.64,4.75,-1.04,17208,164.28,37
2008-04-18 00:00:00+00,4.75,4.76,4.5,4.69,-1.26,16731,155.17,53
2008-04-21 00:00:00+00,4.65,4.68,4.31,4.31,-8.1,11059,99.35,46
2008-04-22 00:00:00+00,4.49,4.49,4,4,-7.19,32584,275.49,83
2008-04-23 00:00:00+00,4,4.05,3.85,3.95,-1.25,56634,447.26,120
2008-04-24 00:00:00+00,4.03,4.19,4,4.19,6.08,29547,240.29,83
2008-04-25 00:00:00+00,4.2,4.35,4.15,4.31,2.86,30521,258.86,80
2008-04-28 00:00:00+00,4.4,4.4,4.12,4.12,-4.41,8935,75.69,35
2008-04-29 00:00:00+00,4.3,4.3,4.12,4.22,2.43,22248,186.67,80
2008-04-30 00:00:00+00,4.15,4.21,4.13,4.15,-1.66,15041,124.91,46
2008-05-05 00:00:00+00,4.15,4.3,4.15,4.2,1.2,14225,120.91,60
2008-05-06 00:00:00+00,4.2,4.3,4.15,4.19,-0.24,11998,100.66,37
2008-05-07 00:00:00+00,4.05,4.48,4.05,4.48,6.92,26996,234.01,79
2008-05-08 00:00:00+00,4.44,4.46,4.22,4.39,-2.01,18062,157.49,53
2008-05-09 00:00:00+00,4.49,4.67,4.49,4.54,3.42,35530,324.32,93
2008-05-12 00:00:00+00,4.65,4.74,4.65,4.7,3.52,26454,248.32,63
2008-05-13 00:00:00+00,4.65,4.74,4.5,4.56,-2.98,26241,245.43,57
2008-05-14 00:00:00+00,4.63,4.86,4.6,4.7,3.07,31655,298.45,81
2008-05-15 00:00:00+00,4.6,4.68,4.43,4.43,-5.74,8266,74.79,34
2008-05-16 00:00:00+00,4.49,4.59,4.21,4.31,-2.71,14797,130.41,69
2008-05-19 00:00:00+00,4.44,4.55,4.21,4.33,0.46,14935,130.53,30
2008-05-20 00:00:00+00,4.38,4.38,4.21,4.37,0.92,7140,60.55,16
