date,open,high,low,close,difference,volume,turnover,transactions
2006-06-12 00:00:00+00,4.05,4.25,3.9,4,0,1200729,9787.5,812
2006-06-13 00:00:00+00,3.87,4.02,3.65,4.02,0.5,206356,1555.49,201
2006-06-14 00:00:00+00,3.99,4.01,3.95,4,-0.5,49355,394.52,59
2006-06-16 00:00:00+00,4.15,4.15,4.01,4.02,0.5,138191,1119.59,115
2006-06-19 00:00:00+00,4.02,4.02,3.84,4,-0.5,35848,285.99,53
2006-06-20 00:00:00+00,4,4,3.95,3.99,-0.25,17062,135.66,28
2006-06-21 00:00:00+00,3.96,3.98,3.9,3.97,-0.5,22134,174.66,31
2006-06-22 00:00:00+00,3.99,3.99,3.83,3.83,-3.53,21421,166.96,31
2006-06-23 00:00:00+00,3.85,3.95,3.71,3.74,-2.35,17815,135.38,26
2006-06-26 00:00:00+00,3.73,3.77,3.71,3.77,0.8,8139,60.81,14
2006-06-27 00:00:00+00,3.8,3.85,3.77,3.77,0,22212,169.22,47
2006-06-28 00:00:00+00,3.8,3.9,3.7,3.9,3.45,24656,184.51,33
2006-06-29 00:00:00+00,3.95,3.99,3.9,3.95,1.28,26342,207.8,31
2006-06-30 00:00:00+00,3.98,4,3.92,3.95,0,22825,180.79,23
2006-07-03 00:00:00+00,3.95,3.95,3.91,3.95,0,4526,35.64,8
2006-07-04 00:00:00+00,3.95,3.99,3.95,3.99,1.01,28369,226.07,26
2006-07-05 00:00:00+00,4,4.07,4,4.04,1.25,57443,462.13,40
2006-07-06 00:00:00+00,4.05,4.06,3.99,4.06,0.5,25439,205.76,22
2006-07-07 00:00:00+00,4.02,4.04,4,4.04,-0.49,11951,96.4,15
2006-07-10 00:00:00+00,4,4.04,4,4.02,-0.5,22244,178.48,41
2006-07-11 00:00:00+00,4.02,4.05,4.01,4.02,0,18614,150.11,12
2006-07-12 00:00:00+00,4.06,4.06,4,4,-0.5,15437,123.81,21
2006-07-13 00:00:00+00,4,4.03,3.99,4.03,0.75,8372,66.89,16
2006-07-14 00:00:00+00,4,4.03,3.96,4.03,0,15169,121.75,11
2006-07-17 00:00:00+00,4,4.04,4,4.03,0,71403,575.53,13
2006-07-18 00:00:00+00,4.03,4.03,4.03,4.03,0,100,0.81,1
2006-07-19 00:00:00+00,4.02,4.06,4,4.06,0.74,8753,70.8,12
2006-07-20 00:00:00+00,4.04,4.04,3.93,4.03,-0.74,3502,27.99,12
2006-07-21 00:00:00+00,4.05,4.05,3.99,3.99,-0.99,1663,13.31,6
2006-07-24 00:00:00+00,3.95,4.03,3.91,4.02,0.75,1911,15.24,10
2006-07-25 00:00:00+00,4.04,4.04,3.98,3.98,-1,9019,72.26,16
2006-07-26 00:00:00+00,3.96,4.04,3.9,4.03,1.26,60328,481.29,30
2006-07-27 00:00:00+00,4,4,3.9,4,-0.74,2800,22.26,6
2006-07-28 00:00:00+00,4,4,3.92,3.99,-0.25,1571,12.37,6
2006-07-31 00:00:00+00,4.01,4.02,3.99,4.01,0.5,38828,310.29,21
2006-08-01 00:00:00+00,4.04,4.2,4.03,4.05,1,102331,837.36,126
2006-08-02 00:00:00+00,4,4.07,3.92,4.04,-0.25,12858,102.91,21
2006-08-03 00:00:00+00,4.08,4.35,4.08,4.25,5.2,165905,1397.64,208
2006-08-04 00:00:00+00,4.35,4.74,4.35,4.74,11.53,132270,1191.39,211
2006-08-07 00:00:00+00,4.79,4.79,4.57,4.74,0,54738,514.94,123
2006-08-08 00:00:00+00,4.75,4.79,4.69,4.73,-0.21,44200,418.61,59
2006-08-09 00:00:00+00,4.66,5.3,4.6,5.1,7.82,151761,1497.98,240
2006-08-10 00:00:00+00,5.05,5.15,4.95,5.1,0,57412,579.41,101
2006-08-11 00:00:00+00,5.25,5.45,4.95,5.3,3.92,103782,1103.15,153
2006-08-14 00:00:00+00,5.35,5.4,5.05,5.3,0,55738,586.37,83
2006-08-16 00:00:00+00,5.3,5.3,5.2,5.3,0,12295,128.69,33
2006-08-17 00:00:00+00,5.3,5.4,5.2,5.35,0.94,26249,277.7,78
2006-08-18 00:00:00+00,5.35,5.45,5.2,5.35,0,238432,2529.47,111
2006-08-21 00:00:00+00,5.25,5.35,5.2,5.35,0,25945,274.89,44
2006-08-22 00:00:00+00,5.4,5.55,5.3,5.45,1.87,40038,436.38,59
2006-08-23 00:00:00+00,5.5,5.6,5.45,5.6,2.75,23574,261.34,59
2006-08-24 00:00:00+00,5.6,5.6,5.2,5.4,-3.57,43169,462.92,95
2006-08-25 00:00:00+00,5.25,5.5,5.2,5.45,0.93,33034,357.21,72
2006-08-28 00:00:00+00,5.45,5.5,5.3,5.5,0.92,17243,187.02,41
2006-08-29 00:00:00+00,5.5,6,5.4,5.9,7.27,75128,858.73,113
2006-08-30 00:00:00+00,5.9,6.95,5.9,6.5,10.17,67099,859.43,190
2006-08-31 00:00:00+00,6.7,6.9,6.35,6.5,0,48076,627.06,149
2006-09-01 00:00:00+00,6.5,6.52,6.21,6.34,-2.46,24050,303.16,97
2006-09-04 00:00:00+00,6.37,6.53,6.19,6.27,-1.1,19694,247.04,67
2006-09-05 00:00:00+00,6.3,6.47,6.3,6.41,2.23,21069,267.61,65
2006-09-06 00:00:00+00,6.48,6.69,6.48,6.51,1.56,140578,1855.58,196
2006-09-07 00:00:00+00,6.55,6.68,6.4,6.6,1.38,27503,354.86,75
2006-09-08 00:00:00+00,6.71,6.75,6.41,6.51,-1.36,29214,386.29,76
2006-09-11 00:00:00+00,6.32,6.48,6.32,6.41,-1.54,26876,344.13,56
2006-09-12 00:00:00+00,6.57,6.57,6.2,6.3,-1.72,19763,248,60
2006-09-13 00:00:00+00,6.12,6.2,6.12,6.2,-1.59,12963,159.78,40
2006-09-14 00:00:00+00,6.2,6.31,6.2,6.31,1.77,12452,155,28
2006-09-15 00:00:00+00,6.25,6.25,6.11,6.11,-3.17,10935,134.44,42
2006-09-18 00:00:00+00,6.11,6.3,5.86,5.88,-3.76,35697,425.91,81
2006-09-19 00:00:00+00,5.86,5.87,5.51,5.54,-5.78,37643,429.77,106
2006-09-20 00:00:00+00,5.54,5.65,5.54,5.59,0.9,23278,260.14,52
2006-09-21 00:00:00+00,5.59,5.9,5.59,5.8,3.76,13664,157.33,51
2006-09-22 00:00:00+00,5.8,5.8,5.69,5.8,0,11132,127.88,13
2006-09-25 00:00:00+00,5.8,6,5.6,5.8,0,29661,342.79,89
2006-09-26 00:00:00+00,6.14,6.14,5.8,6.08,4.83,33119,401.78,89
2006-09-27 00:00:00+00,6.2,6.2,5.91,5.99,-1.48,15675,189.44,61
2006-09-28 00:00:00+00,6,6.18,6,6.12,2.17,9944,121.75,27
2006-09-29 00:00:00+00,6.13,6.13,6.01,6.01,-1.8,9174,111.07,21
2006-10-02 00:00:00+00,6.01,6.14,6.01,6.07,1,3984,47.97,13
2006-10-03 00:00:00+00,6.07,6.07,5.82,6.04,-0.49,5454,65.21,20
2006-10-04 00:00:00+00,5.82,6.06,5.82,6.06,0.33,5720,68.45,14
