date,open,high,low,close,difference,volume,turnover,transactions
2010-12-29 00:00:00+00,18.26,18.72,18,18.08,0.44,41711,1534.77,207
2010-12-30 00:00:00+00,18.14,18.2,18,18.07,-0.06,14694,532.46,72
2010-12-31 00:00:00+00,18.07,18.07,17.2,18.05,-0.11,9630,346.36,66
2011-01-03 00:00:00+00,18.06,18.16,18,18.1,0.28,14635,263.84,63
2011-01-04 00:00:00+00,18.1,18.11,18,18.11,0.06,7305,131.93,37
2011-01-05 00:00:00+00,18.12,18.12,18,18.09,-0.11,6230,112.14,23
2011-01-07 00:00:00+00,18,18.07,17.37,18.07,-0.11,5286,95.07,25
2011-01-10 00:00:00+00,18.05,18.05,17.81,18.03,-0.22,4613,82.72,14
2011-01-11 00:00:00+00,18,18.09,17.99,18.05,0.11,3746,67.44,22
2011-01-12 00:00:00+00,18.05,18.3,18.05,18.28,1.27,6962,126.53,30
2011-01-13 00:00:00+00,18.29,18.29,18.06,18.24,-0.22,7932,144.39,42
2011-01-14 00:00:00+00,18.25,18.4,18.11,18.24,0,6281,113.89,14
2011-01-17 00:00:00+00,18.25,18.25,18.11,18.2,-0.22,1505,27.33,14
2011-01-18 00:00:00+00,18.22,18.22,18.15,18.21,0.05,2530,45.98,17
2011-01-19 00:00:00+00,18.21,18.21,18.15,18.2,-0.05,4713,85.61,24
2011-01-20 00:00:00+00,18.15,18.2,18.15,18.2,0,3313,60.17,24
2011-01-21 00:00:00+00,18.21,18.28,18.15,18.28,0.44,5933,107.94,27
2011-01-24 00:00:00+00,18.21,18.27,18.21,18.27,-0.05,2805,51.2,10
2011-01-25 00:00:00+00,18.27,18.27,18.1,18.14,-0.71,5045,91.5,10
2011-01-26 00:00:00+00,18.14,18.14,18.04,18.14,0,6564,119.06,14
2011-01-27 00:00:00+00,18.1,18.15,18.1,18.15,0.06,107,1.94,3
2011-01-28 00:00:00+00,18.01,18.2,18.01,18.19,0.22,1835,33.3,11
2011-01-31 00:00:00+00,18.19,18.19,18,18.19,0,1002,18.13,9
2011-02-01 00:00:00+00,18.18,18.18,18,18.15,-0.22,3212,58.34,14
2011-02-02 00:00:00+00,18.1,18.27,18,18.23,0.44,5435,98.93,27
2011-02-03 00:00:00+00,18.26,18.26,18.23,18.23,0,2,0.04,2
2011-02-04 00:00:00+00,18.23,18.23,18.1,18.22,-0.05,661,11.96,5
2011-02-07 00:00:00+00,18.1,18.2,18.05,18.2,-0.11,9602,173.79,12
2011-02-08 00:00:00+00,18.2,18.26,18,18.26,0.33,32955,599.51,21
2011-02-09 00:00:00+00,18.2,18.4,18,18.4,0.77,35753,654.18,21
2011-02-10 00:00:00+00,18.07,18.66,18.07,18.65,1.36,5836,108.21,24
2011-02-11 00:00:00+00,18.07,18.8,18.07,18.79,0.75,6867,128.36,27
2011-02-14 00:00:00+00,18.17,18.95,18.17,18.95,0.85,5643,106.64,28
2011-02-15 00:00:00+00,18.52,18.9,18.34,18.9,-0.26,6565,124.06,20
2011-02-16 00:00:00+00,18.9,19,18.64,19,0.53,8537,161.69,27
2011-02-17 00:00:00+00,19,19.5,19,19.45,2.37,3159,61.12,36
2011-02-18 00:00:00+00,19.5,19.89,19.38,19.69,1.23,3350,65.81,28
2011-02-21 00:00:00+00,19.86,19.86,19.29,19.69,0,30795,594.49,19
2011-02-22 00:00:00+00,19.4,19.79,19.4,19.75,0.3,31859,618.46,23
2011-02-23 00:00:00+00,19.31,19.84,19.3,19.78,0.15,27034,535.39,33
2011-02-24 00:00:00+00,19.22,19.78,19.22,19.68,-0.51,15647,309.32,12
2011-02-25 00:00:00+00,19.31,19.72,19.31,19.58,-0.51,11279,222.03,11
2011-02-28 00:00:00+00,19.72,19.72,19.24,19.58,0,519,10.09,10
2011-03-01 00:00:00+00,19.32,19.66,19.32,19.59,0.05,84,1.63,4
2011-03-02 00:00:00+00,19.57,19.57,19.21,19.49,-0.51,358,6.96,8
2011-03-03 00:00:00+00,18.41,19.11,18.15,18.79,-3.59,1245,22.97,18
2011-03-04 00:00:00+00,18.99,18.99,18.37,18.69,-0.53,364,6.73,12
2011-03-07 00:00:00+00,18.48,18.75,18.48,18.69,0,197,3.66,12
2011-03-08 00:00:00+00,18.68,18.78,18.31,18.64,-0.27,371,6.81,16
2011-03-09 00:00:00+00,18.77,18.77,18.26,18.59,-0.27,109,2,11
2011-03-10 00:00:00+00,18.59,18.59,18.11,18.45,-0.75,79,1.44,9
2011-03-11 00:00:00+00,18.1,18.44,18.1,18.44,-0.05,27,0.5,9
2011-03-14 00:00:00+00,18.43,18.44,18.4,18.44,0,23,0.42,5
2011-03-15 00:00:00+00,18.39,18.43,18.05,18.05,-2.11,817,14.95,16
2011-03-16 00:00:00+00,18.38,18.4,18.05,18.05,0,213,3.89,11
2011-03-17 00:00:00+00,18.4,18.4,18.02,18.02,-0.17,3,0.05,3
2011-03-18 00:00:00+00,18.4,18.4,18.02,18.02,0,85,1.53,5
2011-03-21 00:00:00+00,18.39,18.39,18.02,18.02,0,51,0.92,6
2011-03-22 00:00:00+00,18.39,18.39,18.1,18.1,0.44,45338,820.62,6
2011-03-23 00:00:00+00,18.39,18.39,18.02,18.39,1.6,1148,20.72,7
2011-03-24 00:00:00+00,18.39,18.39,18.1,18.1,-1.58,42011,767.96,6
2011-03-25 00:00:00+00,18.25,18.25,18.04,18.04,-0.33,3,0.05,3
2011-03-28 00:00:00+00,18.25,18.25,18.25,18.25,1.16,1,0.02,1
2011-03-29 00:00:00+00,18.39,18.39,18.3,18.3,0.27,2,0.04,2
2011-03-30 00:00:00+00,18.38,18.38,18.38,18.38,0.44,2,0.04,2
2011-03-31 00:00:00+00,18.04,18.38,18.04,18.38,0,16,0.29,3
2011-04-01 00:00:00+00,18.37,18.37,17.9,18,-2.07,2284,41.11,12
2011-04-04 00:00:00+00,18,18,18,18,0,574,10.33,3
2011-04-05 00:00:00+00,18.29,18.29,18.29,18.29,1.61,2,0.04,2
2011-04-06 00:00:00+00,18.4,18.4,18.39,18.4,0.6,6451,118.69,15
2011-04-07 00:00:00+00,18.4,18.4,18.39,18.39,-0.05,205,3.77,3
2011-04-08 00:00:00+00,18.4,18.4,18.39,18.39,0,2,0.04,2
2011-04-11 00:00:00+00,18.43,18.43,18.39,18.39,0,2,0.04,2
2011-04-12 00:00:00+00,18.39,18.39,18,18.3,-0.49,78,1.42,4
2011-04-13 00:00:00+00,18.3,18.3,18,18.1,-1.09,1007,18.13,7
2011-04-14 00:00:00+00,18.3,18.3,18.1,18.2,0.55,826,14.95,7
2011-04-15 00:00:00+00,18.2,18.2,18.19,18.19,-0.05,1001,18.22,5
2011-04-18 00:00:00+00,18.19,18.19,17.9,18.19,0,52,0.93,4
2011-04-19 00:00:00+00,18.2,18.25,18.2,18.25,0.33,431,7.84,5
2011-04-20 00:00:00+00,18.25,18.25,17.9,18.24,-0.05,518,9.27,4
2011-04-21 00:00:00+00,18.23,18.23,17.91,18.22,-0.11,41132,740.35,5
2011-04-26 00:00:00+00,17.74,18.25,17.74,18.24,0.11,428,7.59,3
2011-04-27 00:00:00+00,18.24,18.24,18,18.23,-0.05,102,1.84,3
2011-04-28 00:00:00+00,18,18,18,18,-1.26,784,14.11,4
2011-04-29 00:00:00+00,18,18.1,18,18.1,0.56,141,2.54,4
2011-05-02 00:00:00+00,18.2,18.2,18.16,18.16,0.33,2,0.04,2
2011-05-04 00:00:00+00,18.16,18.16,18.1,18.1,-0.33,51,0.93,2
2011-05-05 00:00:00+00,18.09,18.09,18,18.09,-0.06,618,11.12,5
2011-05-06 00:00:00+00,18.09,18.09,17.9,18.09,0,252,4.52,4
2011-05-09 00:00:00+00,18.09,18.09,18.05,18.05,-0.22,2,0.04,2
2011-05-10 00:00:00+00,17.99,18.09,17.99,18.09,0.22,2631,47.36,13
2011-05-11 00:00:00+00,18.09,18.09,17.53,18.09,0,41,0.72,3
2011-05-12 00:00:00+00,18.09,18.09,17.5,18.04,-0.28,833,14.94,9
2011-05-13 00:00:00+00,18,18,17.16,17.89,-0.83,233,4,6
2011-05-16 00:00:00+00,17.95,17.95,17.36,17.9,0.06,3,0.05,3
2011-05-17 00:00:00+00,17.95,17.95,17.95,17.95,0.28,2,0.04,2
2011-05-18 00:00:00+00,17.9,18,17.5,18,0.28,9889,177.84,16
2011-05-19 00:00:00+00,18.05,18.05,17.5,18.05,0.28,33920,600.51,8
2011-05-20 00:00:00+00,18.05,18.09,18.05,18.08,0.17,52,0.94,4
2011-05-23 00:00:00+00,18.09,18.09,18.09,18.09,0.06,2,0.04,2
2011-05-24 00:00:00+00,18.09,18.09,18.04,18.04,-0.28,2,0.04,2
2011-05-25 00:00:00+00,18.07,18.07,18,18.03,-0.06,118,2.12,3
2011-05-26 00:00:00+00,18.03,18.03,18.02,18.02,-0.06,2,0.04,2
2011-05-27 00:00:00+00,18.03,18.03,18,18,-0.11,4,0.07,3
2011-05-30 00:00:00+00,18,18,17.4,17.99,-0.06,375,6.56,5
2011-05-31 00:00:00+00,17.99,17.99,17.98,17.98,-0.06,2,0.04,2
2011-06-01 00:00:00+00,17.98,17.99,17.3,17.99,0.06,1681,29.9,10
2011-06-02 00:00:00+00,17.99,17.99,17.3,17.99,0,159,2.75,7
2011-06-03 00:00:00+00,17.99,17.99,17.99,17.99,0,2,0.04,2
2011-06-06 00:00:00+00,17.99,18,17.7,18,0.06,2151,38.42,7
2011-06-07 00:00:00+00,18.1,18.11,18.1,18.1,0.56,2589,46.88,5
2011-06-08 00:00:00+00,18.1,18.1,18.09,18.09,-0.06,2,0.04,2
2011-06-09 00:00:00+00,18.1,18.1,18.1,18.1,0.06,1,0.02,1
2011-06-10 00:00:00+00,18,18,18,18,-0.55,2,0.04,2
2011-06-13 00:00:00+00,18.1,18.1,18.09,18.09,0.5,2,0.04,2
2011-06-14 00:00:00+00,18.08,18.08,18.08,18.08,-0.06,1,0.02,1
2011-06-15 00:00:00+00,18.08,18.08,18.08,18.08,0,2,0.04,2
2011-06-16 00:00:00+00,18.07,18.07,18.07,18.07,-0.06,2,0.04,2
2011-06-17 00:00:00+00,18.06,18.06,18,18,-0.39,2,0.04,2
2011-06-20 00:00:00+00,17.99,17.99,16.55,17.64,-2,2502,43.31,18
2011-06-21 00:00:00+00,18,18,17.25,17.25,-2.21,24,0.42,4
2011-06-22 00:00:00+00,17.2,17.2,16.58,17.2,-0.29,167,2.8,6
2011-06-24 00:00:00+00,17,17,16.6,16.6,-3.49,462,7.67,3
2011-06-27 00:00:00+00,16.5,16.5,16.4,16.4,-1.2,372,6.14,4
2011-06-28 00:00:00+00,16.45,17.05,16.45,16.95,3.35,644,10.86,7
2011-06-29 00:00:00+00,17.05,17.05,17,17.04,0.53,724,12.33,5
2011-06-30 00:00:00+00,17.05,17.07,17.04,17.04,0,622,10.61,7
2011-07-01 00:00:00+00,17.5,17.5,17.5,17.5,2.7,121,2.12,3
2011-07-04 00:00:00+00,17.5,17.5,16.7,16.95,-3.14,527,8.81,5
2011-07-05 00:00:00+00,17.08,17.08,16.95,16.95,0,87,1.48,28
2011-07-06 00:00:00+00,16.95,16.95,16.95,16.95,0,17,0.29,16
2011-07-07 00:00:00+00,16.95,16.95,16.95,16.95,0,13,0.22,3
2011-07-08 00:00:00+00,17.3,17.3,17,17,0.29,21,0.36,21
2011-07-11 00:00:00+00,17.3,17.3,16.53,16.75,-1.47,503,8.32,15
2011-07-12 00:00:00+00,16.9,16.9,16.74,16.74,-0.06,12,0.2,3
2011-07-13 00:00:00+00,16.74,16.74,16.55,16.6,-0.84,98,1.62,3
2011-07-14 00:00:00+00,16.62,16.62,16.5,16.5,-0.6,2,0.03,2
2011-07-15 00:00:00+00,16.59,16.59,16.09,16.09,-2.48,531,8.55,5
2011-07-18 00:00:00+00,16.07,16.07,16,16.07,-0.12,32,0.51,3
2011-07-19 00:00:00+00,16.05,16.05,15.25,15.49,-3.61,652,9.98,4
2011-07-20 00:00:00+00,15.35,15.35,13.25,13.25,-14.46,2852,40.74,32
2011-07-21 00:00:00+00,13.7,15,13.7,14.35,8.3,1861,26.17,24
2011-07-22 00:00:00+00,14.4,14.4,13.5,13.5,-5.92,670,9.08,8
2011-07-25 00:00:00+00,14.4,14.4,13.25,14.4,6.67,3591,47.63,14
2011-07-26 00:00:00+00,14.4,15,14.4,15,4.17,313,4.57,5
2011-07-27 00:00:00+00,15,15,15,15,0,1,0.02,1
2011-07-28 00:00:00+00,14.4,15,14.3,15,3.23,787,11.28,6
2011-07-29 00:00:00+00,15,15.9,14.4,15,0,1257,18.92,23
2011-08-01 00:00:00+00,15.1,15.1,14.65,15.1,0.67,1119,16.79,15
2011-08-02 00:00:00+00,15.15,15.15,14.85,14.85,-1.66,112,1.68,3
2011-08-03 00:00:00+00,14.85,14.85,14.15,14.45,-2.69,270,3.84,10
2011-08-04 00:00:00+00,14.37,14.37,13.9,14.33,-0.83,272,3.81,12
