date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,28.7,28.7,28.4,28.6,-0.69,768,43.69,11
2005-01-04 00:00:00+00,28.6,28.8,28.3,28.6,0,17326,987.5,15
2005-01-05 00:00:00+00,28.1,28.4,28,28.4,-0.7,1415,79.76,17
2005-01-06 00:00:00+00,28.1,28.4,28.1,28.3,-0.35,2527,142.52,24
2005-01-07 00:00:00+00,28.6,29.2,28.4,29.2,3.18,11855,685.79,56
2005-01-10 00:00:00+00,29.7,29.7,29,29.2,0,2860,167.22,34
2005-01-11 00:00:00+00,29.3,29.3,28.6,28.6,-2.05,2818,161.33,24
2005-01-12 00:00:00+00,28.9,29.3,28.6,29,1.4,1130,64.84,16
2005-01-13 00:00:00+00,29,29.4,29,29.4,1.38,27296,1585.02,37
2005-01-14 00:00:00+00,29.3,29.3,29,29.2,-0.68,733,42.79,10
2005-01-17 00:00:00+00,29.2,29.7,29.2,29.7,1.71,6152,362.73,43
2005-01-18 00:00:00+00,29.5,29.5,29,29,-2.36,1469,85.45,18
2005-01-19 00:00:00+00,29,29.5,29,29.4,1.38,3576,209.4,25
2005-01-20 00:00:00+00,29.4,29.4,28.8,29,-1.36,5471,316.69,28
2005-01-21 00:00:00+00,28.7,29.5,28.6,29.1,0.34,9191,535.53,31
2005-01-24 00:00:00+00,29.3,29.3,29,29.1,0,2064,119.93,19
2005-01-25 00:00:00+00,29.2,29.4,29.1,29.1,0,1203,70.39,15
2005-01-26 00:00:00+00,29.1,29.5,29.1,29.5,1.37,10206,597.95,25
2005-01-27 00:00:00+00,29.5,29.5,29.3,29.3,-0.68,2371,139.23,19
2005-01-28 00:00:00+00,29.2,29.5,29.1,29.3,0,15259,894.29,30
2005-01-31 00:00:00+00,29.4,29.9,29.3,29.8,1.71,7699,456.48,50
2005-02-01 00:00:00+00,29.9,30.1,29.8,30,0.67,4606,275.98,51
2005-02-02 00:00:00+00,30.3,30.4,29.6,30.3,1,20695,1248.9,65
2005-02-03 00:00:00+00,30.4,30.7,30.2,30.6,0.99,28104,1703.7,73
2005-02-04 00:00:00+00,30.8,30.9,30.4,30.4,-0.65,22054,1349.81,16
2005-02-07 00:00:00+00,30.4,30.9,30.4,30.7,0.99,4808,294.76,23
2005-02-08 00:00:00+00,30.8,31,30.7,30.7,0,10172,627.28,59
2005-02-09 00:00:00+00,30.8,31.4,30.8,31.3,1.95,32076,1991,70
2005-02-10 00:00:00+00,31.2,31.3,30.7,30.7,-1.92,2324,144.93,13
2005-02-11 00:00:00+00,31,31,30.4,30.7,0,2270,138.83,24
2005-02-14 00:00:00+00,30.7,31,30.5,30.5,-0.65,6295,387.8,10
2005-02-15 00:00:00+00,30.9,30.9,30.2,30.2,-0.98,1620,98.83,11
2005-02-16 00:00:00+00,30.3,30.3,30,30.3,0.33,3132,188.85,35
2005-02-17 00:00:00+00,29.7,30.3,29.7,30.1,-0.66,14687,880.43,37
2005-02-18 00:00:00+00,30.2,31,30.2,30.6,1.66,7056,432.22,40
2005-02-21 00:00:00+00,30.4,30.6,30.4,30.6,0,2623,160.12,20
2005-02-22 00:00:00+00,30.5,30.7,30.5,30.7,0.33,16903,1032.27,46
2005-02-23 00:00:00+00,30.5,30.7,30.5,30.7,0,7930,484.92,31
2005-02-24 00:00:00+00,30.7,31.1,30.6,31.1,1.3,14758,908.22,34
2005-02-25 00:00:00+00,31.2,31.2,30.7,30.8,-0.96,15790,975.04,44
2005-02-28 00:00:00+00,30.8,30.8,30.5,30.8,0,35272,2166.88,32
2005-03-01 00:00:00+00,30.5,30.9,30.5,30.9,0.32,21244,1308.16,14
2005-03-02 00:00:00+00,30.4,31.2,30.3,31.1,0.65,60007,3698.25,50
2005-03-03 00:00:00+00,31,31.9,31,31.8,2.25,20505,1292.47,72
2005-03-04 00:00:00+00,31.9,31.9,30.9,30.9,-2.83,20971,1304.16,55
2005-03-07 00:00:00+00,31,31,30.6,30.6,-0.97,2189,134.65,21
2005-03-08 00:00:00+00,30.9,30.9,30.6,30.9,0.98,186,11.39,6
2005-03-09 00:00:00+00,30.9,31.2,30.6,31.2,0.97,6380,393.34,29
2005-03-10 00:00:00+00,31,31.3,30.8,31.2,0,20603,1277.41,11
2005-03-11 00:00:00+00,30.6,31.2,30.6,31.2,0,5564,342.53,21
2005-03-14 00:00:00+00,30.6,30.9,30.6,30.8,-1.28,5803,356.19,27
2005-03-15 00:00:00+00,31,31,30.7,30.8,0,36870,2279.14,20
2005-03-16 00:00:00+00,30.5,30.5,29.4,29.6,-3.9,4749,281.88,31
2005-03-17 00:00:00+00,29.6,30,29.6,29.9,1.01,110792,6624.86,56
2005-03-18 00:00:00+00,29.8,29.9,29.8,29.8,-0.33,15380,916.68,13
2005-03-21 00:00:00+00,29.3,29.9,29.3,29.7,-0.34,8480,503.75,20
2005-03-22 00:00:00+00,29,29.8,29,29.6,-0.34,935,54.62,16
2005-03-23 00:00:00+00,29.6,29.6,29.3,29.6,0,828,48.85,7
2005-03-24 00:00:00+00,29.9,30,29.6,30,1.35,2755,164.57,17
