date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,7.7,7.8,7.65,7.8,0.65,412,6.36,4
2005-01-04 00:00:00+00,7.7,7.75,7.6,7.75,-0.64,1281,19.65,8
2005-01-05 00:00:00+00,7.6,7.65,7.55,7.55,-2.58,1858,28.25,8
2005-01-06 00:00:00+00,7.5,7.5,7.3,7.3,-3.31,1701,25.09,9
2005-01-07 00:00:00+00,7.3,7.5,7.3,7.5,2.74,600,8.92,5
2005-01-10 00:00:00+00,7.3,7.4,7.3,7.35,-2,861,12.7,5
2005-01-11 00:00:00+00,7.35,7.45,7,7.45,1.36,2284,33.23,12
2005-01-12 00:00:00+00,7.5,7.55,7.5,7.55,1.34,1001,15.05,7
2005-01-13 00:00:00+00,7.5,7.5,7.5,7.5,-0.66,350,5.25,1
2005-01-14 00:00:00+00,7.4,7.4,7.4,7.4,-1.33,170,2.52,1
2005-01-17 00:00:00+00,7.45,7.45,7.45,7.45,0.68,1292,19.25,6
2005-01-18 00:00:00+00,7.4,7.4,7.35,7.4,-0.67,374,5.52,4
2005-01-19 00:00:00+00,7.35,7.45,7.35,7.45,0.68,1324,19.53,5
2005-01-20 00:00:00+00,7.4,7.45,7.3,7.45,0,2434,35.79,12
2005-01-21 00:00:00+00,0,0,0,7.45,0,0,0,0
2005-01-24 00:00:00+00,7.25,7.25,7.25,7.25,-2.68,401,5.81,1
2005-01-25 00:00:00+00,7.3,7.3,7.3,7.3,0.69,500,7.3,1
2005-01-26 00:00:00+00,7.25,7.3,7.1,7.25,-0.68,2345,33.72,8
2005-01-27 00:00:00+00,7.1,7.2,7,7,-3.45,1125,15.9,6
2005-01-28 00:00:00+00,7.2,7.35,7.2,7.35,5,750,10.93,6
2005-01-31 00:00:00+00,7.4,7.4,7.4,7.4,0.68,390,5.77,5
2005-02-01 00:00:00+00,7.4,7.65,7.4,7.6,2.7,4378,65.45,16
2005-02-02 00:00:00+00,7.45,7.65,7.45,7.6,0,2831,42.37,9
2005-02-03 00:00:00+00,7.6,8.7,7.6,8.25,8.55,61961,1016.03,207
2005-02-04 00:00:00+00,8.3,8.4,7.85,8.4,1.82,14163,232.5,61
2005-02-07 00:00:00+00,8.35,8.5,8.25,8.45,0.6,5345,89.73,29
2005-02-08 00:00:00+00,8.5,8.65,8.2,8.65,2.37,7967,135.36,41
2005-02-09 00:00:00+00,8.75,8.75,8.25,8.65,0,6733,115.6,40
2005-02-10 00:00:00+00,8.4,8.5,8.15,8.5,-1.73,2407,40.01,23
2005-02-11 00:00:00+00,8.25,8.5,8.25,8.45,-0.59,700,11.74,7
2005-02-14 00:00:00+00,8.4,8.5,8.4,8.45,0,700,11.85,8
2005-02-15 00:00:00+00,8.35,8.4,8.15,8.15,-3.55,2739,45.46,23
2005-02-16 00:00:00+00,8.15,8.15,7.8,8.05,-1.23,7004,112.51,24
2005-02-17 00:00:00+00,8.05,8.05,7.55,8,-0.62,6274,97.66,27
2005-02-18 00:00:00+00,7.65,7.95,7.55,7.95,-0.63,2242,34.76,22
2005-02-21 00:00:00+00,7.95,7.95,7.75,7.85,-1.26,1283,20.16,11
2005-02-22 00:00:00+00,7.65,7.65,7.5,7.5,-4.46,2944,44.73,12
2005-02-23 00:00:00+00,7.5,7.6,7.2,7.2,-4,4335,64.96,14
2005-02-24 00:00:00+00,7.55,7.65,7.15,7.6,5.56,2343,33.97,14
2005-02-25 00:00:00+00,7.6,7.65,7.3,7.65,0.66,4093,62.23,12
2005-02-28 00:00:00+00,7.6,7.6,7.35,7.6,-0.65,737,11.03,6
2005-03-01 00:00:00+00,7.5,7.5,7.5,7.5,-1.32,369,5.54,2
2005-03-02 00:00:00+00,0,0,0,7.5,0,0,0,0
2005-03-03 00:00:00+00,0,0,0,7.5,0,0,0,0
2005-03-04 00:00:00+00,7.15,7.2,7.15,7.2,-4,450,6.45,3
2005-03-07 00:00:00+00,6.9,7.5,6.8,6.9,-4.17,2662,36.69,15
2005-03-08 00:00:00+00,6.6,7.4,6.55,7.25,5.07,819,11.59,6
2005-03-09 00:00:00+00,6.8,6.8,6.8,6.8,-6.21,300,4.08,2
2005-03-10 00:00:00+00,0,0,0,6.8,0,0,0,0
2005-03-11 00:00:00+00,7.15,7.2,7.15,7.2,5.88,136,1.95,2
2005-03-14 00:00:00+00,7.2,7.3,7,7.2,0,1088,15.51,10
2005-03-15 00:00:00+00,0,0,0,7.2,0,0,0,0
2005-03-16 00:00:00+00,6.9,6.9,6.7,6.7,-6.94,800,10.92,5
2005-03-17 00:00:00+00,6.85,6.85,6.55,6.8,1.49,3919,51.59,8
2005-03-18 00:00:00+00,6.8,6.85,6.7,6.85,0.74,201,2.71,3
2005-03-21 00:00:00+00,6.85,6.85,6.8,6.8,-0.73,83,1.13,2
2005-03-22 00:00:00+00,6.6,6.7,6.4,6.4,-5.88,3154,40.93,23
2005-03-23 00:00:00+00,6.45,6.5,6.4,6.5,1.56,656,8.45,5
2005-03-24 00:00:00+00,6.45,6.5,6.45,6.5,0,1080,14.03,6
2005-03-29 00:00:00+00,6.4,6.5,6.25,6.5,0,1654,20.98,13
2005-03-30 00:00:00+00,6.3,6.5,6.3,6.5,0,700,9.05,5
2005-03-31 00:00:00+00,6.45,6.5,6.45,6.5,0,248,3.2,3
2005-04-01 00:00:00+00,6.5,6.55,6.3,6.3,-3.08,1204,15.26,10
2005-04-04 00:00:00+00,6.1,6.2,5.9,5.9,-6.35,4817,57.76,18
2005-04-05 00:00:00+00,5.9,6.25,5.9,6.25,5.93,2471,29.88,15
2005-04-06 00:00:00+00,6.2,6.3,6.2,6.3,0.8,200,2.49,3
2005-04-07 00:00:00+00,6.2,6.2,6.2,6.2,-1.59,774,9.6,4
2005-04-11 00:00:00+00,6.15,6.25,6.15,6.25,0.81,1005,12.48,6
2005-04-12 00:00:00+00,6.1,6.1,6.1,6.1,-2.4,50,0.61,1
2005-04-13 00:00:00+00,6.25,6.7,6.25,6.7,9.84,3643,46.84,22
2005-04-14 00:00:00+00,6.5,6.7,6.5,6.7,0,1060,13.86,6
2005-04-15 00:00:00+00,6.5,6.5,6.5,6.5,-2.99,106,1.38,2
