date,open,high,low,close,difference,volume,turnover,transactions
2010-04-14 00:00:00+00,13.2,13.6,12.55,12.57,18.58,125595,3194.3,104
2010-04-15 00:00:00+00,12.91,12.97,12.57,12.57,0,53840,1355.37,38
2010-04-16 00:00:00+00,12.88,12.88,12.4,12.75,1.43,212,5.28,6
2010-04-19 00:00:00+00,12.4,12.4,11.63,12.39,-2.82,341,8.17,6
2010-04-20 00:00:00+00,12.8,12.85,12.12,12.7,2.5,142679,3459.47,18
2010-04-21 00:00:00+00,12.12,12.7,12.12,12.7,0,213,5.17,2
2010-04-22 00:00:00+00,12.59,12.6,12.59,12.59,-0.87,603,15.19,3
2010-04-23 00:00:00+00,12.1,12.45,12.1,12.16,-3.42,1361,33.15,6
2010-04-26 00:00:00+00,12.6,12.85,12.22,12.6,3.62,1551,39.4,10
2010-04-27 00:00:00+00,12.4,12.4,12.23,12.23,-2.94,500,12.25,2
2010-04-28 00:00:00+00,12.1,12.1,12,12.1,-1.06,511,12.3,3
2010-04-29 00:00:00+00,12.71,12.85,12.2,12.2,0.83,433,10.96,4
2010-04-30 00:00:00+00,12.01,12.75,12,12.75,4.51,637,15.85,6
2010-05-04 00:00:00+00,0,0,0,12.75,0,0,0,0
2010-05-05 00:00:00+00,12.4,12.4,11.9,11.9,-6.67,133824,3235.01,3
2010-05-06 00:00:00+00,0,0,0,11.9,0,0,0,0
2010-05-07 00:00:00+00,11.81,11.9,11.8,11.8,-0.84,17898,425.93,4
2010-05-10 00:00:00+00,12,12,12,12,1.69,210,5.04,1
2010-05-11 00:00:00+00,12.01,12.01,11.65,11.65,-2.92,10947,256,9
2010-05-12 00:00:00+00,12.1,12.1,12,12,3,475,11.42,3
2010-05-13 00:00:00+00,12.06,12.06,12.06,12.06,0.5,1013,24.43,2
2010-05-14 00:00:00+00,12,12.3,12,12.3,1.99,1826,44.85,5
2010-05-17 00:00:00+00,12.3,12.3,12.3,12.3,0,216,5.31,3
2010-05-18 00:00:00+00,12.3,12.3,12.3,12.3,0,3138,77.19,1
2010-05-19 00:00:00+00,0,0,0,12.3,0,0,0,0
2010-05-20 00:00:00+00,12.28,12.29,11.5,12.28,-0.16,1038,24.19,6
2010-05-21 00:00:00+00,0,0,0,12.28,0,0,0,0
2010-05-24 00:00:00+00,0,0,0,12.28,0,0,0,0
2010-05-25 00:00:00+00,11.13,12,11.13,11.95,-2.69,327,7.6,6
2010-05-26 00:00:00+00,11.5,11.85,11.5,11.85,-0.84,1366,32.17,4
2010-05-27 00:00:00+00,11.9,12,11.9,12,1.27,11369,272.75,9
2010-05-28 00:00:00+00,12,12.06,11.7,12.06,0.5,9132,219.08,15
2010-05-31 00:00:00+00,11.85,12.02,11.85,12.02,-0.33,843,20.1,11
2010-06-01 00:00:00+00,12,12,11.6,11.72,-2.5,6829,160.25,9
2010-06-02 00:00:00+00,0,0,0,11.72,0,0,0,0
2010-06-04 00:00:00+00,11.65,11.72,11.62,11.72,0,303,7.07,4
2010-06-07 00:00:00+00,11.62,11.62,11.62,11.62,-0.85,188,4.37,1
