date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,9.6,10,9.45,9.45,-1.56,2633,51,15
2005-01-04 00:00:00+00,9.45,9.85,9.4,9.45,0,2746,52.25,13
2005-01-05 00:00:00+00,9.4,9.4,9.1,9.4,-0.53,7669,141.96,19
2005-01-06 00:00:00+00,9.4,9.4,9.2,9.4,0,142,2.63,4
2005-01-07 00:00:00+00,9.45,9.45,9.45,9.45,0.53,40,0.76,2
2005-01-10 00:00:00+00,9.45,9.45,9.25,9.25,-2.12,150,2.78,3
2005-01-11 00:00:00+00,9.45,9.45,9.15,9.45,2.16,309,5.67,3
2005-01-12 00:00:00+00,9.45,9.45,9.45,9.45,0,12,0.23,1
2005-01-13 00:00:00+00,9.4,9.45,9.4,9.4,-0.53,1078,20.3,7
2005-01-14 00:00:00+00,9.15,9.4,9.15,9.4,0,5325,97.45,10
2005-01-17 00:00:00+00,9.15,9.6,9.15,9.55,1.6,2340,43.84,10
2005-01-18 00:00:00+00,9.5,9.5,9.15,9.5,-0.52,331,6.1,8
2005-01-19 00:00:00+00,9.4,9.4,9.4,9.4,-1.05,20,0.38,1
2005-01-20 00:00:00+00,9.4,9.4,9.4,9.4,0,10,0.19,1
2005-01-21 00:00:00+00,9.5,9.5,9.05,9.05,-3.72,1917,34.99,9
2005-01-24 00:00:00+00,9,9,9,9,-0.55,1,0.02,1
2005-01-25 00:00:00+00,9.35,9.35,9,9,0,100,1.84,2
2005-01-26 00:00:00+00,9,9.05,9,9,0,2118,38.23,13
2005-01-27 00:00:00+00,9.3,9.3,8.85,8.9,-1.11,940,16.84,7
2005-01-28 00:00:00+00,8.9,9,8.9,8.9,0,365,6.55,4
2005-01-31 00:00:00+00,9.15,9.15,9.15,9.15,2.81,5,0.09,1
2005-02-01 00:00:00+00,9.15,9.15,9.15,9.15,0,320,5.86,2
2005-02-02 00:00:00+00,8.9,10.25,8.9,10.2,11.48,17737,346.54,79
2005-02-03 00:00:00+00,10.2,10.2,9.55,9.55,-6.37,9046,177.07,37
2005-02-04 00:00:00+00,9.7,9.7,9,9,-5.76,5640,104.5,33
2005-02-07 00:00:00+00,9.25,9.55,9.15,9.4,4.44,3873,73.59,22
2005-02-08 00:00:00+00,9.6,9.7,9.4,9.65,2.66,2294,44.4,10
2005-02-09 00:00:00+00,9.75,9.75,9.4,9.4,-2.59,1021,19.41,4
