date,open,high,low,close,difference,volume,turnover,transactions
2007-03-26 00:00:00+00,22.48,22.48,21.6,21.7,-4.41,124951,5461.19,509
2007-03-27 00:00:00+00,21.97,21.97,20.1,21,-3.23,82402,3493.28,411
2007-03-28 00:00:00+00,21,21.2,20.83,21,0,70095,2944.49,222
2007-03-29 00:00:00+00,21.1,21.6,21.1,21.4,1.9,85282,3654.97,214
2007-03-30 00:00:00+00,21.6,21.6,21.1,21.15,-1.17,20352,866.62,143
2007-04-02 00:00:00+00,21.15,21.15,20.71,20.9,-1.18,28485,1193.57,159
2007-04-03 00:00:00+00,20.71,21,20.6,20.7,-0.96,73772,3065.36,215
2007-04-04 00:00:00+00,20.61,20.7,20.29,20.35,-1.69,73178,2995.22,335
2007-04-05 00:00:00+00,20.49,20.6,20.2,20.35,0,47083,1921.08,222
2007-04-10 00:00:00+00,20.3,20.5,20.22,20.43,0.39,44752,1816.1,228
2007-04-11 00:00:00+00,20.48,20.48,20.2,20.21,-1.08,61026,2472.85,191
2007-04-12 00:00:00+00,20.2,20.3,20,20.08,-0.64,68683,2754.01,198
2007-04-13 00:00:00+00,20.01,20.25,20,20.05,-0.15,35748,1437.45,203
2007-04-16 00:00:00+00,20.2,20.48,20.01,20.26,1.05,29884,1209.22,206
2007-04-17 00:00:00+00,20.01,20.14,19.94,19.95,-1.53,104033,4165.77,215
2007-04-18 00:00:00+00,19.99,19.99,19.06,19.4,-2.76,62108,2406.28,309
2007-04-19 00:00:00+00,19.02,19.3,18.75,19.19,-1.08,26906,1022.65,182
2007-04-20 00:00:00+00,19.2,19.48,19.2,19.35,0.83,52273,2015.46,156
2007-04-23 00:00:00+00,19.18,19.21,18.9,18.9,-2.33,41604,1585.45,168
2007-04-24 00:00:00+00,18.51,18.87,18.03,18.03,-4.6,29864,1093.87,183
2007-04-25 00:00:00+00,18.02,18.28,17.5,18,-0.17,35742,1280.5,197
2007-04-26 00:00:00+00,19.19,21.49,19.11,20.94,16.33,429024,17652.03,1700
2007-04-27 00:00:00+00,21,21.29,19.9,19.9,-4.97,98506,4055.67,527
2007-04-30 00:00:00+00,19.71,19.8,18.95,19.11,-3.97,38018,1458.77,237
2007-05-02 00:00:00+00,19.19,19.49,18.88,19.2,0.47,23940,919.51,160
2007-05-04 00:00:00+00,19.3,19.6,19.15,19.57,1.93,36296,1405.13,182
2007-05-07 00:00:00+00,19.99,19.99,19.34,19.85,1.43,28143,1102.56,139
2007-05-08 00:00:00+00,19.9,20.2,19.7,20,0.76,35736,1428.43,185
2007-05-09 00:00:00+00,19.98,20.15,19.74,20.15,0.75,30077,1198.69,129
2007-05-10 00:00:00+00,20.18,20.2,19.85,19.9,-1.24,50532,2026.33,174
2007-05-11 00:00:00+00,19.21,20,19.05,20,0.5,42854,1675.27,144
2007-05-14 00:00:00+00,20,20.4,20,20.39,1.95,60912,2471.02,155
2007-05-15 00:00:00+00,20.39,20.88,20.06,20.75,1.77,34380,1409.26,139
2007-05-16 00:00:00+00,20.77,20.77,20.4,20.6,-0.72,22541,927.32,74
2007-05-17 00:00:00+00,20.72,21.05,20.62,21,1.94,47086,1973.74,187
2007-05-18 00:00:00+00,21,21.65,20.77,21.5,2.38,240293,10229.06,357
2007-05-21 00:00:00+00,21.71,22.2,21.31,22.2,3.26,79071,3429.19,281
2007-05-22 00:00:00+00,22.31,23.49,22.29,22.84,2.88,156637,7101.61,470
2007-05-23 00:00:00+00,22.97,23.2,22.08,23,0.7,81258,3692.89,237
2007-05-24 00:00:00+00,22.55,23.27,22.31,23.1,0.43,69512,3175.63,218
2007-05-25 00:00:00+00,23,23.87,22.8,23.5,1.73,99957,4703.18,346
2007-05-28 00:00:00+00,23.6,23.87,23.45,23.8,1.28,72816,3461.49,207
2007-05-29 00:00:00+00,23.88,24.7,23.71,24.5,2.94,77409,3765.22,309
2007-05-30 00:00:00+00,24.53,24.7,23.85,24.21,-1.18,65374,3187.14,234
2007-05-31 00:00:00+00,24.31,25.3,24.31,25.15,3.88,162562,8127.17,342
2007-06-01 00:00:00+00,25.19,25.2,24.8,25,-0.6,85854,4297.39,192
2007-06-04 00:00:00+00,25.2,25.2,24,24.6,-1.6,71056,3518.95,230
2007-06-05 00:00:00+00,24.19,24.19,23.4,24.1,-2.03,90004,4309.29,184
2007-06-06 00:00:00+00,23.8,23.85,22.75,23.5,-2.49,60291,2793.93,212
2007-06-08 00:00:00+00,22.98,22.98,21.7,22.5,-4.26,64016,2847.48,338
2007-06-11 00:00:00+00,22.5,22.75,21.85,22.72,0.98,57345,2549.41,248
2007-06-12 00:00:00+00,22.8,22.8,21.85,22.3,-1.85,68712,3044.82,186
2007-06-13 00:00:00+00,22,22.5,21.75,22.33,0.13,23134,1018.98,125
2007-06-14 00:00:00+00,22.41,22.8,22,22.8,2.1,51169,2291.97,121
2007-06-15 00:00:00+00,23.21,23.7,23.01,23.3,2.19,48158,2249.97,228
2007-06-18 00:00:00+00,23.5,23.58,22.51,23.5,0.86,26316,1226.32,141
2007-06-19 00:00:00+00,23.1,23.25,22.8,22.82,-2.89,12973,596.29,111
2007-06-20 00:00:00+00,22.98,22.98,22.32,22.65,-0.74,10504,475.76,62
2007-06-21 00:00:00+00,22.65,22.65,22,22,-2.87,14223,631.7,80
2007-06-22 00:00:00+00,22.02,24,21.94,23.06,4.82,42507,1960.05,267
