date,open,high,low,close,difference,volume,turnover,transactions
2020-07-23 00:00:00+00,0,0,0,15.5,0,0,0,0
2020-07-24 00:00:00+00,34.9,34.9,26,31.3,101.94,530983,16041.36,3724
2020-07-27 00:00:00+00,35,40,31.5,40,27.8,220342,7795.91,1779
2020-07-28 00:00:00+00,45,49.5,36.45,36.45,-8.88,295546,12677.57,3211
2020-07-29 00:00:00+00,36.4,36.4,30,33.8,-7.27,74482,2510.82,1069
2020-07-30 00:00:00+00,34.5,34.5,27,27.6,-18.34,54361,1614.65,804
2020-07-31 00:00:00+00,0,0,0,27.6,0,0,0,0
2020-08-03 00:00:00+00,0,0,0,27.6,0,0,0,0
2020-08-04 00:00:00+00,33,33.55,29.7,31,12.32,86802,2728.65,948
2020-08-05 00:00:00+00,32.2,32.495,29.5,29.65,-4.35,25757,780.25,257
2020-08-06 00:00:00+00,30.5,30.5,26.5,27.5,-7.25,17696,493.98,255
2020-08-07 00:00:00+00,28.4,28.4,24.805,26.3,-4.36,19132,498.83,298
2020-08-10 00:00:00+00,27.6,27.6,25.8,26,-1.14,11636,306.68,191
2020-08-11 00:00:00+00,25.85,25.85,22,23.51,-9.58,20000,476.48,335
2020-08-12 00:00:00+00,23.105,23.105,20.8,22.095,-6.02,23316,510.67,337
2020-08-13 00:00:00+00,22.095,25.485,22.095,24.5,10.88,15921,377.67,210
2020-08-14 00:00:00+00,25.5,26.1,25,25.3,3.27,15690,405.99,185
2020-08-17 00:00:00+00,26.3,26.3,23.67,25,-1.19,7760,190.64,149
2020-08-18 00:00:00+00,26.25,26.25,24.01,24.4,-2.4,6231,155.82,107
2020-08-19 00:00:00+00,23.5,25.8,23.1,25,2.46,6121,147.51,116
2020-08-20 00:00:00+00,25.28,25.9,24.005,24.7,-1.2,6764,167.26,118
2020-08-21 00:00:00+00,24.7,24.95,24.015,24.5,-0.81,3433,84.55,52
2020-08-24 00:00:00+00,24.7,26.3,24,24.7,0.82,7989,201.26,86
2020-08-25 00:00:00+00,25.4,25.495,24.5,25.49,3.2,2507,62.81,51
2020-08-26 00:00:00+00,26.27,26.27,25.6,25.61,0.47,4957,128.78,66
2020-08-27 00:00:00+00,25.9,26.3,25.12,25.7,0.35,3972,103.27,86
2020-08-28 00:00:00+00,26,26,25,25.7,0,4934,126.27,79
2020-08-31 00:00:00+00,25.01,25.1,24.5,25.1,-2.33,4016,99.15,64
2020-09-01 00:00:00+00,25.15,25.205,23.7,24.5,-2.39,7046,171.08,79
2020-09-02 00:00:00+00,24.8,25.5,24,24.5,0,6168,150.84,86
2020-09-03 00:00:00+00,25.095,25.095,24.51,24.9,1.63,2888,71.66,51
2020-09-04 00:00:00+00,23.7,24.4,23.1,23.15,-7.03,6951,164.55,94
2020-09-07 00:00:00+00,23.5,24.28,22.295,23.9,3.24,4555,105.25,99
2020-09-08 00:00:00+00,23.5,23.8,17.234,22.36,-6.44,28764,568.68,308
2020-09-09 00:00:00+00,21,21.65,21,21.2,-5.19,5470,115.95,96
2020-09-10 00:00:00+00,21.2,22.385,21,21.8,2.83,9345,201.54,93
2020-09-11 00:00:00+00,22.5,23.4,22.4,22.51,3.26,4634,106.23,60
2020-09-14 00:00:00+00,23,23,22.4,22.405,-0.47,1442,32.42,26
2020-09-15 00:00:00+00,22.405,22.985,21.27,21.5,-4.04,2582,56.46,48
2020-09-16 00:00:00+00,21.5,22.495,21.3,21.9,1.86,2303,49.54,36
2020-09-17 00:00:00+00,22.78,22.78,21.5,22.2,1.37,1408,31.6,34
2020-09-18 00:00:00+00,22.7,22.7,21.205,21.55,-2.93,914,19.63,22
2020-09-21 00:00:00+00,21.55,21.9,20.1,21,-2.55,3693,78.48,60
2020-09-22 00:00:00+00,21,21,19,20.99,-0.05,5296,105.17,92
2020-09-23 00:00:00+00,21,21,18.7,19.68,-6.24,7745,150.43,152
2020-09-24 00:00:00+00,19.9,19.9,18.8,19,-3.46,2680,50.86,44
2020-09-25 00:00:00+00,19,19,17.5,18.49,-2.68,4114,75.86,92
2020-09-28 00:00:00+00,18.49,18.916,17.906,18.4,-0.49,4367,80.14,76
2020-09-29 00:00:00+00,19,20,18.798,19.902,8.16,4912,97.04,68
2020-09-30 00:00:00+00,20.44,20.44,19,19.2,-3.53,3321,64.64,69
2020-10-01 00:00:00+00,19.994,19.994,18.85,19.1,-0.52,2742,52.51,59
2020-10-02 00:00:00+00,18.9,18.904,17.3,18,-5.76,8034,142.88,114
2020-10-05 00:00:00+00,18.44,18.948,18.248,18.5,2.78,2261,41.87,50
2020-10-06 00:00:00+00,18.8,18.8,18.01,18.01,-2.65,1657,30.51,48
2020-10-07 00:00:00+00,18.01,18.5,17.998,18,-0.06,2127,38.41,52
2020-10-08 00:00:00+00,18,18.48,17.7,18.48,2.67,3336,59.64,61
2020-10-09 00:00:00+00,18.5,18.5,17.428,17.98,-2.71,5687,100.36,60
2020-10-12 00:00:00+00,18.4,18.4,16.9,17.15,-4.62,7770,133.45,114
2020-10-13 00:00:00+00,16.75,17.498,15.082,15.998,-6.72,20007,316.16,260
2020-10-14 00:00:00+00,15.2,15.7,14.4,15,-6.24,14616,221.51,224
2020-10-15 00:00:00+00,15,17.4,15,15.85,5.67,17588,281.29,209
2020-10-16 00:00:00+00,15.42,17.65,15.42,16.88,6.5,9219,152.49,119
2020-10-19 00:00:00+00,17.51,19,16,18.2,7.82,14682,266.37,203
2020-10-20 00:00:00+00,18.4,18.99,16.998,17.99,-1.15,5621,99.5,102
2020-10-21 00:00:00+00,18.85,20,18.018,18.4,2.28,9770,181.91,122
2020-10-22 00:00:00+00,18.4,18.878,16.61,18,-2.17,4023,71.25,67
2020-10-23 00:00:00+00,18,18,16.63,17.3,-3.89,3835,65.65,54
2020-10-26 00:00:00+00,17.95,17.95,16.2,16.9,-2.31,5870,96.41,72
2020-10-27 00:00:00+00,16.5,17.788,15.9,16,-5.33,6173,100.99,58
2020-10-28 00:00:00+00,15.9,15.98,14,15,-6.25,17886,269.11,189
2020-10-29 00:00:00+00,14.22,14.978,13.51,13.904,-7.31,9744,138.15,115
2020-10-30 00:00:00+00,13.7,14.38,13.06,14.38,3.42,5453,74.12,84
2020-11-02 00:00:00+00,14.85,14.85,13.498,13.898,-3.35,4430,62.57,67
2020-11-03 00:00:00+00,14.2,14.298,13.5,13.988,0.65,5500,76.68,100
2020-11-04 00:00:00+00,13.988,14.82,13.986,14.4,2.95,4333,62.67,60
2020-11-05 00:00:00+00,14.82,15.36,14.5,15.27,6.04,2900,43.43,52
2020-11-06 00:00:00+00,15.9,15.9,14.5,15.23,-0.26,4672,70.01,52
2020-11-09 00:00:00+00,15.77,15.798,14.3,15,-1.51,6067,90.68,69
2020-11-10 00:00:00+00,14.498,14.848,14.31,14.5,-3.33,8980,129.6,73
2020-11-12 00:00:00+00,14.5,16.9,14.4,16.9,16.55,11455,179.85,118
2020-11-13 00:00:00+00,17.7,17.7,15.67,16.428,-2.79,5760,94.63,101
2020-11-16 00:00:00+00,16.432,16.5,15.05,15.05,-8.39,4600,73.02,67
2020-11-17 00:00:00+00,15.05,15.918,15.05,15.08,0.2,3515,53.8,52
2020-11-18 00:00:00+00,15.1,15.9,15.07,15.9,5.44,1788,27.54,40
2020-11-19 00:00:00+00,16.1,16.5,15.31,15.99,0.57,2955,47.44,55
2020-11-20 00:00:00+00,16,16.278,15.07,16,0.06,1391,22,29
2020-11-23 00:00:00+00,16.4,16.4,15.1,15.9,-0.63,2953,45.82,60
2020-11-24 00:00:00+00,15.9,16.35,15.346,15.412,-3.07,6457,103.47,54
2020-11-25 00:00:00+00,16,16.02,15.202,15.202,-1.36,2340,36.6,36
2020-11-26 00:00:00+00,15.996,15.996,15.25,15.25,0.32,2434,37.25,37
2020-11-27 00:00:00+00,15.438,15.552,15.1,15.104,-0.96,2132,32.98,45
2020-11-30 00:00:00+00,15.2,15.2,15,15.148,0.29,2363,35.79,41
2020-12-01 00:00:00+00,14.52,15.2,14.52,15,-0.98,3209,48.28,44
2020-12-02 00:00:00+00,15.15,15.2,14.792,15.1,0.67,9027,135.89,83
2020-12-03 00:00:00+00,15.2,15.2,14.9,15.196,0.64,1337,20.27,33
2020-12-04 00:00:00+00,15.196,15.196,13.9,14.69,-3.33,22963,329.4,181
2020-12-07 00:00:00+00,14.94,14.96,14.5,14.8,0.75,6094,89.62,116
2020-12-08 00:00:00+00,14.99,14.99,14.65,14.652,-1,2727,40.19,47
2020-12-09 00:00:00+00,14.8,16,14.652,16,9.2,14159,214.39,130
2020-12-10 00:00:00+00,16,16,14.7,15,-6.25,6159,94.32,100
2020-12-11 00:00:00+00,15.2,15.2,14.51,15,0,2057,30.67,57
2020-12-14 00:00:00+00,15,15,14.2,14.35,-4.33,6339,90.9,88
2020-12-15 00:00:00+00,14.1,14.488,14,14.35,0,4699,66.52,84
2020-12-16 00:00:00+00,14.2,14.6,14.01,14.202,-1.03,8397,120.26,93
2020-12-17 00:00:00+00,14.3,14.41,14,14.156,-0.32,2721,38.75,58
2020-12-18 00:00:00+00,14.3,14.3,13,13.99,-1.17,6592,91.92,108
2020-12-21 00:00:00+00,13.98,13.98,13.1,13.5,-3.5,7014,94.15,88
2020-12-22 00:00:00+00,13.98,13.98,13.32,13.49,-0.07,9885,134.33,113
2020-12-23 00:00:00+00,13.49,13.8,13.13,13.798,2.28,12722,172.18,162
2020-12-28 00:00:00+00,13.7,13.7,12.81,12.942,-6.2,29983,392.9,366
2020-12-29 00:00:00+00,13,13.5,13,13.5,4.31,9480,125.6,117
2020-12-30 00:00:00+00,13.5,13.99,13.498,13.56,0.44,5234,72.21,106
2021-01-04 00:00:00+00,13.7,17.5,13.7,17.5,29.06,26924,428.23,250
2021-01-05 00:00:00+00,18.15,22,18.15,20,14.29,51712,1061.99,610
2021-01-07 00:00:00+00,20,21.9,18.51,20.1,0.5,26566,550.6,324
2021-01-08 00:00:00+00,21,21,18.61,19.29,-4.03,11170,219.16,183
2021-01-11 00:00:00+00,19.8,20.845,18.75,20,3.68,20874,418.13,323
2021-01-12 00:00:00+00,21.2,21.2,18.8,19.7,-1.5,6550,127.31,178
2021-01-13 00:00:00+00,19.9,20,18.502,19.13,-2.89,15298,293.02,294
2021-01-14 00:00:00+00,19,19.39,17.2,18,-5.91,40522,730.93,577
2021-01-15 00:00:00+00,18,18.396,17.9,17.9,-0.56,5894,106.9,99
2021-01-18 00:00:00+00,17.55,18.7,17.55,18,0.56,6471,116.98,96
2021-01-19 00:00:00+00,17.8,18.398,17.8,17.95,-0.28,3392,61.08,62
2021-01-20 00:00:00+00,17.882,18.2,17.75,17.802,-0.82,4642,83.2,72
2021-01-21 00:00:00+00,17.76,17.99,16.4,17.29,-2.88,7932,137.05,119
2021-01-22 00:00:00+00,17.396,17.396,16.51,16.65,-3.7,5507,92.45,90
2021-01-25 00:00:00+00,16.65,17.25,16.4,16.4,-1.5,6826,113.2,88
