date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,3.2,3.28,3.17,3.18,0.95,1733547,11154.34,1055
2005-01-04 00:00:00+00,3.21,3.26,3.16,3.26,2.52,1224319,7857.37,692
2005-01-05 00:00:00+00,3.25,3.25,3.18,3.21,-1.53,1078963,6930.51,552
2005-01-06 00:00:00+00,3.21,3.23,3.16,3.23,0.62,853460,5461.2,499
2005-01-07 00:00:00+00,3.23,3.37,3.21,3.36,4.02,1892296,12513.48,1057
2005-01-10 00:00:00+00,3.42,3.5,3.37,3.37,0.3,2181732,14946.36,1152
2005-01-11 00:00:00+00,3.37,3.4,3.3,3.39,0.59,818860,5503.26,536
2005-01-12 00:00:00+00,3.43,3.6,3.41,3.57,5.31,2804770,19660.47,1275
2005-01-13 00:00:00+00,3.64,3.75,3.55,3.58,0.28,3946985,28812.42,1991
2005-01-14 00:00:00+00,3.55,3.62,3.51,3.59,0.28,1068127,7619.44,729
2005-01-17 00:00:00+00,3.6,3.66,3.58,3.6,0.28,601471,4348.11,458
2005-01-18 00:00:00+00,3.57,3.58,3.4,3.4,-5.56,1324782,9218.82,848
2005-01-19 00:00:00+00,3.4,3.46,3.3,3.45,1.47,1749363,11749.84,919
2005-01-20 00:00:00+00,3.37,3.43,3.35,3.37,-2.32,565996,3836.88,388
2005-01-21 00:00:00+00,3.38,3.4,3.32,3.35,-0.59,481387,3236.58,331
2005-01-24 00:00:00+00,3.35,3.49,3.34,3.48,3.88,951728,6521.69,533
2005-01-25 00:00:00+00,3.52,3.57,3.5,3.52,1.15,1020021,7206.45,643
2005-01-26 00:00:00+00,3.54,3.55,3.36,3.37,-4.26,2190010,14999.69,1269
2005-01-27 00:00:00+00,3.4,3.44,3.38,3.4,0.89,1009190,6867.26,463
2005-01-28 00:00:00+00,3.43,3.45,3.37,3.37,-0.88,580160,3937.77,345
2005-01-31 00:00:00+00,3.41,3.52,3.38,3.42,1.48,1461884,10080.32,798
2005-02-01 00:00:00+00,3.47,3.58,3.43,3.58,4.68,2100324,14776.11,811
2005-02-02 00:00:00+00,3.6,3.7,3.44,3.5,-2.23,2974182,21354.68,1505
2005-02-03 00:00:00+00,3.48,3.6,3.46,3.51,0.29,1146878,8133.32,615
2005-02-04 00:00:00+00,3.54,3.57,3.51,3.53,0.57,363608,2571.19,271
2005-02-07 00:00:00+00,3.57,3.57,3.54,3.54,0.28,588726,4182.98,361
2005-02-08 00:00:00+00,3.56,3.56,3.48,3.5,-1.13,736430,5174.24,408
2005-02-09 00:00:00+00,3.5,3.51,3.47,3.48,-0.57,255481,1781.61,223
2005-02-10 00:00:00+00,3.47,3.5,3.46,3.48,0,295522,2055.83,269
2005-02-11 00:00:00+00,3.49,3.51,3.47,3.48,0,432307,3021.41,258
2005-02-14 00:00:00+00,3.49,3.58,3.48,3.52,1.15,372298,2628.02,311
2005-02-15 00:00:00+00,3.55,3.55,3.5,3.54,0.57,394455,2783.85,255
2005-02-16 00:00:00+00,3.55,3.55,3.5,3.5,-1.13,422787,2976.81,264
2005-02-17 00:00:00+00,3.51,3.55,3.49,3.49,-0.29,514455,3619.35,329
2005-02-18 00:00:00+00,3.5,3.5,3.46,3.48,-0.29,393952,2742.26,300
2005-02-21 00:00:00+00,3.48,3.5,3.47,3.48,0,211081,1470.36,171
2005-02-22 00:00:00+00,3.48,3.48,3.26,3.41,-2.01,1061835,7229.42,587
2005-02-23 00:00:00+00,3.36,3.39,3.31,3.36,-1.47,511254,3426.73,377
2005-02-24 00:00:00+00,3.36,3.43,3.35,3.41,1.49,328388,2231.85,257
2005-02-25 00:00:00+00,3.42,3.43,3.37,3.39,-0.59,389119,2647.86,276
2005-02-28 00:00:00+00,3.4,3.57,3.35,3.53,4.13,1658051,11582.38,924
2005-03-01 00:00:00+00,3.4,3.5,3.38,3.45,-2.27,783345,5382.1,454
2005-03-02 00:00:00+00,3.41,3.44,3.33,3.33,-3.48,819256,5554.76,386
2005-03-03 00:00:00+00,3.35,3.41,3.34,3.36,0.9,419146,2816.92,300
2005-03-04 00:00:00+00,3.38,3.39,3.35,3.37,0.3,143450,967.45,145
2005-03-07 00:00:00+00,3.39,3.39,3.33,3.35,-0.59,233842,1566.01,181
2005-03-08 00:00:00+00,3.32,3.33,3.24,3.26,-2.69,762047,4996,414
2005-03-09 00:00:00+00,3.27,3.35,3.24,3.31,1.53,759906,5013.35,329
2005-03-10 00:00:00+00,3.3,3.33,3.28,3.32,0.3,360397,2379.05,155
2005-03-11 00:00:00+00,3.3,3.3,3.27,3.29,-0.9,210551,1386.11,110
2005-03-14 00:00:00+00,3.29,3.29,3.21,3.25,-1.22,343094,2227.37,210
2005-03-15 00:00:00+00,3.25,3.26,3.22,3.25,0,253039,1639.78,159
2005-03-16 00:00:00+00,3.23,3.23,3.1,3.15,-3.08,1020207,6454.22,309
2005-03-17 00:00:00+00,3.11,3.13,3.06,3.11,-1.27,682638,4235.46,340
2005-03-18 00:00:00+00,3.1,3.2,3.1,3.19,2.57,396571,2511.72,215
2005-03-21 00:00:00+00,3.22,3.22,3.1,3.11,-2.51,436773,2756.3,174
2005-03-22 00:00:00+00,3.11,3.19,3.07,3.15,1.29,687003,4298.14,208
2005-03-23 00:00:00+00,3.13,3.18,3.11,3.18,0.95,247754,1567.72,105
2005-03-24 00:00:00+00,3.19,3.26,3.17,3.21,0.94,390214,2510.81,122
2005-03-29 00:00:00+00,3.24,3.37,3.24,3.37,4.98,1003768,6672.51,479
2005-03-30 00:00:00+00,3.4,3.44,3.36,3.4,0.89,480681,3267.51,332
2005-03-31 00:00:00+00,3.41,3.43,3.35,3.35,-1.47,362803,2461.59,230
2005-04-01 00:00:00+00,3.35,3.39,3.34,3.37,0.6,287376,1932.14,129
2005-04-04 00:00:00+00,3.39,3.4,3.35,3.37,0,147190,992.81,89
2005-04-05 00:00:00+00,3.36,3.38,3.36,3.38,0.3,74286,500.52,61
2005-04-06 00:00:00+00,3.43,3.48,3.4,3.48,2.96,840644,5776.41,400
2005-04-07 00:00:00+00,3.45,3.54,3.44,3.47,-0.29,850108,5946.53,482
2005-04-11 00:00:00+00,3.42,3.54,3.42,3.45,-0.58,454984,3178.2,285
2005-04-12 00:00:00+00,3.45,3.48,3.42,3.43,-0.58,173698,1198.61,136
2005-04-13 00:00:00+00,3.45,3.46,3.41,3.42,-0.29,113992,780.94,101
2005-04-14 00:00:00+00,3.4,3.4,3.35,3.37,-1.46,194299,1310.52,134
2005-04-15 00:00:00+00,3.35,3.36,3.25,3.3,-2.08,235115,1560.43,156
2005-04-18 00:00:00+00,3.22,3.27,3.22,3.24,-1.82,438010,2835.29,230
2005-04-19 00:00:00+00,3.22,3.28,3.22,3.25,0.31,195321,1265.96,122
2005-04-20 00:00:00+00,3.29,3.3,3.2,3.23,-0.62,211721,1386.05,154
2005-04-21 00:00:00+00,3.24,3.3,3.23,3.29,1.86,183363,1203.01,109
2005-04-22 00:00:00+00,3.32,3.34,3.28,3.28,-0.3,296556,1967.14,202
2005-04-25 00:00:00+00,3.29,3.3,3.26,3.26,-0.61,129353,849.75,106
2005-04-26 00:00:00+00,3.3,3.36,3.27,3.29,0.92,316443,2095.17,197
2005-04-27 00:00:00+00,3.32,3.33,3.27,3.28,-0.3,215084,1416.95,134
2005-04-28 00:00:00+00,3.31,3.33,3.28,3.29,0.3,220640,1458.87,134
2005-04-29 00:00:00+00,3.33,3.38,3.28,3.35,1.82,419166,2791.4,243
2005-05-02 00:00:00+00,3.4,3.45,3.4,3.42,2.09,274752,1882.38,202
2005-05-04 00:00:00+00,3.42,3.47,3.42,3.47,1.46,375192,2590.12,258
2005-05-05 00:00:00+00,3.48,3.52,3.48,3.52,1.44,571604,4003.36,340
2005-05-06 00:00:00+00,3.55,3.56,3.49,3.52,0,978146,6915.4,487
2005-05-09 00:00:00+00,3.57,3.57,3.52,3.54,0.57,465125,3300.61,254
2005-05-10 00:00:00+00,3.54,3.54,3.34,3.36,-5.08,838252,5726.02,442
2005-05-11 00:00:00+00,3.36,3.4,3.28,3.35,-0.3,685608,4570.99,416
2005-05-12 00:00:00+00,3.38,3.43,3.36,3.4,1.49,540349,3676.57,280
2005-05-13 00:00:00+00,3.43,3.43,3.24,3.29,-3.24,2135664,14139.84,831
2005-05-16 00:00:00+00,2.99,3.07,2.95,2.98,-9.42,1383819,8332.94,774
2005-05-17 00:00:00+00,2.99,2.99,2.95,2.97,-0.34,182478,1082.99,171
2005-05-18 00:00:00+00,2.97,3.02,2.96,3,1.01,361486,2165.11,193
2005-05-19 00:00:00+00,3.06,3.07,3.03,3.04,1.33,509515,3107.7,263
2005-05-20 00:00:00+00,3.04,3.04,3.01,3.03,-0.33,218828,1322.96,156
2005-05-23 00:00:00+00,3.01,3.03,2.99,3.02,-0.33,364010,2186,169
2005-05-24 00:00:00+00,3,3.13,3,3.13,3.64,758574,4663.43,288
2005-05-25 00:00:00+00,3.15,3.24,3.14,3.21,2.56,696903,4463.57,305
2005-05-27 00:00:00+00,3.24,3.27,3.2,3.21,0,219443,1418.3,147
2005-05-30 00:00:00+00,3.2,3.2,3.14,3.17,-1.25,184666,1172.8,118
2005-05-31 00:00:00+00,3.16,3.21,3.15,3.17,0,639061,4058.29,203
2005-06-01 00:00:00+00,3.16,3.17,3.12,3.14,-0.95,399179,2510.17,134
2005-06-02 00:00:00+00,3.14,3.2,3.14,3.19,1.59,427020,2710.57,201
2005-06-03 00:00:00+00,3.2,3.24,3.2,3.22,0.94,493608,3178.61,205
2005-06-06 00:00:00+00,3.22,3.22,3.18,3.18,-1.24,204001,1305.07,128
2005-06-07 00:00:00+00,3.18,3.21,3.18,3.2,0.63,823412,5266.3,226
2005-06-08 00:00:00+00,3.2,3.2,3.16,3.17,-0.94,203363,1294.02,156
2005-06-09 00:00:00+00,3.17,3.22,3.14,3.21,1.26,970103,6180.37,287
2005-06-10 00:00:00+00,3.23,3.32,3.22,3.25,1.25,1396429,9162.98,518
2005-06-13 00:00:00+00,3.25,3.27,3.23,3.24,-0.31,184426,1196.17,147
2005-06-14 00:00:00+00,3.26,3.26,3.17,3.18,-1.85,598817,3821.09,312
2005-06-15 00:00:00+00,3.19,3.24,3.19,3.23,1.57,111467,715.28,94
2005-06-16 00:00:00+00,3.23,3.29,3.22,3.26,0.93,364195,2373.27,214
2005-06-17 00:00:00+00,3.28,3.28,3.23,3.24,-0.61,158013,1031.21,127
2005-06-20 00:00:00+00,3.22,3.26,3.22,3.25,0.31,173634,1127.56,109
2005-06-21 00:00:00+00,3.25,3.26,3.24,3.25,0,206978,1347.25,98
2005-06-22 00:00:00+00,3.25,3.26,3.23,3.24,-0.31,521350,3392.1,121
2005-06-23 00:00:00+00,3.24,3.25,3.21,3.24,0,324308,2099.14,125
2005-06-24 00:00:00+00,3.23,3.28,3.2,3.26,0.62,349124,2267.23,163
2005-06-27 00:00:00+00,3.27,3.35,3.25,3.28,0.61,396245,2627.38,250
2005-06-28 00:00:00+00,3.28,3.28,3.26,3.26,-0.61,75208,492.18,65
2005-06-29 00:00:00+00,3.27,3.27,3.25,3.26,0,177893,1160.5,48
2005-06-30 00:00:00+00,3.26,3.26,3.25,3.26,0,177854,1157.86,87
2005-07-01 00:00:00+00,3.24,3.26,3.24,3.25,-0.31,97964,636.1,78
2005-07-04 00:00:00+00,3.25,3.29,3.24,3.27,0.62,199492,1300.78,101
2005-07-05 00:00:00+00,3.27,3.29,3.26,3.28,0.31,183238,1200.06,128
2005-07-06 00:00:00+00,3.29,3.34,3.28,3.34,1.83,1107371,7354.63,352
2005-07-07 00:00:00+00,3.34,3.35,3.28,3.35,0.3,1094724,7269.52,354
2005-07-08 00:00:00+00,3.38,3.48,3.38,3.45,2.99,1266324,8679.81,520
2005-07-11 00:00:00+00,3.48,3.51,3.44,3.47,0.58,728079,5059.42,291
2005-07-12 00:00:00+00,3.46,3.49,3.45,3.48,0.29,147571,1023.85,87
2005-07-13 00:00:00+00,3.49,3.49,3.4,3.41,-2.01,400589,2756.38,221
