date,open,high,low,close,difference,volume,turnover,transactions
2007-12-07 00:00:00+00,12.78,12.84,12.7,12.84,0.31,23723,605.68,56
2007-12-10 00:00:00+00,12.89,12.94,12.78,12.82,-0.16,54481,1405.37,84
2007-12-11 00:00:00+00,12.9,12.94,12.6,12.7,-0.94,15305,391.45,65
2007-12-12 00:00:00+00,12.4,12.9,12.33,12.9,1.57,94521,2360.58,166
2007-12-13 00:00:00+00,12.71,12.71,12.36,12.37,-4.11,20521,513.97,84
2007-12-14 00:00:00+00,12.2,12.29,12.1,12.29,-0.65,30326,739.87,91
2007-12-17 00:00:00+00,11.82,12.32,11.6,12.3,0.08,68901,1681.89,139
2007-12-18 00:00:00+00,12.05,12.25,12.05,12.24,-0.49,58575,1426.61,117
2007-12-19 00:00:00+00,12.3,12.45,12.1,12.45,1.72,150067,3697.79,105
2007-12-20 00:00:00+00,12.2,12.5,12.2,12.5,0.4,121800,3022.69,179
2007-12-21 00:00:00+00,12.51,12.8,12.5,12.6,0.8,175928,4420.6,143
2007-12-27 00:00:00+00,12.5,12.74,12.46,12.6,0,24112,603.98,54
2007-12-28 00:00:00+00,12.6,12.65,12.5,12.5,-0.79,27909,700.75,50
2008-01-02 00:00:00+00,12.39,12.5,12.39,12.44,-0.48,9502,236.34,31
2008-01-03 00:00:00+00,12.4,12.4,11.85,12.19,-2.01,36894,887.85,102
2008-01-04 00:00:00+00,12.03,12.09,11.9,12,-1.56,234960,5637.01,107
2008-01-07 00:00:00+00,11.6,11.7,11.53,11.53,-3.92,29176,676.68,79
2008-01-08 00:00:00+00,11.33,11.5,11.2,11.5,-0.26,189133,4260.54,80
2008-01-09 00:00:00+00,11.33,11.33,10.75,10.75,-6.52,767383,17115.8,252
2008-01-10 00:00:00+00,10.5,10.74,10.5,10.6,-1.4,95662,2029.25,115
2008-01-11 00:00:00+00,10.53,10.7,10.53,10.62,0.19,50359,1067.62,72
2008-01-14 00:00:00+00,10.62,10.62,9.65,10.2,-3.95,221848,4456.15,287
2008-01-15 00:00:00+00,10.1,10.4,9.75,10.06,-1.37,104712,2136.92,213
2008-01-16 00:00:00+00,9.68,9.68,9.12,9.4,-6.56,267441,4982.2,388
2008-01-17 00:00:00+00,9.48,9.6,9.15,9.3,-1.06,82935,1552.73,153
2008-01-18 00:00:00+00,9.24,9.9,9.11,9.35,0.54,73789,1387.09,121
2008-01-21 00:00:00+00,9.25,9.41,9.2,9.35,0,138693,2591.7,130
2008-01-22 00:00:00+00,9,9.45,8.9,9.4,0.53,76493,1409.48,127
2008-01-23 00:00:00+00,9.65,10,9.6,9.8,4.26,63830,1252.58,114
2008-01-24 00:00:00+00,10.05,10.96,10.05,10.8,10.2,31929,665.46,112
2008-01-25 00:00:00+00,10.96,11.4,10.5,11.23,3.98,201772,4438.62,202
2008-01-28 00:00:00+00,11,11,10.35,10.56,-5.97,28140,600.11,92
2008-01-29 00:00:00+00,11.4,11.4,10.9,11.13,5.4,46214,1022.19,89
2008-01-30 00:00:00+00,11.13,11.4,10.95,10.95,-1.62,27698,619.1,96
2008-01-31 00:00:00+00,10.7,10.89,10.16,10.3,-5.94,42091,877.82,88
2008-02-01 00:00:00+00,10.55,10.59,10.15,10.15,-1.46,210547,4318.85,153
2008-02-04 00:00:00+00,10.6,10.65,10.4,10.44,2.86,22019,463.82,74
2008-02-05 00:00:00+00,10.48,10.48,10,10.1,-3.26,136311,2757.8,81
2008-02-06 00:00:00+00,9.78,10.1,9.71,9.95,-1.49,25515,504.29,92
2008-02-07 00:00:00+00,10.1,10.1,9.82,9.89,-0.6,16211,322.02,53
2008-02-08 00:00:00+00,9.95,9.95,9.68,9.76,-1.31,76361,1491.78,134
2008-02-11 00:00:00+00,10,10.2,9.9,10.02,2.66,7660,153.42,59
2008-02-12 00:00:00+00,10.02,10.19,9.98,10.18,1.6,45040,905.4,116
2008-02-13 00:00:00+00,10.17,10.33,10.06,10.33,1.47,10101,205.93,65
2008-02-14 00:00:00+00,10.42,10.65,10.2,10.33,0,11126,232.4,70
2008-02-15 00:00:00+00,10.15,10.33,10.1,10.33,0,20411,416.55,62
2008-02-18 00:00:00+00,10.21,10.4,10.2,10.39,0.58,7124,147,37
2008-02-19 00:00:00+00,10.35,10.35,10.15,10.16,-2.21,250116,5102.25,114
2008-02-20 00:00:00+00,10.2,10.2,9.9,10.11,-0.49,5431,108.77,39
2008-02-21 00:00:00+00,10.1,10.2,10.1,10.1,-0.1,30664,621.91,24
2008-02-22 00:00:00+00,10,10.1,9.85,10,-0.99,32306,644.85,85
2008-02-25 00:00:00+00,10.2,10.2,10,10,0,88798,1779.47,61
2008-02-26 00:00:00+00,10.05,10.25,9.95,9.95,-0.5,36442,733.72,109
2008-02-27 00:00:00+00,10,10.1,9.94,9.94,-0.1,11481,229.67,52
2008-02-28 00:00:00+00,9.99,10.01,9.94,9.94,0,83775,1672.78,48
2008-02-29 00:00:00+00,9.94,10.04,9.85,9.85,-0.91,15113,299.2,50
2008-03-03 00:00:00+00,9.83,9.83,9.52,9.6,-2.54,13651,261.77,53
2008-03-04 00:00:00+00,9.72,9.72,9.47,9.5,-1.04,16140,306.81,43
2008-03-05 00:00:00+00,9.55,9.6,9.36,9.6,1.05,35273,675.94,37
2008-03-06 00:00:00+00,9.89,9.89,9.4,9.6,0,59803,1148.61,36
2008-03-07 00:00:00+00,9.5,9.5,9.21,9.25,-3.65,43697,810.09,68
2008-03-10 00:00:00+00,9.26,9.3,9.21,9.24,-0.11,5844,108.21,26
2008-03-11 00:00:00+00,9.25,9.53,9.25,9.43,2.06,48836,915.23,100
2008-03-12 00:00:00+00,9.64,10.09,9.64,9.93,5.3,54950,1084.33,173
2008-03-13 00:00:00+00,9.29,9.77,9.29,9.55,-3.83,80187,1515.23,132
2008-03-14 00:00:00+00,9.59,9.95,9.55,9.95,4.19,37195,720.49,97
