date,open,high,low,close,difference,volume,turnover,transactions
2014-03-06 00:00:00+00,35.1,35.39,34.4,35.37,0.48,73853,2567.06,26
2014-03-07 00:00:00+00,35.17,35.36,34.5,35.36,-0.03,1156,40.32,11
2014-03-10 00:00:00+00,34.41,34.99,34.21,34.85,-1.44,5794,201.7,21
2014-03-11 00:00:00+00,34.8,35.16,34.38,34.9,0.14,18112,631.56,22
2014-03-12 00:00:00+00,34.2,35.17,34.2,34.4,-1.43,11007,384.02,34
2014-03-13 00:00:00+00,34.42,35.11,34.42,35,1.74,52137,1806.89,29
2014-03-14 00:00:00+00,34.31,34.8,34.15,34.3,-2,95229,3274.87,47
2014-03-17 00:00:00+00,34.42,35.08,34.11,34.5,0.58,34908,1197.56,16
2014-03-18 00:00:00+00,35,35,33.9,34,-1.45,1432,48.88,20
2014-03-19 00:00:00+00,33.51,34.95,33.51,34.15,0.44,2851,98.14,27
2014-03-20 00:00:00+00,34.84,35.4,34.8,35.4,3.66,1633,57.78,17
2014-03-21 00:00:00+00,35.4,35.5,34.65,35.4,0,14271,496.77,23
2014-03-24 00:00:00+00,35.37,35.37,34.01,34.99,-1.16,831,28.88,12
2014-03-25 00:00:00+00,34.99,35.4,34.9,35.4,1.17,11477,405.51,15
2014-03-26 00:00:00+00,34.8,35.3,34.8,35.29,-0.31,1565,55.09,7
2014-03-27 00:00:00+00,35.48,35.48,34.95,34.95,-0.96,106,3.71,6
2014-03-28 00:00:00+00,35.2,35.2,34.01,34.84,-0.31,2945,101.85,31
2014-03-31 00:00:00+00,34.84,35.2,34.75,35.2,1.03,7355,256.57,25
2014-04-01 00:00:00+00,35.2,35.2,35.18,35.19,-0.03,285,10.03,8
2014-04-02 00:00:00+00,34.3,35.19,34.3,35.15,-0.11,1497,51.92,21
2014-04-03 00:00:00+00,35.18,37,35.18,36.7,4.41,29495,1055.82,110
2014-04-04 00:00:00+00,36.7,36.9,36.07,36.7,0,22252,808.2,17
2014-04-07 00:00:00+00,36.65,37,36.5,37,0.82,1176,43.17,27
2014-04-08 00:00:00+00,37,37.7,36.23,37.46,1.24,6633,247.63,26
2014-04-09 00:00:00+00,37.06,37.68,37.06,37.5,0.11,1272,47.63,24
2014-04-10 00:00:00+00,37.55,37.55,37.09,37.49,-0.03,1504,56.18,19
2014-04-11 00:00:00+00,37.29,37.4,37.06,37.4,-0.24,422,15.73,5
2014-04-14 00:00:00+00,37.39,37.39,36.8,36.99,-1.1,3776,139.13,22
2014-04-15 00:00:00+00,36.51,36.99,35.42,36.99,0,4893,175.7,24
2014-04-16 00:00:00+00,36.99,36.99,36.2,36.98,-0.03,634,23.28,11
2014-04-17 00:00:00+00,36.96,36.96,35.67,36.89,-0.24,2547,92.64,16
2014-04-22 00:00:00+00,36.89,36.99,36.2,36.2,-1.87,10881,397.26,14
2014-04-23 00:00:00+00,36.98,36.98,36.6,36.6,1.1,11812,432.47,11
2014-04-24 00:00:00+00,36.95,36.95,36.2,36.86,0.71,1704,61.84,13
2014-04-25 00:00:00+00,36.3,36.88,36.2,36.8,-0.16,341,12.36,6
2014-04-28 00:00:00+00,36.7,36.9,36.2,36.9,0.27,4792,174.97,22
2014-04-29 00:00:00+00,36.21,36.8,36.2,36.8,-0.27,26321,958.47,10
