date,open,high,low,close,difference,volume,turnover,transactions
2010-11-09 00:00:00+00,50.75,54,50.5,54,25.58,11087438,1158902.24,72742
2010-11-10 00:00:00+00,54,54,52,52,-3.7,1336754,142138.28,17364
2010-11-12 00:00:00+00,51.1,53.6,50,53.6,3.08,1645338,169793.44,11830
2010-11-15 00:00:00+00,53.4,53.8,52,52.6,-1.87,378991,40115,4493
2010-11-16 00:00:00+00,52.3,52.5,51.2,51.2,-2.66,351484,36495.8,3527
2010-11-17 00:00:00+00,51.15,52,50.7,50.7,-0.98,421471,43195.63,3891
2010-11-18 00:00:00+00,51.5,52.1,51.05,51.05,0.69,257552,26554.8,2343
2010-11-19 00:00:00+00,51.5,51.6,50.95,51.2,0.29,361190,36990.54,2037
2010-11-22 00:00:00+00,51.2,51.5,51.05,51.25,0.1,343989,35248.04,1724
2010-11-23 00:00:00+00,51.2,51.2,50.15,50.15,-2.15,296379,30004.83,2700
2010-11-24 00:00:00+00,50.5,51,50.15,51,1.69,350759,35521.76,2445
2010-11-25 00:00:00+00,51.15,51.25,50.3,50.9,-0.2,81328,8273.26,1342
2010-11-26 00:00:00+00,50.9,50.9,49.91,50.6,-0.59,395358,39645.8,2960
2010-11-29 00:00:00+00,50.2,50.25,49.74,49.85,-1.48,159075,15889.73,2486
2010-11-30 00:00:00+00,49.5,50.5,49.5,50.5,1.3,98242,9843.37,2145
2010-12-01 00:00:00+00,50.5,52.2,50.2,52.1,3.17,217283,22411.39,3063
2010-12-02 00:00:00+00,52.1,52.35,51.7,52.05,-0.1,230447,24029.84,2339
2010-12-03 00:00:00+00,52,52.1,51.5,51.7,-0.67,57211,5935.22,1167
2010-12-06 00:00:00+00,51.65,51.7,50.9,51.1,-1.16,50660,5181.91,972
2010-12-07 00:00:00+00,50.7,51,50.4,50.75,-0.68,81640,8277.26,1190
2010-12-08 00:00:00+00,50.55,51.1,50.4,51.1,0.69,318767,32318.2,1085
2010-12-09 00:00:00+00,51,51.2,50.6,51,-0.2,130438,13310.09,1050
2010-12-10 00:00:00+00,51,51.1,50.7,50.85,-0.29,49448,5028.14,870
2010-12-13 00:00:00+00,50.9,51.5,50.9,51.5,1.28,77123,7908.48,1861
2010-12-14 00:00:00+00,51.1,51.4,50.6,50.6,-1.75,67486,6879.75,1005
2010-12-15 00:00:00+00,50.55,50.7,50.45,50.65,0.1,98995,10011.75,1189
2010-12-16 00:00:00+00,50.6,50.65,50.25,50.6,-0.1,69586,7019.15,1035
2010-12-17 00:00:00+00,50.4,50.5,50.2,50.25,-0.69,53590,5389.44,1034
2010-12-20 00:00:00+00,50.25,50.5,49.9,50.5,0.5,179205,17954.15,1963
2010-12-21 00:00:00+00,50.15,50.25,50,50.2,-0.59,89752,8991.23,1351
2010-12-22 00:00:00+00,50,50.3,49.99,50.1,-0.2,324375,32510.62,1539
2010-12-23 00:00:00+00,50,50.1,49.91,49.91,-0.38,111372,11137.78,1463
2010-12-27 00:00:00+00,49.93,49.99,49.31,49.35,-1.12,111179,11044.56,2311
2010-12-28 00:00:00+00,49.3,49.5,48.8,49.2,-0.3,237616,23376.18,2930
2010-12-29 00:00:00+00,49,49.98,49,49.98,1.59,109351,10788.98,1537
2010-12-30 00:00:00+00,50,50,49.6,49.65,-0.66,50998,5073.87,1057
2010-12-31 00:00:00+00,49.65,49.85,48.7,49,-1.31,82855,8141.03,932
2011-01-03 00:00:00+00,49.1,49.4,48.82,49.3,0.61,112633,5528.88,1207
2011-01-04 00:00:00+00,49.3,50.05,49.3,49.78,0.97,132594,6602.51,1403
2011-01-05 00:00:00+00,49.74,49.78,48.83,49.5,-0.56,114104,5629.14,1305
2011-01-07 00:00:00+00,49.2,49.25,48.58,48.62,-1.78,198656,9690.54,1420
2011-01-10 00:00:00+00,48.5,48.53,46.62,47.15,-3.02,150680,7123.45,2327
2011-01-11 00:00:00+00,46.95,47.93,46.95,47.8,1.38,153720,7303.52,1308
2011-01-12 00:00:00+00,48,49.19,47.95,49.19,2.91,158571,7703.27,1427
