date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,0,0,0,200,0,0,0,0
2005-01-04 00:00:00+00,195,199,195,199,-0.5,684,272.2,2
2005-01-05 00:00:00+00,195.5,198,194,194,-2.51,1459,567.03,12
2005-01-06 00:00:00+00,192,199,192,199,2.58,75,29.08,4
2005-01-07 00:00:00+00,193,195,193,195,-2.01,10220,3985.74,7
2005-01-10 00:00:00+00,197,197,197,197,1.03,50,19.7,1
2005-01-11 00:00:00+00,195,200,195,199.5,1.27,800,318,8
2005-01-12 00:00:00+00,199,199,198,198,-0.75,3470,1374.14,4
2005-01-13 00:00:00+00,200,205,200,205,3.54,74555,30007.91,25
2005-01-14 00:00:00+00,205,205,203,205,0,7283,2971.83,12
2005-01-17 00:00:00+00,205,206,205,205,0,210,86.14,9
2005-01-18 00:00:00+00,204,204,200,204,-0.49,15720,6413.67,14
2005-01-19 00:00:00+00,200,204,200,201,-1.47,3503,1428.28,8
2005-01-20 00:00:00+00,200,210,200,210,4.48,35102,14742.8,31
2005-01-21 00:00:00+00,203.5,205,203.5,205,-2.38,30002,12300.81,5
2005-01-24 00:00:00+00,202,204,202,204,-0.49,101,41.2,2
2005-01-25 00:00:00+00,210,210,202,202,-0.98,4442,1865.61,3
2005-01-26 00:00:00+00,208.5,208.5,203,203,0.5,33,13.46,3
2005-01-27 00:00:00+00,203,203,203,203,0,14,5.68,2
2005-01-28 00:00:00+00,203,203,203,203,0,101,41.01,6
2005-01-31 00:00:00+00,205,210,205,205.5,1.23,115,47.26,6
2005-02-01 00:00:00+00,210,210,205.5,205.5,0,60065,25226.82,13
2005-02-02 00:00:00+00,202,205.5,202,205.5,0,141,57.47,5
2005-02-03 00:00:00+00,205.5,205.5,205.5,205.5,0,8111,3333.62,9
2005-02-04 00:00:00+00,206,206,203.5,206,0.24,44,17.93,3
2005-02-07 00:00:00+00,203.5,209,203.5,209,1.46,7,2.86,2
2005-02-08 00:00:00+00,209,210,206,206,-1.44,8180,3435.17,6
2005-02-09 00:00:00+00,215,215,203.5,203.5,-1.21,1233,505.43,24
2005-02-10 00:00:00+00,208.5,210,207,207,1.72,161,67,11
2005-02-11 00:00:00+00,209,215,207,212,2.42,37304,15728.78,18
2005-02-14 00:00:00+00,219,219,215,219,3.3,16448,7172.78,30
2005-02-15 00:00:00+00,222,222,217,217,-0.91,10307,4514.98,21
2005-02-16 00:00:00+00,219.5,219.5,217,217.5,0.23,584,253.66,11
2005-02-17 00:00:00+00,217.5,219,211.5,218,0.23,5127,2244.12,14
2005-02-18 00:00:00+00,218.5,218.5,216,216.5,-0.69,294,128.28,7
2005-02-21 00:00:00+00,217,219,216.5,219,1.15,6655,2889.58,19
2005-02-22 00:00:00+00,217,218.5,217,217,-0.91,540,234.44,6
2005-02-23 00:00:00+00,218.5,218.5,213,213,-1.84,10315,4436.04,24
2005-02-24 00:00:00+00,211.5,211.5,209,210,-1.41,15512,6515.16,43
2005-02-25 00:00:00+00,212,212,209,209,-0.48,24345,10225.57,28
2005-02-28 00:00:00+00,209,211,209,210,0.48,19761,8299.59,24
2005-03-01 00:00:00+00,207.5,209,207.5,209,-0.48,760,317.66,8
2005-03-02 00:00:00+00,209.5,212,209.5,210,0.48,921,387.64,12
2005-03-03 00:00:00+00,210,210,209,209,-0.48,1639,686.33,8
2005-03-04 00:00:00+00,210,210,210,210,0.48,2106,884.52,4
2005-03-07 00:00:00+00,210,210,208,208,-0.95,2307,968.94,6
2005-03-08 00:00:00+00,205,205,205,205,-1.44,77,31.57,5
2005-03-09 00:00:00+00,205,205,205,205,0,219,89.79,5
2005-03-10 00:00:00+00,215,215,215,215,4.88,210,90.3,9
2005-03-11 00:00:00+00,201,208.5,200,200,-6.98,284,117.38,9
2005-03-14 00:00:00+00,200,204,192,192,-4,637,247.27,19
2005-03-15 00:00:00+00,192,203,189,189,-1.56,340,129,12
2005-03-16 00:00:00+00,185,190,185,187,-1.06,2173,812.88,10
2005-03-17 00:00:00+00,187,200,187,187,0,496,193.71,16
2005-03-18 00:00:00+00,200,200,192,192,2.67,5684,2264.65,20
2005-03-21 00:00:00+00,190,192,190,190.5,-0.78,1782,682.22,11
2005-03-22 00:00:00+00,189,190.5,189,189,-0.79,16891,6417.91,23
2005-03-23 00:00:00+00,196,196,190,196,3.7,58,22.45,6
2005-03-24 00:00:00+00,192,196,192,193,-1.53,6116,2355.07,12
2005-03-29 00:00:00+00,195,195,195,195,1.04,5000,1950,1
2005-03-30 00:00:00+00,195,195.5,195,195.5,0.26,55,21.49,6
2005-03-31 00:00:00+00,0,0,0,195.5,0,0,0,0
2005-04-01 00:00:00+00,198,198,195.5,195.5,0,14,5.48,4
2005-04-04 00:00:00+00,190.5,199,190.5,199,1.79,1006,400.26,5
2005-04-05 00:00:00+00,199.5,199.5,197.5,197.5,-0.75,37,14.66,5
2005-04-06 00:00:00+00,197.5,197.5,197.5,197.5,0,17,6.72,3
2005-04-07 00:00:00+00,195,199.5,195,199.5,1.01,204,80.5,6
2005-04-11 00:00:00+00,199.5,199.5,199.5,199.5,0,298,118.9,6
