date,open,high,low,close,difference,volume,turnover,transactions
2015-11-02 00:00:00+00,0.3,0.3,0.27,0.27,-6.9,19154,5.29,10
2015-11-03 00:00:00+00,0.3,0.3,0.29,0.29,7.41,11166,3.26,15
2015-11-04 00:00:00+00,0.29,0.29,0.25,0.27,-6.9,49366,12.97,18
2015-11-05 00:00:00+00,0.27,0.27,0.25,0.25,-7.41,30604,7.69,12
2015-11-06 00:00:00+00,0.26,0.32,0.26,0.3,20,104509,28.45,34
2015-11-09 00:00:00+00,0.33,0.38,0.32,0.38,26.67,24083,8.64,16
2015-11-10 00:00:00+00,0.36,0.38,0.33,0.35,-7.89,31471,10.93,27
2015-11-12 00:00:00+00,0.35,0.35,0.35,0.35,0,5,0,1
2015-11-13 00:00:00+00,0.34,0.34,0.31,0.33,-5.71,8557,2.7,10
2015-11-16 00:00:00+00,0.34,0.34,0.34,0.34,3.03,5,0,1
2015-11-17 00:00:00+00,0.34,0.37,0.33,0.37,8.82,41005,14.44,18
2015-11-18 00:00:00+00,0.33,0.39,0.3,0.39,5.41,192018,68.91,43
2015-11-19 00:00:00+00,0.42,0.5,0.41,0.42,7.69,378084,168.14,152
2015-11-20 00:00:00+00,0.41,0.42,0.37,0.41,-2.38,60225,24.32,28
2015-11-23 00:00:00+00,0.41,0.41,0.37,0.41,0,7534,2.97,13
2015-11-24 00:00:00+00,0.4,0.4,0.36,0.4,-2.44,16450,6.27,17
2015-11-25 00:00:00+00,0.39,0.39,0.39,0.39,-2.5,20,0.01,1
2015-11-26 00:00:00+00,0.4,0.4,0.36,0.4,2.56,9964,3.72,9
2015-11-27 00:00:00+00,0.41,0.41,0.39,0.41,2.5,32410,13.24,10
2015-11-30 00:00:00+00,0.4,0.4,0.38,0.4,-2.44,15522,5.94,6
2015-12-01 00:00:00+00,0.4,0.5,0.39,0.5,25,276931,127.85,86
2015-12-02 00:00:00+00,0.53,0.6,0.52,0.54,8,262243,146.02,129
2015-12-03 00:00:00+00,0.54,0.54,0.49,0.51,-5.56,83019,42.68,46
2015-12-04 00:00:00+00,0.51,0.54,0.43,0.44,-13.73,148443,72.17,76
2015-12-07 00:00:00+00,0.48,0.49,0.44,0.46,4.55,69116,32.3,56
2015-12-08 00:00:00+00,0.45,0.45,0.39,0.4,-13.04,204656,86.56,60
2015-12-09 00:00:00+00,0.42,0.44,0.36,0.38,-5,129268,51.32,59
2015-12-10 00:00:00+00,0.38,0.38,0.35,0.36,-5.26,53188,19.58,22
2015-12-11 00:00:00+00,0.37,0.37,0.34,0.34,-5.56,14981,5.12,9
2015-12-14 00:00:00+00,0.33,0.33,0.27,0.27,-20.59,137704,40.87,52
2015-12-15 00:00:00+00,0.27,0.27,0.24,0.27,0,72783,19.3,36
2015-12-16 00:00:00+00,0.27,0.27,0.24,0.24,-11.11,114578,28.2,47
2015-12-17 00:00:00+00,0.23,0.24,0.21,0.24,0,49369,11.59,32
2015-12-18 00:00:00+00,0.23,0.24,0.23,0.24,0,28496,6.79,15
2015-12-21 00:00:00+00,0.24,0.24,0.21,0.21,-12.5,78045,16.63,28
2015-12-22 00:00:00+00,0.23,0.23,0.19,0.22,4.76,78636,15.82,16
2015-12-23 00:00:00+00,0.22,0.22,0.21,0.21,-4.55,44959,9.49,10
2015-12-28 00:00:00+00,0.2,0.21,0.2,0.2,-4.76,61299,12.58,22
