date,open,high,low,close,difference,volume,turnover,transactions
2012-09-25 00:00:00+00,2.39,2.44,2.31,2.32,-3.73,53143,125.43,86
2012-09-26 00:00:00+00,2.33,2.35,2.15,2.19,-5.6,141180,318.49,163
2012-09-27 00:00:00+00,2.17,2.25,1.97,2.1,-4.11,383367,798.57,405
2012-09-28 00:00:00+00,2.1,2.18,2.02,2.1,0,80988,170.04,119
2012-10-01 00:00:00+00,2.1,2.1,1.99,2.04,-2.86,120771,244.88,135
2012-10-02 00:00:00+00,2.01,2.08,2,2,-1.96,82720,166.89,94
2012-10-03 00:00:00+00,1.97,2.5,1.94,2.5,25,864359,2022.61,522
2012-10-04 00:00:00+00,2.58,2.89,2.51,2.54,1.6,797698,2145.07,775
2012-10-05 00:00:00+00,2.57,2.66,2.42,2.46,-3.15,317999,799.75,435
2012-10-08 00:00:00+00,2.49,2.7,2.38,2.55,3.66,385651,1002.7,402
2012-10-09 00:00:00+00,2.64,2.64,2.46,2.56,0.39,117374,297.32,136
2012-10-10 00:00:00+00,2.58,2.58,2.41,2.5,-2.34,27125,66.66,56
2012-10-11 00:00:00+00,2.46,2.86,2.43,2.8,12,344925,941.37,315
2012-10-12 00:00:00+00,2.85,3.01,2.7,2.77,-1.07,364416,1064.11,355
2012-10-15 00:00:00+00,2.74,2.78,2.7,2.7,-2.53,46349,126.18,74
2012-10-16 00:00:00+00,2.66,2.76,2.63,2.64,-2.22,90122,240.26,114
2012-10-17 00:00:00+00,2.68,2.68,2.43,2.47,-6.44,182165,459.44,235
2012-10-18 00:00:00+00,2.46,2.46,2.25,2.39,-3.24,403384,941.68,472
2012-10-19 00:00:00+00,2.4,2.57,2.35,2.56,7.11,233032,580.46,261
2012-10-22 00:00:00+00,2.54,2.79,2.46,2.75,7.42,196196,521.9,184
2012-10-23 00:00:00+00,2.76,2.85,2.55,2.56,-6.91,189374,510.33,229
2012-10-24 00:00:00+00,2.56,2.6,2.39,2.51,-1.95,167432,416.8,182
2012-10-25 00:00:00+00,2.55,2.67,2.5,2.56,1.99,117234,303.21,127
2012-10-26 00:00:00+00,2.55,2.67,2.47,2.63,2.73,114800,297.55,104
2012-10-29 00:00:00+00,2.62,2.87,2.59,2.8,6.46,285312,798.2,281
2012-10-30 00:00:00+00,2.83,2.83,2.64,2.64,-5.71,124245,338.63,127
2012-10-31 00:00:00+00,2.6,2.73,2.55,2.64,0,75662,199.21,86
2012-11-02 00:00:00+00,2.7,2.78,2.61,2.72,3.03,38429,105.26,58
2012-11-05 00:00:00+00,2.75,3.29,2.75,3.15,15.81,740231,2262.21,636
2012-11-06 00:00:00+00,3.11,3.22,2.98,3,-4.76,411800,1274.87,354
2012-11-07 00:00:00+00,3.01,3.04,2.83,2.83,-5.67,138590,407.52,141
2012-11-08 00:00:00+00,2.93,3.2,2.9,3,6.01,455905,1391.91,365
2012-11-09 00:00:00+00,2.95,3,2.84,2.96,-1.33,160546,467.15,184
