date,open,high,low,close,difference,volume,turnover,transactions
2021-12-17 00:00:00+00,0.63,0.63,0.581,0.605,1.68,248719,148.44,116
2021-12-20 00:00:00+00,0.6,0.61,0.591,0.605,0,436822,261.92,119
2021-12-21 00:00:00+00,0.607,0.608,0.597,0.601,-0.66,571680,344.12,93
2021-12-22 00:00:00+00,0.598,0.604,0.584,0.596,-0.83,665142,393.62,135
2021-12-23 00:00:00+00,0.59,0.6,0.583,0.594,-0.34,724147,427.14,226
2021-12-27 00:00:00+00,0.588,0.59,0.575,0.587,-1.18,1573198,911.91,177
2021-12-28 00:00:00+00,0.58,0.589,0.578,0.586,-0.17,592708,346.09,159
2021-12-29 00:00:00+00,0.588,0.688,0.588,0.685,16.89,1255823,816.87,360
2021-12-30 00:00:00+00,0.681,0.685,0.646,0.67,-2.19,258253,170.06,140
2022-01-03 00:00:00+00,0.669,0.716,0.65,0.71,5.97,443671,309.82,218
2022-01-04 00:00:00+00,0.718,0.764,0.718,0.759,6.9,1046416,784.12,351
2022-01-05 00:00:00+00,0.757,0.763,0.73,0.761,0.26,388764,291.8,157
2022-01-07 00:00:00+00,0.741,0.762,0.733,0.758,-0.39,312709,233,136
2022-01-10 00:00:00+00,0.745,0.764,0.74,0.75,-1.06,145063,109.46,81
2022-01-11 00:00:00+00,0.75,0.757,0.73,0.756,0.8,191744,142.42,74
2022-01-12 00:00:00+00,0.74,0.754,0.727,0.74,-2.12,125118,92.14,81
2022-01-13 00:00:00+00,0.76,0.783,0.75,0.775,4.73,683866,525.06,245
2022-01-14 00:00:00+00,0.775,0.778,0.741,0.75,-3.23,419509,316.36,140
2022-01-17 00:00:00+00,0.75,0.756,0.73,0.749,-0.13,79125,58.42,63
2022-01-18 00:00:00+00,0.749,0.75,0.73,0.736,-1.74,39067,28.76,33
2022-01-19 00:00:00+00,0.736,0.744,0.726,0.739,0.41,193564,141.8,58
2022-01-20 00:00:00+00,0.798,0.82,0.732,0.74,0.14,1526854,1190.9,693
2022-01-21 00:00:00+00,0.738,0.74,0.68,0.695,-6.08,575090,401.36,230
2022-01-24 00:00:00+00,0.671,0.698,0.641,0.655,-5.76,460066,306.4,163
2022-01-25 00:00:00+00,0.654,0.669,0.64,0.65,-0.76,218938,142.41,95
2022-01-26 00:00:00+00,0.66,0.667,0.637,0.659,1.38,123190,79.86,86
2022-01-27 00:00:00+00,0.643,0.664,0.643,0.66,0.15,49327,32.27,35
2022-01-28 00:00:00+00,0.659,0.685,0.645,0.658,-0.3,98470,64.82,96
2022-01-31 00:00:00+00,0.665,0.684,0.658,0.677,2.89,126133,83.78,65
2022-02-01 00:00:00+00,0.679,0.685,0.645,0.665,-1.77,474591,313.23,146
2022-02-02 00:00:00+00,0.662,0.678,0.647,0.655,-1.5,217582,143.66,95
2022-02-03 00:00:00+00,0.669,0.669,0.645,0.65,-0.76,264620,173.47,67
2022-02-04 00:00:00+00,0.646,0.66,0.608,0.63,-3.08,447154,284.07,133
2022-02-07 00:00:00+00,0.645,0.645,0.617,0.627,-0.48,240650,149.72,47
2022-02-08 00:00:00+00,0.638,0.639,0.6,0.618,-1.44,299851,182.61,102
2022-02-09 00:00:00+00,0.609,0.627,0.598,0.604,-2.27,470101,285.4,108
2022-02-10 00:00:00+00,0.598,0.602,0.586,0.595,-1.49,822296,487.72,136
2022-02-11 00:00:00+00,0.603,0.603,0.589,0.598,0.5,70954,41.94,34
2022-02-14 00:00:00+00,0.585,0.59,0.58,0.59,-1.34,130709,76.3,68
2022-02-15 00:00:00+00,0.579,0.589,0.579,0.584,-1.02,249018,145.41,75
2022-02-16 00:00:00+00,0.587,0.592,0.584,0.584,0,306464,180.3,70
2022-02-17 00:00:00+00,0.587,0.59,0.577,0.585,0.17,171101,99.47,48
2022-02-18 00:00:00+00,0.581,0.588,0.577,0.58,-0.85,169921,99.05,35
