date,open,high,low,close,difference,volume,turnover,transactions
2016-01-14 00:00:00+00,0,0,0,1.48,0,0,0,0
2016-01-15 00:00:00+00,0,0,0,1.48,0,0,0,0
2016-01-18 00:00:00+00,1.36,1.4,1.36,1.4,-5.41,6527,8.9,9
2016-01-19 00:00:00+00,1.43,1.43,1.43,1.43,2.14,10,0.01,1
2016-01-20 00:00:00+00,1.46,1.46,1.46,1.46,2.1,1,0,1
2016-01-21 00:00:00+00,1.36,1.47,1.36,1.47,0.68,6289,8.89,8
2016-01-22 00:00:00+00,1.5,1.5,1.5,1.5,2.04,500,0.75,1
2016-01-25 00:00:00+00,0,0,0,1.5,0,0,0,0
2016-01-26 00:00:00+00,1.44,1.44,1.44,1.44,-4,1000,1.44,1
2016-01-27 00:00:00+00,0,0,0,1.44,0,0,0,0
2016-01-28 00:00:00+00,1.41,1.41,1.41,1.41,-2.08,510,0.72,1
2016-01-29 00:00:00+00,1.4,1.4,1.4,1.4,-0.71,690,0.97,1
2016-02-01 00:00:00+00,1.42,1.55,1.42,1.55,10.71,12260,18.16,9
2016-02-02 00:00:00+00,0,0,0,1.55,0,0,0,0
2016-02-03 00:00:00+00,1.54,1.54,1.54,1.54,-0.65,3,0,1
2016-02-04 00:00:00+00,1.53,1.58,1.53,1.58,2.6,2497,3.88,3
2016-02-05 00:00:00+00,1.55,1.57,1.54,1.57,-0.63,11500,17.84,5
2016-02-08 00:00:00+00,0,0,0,1.57,0,0,0,0
2016-02-09 00:00:00+00,0,0,0,1.57,0,0,0,0
2016-02-10 00:00:00+00,1.53,1.53,1.51,1.51,-3.82,844,1.29,2
2016-02-11 00:00:00+00,1.53,1.53,1.53,1.53,1.32,1956,2.99,2
2016-02-12 00:00:00+00,0,0,0,1.53,0,0,0,0
2016-02-15 00:00:00+00,1.53,1.53,1.53,1.53,0,2877,4.4,3
2016-02-16 00:00:00+00,1.52,1.53,1.52,1.53,0,3000,4.58,2
2016-02-17 00:00:00+00,1.48,1.55,1.44,1.55,1.31,1570,2.3,4
2016-02-18 00:00:00+00,0,0,0,1.55,0,0,0,0
2016-02-19 00:00:00+00,0,0,0,1.55,0,0,0,0
2016-02-22 00:00:00+00,1.54,1.54,1.54,1.54,-0.65,1000,1.54,2
2016-02-23 00:00:00+00,1.55,1.55,1.55,1.55,0.65,990,1.53,1
2016-02-24 00:00:00+00,1.51,1.51,1.48,1.48,-4.52,1000,1.5,2
2016-02-25 00:00:00+00,1.54,1.55,1.54,1.55,4.73,7157,11.09,4
2016-02-26 00:00:00+00,0,0,0,1.55,0,0,0,0
2016-02-29 00:00:00+00,1.52,1.52,1.48,1.48,-4.52,4639,6.91,5
2016-03-01 00:00:00+00,0,0,0,1.48,0,0,0,0
2016-03-02 00:00:00+00,1.5,1.52,1.5,1.52,2.7,3160,4.79,3
2016-03-03 00:00:00+00,1.52,1.52,1.52,1.52,0,1842,2.8,1
2016-03-04 00:00:00+00,1.55,1.55,1.55,1.55,1.97,50,0.08,1
2016-03-07 00:00:00+00,1.46,1.49,1.46,1.49,-3.87,1889,2.8,5
2016-03-08 00:00:00+00,1.47,1.47,1.45,1.45,-2.68,2000,2.92,2
2016-03-09 00:00:00+00,0,0,0,1.45,0,0,0,0
2016-03-10 00:00:00+00,0,0,0,1.45,0,0,0,0
2016-03-11 00:00:00+00,0,0,0,1.45,0,0,0,0
2016-03-14 00:00:00+00,1.45,1.45,1.45,1.45,0,900,1.31,4
2016-03-15 00:00:00+00,0,0,0,1.45,0,0,0,0
2016-03-16 00:00:00+00,1.5,1.56,1.5,1.5,3.45,2788,4.23,4
2016-03-17 00:00:00+00,0,0,0,1.5,0,0,0,0
2016-03-18 00:00:00+00,0,0,0,1.5,0,0,0,0
2016-03-21 00:00:00+00,0,0,0,1.5,0,0,0,0
2016-03-22 00:00:00+00,1.48,1.5,1.38,1.5,0,11856,16.91,18
2016-03-23 00:00:00+00,1.38,1.5,1.38,1.45,-3.33,23020,32.64,25
2016-03-24 00:00:00+00,1.45,1.49,1.4,1.45,0,5642,8.17,9
2016-03-29 00:00:00+00,1.4,1.45,1.35,1.45,0,8500,11.89,9
2016-03-30 00:00:00+00,1.4,1.41,1.37,1.37,-5.52,11000,15.29,7
2016-03-31 00:00:00+00,1.42,1.5,1.35,1.45,5.84,11837,16.85,14
2016-04-01 00:00:00+00,1.5,1.52,1.4,1.4,-3.45,29921,42.84,33
2016-04-04 00:00:00+00,1.45,1.5,1.4,1.5,7.14,11675,16.8,11
2016-04-05 00:00:00+00,1.41,1.42,1.38,1.4,-6.67,11800,16.47,15
2016-04-06 00:00:00+00,1.4,1.47,1.39,1.47,5,10671,15.24,9
2016-04-07 00:00:00+00,1.49,1.5,1.49,1.49,1.36,2700,4.03,4
2016-04-08 00:00:00+00,1.52,1.6,1.52,1.6,7.38,11244,17.63,15
2016-04-11 00:00:00+00,1.54,1.54,1.54,1.54,-3.75,300,0.46,1
2016-04-12 00:00:00+00,1.6,1.6,1.55,1.56,1.3,5420,8.47,10
2016-04-13 00:00:00+00,1.59,1.6,1.56,1.6,2.56,5430,8.63,6
2016-04-14 00:00:00+00,1.57,1.57,1.55,1.55,-3.13,2661,4.16,3
2016-04-15 00:00:00+00,1.6,1.75,1.6,1.7,9.68,9927,16.72,20
2016-04-18 00:00:00+00,0,0,0,1.7,0,0,0,0
2016-04-19 00:00:00+00,1.74,1.78,1.74,1.74,2.35,4190,7.36,8
2016-04-20 00:00:00+00,1.66,1.74,1.66,1.68,-3.45,3557,6,5
2016-04-21 00:00:00+00,0,0,0,1.68,0,0,0,0
2016-04-22 00:00:00+00,1.68,1.79,1.68,1.79,6.55,4879,8.51,14
2016-04-25 00:00:00+00,1.79,1.91,1.79,1.91,6.7,20312,37.62,28
2016-04-26 00:00:00+00,1.92,2,1.92,1.98,3.66,31613,61.59,45
2016-04-27 00:00:00+00,2.02,2.16,1.99,2,1.01,32570,66.24,51
2016-04-28 00:00:00+00,2.04,2.15,2.02,2.11,5.5,4872,10.06,11
2016-04-29 00:00:00+00,2.14,2.15,1.96,2.12,0.47,7628,15.64,14
2016-05-02 00:00:00+00,1.98,2.03,1.85,1.85,-12.74,6327,12.19,14
2016-05-04 00:00:00+00,1.98,2.05,1.96,1.96,5.95,7346,14.72,18
2016-05-05 00:00:00+00,2.02,2.04,2.02,2.04,4.08,3836,7.82,9
2016-05-06 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-09 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-10 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-11 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-12 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-13 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-16 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-17 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-18 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-19 00:00:00+00,0,0,0,2.04,0,0,0,0
2016-05-20 00:00:00+00,0,0,0,2.04,0,0,0,0
