date,open,high,low,close,difference,volume,turnover,transactions
2012-02-28 00:00:00+00,2.9,2.96,2.9,2.96,2.07,1955,5.69,15
2012-02-29 00:00:00+00,2.93,2.93,2.93,2.93,-1.01,278,0.81,1
2012-03-01 00:00:00+00,2.91,2.95,2.85,2.95,0.68,1989,5.77,8
2012-03-02 00:00:00+00,2.95,3.05,2.9,3.05,3.39,2155,6.39,7
2012-03-05 00:00:00+00,3.15,3.15,3.13,3.14,2.95,9747,30.66,12
2012-03-06 00:00:00+00,3.1,3.18,3.01,3.01,-4.14,4249,12.94,7
2012-03-07 00:00:00+00,3.1,3.1,3.1,3.1,2.99,1,0,1
2012-03-08 00:00:00+00,3.1,3.1,3.1,3.1,0,152,0.47,1
2012-03-09 00:00:00+00,3.1,3.12,3.1,3.12,0.65,1000,3.12,2
2012-03-12 00:00:00+00,3.03,3.03,3.03,3.03,-2.88,1013,3.07,2
2012-03-13 00:00:00+00,3.1,3.19,3.1,3.18,4.95,3623,11.39,10
2012-03-14 00:00:00+00,0,0,0,3.18,0,0,0,0
2012-03-15 00:00:00+00,3.18,3.18,3.18,3.18,0,3088,9.82,4
2012-03-16 00:00:00+00,3.18,3.4,3.18,3.4,6.92,13429,43.69,23
2012-03-19 00:00:00+00,3.4,3.58,3.4,3.5,2.94,14709,51.71,14
2012-03-20 00:00:00+00,3.45,3.45,3.3,3.44,-1.71,4360,14.54,8
2012-03-21 00:00:00+00,3.22,3.44,3.22,3.29,-4.36,1312,4.37,7
2012-03-22 00:00:00+00,3.11,3.44,3.11,3.44,4.56,61,0.19,2
2012-03-23 00:00:00+00,3.44,3.55,3.2,3.49,1.45,415,1.39,4
2012-03-26 00:00:00+00,3.35,3.48,3.35,3.48,-0.29,3850,13.14,6
2012-03-27 00:00:00+00,3.55,3.59,3.55,3.59,3.16,1386,4.94,4
2012-03-28 00:00:00+00,3.56,3.56,3.55,3.56,-0.84,940,3.34,4
2012-03-29 00:00:00+00,3.41,3.49,3.4,3.49,-1.97,3541,12.05,9
2012-03-30 00:00:00+00,3.58,3.58,3.37,3.58,2.58,47,0.16,5
2012-04-02 00:00:00+00,3.56,3.56,3.4,3.46,-3.35,226,0.78,3
2012-04-03 00:00:00+00,3.46,3.46,3.13,3.39,-2.02,2152,7.16,8
2012-04-04 00:00:00+00,3.22,3.37,3.22,3.37,-0.59,1144,3.81,4
2012-04-05 00:00:00+00,3.37,3.37,3.37,3.37,0,184,0.62,1
2012-04-10 00:00:00+00,0,0,0,3.37,0,0,0,0
2012-04-11 00:00:00+00,3.48,3.48,3.48,3.48,3.26,300,1.04,1
2012-04-12 00:00:00+00,3.3,3.3,3.3,3.3,-5.17,500,1.65,1
2012-04-13 00:00:00+00,0,0,0,3.3,0,0,0,0
2012-04-16 00:00:00+00,3.15,3.29,3.06,3.19,-3.33,8058,24.96,23
2012-04-17 00:00:00+00,3.2,3.27,3.2,3.27,2.51,1200,3.86,3
2012-04-18 00:00:00+00,0,0,0,3.27,0,0,0,0
2012-04-19 00:00:00+00,0,0,0,3.27,0,0,0,0
2012-04-20 00:00:00+00,3.01,3.15,3.01,3.15,-3.67,1010,3.04,3
2012-04-23 00:00:00+00,3.02,3.11,2.9,2.9,-7.94,4920,14.79,13
2012-04-24 00:00:00+00,2.9,3.11,2.9,3.11,7.24,560,1.67,3
2012-04-25 00:00:00+00,3.11,3.27,3,3.27,5.14,847,2.62,8
2012-04-26 00:00:00+00,3.27,3.27,3.27,3.27,0,480,1.57,3
2012-04-27 00:00:00+00,2.96,3.14,2.96,3.14,-3.98,680,2.02,5
2012-04-30 00:00:00+00,2.92,2.92,2.92,2.92,-7.01,400,1.17,2
2012-05-02 00:00:00+00,2.98,3.04,2.98,3.04,4.11,755,2.27,4
2012-05-04 00:00:00+00,3,3.04,2.9,3.04,0,2127,6.38,11
2012-05-07 00:00:00+00,2.91,3.03,2.9,3.03,-0.33,697,2.04,3
2012-05-08 00:00:00+00,2.94,3.04,2.94,3.04,0.33,145,0.43,3
2012-05-09 00:00:00+00,2.9,3.26,2.76,3.26,7.24,1630,4.92,9
2012-05-10 00:00:00+00,3.26,3.26,3.24,3.24,-0.61,410,1.33,2
2012-05-11 00:00:00+00,0,0,0,3.24,0,0,0,0
2012-05-14 00:00:00+00,3.05,3.05,3.04,3.04,-6.17,1346,4.09,4
2012-05-15 00:00:00+00,0,0,0,3.04,0,0,0,0
2012-05-16 00:00:00+00,0,0,0,3.04,0,0,0,0
2012-05-17 00:00:00+00,2.88,3.15,2.88,3.15,3.62,620,1.82,3
2012-05-18 00:00:00+00,2.84,3.04,2.84,3.04,-3.49,1153,3.28,4
2012-05-21 00:00:00+00,2.86,3.11,2.86,3.11,2.3,12,0.03,2
2012-05-22 00:00:00+00,2.89,3.01,2.88,3.01,-3.22,2281,6.58,7
2012-05-23 00:00:00+00,2.9,2.93,2.88,2.93,-2.66,1820,5.27,5
2012-05-24 00:00:00+00,3.01,3.01,3.01,3.01,2.73,10,0.03,1
2012-05-25 00:00:00+00,2.88,2.88,2.88,2.88,-4.32,1000,2.88,2
2012-05-28 00:00:00+00,2.88,2.88,2.88,2.88,0,83,0.24,1
2012-05-29 00:00:00+00,2.92,2.92,2.92,2.92,1.39,20,0.06,1
2012-05-30 00:00:00+00,2.92,3.13,2.92,3.13,7.19,54,0.16,2
2012-05-31 00:00:00+00,2.95,2.95,2.95,2.95,-5.75,500,1.48,1
2012-06-01 00:00:00+00,2.8,2.8,2.8,2.8,-5.08,880,2.46,1
2012-06-04 00:00:00+00,2.8,2.8,2.8,2.8,0,15,0.04,2
2012-06-05 00:00:00+00,0,0,0,2.8,0,0,0,0
2012-06-06 00:00:00+00,0,0,0,2.8,0,0,0,0
2012-06-08 00:00:00+00,2.94,2.94,2.94,2.94,5,200,0.59,3
2012-06-11 00:00:00+00,0,0,0,2.94,0,0,0,0
2012-06-12 00:00:00+00,2.93,2.93,2.93,2.93,-0.34,4000,11.72,1
2012-06-13 00:00:00+00,0,0,0,2.93,0,0,0,0
2012-06-14 00:00:00+00,0,0,0,2.93,0,0,0,0
2012-06-15 00:00:00+00,2.84,2.91,2.84,2.91,-0.68,200,0.57,2
2012-06-18 00:00:00+00,2.62,2.92,2.62,2.92,0.34,165,0.44,2
2012-06-19 00:00:00+00,0,0,0,2.92,0,0,0,0
2012-06-20 00:00:00+00,0,0,0,2.92,0,0,0,0
2012-06-21 00:00:00+00,2.64,2.9,2.64,2.7,-7.53,3401,9.17,5
2012-06-22 00:00:00+00,2.7,2.85,2.7,2.84,5.19,3950,11.14,3
2012-06-25 00:00:00+00,2.66,2.85,2.66,2.85,0.35,290,0.8,3
2012-06-26 00:00:00+00,0,0,0,2.85,0,0,0,0
2012-06-27 00:00:00+00,0,0,0,2.85,0,0,0,0
2012-06-28 00:00:00+00,2.66,2.94,2.66,2.94,3.16,889,2.45,6
2012-06-29 00:00:00+00,0,0,0,2.94,0,0,0,0
2012-07-02 00:00:00+00,2.74,2.93,2.74,2.93,-0.34,147,0.4,2
2012-07-03 00:00:00+00,2.76,3.22,2.73,3.22,9.9,1906,5.39,10
2012-07-04 00:00:00+00,2.9,3.19,2.9,3.19,-0.93,8008,24.43,5
2012-07-05 00:00:00+00,3.2,3.2,3.2,3.2,0.31,695,2.22,2
2012-07-06 00:00:00+00,3,3.21,3,3.21,0.31,4000,12.42,3
2012-07-09 00:00:00+00,3.11,3.22,3.11,3.22,0.31,1686,5.35,4
2012-07-10 00:00:00+00,3.3,3.37,3.3,3.37,4.66,1610,5.37,5
2012-07-11 00:00:00+00,0,0,0,3.37,0,0,0,0
2012-07-12 00:00:00+00,3.05,3.27,3,3.24,-3.86,1215,3.75,8
2012-07-13 00:00:00+00,2.99,3,2.9,2.9,-10.49,5882,17.44,6
2012-07-16 00:00:00+00,2.8,3.14,2.7,3.14,8.28,10319,30.33,18
2012-07-17 00:00:00+00,3.12,3.17,3.12,3.17,0.96,7178,22.62,11
2012-07-18 00:00:00+00,3.05,3.05,3.05,3.05,-3.79,450,1.37,1
2012-07-19 00:00:00+00,2.91,2.91,2.91,2.91,-4.59,440,1.28,1
2012-07-20 00:00:00+00,3.18,3.18,3.18,3.18,9.28,4,0.01,1
2012-07-23 00:00:00+00,2.92,3.46,2.91,3.2,0.63,5663,18,13
2012-07-24 00:00:00+00,0,0,0,3.2,0,0,0,0
2012-07-25 00:00:00+00,0,0,0,3.2,0,0,0,0
2012-07-26 00:00:00+00,0,0,0,3.2,0,0,0,0
2012-07-27 00:00:00+00,0,0,0,3.2,0,0,0,0
2012-07-30 00:00:00+00,0,0,0,3.2,0,0,0,0
2012-07-31 00:00:00+00,3.18,3.4,3.18,3.4,6.25,1000,3.22,4
2012-08-01 00:00:00+00,3.27,3.27,3.27,3.27,-3.82,170,0.56,1
2012-08-02 00:00:00+00,0,0,0,3.27,0,0,0,0
2012-08-03 00:00:00+00,2.95,3.1,2.95,3.1,-5.2,1010,3.01,3
2012-08-06 00:00:00+00,3,3,2.91,2.91,-6.13,400,1.17,2
2012-08-07 00:00:00+00,0,0,0,2.91,0,0,0,0
2012-08-08 00:00:00+00,2.85,3,2.85,3,3.09,580,1.66,3
2012-08-09 00:00:00+00,0,0,0,3,0,0,0,0
2012-08-10 00:00:00+00,0,0,0,3,0,0,0,0
2012-08-13 00:00:00+00,2.8,3,2.8,3,0,276,0.78,2
2012-08-14 00:00:00+00,2.8,2.98,2.8,2.98,-0.67,690,1.93,3
2012-08-16 00:00:00+00,0,0,0,2.98,0,0,0,0
2012-08-17 00:00:00+00,0,0,0,2.98,0,0,0,0
2012-08-20 00:00:00+00,0,0,0,2.98,0,0,0,0
2012-08-21 00:00:00+00,0,0,0,2.98,0,0,0,0
2012-08-22 00:00:00+00,0,0,0,2.98,0,0,0,0
2012-08-23 00:00:00+00,2.8,2.8,2.8,2.8,-6.04,70,0.2,1
2012-08-24 00:00:00+00,0,0,0,2.8,0,0,0,0
2012-08-27 00:00:00+00,2.8,2.9,2.79,2.9,3.57,2551,7.14,6
2012-08-28 00:00:00+00,2.8,2.96,2.8,2.96,2.07,501,1.4,2
2012-08-29 00:00:00+00,0,0,0,2.96,0,0,0,0
2012-08-30 00:00:00+00,0,0,0,2.96,0,0,0,0
2012-08-31 00:00:00+00,2.97,3,2.97,3,1.35,275,0.82,2
2012-09-03 00:00:00+00,0,0,0,3,0,0,0,0
2012-09-04 00:00:00+00,2.52,2.8,2.52,2.8,-6.67,1609,4.23,7
2012-09-05 00:00:00+00,2.8,2.8,2.8,2.8,0,392,1.1,1
2012-09-06 00:00:00+00,0,0,0,2.8,0,0,0,0
2012-09-07 00:00:00+00,0,0,0,2.8,0,0,0,0
2012-09-10 00:00:00+00,0,0,0,2.8,0,0,0,0
2012-09-11 00:00:00+00,0,0,0,2.8,0,0,0,0
2012-09-12 00:00:00+00,0,0,0,2.8,0,0,0,0
2012-09-13 00:00:00+00,3,3,3,3,7.14,100,0.3,1
2012-09-14 00:00:00+00,0,0,0,3,0,0,0,0
2012-09-17 00:00:00+00,0,0,0,3,0,0,0,0
2012-09-18 00:00:00+00,0,0,0,3,0,0,0,0
2012-09-19 00:00:00+00,3,3,3,3,0,14,0.04,1
2012-09-20 00:00:00+00,0,0,0,3,0,0,0,0
2012-09-21 00:00:00+00,2.7,2.95,2.7,2.95,-1.67,787,2.14,5
2012-09-24 00:00:00+00,2.7,2.94,2.7,2.94,-0.34,252,0.68,2
2012-09-25 00:00:00+00,2.66,2.8,2.59,2.8,-4.76,1463,3.95,12
2012-09-26 00:00:00+00,0,0,0,2.8,0,0,0,0
2012-09-27 00:00:00+00,2.65,2.85,2.54,2.71,-3.21,1410,3.68,8
2012-09-28 00:00:00+00,2.6,2.61,2.6,2.61,-3.69,801,2.08,4
2012-10-01 00:00:00+00,2.61,2.61,2.5,2.6,-0.38,900,2.31,3
2012-10-02 00:00:00+00,2.45,2.54,2.4,2.54,-2.31,3448,8.35,10
2012-10-03 00:00:00+00,2.45,2.54,2.45,2.54,0,161,0.4,2
2012-10-04 00:00:00+00,2.55,2.6,2.45,2.6,2.36,430,1.07,4
2012-10-05 00:00:00+00,2.46,2.6,2.46,2.6,0,3083,7.6,3
2012-10-08 00:00:00+00,2.5,2.59,2.5,2.59,-0.38,1055,2.64,3
2012-10-09 00:00:00+00,0,0,0,2.59,0,0,0,0
2012-10-10 00:00:00+00,0,0,0,2.59,0,0,0,0
2012-10-11 00:00:00+00,2.59,2.62,2.46,2.62,1.16,330,0.85,4
2012-10-12 00:00:00+00,0,0,0,2.62,0,0,0,0
2012-10-15 00:00:00+00,0,0,0,2.62,0,0,0,0
2012-10-16 00:00:00+00,2.65,2.71,2.5,2.5,-4.58,3096,7.77,5
2012-10-17 00:00:00+00,2.51,2.7,2.5,2.7,8,1045,2.61,5
2012-10-18 00:00:00+00,0,0,0,2.7,0,0,0,0
2012-10-19 00:00:00+00,0,0,0,2.7,0,0,0,0
2012-10-22 00:00:00+00,2.7,2.7,2.7,2.7,0,500,1.35,3
2012-10-23 00:00:00+00,0,0,0,2.7,0,0,0,0
2012-10-24 00:00:00+00,0,0,0,2.7,0,0,0,0
2012-10-25 00:00:00+00,0,0,0,2.7,0,0,0,0
2012-10-26 00:00:00+00,0,0,0,2.7,0,0,0,0
2012-10-29 00:00:00+00,2.57,2.7,2.53,2.7,0,1350,3.51,5
2012-10-30 00:00:00+00,2.58,2.6,2.58,2.6,-3.7,120,0.31,2
2012-10-31 00:00:00+00,2.58,2.6,2.53,2.6,0,5760,14.72,6
2012-11-02 00:00:00+00,2.69,2.69,2.69,2.69,3.46,90,0.24,1
2012-11-05 00:00:00+00,0,0,0,2.69,0,0,0,0
2012-11-06 00:00:00+00,0,0,0,2.69,0,0,0,0
2012-11-07 00:00:00+00,0,0,0,2.69,0,0,0,0
2012-11-08 00:00:00+00,2.69,2.69,2.69,2.69,0,275,0.74,1
2012-11-09 00:00:00+00,2.69,2.69,2.69,2.69,0,2595,6.98,5
2012-11-12 00:00:00+00,2.7,2.93,2.7,2.93,8.92,1684,4.75,8
2012-11-13 00:00:00+00,2.64,2.9,2.64,2.64,-9.9,2825,7.76,11
2012-11-14 00:00:00+00,2.92,2.93,2.75,2.9,9.85,4385,12.83,14
2012-11-15 00:00:00+00,2.75,2.94,2.75,2.94,1.38,2788,8.03,5
2012-11-16 00:00:00+00,2.95,2.95,2.95,2.95,0.34,5,0.01,1
2012-11-19 00:00:00+00,2.95,2.95,2.81,2.95,0,791,2.24,5
2012-11-20 00:00:00+00,2.95,3,2.85,3,1.69,874,2.55,4
2012-11-21 00:00:00+00,3,3,3,3,0,4249,12.75,9
2012-11-22 00:00:00+00,3.15,3.15,3.15,3.15,5,4,0.01,1
2012-11-23 00:00:00+00,3.12,3.15,3.12,3.15,0,1786,5.61,5
2012-11-26 00:00:00+00,3.2,3.2,3.19,3.2,1.59,1248,3.99,6
2012-11-27 00:00:00+00,3.19,3.19,3.19,3.19,-0.31,310,0.99,3
2012-11-28 00:00:00+00,0,0,0,3.19,0,0,0,0
2012-11-29 00:00:00+00,2.91,2.91,2.91,2.91,-8.78,700,2.04,2
2012-11-30 00:00:00+00,2.91,2.91,2.91,2.91,0,350,1.02,1
2012-12-03 00:00:00+00,2.9,2.9,2.71,2.89,-0.69,1201,3.43,5
2012-12-04 00:00:00+00,2.89,3.08,2.89,3.08,6.57,513,1.48,4
2012-12-05 00:00:00+00,0,0,0,3.08,0,0,0,0
2012-12-06 00:00:00+00,3.08,3.22,3.08,3.22,4.55,1662,5.19,6
2012-12-07 00:00:00+00,2.92,3.2,2.92,3.2,-0.62,360,1.05,2
2012-12-10 00:00:00+00,3.2,3.22,3.2,3.22,0.63,1241,3.97,6
2012-12-11 00:00:00+00,0,0,0,3.22,0,0,0,0
2012-12-12 00:00:00+00,2.9,3.18,2.9,2.9,-9.94,333,1.01,4
2012-12-13 00:00:00+00,3.1,3.19,3.1,3.19,10,70,0.22,2
2012-12-14 00:00:00+00,0,0,0,3.19,0,0,0,0
2012-12-17 00:00:00+00,3.11,3.25,2.88,3.19,0,3221,10.01,10
2012-12-18 00:00:00+00,2.91,3.17,2.9,3.17,-0.63,2540,7.41,8
2012-12-19 00:00:00+00,2.9,2.9,2.78,2.78,-12.3,1251,3.6,6
2012-12-20 00:00:00+00,2.78,2.78,2.71,2.71,-2.52,1810,4.97,8
2012-12-21 00:00:00+00,0,0,0,2.71,0,0,0,0
2012-12-27 00:00:00+00,2.96,2.96,2.96,2.96,9.23,10,0.03,1
2012-12-28 00:00:00+00,2.63,2.63,2.63,2.63,-11.15,240,0.63,1
2013-01-02 00:00:00+00,2.63,2.8,2.44,2.8,6.46,1000,2.55,5
2013-01-03 00:00:00+00,2.84,2.84,2.84,2.84,1.43,990,2.81,5
2013-01-04 00:00:00+00,0,0,0,2.84,0,0,0,0
2013-01-07 00:00:00+00,2.6,2.7,2.6,2.7,-4.93,1865,4.95,6
2013-01-08 00:00:00+00,2.6,2.6,2.6,2.6,-3.7,10,0.03,1
2013-01-09 00:00:00+00,2.6,2.6,2.6,2.6,0,1795,4.67,7
2013-01-10 00:00:00+00,2.6,2.69,2.6,2.68,3.08,3437,8.95,5
2013-01-11 00:00:00+00,0,0,0,2.68,0,0,0,0
2013-01-14 00:00:00+00,2.73,2.73,2.73,2.73,1.87,390,1.06,1
2013-01-15 00:00:00+00,2.75,2.75,2.75,2.75,0.73,298,0.82,1
2013-01-16 00:00:00+00,2.53,2.54,2.53,2.53,-8,14190,35.91,19
2013-01-17 00:00:00+00,2.53,2.53,2.34,2.53,0,5721,14.22,15
2013-01-18 00:00:00+00,2.53,2.53,2.5,2.5,-1.19,2500,6.3,3
2013-01-21 00:00:00+00,2.5,2.5,2.3,2.45,-2,9353,21.88,23
2013-01-22 00:00:00+00,2.33,2.33,2.33,2.33,-4.9,359,0.84,1
2013-01-23 00:00:00+00,2.35,2.4,2.32,2.4,3,700,1.64,4
2013-01-24 00:00:00+00,2.4,2.45,2.4,2.45,2.08,3460,8.43,5
2013-01-25 00:00:00+00,2.65,2.65,2.65,2.65,8.16,2,0.01,1
2013-01-28 00:00:00+00,2.35,2.5,2.35,2.5,-5.66,8199,20.09,11
2013-01-29 00:00:00+00,0,0,0,2.5,0,0,0,0
2013-01-30 00:00:00+00,2.5,2.5,2.4,2.5,0,2450,6.03,4
2013-01-31 00:00:00+00,2.4,2.5,2.3,2.49,-0.4,627,1.46,6
