date,open,high,low,close,difference,volume,turnover,transactions
2013-02-01 00:00:00+00,2.32,2.55,2.32,2.55,2.41,126,0.3,2
2013-02-04 00:00:00+00,0,0,0,2.55,0,0,0,0
2013-02-05 00:00:00+00,0,0,0,2.55,0,0,0,0
2013-02-06 00:00:00+00,2.3,2.3,2.3,2.3,-9.8,545,1.25,1
2013-02-07 00:00:00+00,2.3,2.49,2.3,2.49,8.26,569,1.4,4
2013-02-08 00:00:00+00,2.49,2.6,2.49,2.6,4.42,300,0.75,3
2013-02-11 00:00:00+00,2.6,2.6,2.4,2.4,-7.69,550,1.41,3
2013-02-12 00:00:00+00,2.4,2.4,2.35,2.4,0,992,2.38,5
2013-02-13 00:00:00+00,0,0,0,2.4,0,0,0,0
2013-02-14 00:00:00+00,2.55,2.55,2.55,2.55,6.25,533,1.36,2
2013-02-15 00:00:00+00,0,0,0,2.55,0,0,0,0
2013-02-18 00:00:00+00,2.36,2.4,2.35,2.4,-5.88,1820,4.31,8
2013-02-19 00:00:00+00,2.4,2.4,2.4,2.4,0,630,1.51,2
2013-02-20 00:00:00+00,0,0,0,2.4,0,0,0,0
2013-02-21 00:00:00+00,0,0,0,2.4,0,0,0,0
2013-02-22 00:00:00+00,2.55,2.6,2.55,2.6,8.33,1230,3.14,5
2013-02-25 00:00:00+00,0,0,0,2.6,0,0,0,0
2013-02-26 00:00:00+00,0,0,0,2.6,0,0,0,0
2013-02-27 00:00:00+00,0,0,0,2.6,0,0,0,0
2013-02-28 00:00:00+00,0,0,0,2.6,0,0,0,0
2013-03-01 00:00:00+00,2.55,2.55,2.55,2.55,-1.92,541,1.38,2
2013-03-04 00:00:00+00,2.59,2.6,2.51,2.51,-1.57,8631,21.95,15
2013-03-05 00:00:00+00,2.59,2.79,2.59,2.79,11.16,425,1.11,4
2013-03-06 00:00:00+00,2.79,2.79,2.79,2.79,0,832,2.32,3
2013-03-07 00:00:00+00,2.84,2.85,2.84,2.85,2.15,975,2.77,3
2013-03-08 00:00:00+00,2.85,2.88,2.76,2.76,-3.16,1576,4.36,4
2013-03-11 00:00:00+00,2.59,2.7,2.5,2.69,-2.54,671,1.73,8
2013-03-12 00:00:00+00,2.46,2.68,2.46,2.55,-5.2,1848,4.63,8
2013-03-13 00:00:00+00,2.49,2.69,2.48,2.68,5.1,1937,5.12,5
2013-03-14 00:00:00+00,2.66,2.66,2.6,2.65,-1.12,518,1.35,5
2013-03-15 00:00:00+00,2.68,2.68,2.68,2.68,1.13,26,0.07,1
2013-03-18 00:00:00+00,2.65,2.65,2.65,2.65,-1.12,50,0.13,1
2013-03-19 00:00:00+00,0,0,0,2.65,0,0,0,0
2013-03-20 00:00:00+00,2.6,2.6,2.39,2.59,-2.26,659,1.61,5
2013-03-21 00:00:00+00,2.59,2.59,2.35,2.35,-9.27,1252,2.98,6
2013-03-22 00:00:00+00,2.35,2.65,2.35,2.65,12.77,1960,4.61,6
2013-03-25 00:00:00+00,2.65,2.65,2.65,2.65,0,10,0.03,1
2013-03-26 00:00:00+00,2.64,2.64,2.64,2.64,-0.38,3,0.01,1
2013-03-27 00:00:00+00,2.3,2.6,2.3,2.6,-1.52,274,0.63,3
