date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,104.5,104.5,101.5,102,0,1133,231.66,20
2005-01-04 00:00:00+00,102,102,99.6,101,-0.98,994,199.39,23
2005-01-05 00:00:00+00,98.5,100,97.4,98.5,-2.48,1504,295.81,51
2005-01-06 00:00:00+00,98.5,98.5,93.1,96.2,-2.34,2385,457.7,53
2005-01-07 00:00:00+00,95.2,95.2,93.5,94,-2.29,4452,837.54,42
2005-01-10 00:00:00+00,94,94,92.8,93.5,-0.53,837,156.59,26
2005-01-11 00:00:00+00,92.3,93,91,91.5,-2.14,829,152.81,22
2005-01-12 00:00:00+00,91.6,92,90,90.7,-0.87,2724,496.74,59
2005-01-13 00:00:00+00,91,92.9,89.6,89.6,-1.21,19076,3470.52,50
2005-01-14 00:00:00+00,90.3,91.4,90,90.6,1.12,1871,340.06,18
2005-01-17 00:00:00+00,91,92.7,90.6,92.5,2.1,4622,841.92,24
2005-01-18 00:00:00+00,93.1,94.9,89.9,93,0.54,94723,17672.6,171
2005-01-19 00:00:00+00,93.9,96,93.7,94,1.08,5237,987.48,112
2005-01-20 00:00:00+00,94.6,95.7,91,95,1.06,5477,1031.26,69
2005-01-21 00:00:00+00,95.5,96,93.6,94.7,-0.32,614,116.13,21
2005-01-24 00:00:00+00,96,96,94,94.7,0,814,154.57,21
2005-01-25 00:00:00+00,94.5,94.7,93.6,94.5,-0.21,779,146.72,26
2005-01-26 00:00:00+00,94.5,95,93.7,95,0.53,2100,396.31,33
2005-01-27 00:00:00+00,93.8,95,93.7,94.7,-0.32,197,37.21,16
2005-01-28 00:00:00+00,95,95.2,94,94.9,0.21,582,110.58,21
2005-01-31 00:00:00+00,94.9,95.2,93.8,94.5,-0.42,636,120.07,24
2005-02-01 00:00:00+00,94.6,94.6,92,93.2,-1.38,1721,321.24,51
2005-02-02 00:00:00+00,94.2,94.3,93.4,93.6,0.43,1010,190.11,30
2005-02-03 00:00:00+00,94,94.5,93.6,94.5,0.96,1023,192.22,25
2005-02-04 00:00:00+00,94.8,94.8,94,94.5,0,1086,205.29,24
2005-02-07 00:00:00+00,94.5,96,94.2,96,1.59,1677,319.93,36
2005-02-08 00:00:00+00,96.4,96.4,94.7,95,-1.04,2402,456.95,39
2005-02-09 00:00:00+00,95,95.9,95,95.4,0.42,7343,1395.9,24
2005-02-10 00:00:00+00,95.7,95.9,94.6,94.6,-0.84,2744,522.22,34
2005-02-11 00:00:00+00,94.6,94.8,90.5,94,-0.63,3936,734,55
2005-02-14 00:00:00+00,95.6,95.7,94.3,95,1.06,1142,217.15,28
2005-02-15 00:00:00+00,95,95.2,94,94.5,-0.53,35117,6611.19,57
2005-02-16 00:00:00+00,94.9,95,94,95,0.53,5138,969.78,64
2005-02-17 00:00:00+00,95,95.3,93.7,93.7,-1.37,2297,433.37,36
2005-02-18 00:00:00+00,93.9,94,93.7,94,0.32,2148,403.58,38
2005-02-21 00:00:00+00,94,95,94,94.9,0.96,10395,1974.63,27
2005-02-22 00:00:00+00,95.9,96,95.5,95.9,1.05,24424,4680.99,83
2005-02-23 00:00:00+00,95.8,99,95.8,98.1,2.29,3842,748.73,102
2005-02-24 00:00:00+00,99,102.5,99,99.5,1.43,7769,1557.61,162
2005-02-25 00:00:00+00,100.5,101.5,98.5,99,-0.5,1809,360.39,66
2005-02-28 00:00:00+00,99,99,96.5,96.5,-2.53,1597,311.47,37
2005-03-01 00:00:00+00,96.5,99.9,96.5,97.5,1.04,6878,1348.71,94
2005-03-02 00:00:00+00,99.5,99.5,96.7,97.5,0,3228,631.09,51
2005-03-03 00:00:00+00,99,99,96.8,96.9,-0.62,566,109.99,16
2005-03-04 00:00:00+00,96.8,97.9,96.3,96.4,-0.52,1336,259.34,19
2005-03-07 00:00:00+00,97.4,98,96.5,96.9,0.52,1802,349.58,24
2005-03-08 00:00:00+00,97.5,97.5,96,96.9,0,20928,4019.38,38
2005-03-09 00:00:00+00,96.8,96.9,95.2,96.9,0,51379,9865,39
2005-03-10 00:00:00+00,97,97,95,95.9,-1.03,725,138.55,33
2005-03-11 00:00:00+00,95,95.9,94.6,95.7,-0.21,711,134.78,23
2005-03-14 00:00:00+00,94.5,95,93,94.4,-1.36,1305,245.6,34
2005-03-15 00:00:00+00,93,94,93,94,-0.42,4654,870.1,40
2005-03-16 00:00:00+00,93.8,95,93.4,95,1.06,21242,3994.19,38
2005-03-17 00:00:00+00,94.5,95.5,94.5,95.4,0.42,5904,1121.39,34
2005-03-18 00:00:00+00,95.5,96.5,95.1,96.5,1.15,3468,663.2,45
2005-03-21 00:00:00+00,97.2,97.9,97,97,0.52,964,187.61,30
2005-03-22 00:00:00+00,97.5,102.5,97.5,101.5,4.64,13206,2644.35,216
2005-03-23 00:00:00+00,103,105,102.5,102.5,0.99,19414,4019.75,183
2005-03-24 00:00:00+00,103,104,101,102,-0.49,3655,752.72,65
2005-03-29 00:00:00+00,103,104.5,102.5,104.5,2.45,7096,1467.53,48
2005-03-30 00:00:00+00,104,104,102.5,103.5,-0.96,5148,1067.58,63
2005-03-31 00:00:00+00,103.5,103.5,101,103,-0.48,2581,526.1,57
2005-04-01 00:00:00+00,103,103,98.5,99.3,-3.59,8711,1727.39,114
2005-04-04 00:00:00+00,99.3,99.5,98.6,99,-0.3,848,167.52,16
2005-04-05 00:00:00+00,99.7,99.8,98.9,99.5,0.51,241,47.91,18
2005-04-06 00:00:00+00,99.8,100,99,99.9,0.4,674,134.54,25
2005-04-07 00:00:00+00,98.4,99.9,98.4,99,-0.9,978,193.41,24
2005-04-11 00:00:00+00,99,100.5,99,100,1.01,403,80.48,13
2005-04-12 00:00:00+00,100,102,99.8,100,0,497,99.53,17
2005-04-13 00:00:00+00,102,102,99,100.5,0.5,2657,531.42,18
2005-04-14 00:00:00+00,99,100,99,100,-0.5,110,21.97,6
2005-04-15 00:00:00+00,99,99,98,99,-1,640,126.05,20
2005-04-18 00:00:00+00,97.6,99,93.5,97.5,-1.52,2269,439.37,59
2005-04-19 00:00:00+00,97.4,98,94.8,98,0.51,759,147.09,30
2005-04-20 00:00:00+00,99,99,97,97,-1.02,520,100.89,13
2005-04-21 00:00:00+00,95,98,94.2,95.6,-1.44,11524,2198.02,65
2005-04-22 00:00:00+00,98,98.8,95.6,97,1.46,60,11.54,8
2005-04-25 00:00:00+00,94.5,97.9,94.5,96,-1.03,10387,1994.19,33
2005-04-26 00:00:00+00,96,96,93.5,93.5,-2.6,744,140.43,18
2005-04-27 00:00:00+00,93.5,94.9,93.5,93.5,0,1784,333.74,20
2005-04-28 00:00:00+00,93.6,95,93.5,94.9,1.5,2950,555.65,20
2005-04-29 00:00:00+00,95.5,96,95,95,0.11,2048,389.26,21
2005-05-02 00:00:00+00,95,96.5,95,96.5,1.58,48,9.2,6
2005-05-04 00:00:00+00,96.5,96.8,96,96,-0.52,5312,1019.94,23
2005-05-05 00:00:00+00,96,96,95.8,96,0,6787,1303.09,27
2005-05-06 00:00:00+00,95.9,96,95.5,95.5,-0.52,138,26.39,7
2005-05-09 00:00:00+00,94.6,96,94.6,96,0.52,1724,328.51,25
2005-05-10 00:00:00+00,95.1,96,95.1,96,0,1759,335.15,15
2005-05-11 00:00:00+00,95,96,95,96,0,404,77.4,8
2005-05-12 00:00:00+00,96.3,96.5,96.3,96.3,0.31,847,163.17,10
2005-05-13 00:00:00+00,96.8,98.8,96.8,98.4,2.18,1421,277.24,18
2005-05-16 00:00:00+00,98.6,98.8,97.6,98.8,0.41,4084,804.85,38
2005-05-17 00:00:00+00,98,99.8,98,99.7,0.91,540,107.09,12
