date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,56,59,54.7,59,5.36,10116,1158.86,83
2005-01-04 00:00:00+00,59.9,59.9,57.2,59,0,5899,690.95,44
2005-01-05 00:00:00+00,58,59.2,58,59,0,2310,271.15,22
2005-01-06 00:00:00+00,58,59.5,58,58,-1.69,4953,582.71,39
2005-01-07 00:00:00+00,58.1,61,58.1,59.5,2.59,2516,301.37,28
2005-01-10 00:00:00+00,59.5,60.1,59,59,-0.84,2521,298.63,28
2005-01-11 00:00:00+00,59,59,59,59,0,1240,146.32,14
2005-01-12 00:00:00+00,60,63,60,62.5,5.93,3310,407.65,42
2005-01-13 00:00:00+00,61.5,67.4,61.5,65.5,4.8,7271,945.69,71
2005-01-14 00:00:00+00,64.5,65.7,64.1,65,-0.76,3625,471.34,34
2005-01-17 00:00:00+00,65.8,71,65.1,68.3,5.08,8790,1194.49,72
2005-01-18 00:00:00+00,70,73,69.5,69.7,2.05,3435,484.62,55
2005-01-19 00:00:00+00,70,71,69.5,70,0.43,2595,363.21,29
2005-01-20 00:00:00+00,70.1,70.1,68,70,0,1658,230.4,35
2005-01-21 00:00:00+00,70,70,69,70,0,1188,165.36,23
2005-01-24 00:00:00+00,69,69,66,66,-5.71,2208,294.48,50
2005-01-25 00:00:00+00,66.8,68,66,68,3.03,1171,157.03,21
2005-01-26 00:00:00+00,66.7,71,66.7,70.4,3.53,4100,574.72,29
2005-01-27 00:00:00+00,70.4,70.4,68.8,70,-0.57,226,31.37,9
2005-01-28 00:00:00+00,69,69,68.2,69,-1.43,519,71.42,17
2005-01-31 00:00:00+00,68.8,70.3,68,70.3,1.88,2276,315.59,32
2005-02-01 00:00:00+00,70.3,70.4,68.7,68.8,-2.13,483,66.74,17
2005-02-02 00:00:00+00,68.3,70.5,68.2,70,1.74,1448,202.54,18
2005-02-03 00:00:00+00,69.8,70,69.8,69.9,-0.14,908,126.92,16
2005-02-04 00:00:00+00,69.9,69.9,68,68.4,-2.15,1822,249.53,23
2005-02-07 00:00:00+00,67,68.9,65.6,68.9,0.73,1229,166.05,31
2005-02-08 00:00:00+00,66.1,68.8,66.1,67.9,-1.45,1497,200.93,32
2005-02-09 00:00:00+00,66.7,66.7,65.8,66.2,-2.5,998,132.15,26
