date,open,high,low,close,difference,volume,turnover,transactions
2008-07-15 00:00:00+00,90,91,84,91,-3.19,221,37.66,6
2008-07-16 00:00:00+00,89,89,80,88.8,-2.42,925,148.65,8
2008-07-17 00:00:00+00,88,88,86.8,87,-2.03,11,1.92,3
2008-07-18 00:00:00+00,80,85,78.5,78.5,-9.77,330,52.65,9
2008-07-21 00:00:00+00,85,85,85,85,8.28,102,17.34,2
2008-07-22 00:00:00+00,78.5,85,78.5,85,0,31,5.26,2
2008-07-23 00:00:00+00,85,85,85,85,0,431,73.27,4
2008-07-24 00:00:00+00,85,85,83,83,-2.35,14,2.33,2
2008-07-25 00:00:00+00,83,83,83,83,0,100,16.6,2
2008-07-28 00:00:00+00,83,83,83,83,0,143,23.74,2
2008-07-29 00:00:00+00,83,83,83,83,0,1,0.17,1
2008-07-30 00:00:00+00,83,83,82,82,-1.2,16,2.63,2
2008-07-31 00:00:00+00,83,83,83,83,1.22,2,0.33,1
2008-08-01 00:00:00+00,79.1,79.1,79.1,79.1,-4.7,1,0.16,1
2008-08-04 00:00:00+00,83,83,77.7,77.7,-1.77,132,20.53,5
2008-08-05 00:00:00+00,82.9,82.9,77.1,80.5,3.6,259,41.29,8
2008-08-06 00:00:00+00,82.5,82.5,72,73.2,-9.07,618,95.37,17
2008-08-07 00:00:00+00,80,80,72.5,75,2.46,498,75.03,17
2008-08-08 00:00:00+00,78,78,71,78,4,290,43,9
2008-08-11 00:00:00+00,78,78,71,72.7,-6.79,448,66.17,21
2008-08-12 00:00:00+00,74,77,74,77,5.91,287,43.71,8
2008-08-13 00:00:00+00,78,78,77,77,0,61,9.45,4
2008-08-14 00:00:00+00,72.4,77,72.4,77,0,168,25.09,9
2008-08-18 00:00:00+00,77.95,77.95,77.95,77.95,1.23,9,1.4,2
2008-08-19 00:00:00+00,77.9,77.95,77,77,-1.22,158,24.41,7
2008-08-20 00:00:00+00,77,77,71,71,-2.67,530,76.05,6
2008-08-21 00:00:00+00,71,71,71,71,0,307,43.59,8
2008-08-22 00:00:00+00,74,74,74,74,4.23,1,0.15,1
2008-08-25 00:00:00+00,72,72.95,71,71,-4.05,1275,181.3,13
2008-08-26 00:00:00+00,71,71,69,71,0,564,79.06,9
2008-08-27 00:00:00+00,70.95,70.95,70.95,70.95,-0.07,2,0.28,1
2008-08-28 00:00:00+00,69.95,71,69,71,0.07,640,90.72,7
2008-08-29 00:00:00+00,71,71,71,71,0,2,0.28,1
2008-09-01 00:00:00+00,72,72,70,70,-1.41,24,3.37,2
2008-09-02 00:00:00+00,70,70,67,70,0,177,24.15,9
2008-09-03 00:00:00+00,69.95,69.95,67,67,-4.29,24,3.35,3
2008-09-04 00:00:00+00,69.95,69.95,69.95,69.95,4.4,3,0.42,1
2008-09-05 00:00:00+00,69.95,69.95,69.95,69.95,0,2,0.28,1
2008-09-08 00:00:00+00,69,69,68.8,68.8,-1.64,57,7.84,3
2008-09-09 00:00:00+00,69,69,68,68,-1.16,161,21.91,4
2008-09-10 00:00:00+00,68,68,67,67,-1.47,22,2.95,2
2008-09-11 00:00:00+00,72,72,68.7,68.7,2.54,174,23.99,3
2008-09-12 00:00:00+00,69.9,70.1,66.8,70.1,2.04,200,26.99,6
2008-09-15 00:00:00+00,70,70,70,70,-0.14,110,15.4,3
2008-09-16 00:00:00+00,70,70,70,70,0,2,0.28,1
2008-09-17 00:00:00+00,70,70,70,70,0,2,0.28,1
2008-09-18 00:00:00+00,65.85,68,64.8,68,-2.86,203,26.82,5
2008-09-19 00:00:00+00,65,69.3,64.7,69.3,1.91,112,14.55,4
2008-09-22 00:00:00+00,70,70,70,70,1.01,2,0.28,1
2008-09-23 00:00:00+00,70,70,70,70,0,2,0.28,1
2008-09-24 00:00:00+00,70,70,67.3,70,0,408,56.6,6
2008-09-25 00:00:00+00,70,70,70,70,0,2,0.28,1
2008-09-26 00:00:00+00,69,69,69,69,-1.43,2,0.28,1
2008-09-29 00:00:00+00,69,69,66.85,66.85,-3.12,168,22.5,3
2008-09-30 00:00:00+00,66.85,66.85,64.3,66.8,-0.07,183,23.67,5
2008-10-01 00:00:00+00,64,67,64,67,0.3,731,97.19,5
2008-10-02 00:00:00+00,68,68,68,68,1.49,6002,816.27,5
2008-10-03 00:00:00+00,68,68,68,68,0,2,0.27,1
2008-10-06 00:00:00+00,64,67,61.3,67,-1.47,213,28.04,5
2008-10-07 00:00:00+00,67,67.9,65.9,67.9,1.34,191,25.28,7
2008-10-08 00:00:00+00,68,68,63.05,68,0.15,109,13.96,3
2008-10-09 00:00:00+00,68,68,68,68,0,2,0.27,1
2008-10-10 00:00:00+00,68,68,68,68,0,2,0.27,1
2008-10-13 00:00:00+00,65,68,64.9,68,0,173,22.49,3
2008-10-14 00:00:00+00,64,66.95,61.5,66.95,-1.54,286,37.44,10
2008-10-15 00:00:00+00,66.6,66.6,66.6,66.6,-0.52,2,0.27,1
2008-10-16 00:00:00+00,67.5,67.5,67.5,67.5,1.35,2,0.27,1
2008-10-17 00:00:00+00,67,67,67,67,-0.74,56,7.5,3
2008-10-20 00:00:00+00,68,68,65.55,68,1.49,48,6.33,4
2008-10-21 00:00:00+00,63.45,66.9,63.45,66.9,-1.62,180,22.99,2
2008-10-22 00:00:00+00,63.75,68,63.75,68,1.64,188,24.23,4
2008-10-23 00:00:00+00,68,68,68,68,0,5,0.68,2
2008-10-24 00:00:00+00,67.95,67.95,67.95,67.95,-0.07,1,0.14,1
2008-10-27 00:00:00+00,67.95,67.95,67.95,67.95,0,1,0.14,1
2008-10-28 00:00:00+00,67.95,67.95,67.95,67.95,0,1,0.14,1
2008-10-29 00:00:00+00,67.8,67.8,67.8,67.8,-0.22,10,1.36,1
2008-10-30 00:00:00+00,67.95,67.95,67.95,67.95,0.22,2,0.27,1
2008-10-31 00:00:00+00,67.95,67.95,67.95,67.95,0,7,0.95,1
2008-11-03 00:00:00+00,67.95,67.95,67.95,67.95,0,2,0.27,1
2008-11-04 00:00:00+00,67,67,67,67,-1.4,12,1.61,1
2008-11-05 00:00:00+00,67,67,64.25,64.25,-4.1,167,21.51,2
2008-11-06 00:00:00+00,67,67,64.3,64.3,0.08,16,2.07,2
2008-11-07 00:00:00+00,66.95,66.95,62.45,65.5,1.87,219,27.99,6
2008-11-10 00:00:00+00,66.95,66.95,66.95,66.95,2.21,2,0.27,1
2008-11-12 00:00:00+00,66.95,67.5,64.4,67.5,0.82,107,13.84,4
2008-11-13 00:00:00+00,67,67,65.65,65.65,-2.74,159,20.89,2
2008-11-14 00:00:00+00,67.95,67.95,66,67.95,3.5,25,3.34,4
2008-11-17 00:00:00+00,67.95,67.95,67,67,-1.4,12,1.61,2
2008-11-18 00:00:00+00,67.95,67.95,67.95,67.95,1.42,2,0.27,1
2008-11-19 00:00:00+00,67.95,67.95,67.95,67.95,0,2,0.27,1
2008-11-20 00:00:00+00,67.95,67.95,66.1,66.1,-2.72,105,13.97,4
2008-11-21 00:00:00+00,67.95,67.95,67.95,67.95,2.8,5,0.68,1
2008-11-24 00:00:00+00,67.95,67.95,67.95,67.95,0,2,0.27,1
2008-11-25 00:00:00+00,67.95,67.95,64.4,64.4,-5.22,248,32.16,4
2008-11-26 00:00:00+00,66.85,66.85,62.2,66,2.48,318,40.98,4
2008-11-27 00:00:00+00,0,0,0,66,0,0,0,0
2008-11-28 00:00:00+00,64,64,64,64,-3.03,2,0.26,1
2008-12-01 00:00:00+00,64,64,60.25,63.5,-0.78,183,22.1,4
2008-12-02 00:00:00+00,63.5,63.5,63.5,63.5,0,1,0.13,1
2008-12-03 00:00:00+00,63.5,63.5,60.85,63.5,0,112,13.7,4
2008-12-04 00:00:00+00,63.5,63.5,63.5,63.5,0,2,0.25,1
2008-12-05 00:00:00+00,63.5,63.5,63,63,-0.79,8,1.01,2
2008-12-08 00:00:00+00,63.5,63.5,60,63.5,0.79,553,67.25,9
2008-12-09 00:00:00+00,63,63.4,58.95,63.4,-0.16,598,72.39,10
2008-12-10 00:00:00+00,63,63.5,59.85,63.5,0.16,1020,128.81,8
2008-12-11 00:00:00+00,64,64,60,63,-0.79,138,16.8,6
2008-12-12 00:00:00+00,63,63,57,62.95,-0.08,874,105.61,14
2008-12-15 00:00:00+00,63,63,59.45,63,0.08,450,55.33,8
2008-12-16 00:00:00+00,64,64,64,64,1.59,4,0.51,2
2008-12-17 00:00:00+00,64,64,60,63.9,-0.16,765,93.13,11
2008-12-18 00:00:00+00,63.5,64,63.5,64,0.16,51,6.53,3
2008-12-19 00:00:00+00,64,64,64,64,0,1,0.13,1
2008-12-22 00:00:00+00,64,64,64,64,0,1,0.13,1
2008-12-23 00:00:00+00,0,0,0,64,0,0,0,0
2008-12-29 00:00:00+00,62.45,63.95,58.4,63.95,-0.08,791,97.22,11
2008-12-30 00:00:00+00,63.95,63.95,63.95,63.95,0,11,1.41,2
2008-12-31 00:00:00+00,63.95,63.95,63.95,63.95,0,1,0.13,1
2009-01-05 00:00:00+00,63.95,63.95,60,60.2,-5.86,378,45.43,10
2009-01-06 00:00:00+00,60.4,64,60.4,64,6.31,287,36.37,10
2009-01-07 00:00:00+00,64,64,64,64,0,107,13.7,3
2009-01-08 00:00:00+00,64,64,63.95,63.95,-0.08,52,6.65,2
2009-01-09 00:00:00+00,63.95,63.95,63.5,63.5,-0.7,68,8.64,4
2009-01-12 00:00:00+00,64,64,63,64,0.79,71,9.07,4
2009-01-13 00:00:00+00,64,64,64,64,0,1,0.13,1
2009-01-14 00:00:00+00,64,64,64,64,0,44,5.63,2
2009-01-15 00:00:00+00,64,64,64,64,0,1,0.13,1
2009-01-16 00:00:00+00,64,64,64,64,0,1,0.13,1
2009-01-19 00:00:00+00,64,64,64,64,0,5,0.64,1
2009-01-20 00:00:00+00,64,64,64,64,0,5,0.64,1
2009-01-21 00:00:00+00,64,64,64,64,0,2,0.26,1
2009-01-22 00:00:00+00,64,64,64,64,0,2,0.26,1
2009-01-23 00:00:00+00,64,64,64,64,0,2,0.26,1
2009-01-26 00:00:00+00,64,65,64,65,1.56,16,2.06,2
2009-01-27 00:00:00+00,65,65,65,65,0,2,0.26,1
2009-01-28 00:00:00+00,65,65,62.3,65,0,417,52.84,8
2009-01-29 00:00:00+00,65,65,65,65,0,1,0.13,1
2009-01-30 00:00:00+00,63.45,65,62.3,65,0,46,5.88,4
2009-02-02 00:00:00+00,63,65,62,65,0,296,38.26,9
2009-02-03 00:00:00+00,65,65,65,65,0,1,0.13,1
2009-02-04 00:00:00+00,65,65,62.3,65,0,75,9.39,4
2009-02-05 00:00:00+00,65,65,65,65,0,1,0.13,1
2009-02-06 00:00:00+00,65,65,65,65,0,2,0.26,1
2009-02-09 00:00:00+00,65,65,65,65,0,1,0.13,1
2009-02-10 00:00:00+00,65,65,65,65,0,1,0.13,1
2009-02-11 00:00:00+00,65,65,65,65,0,1,0.13,1
2009-02-12 00:00:00+00,64,64,64,64,-1.54,1,0.13,1
2009-02-13 00:00:00+00,64,64,64,64,0,1,0.13,1
2009-02-16 00:00:00+00,65,65,62.3,62.3,-2.66,158,19.71,3
2009-02-17 00:00:00+00,65,65,65,65,4.33,20,2.6,1
2009-02-18 00:00:00+00,65,65,65,65,0,2,0.26,1
2009-02-19 00:00:00+00,65,65,63.5,65,0,20,2.57,3
2009-02-20 00:00:00+00,65,65,65,65,0,1,0.13,1
2009-02-23 00:00:00+00,65,65,61.75,64.75,-0.38,554,69.05,10
2009-02-24 00:00:00+00,62,63.5,62,63.5,-1.93,338,42.87,11
2009-02-25 00:00:00+00,64.5,64.5,64.5,64.5,1.57,1,0.13,1
2009-02-26 00:00:00+00,64.5,65,62.95,65,0.78,13,1.66,3
2009-02-27 00:00:00+00,60.5,65,60.5,65,0,10,1.27,3
2009-03-02 00:00:00+00,61.1,63.5,61.05,63.5,-2.31,36,4.44,5
2009-03-03 00:00:00+00,63.45,65,63.45,63.45,-0.08,17,2.16,3
2009-03-04 00:00:00+00,60.2,63.25,60.2,63.25,-0.32,6,0.75,2
2009-03-05 00:00:00+00,64.95,64.95,61.5,64.95,2.69,530,66.19,10
2009-03-06 00:00:00+00,60.05,64,60.05,64,-1.46,30,3.77,5
2009-03-09 00:00:00+00,64,64,60.25,62,-3.13,324,39.6,14
2009-03-10 00:00:00+00,63,64,63,64,3.23,23,2.92,3
