date,open,high,low,close,difference,volume,turnover,transactions
2007-12-07 00:00:00+00,449,450,441,450,0,187,168.14,8
2007-12-10 00:00:00+00,450,465,450,464,3.11,1122,1040.78,18
2007-12-11 00:00:00+00,450,488,450,488,5.17,551,518.61,24
2007-12-12 00:00:00+00,480,480,460,475,-2.66,137,127.54,10
2007-12-13 00:00:00+00,474,482,450,482,1.47,404,377.82,25
2007-12-14 00:00:00+00,465,465,454.5,465,-3.53,468,433.47,15
2007-12-17 00:00:00+00,441,459.9,441,457.9,-1.53,566,516.03,22
2007-12-18 00:00:00+00,435.1,460,435.1,458.5,0.13,11792,10818.43,34
2007-12-19 00:00:00+00,465,465,440,440,-4.03,2130,1912.65,24
2007-12-20 00:00:00+00,420.5,454.5,420.5,446,1.36,903,804.13,24
2007-12-21 00:00:00+00,450,450,441.1,445.9,-0.02,469,415.16,28
2007-12-27 00:00:00+00,455,480,420,470,5.4,1449,1335.51,50
2007-12-28 00:00:00+00,471,480,440,440,-6.38,6711,5986.76,105
2008-01-02 00:00:00+00,467,467,450,450,2.27,153,138.04,15
2008-01-03 00:00:00+00,450,450,450,450,0,1,0.9,1
2008-01-04 00:00:00+00,459.9,459.9,438.4,438.4,-2.58,290,257.74,19
2008-01-07 00:00:00+00,440,440,416,430,-1.92,110,93.22,14
2008-01-08 00:00:00+00,433,433,429.8,430,0,6002,5161.72,11
2008-01-09 00:00:00+00,440,440,400,420,-2.33,5702,4787.09,22
2008-01-10 00:00:00+00,420,430,396,418,-0.48,335,272.13,19
2008-01-11 00:00:00+00,406,424,406,420,0.48,4017,3317.38,30
2008-01-14 00:00:00+00,410.1,420,400.5,410,-2.38,1056,878.92,28
2008-01-15 00:00:00+00,397,400,375,375,-8.54,781,612.49,27
2008-01-16 00:00:00+00,342,373.8,342,373.8,-0.32,714,497.44,23
2008-01-17 00:00:00+00,347,355,342,353,-5.56,1617,1137.27,39
2008-01-18 00:00:00+00,333,369,333,369,4.53,9381,6575.37,35
2008-01-21 00:00:00+00,369,369,336.6,340,-7.86,170,117.19,13
2008-01-22 00:00:00+00,314,345,314,345,1.47,328,223.39,9
2008-01-23 00:00:00+00,364,370,340.7,359,4.06,38,27.03,9
2008-01-24 00:00:00+00,354,389,354,388,8.08,529,391.74,32
2008-01-25 00:00:00+00,388,388,370,388,0,424,320.49,21
2008-01-28 00:00:00+00,380,380,368,370,-4.64,168,124.14,13
2008-01-29 00:00:00+00,371,389,371,385.5,4.19,1311,996.26,19
2008-01-30 00:00:00+00,386.6,393,375,390,1.17,1510,1159.08,33
2008-01-31 00:00:00+00,7.94,8.05,7.82,7.89,1.15,29756,472.49,51
2008-02-01 00:00:00+00,8.35,8.35,8.23,8.35,5.83,37212,616.8,39
2008-02-04 00:00:00+00,8.89,8.89,8.05,8.49,1.68,30849,509.61,49
2008-02-05 00:00:00+00,8.48,8.48,8.09,8.15,-4,36717,598.88,23
2008-02-06 00:00:00+00,7.85,8,7.85,8,-1.84,158576,2517.45,18
2008-02-07 00:00:00+00,7.95,8.1,7.83,8.1,1.25,4140,65.54,17
2008-02-08 00:00:00+00,8,8.05,7.79,7.99,-1.36,202820,3217.03,9
2008-02-11 00:00:00+00,8.09,8.19,7.85,8.19,2.5,20432,331.23,21
2008-02-12 00:00:00+00,8.19,8.88,8.19,8.6,5.01,37346,634.67,42
2008-02-13 00:00:00+00,8.88,9.09,8.64,9,4.65,54403,962.07,60
2008-02-14 00:00:00+00,9.08,9.1,9.01,9.05,0.56,3871,69.89,7
2008-02-15 00:00:00+00,9.05,9.2,8.97,9.2,1.66,123950,2256.05,31
2008-02-18 00:00:00+00,9.27,9.38,9.2,9.35,1.63,10252,191.66,19
2008-02-19 00:00:00+00,9.37,9.37,9.15,9.2,-1.6,166574,3050.15,20
2008-02-20 00:00:00+00,9.29,9.29,9.09,9.25,0.54,12979,238.88,22
2008-02-21 00:00:00+00,9.35,9.35,9.11,9.11,-1.51,96325,1760.81,17
2008-02-22 00:00:00+00,9.11,9.15,9,9,-1.21,103821,1868.91,14
2008-02-25 00:00:00+00,9.37,9.37,8.9,8.9,-1.11,2822,50.7,10
2008-02-26 00:00:00+00,8.98,9.05,8.9,9,1.12,45220,813.27,25
2008-02-27 00:00:00+00,9.08,9.08,8.5,9,0,106641,1927.07,31
2008-02-28 00:00:00+00,9.33,9.33,8.6,9.2,2.22,42703,744.98,23
2008-02-29 00:00:00+00,9.09,9.19,9.08,9.08,-1.3,2002,36.75,4
2008-03-03 00:00:00+00,8.7,8.96,8.33,8.96,-1.32,11288,197.62,28
2008-03-04 00:00:00+00,9.18,9.18,9.04,9.04,0.89,408,7.38,4
2008-03-05 00:00:00+00,9.01,9.01,8.6,8.6,-4.87,2931,50.85,10
2008-03-06 00:00:00+00,8.58,8.9,8.56,8.9,3.49,1717,29.76,8
2008-03-07 00:00:00+00,8.9,8.9,8.31,8.6,-3.37,3720,63.1,12
2008-03-10 00:00:00+00,8.75,8.75,8.5,8.5,-1.16,3622,61.57,6
2008-03-11 00:00:00+00,8.61,8.75,8.4,8.75,2.94,2349,39.86,12
2008-03-12 00:00:00+00,8.75,8.85,8.75,8.85,1.14,2353,41.3,9
2008-03-13 00:00:00+00,8.59,8.89,8.59,8.89,0.45,151277,2632.27,12
2008-03-14 00:00:00+00,8.89,8.89,8.59,8.7,-2.14,206049,3583.96,11
2008-03-17 00:00:00+00,8.6,8.6,8.1,8.5,-2.3,8121,135.45,21
2008-03-18 00:00:00+00,8.5,8.76,8.23,8.76,3.06,4411,74.55,16
2008-03-19 00:00:00+00,8.84,8.84,8.51,8.76,0,506504,8874.13,15
2008-03-20 00:00:00+00,8.84,8.84,8.56,8.75,-0.11,73,1.28,11
2008-03-25 00:00:00+00,8.61,8.89,8.61,8.85,1.14,136861,2408.74,11
2008-03-26 00:00:00+00,8.63,9.1,8.63,9.1,2.82,4101,73.89,14
2008-03-27 00:00:00+00,9.1,9.1,8.9,9.06,-0.44,3910,70.94,12
2008-03-28 00:00:00+00,9.06,9.17,8.75,9.17,1.21,5029,90,17
2008-03-31 00:00:00+00,9.2,9.2,9.06,9.06,-1.2,170,3.12,10
2008-04-01 00:00:00+00,9.23,9.23,9.06,9.21,1.66,147,2.7,10
2008-04-02 00:00:00+00,9.23,9.23,9.1,9.15,-0.65,227236,4135.75,15
