date,open,high,low,close,difference,volume,turnover,transactions
2007-09-18 00:00:00+00,560,560,530,555,2.87,38160,42289.81,182
2007-09-19 00:00:00+00,570,600,570,600,8.11,2580,3028.74,153
2007-09-20 00:00:00+00,602,624,588,620,3.33,124258,151615.55,193
2007-09-21 00:00:00+00,619,625,619,623,0.48,9174,11434.62,71
2007-09-24 00:00:00+00,623,645,622,640,2.73,2564,3245.68,49
2007-09-25 00:00:00+00,645,649.5,637.5,640,0,19267,24698.04,115
2007-09-26 00:00:00+00,643,655,634,653,2.03,1900,2460.36,37
2007-09-27 00:00:00+00,655,655,647,647,-0.92,2317,2998.97,46
2007-09-28 00:00:00+00,644.5,649.5,633,645,-0.31,3365,4337.8,38
2007-10-01 00:00:00+00,638,640,620.5,635,-1.55,792,1007.21,23
2007-10-02 00:00:00+00,635,635,619,620,-2.36,9899,12304.43,58
2007-10-03 00:00:00+00,620,624,615,624,0.65,1132,1404.5,31
2007-10-04 00:00:00+00,625,626,617,625.5,0.24,121,150.96,12
2007-10-05 00:00:00+00,629.5,629.5,621,622,-0.56,26,32.39,4
2007-10-08 00:00:00+00,625.5,630,625.5,630,1.29,1524,1914.13,7
2007-10-09 00:00:00+00,630,651,629,651,3.33,1577,2021.7,36
2007-10-10 00:00:00+00,651,651,646,646,-0.77,16,20.73,3
2007-10-11 00:00:00+00,640,650,629.5,649.5,0.54,1052,1342.92,28
2007-10-12 00:00:00+00,630,649,630,647,-0.38,28,35.96,4
2007-10-15 00:00:00+00,626,632.5,620,629,-2.78,565,707.94,52
2007-10-16 00:00:00+00,635,640.5,625,627,-0.32,130,164.67,19
2007-10-17 00:00:00+00,620.5,620.5,611,619,-1.28,317,391.17,24
2007-10-18 00:00:00+00,613,617,612,616,-0.48,179,219.18,18
2007-10-19 00:00:00+00,614,619,612,619,0.49,4084,5055.6,19
2007-10-22 00:00:00+00,616,619,616,619,0,2,2.47,2
2007-10-23 00:00:00+00,620,620,616,619.5,0.08,28,34.63,8
2007-10-24 00:00:00+00,622,622,612.5,618,-0.24,212,261.59,8
2007-10-25 00:00:00+00,614.5,614.5,575,590,-4.53,3656,4370.31,47
2007-10-26 00:00:00+00,600,620,595,607,2.88,4406,5321.07,22
2007-10-29 00:00:00+00,608,608,604,604,-0.49,263,318.2,7
2007-10-30 00:00:00+00,607,607,600,600,-0.66,109,131.61,7
2007-10-31 00:00:00+00,609.5,609.5,597.5,598.5,-0.25,27,32.8,9
2007-11-02 00:00:00+00,598.5,598.5,575,595,-0.58,269,313.59,15
2007-11-05 00:00:00+00,595,595,540,545,-8.4,1007,1101.3,39
2007-11-06 00:00:00+00,542,560,542,549,0.73,878,965.4,21
2007-11-07 00:00:00+00,542,542,497,529,-3.64,10381,10801.45,21
2007-11-08 00:00:00+00,498,505,481,504,-4.73,5466,5465.84,31
2007-11-09 00:00:00+00,505,505,486,499,-0.99,212,211.43,25
2007-11-12 00:00:00+00,486,498,485,497,-0.4,415,411.07,10
2007-11-13 00:00:00+00,504,508,490,508,2.21,94,94.73,9
2007-11-14 00:00:00+00,510.5,510.5,495,500,-1.57,749,750.39,16
2007-11-15 00:00:00+00,486,486,438,450,-10,367,337.79,22
2007-11-16 00:00:00+00,445,445,410,434,-3.56,248,212.3,18
2007-11-19 00:00:00+00,440,450,439,439,1.15,249,221.07,15
2007-11-20 00:00:00+00,435,435,428,428,-2.51,77,66.36,9
2007-11-21 00:00:00+00,432,440,410,418,-2.34,314,265.76,21
2007-11-22 00:00:00+00,400,498,400,498,19.14,336,288.98,35
2007-11-23 00:00:00+00,458,490,452,485,-2.61,506,477.64,30
2007-11-26 00:00:00+00,477,477,435,440,-9.28,1037,925.49,45
2007-11-27 00:00:00+00,435,437,413,437,-0.68,996,841.46,41
2007-11-28 00:00:00+00,415.1,435,415.1,435,-0.46,659,569.79,19
2007-11-29 00:00:00+00,422,450,422,450,3.45,143,127.81,17
2007-11-30 00:00:00+00,445,450,440,449,-0.22,3014,2709.25,17
2007-12-03 00:00:00+00,458,458,454,455,1.34,36,32.75,3
2007-12-04 00:00:00+00,435,449.9,435,449.9,-1.12,8,7.11,3
2007-12-05 00:00:00+00,450,455,450,451,0.24,218,197.03,8
2007-12-06 00:00:00+00,450,451.5,449.9,450,-0.22,5091,4581.9,14
