date,open,high,low,close,difference,volume,turnover,transactions
2007-05-10 00:00:00+00,15,15.4,14,14.39,2.79,1083,31.06,13
2007-05-11 00:00:00+00,13.3,14.63,13.3,13.8,-4.1,4909,136.59,42
2007-05-14 00:00:00+00,14.09,14.09,13.6,13.8,0,1173,32.22,12
2007-05-15 00:00:00+00,14,14,13.7,13.95,1.09,6767,187.54,29
2007-05-16 00:00:00+00,13.99,13.99,13.02,13.9,-0.36,5725,158.69,16
2007-05-17 00:00:00+00,13.16,13.9,13.16,13.9,0,5677,157.12,21
2007-05-18 00:00:00+00,13.9,13.9,13.8,13.89,-0.07,1765,49.02,8
2007-05-21 00:00:00+00,13.51,13.8,13.25,13.3,-4.25,11962,322.9,65
2007-05-22 00:00:00+00,13.16,13.21,13.1,13.15,-1.13,2869,75.46,29
2007-05-23 00:00:00+00,13.39,13.39,13.1,13.1,-0.38,1580,41.57,11
2007-05-24 00:00:00+00,13,13.38,13,13.37,2.06,2342,61.36,17
2007-05-25 00:00:00+00,13.4,13.4,13,13.33,-0.3,544,14.24,4
2007-05-28 00:00:00+00,13.43,13.43,13.32,13.32,-0.08,710,19,4
2007-05-29 00:00:00+00,13.02,13.33,12.8,13.1,-1.65,1515,39.42,16
2007-05-30 00:00:00+00,13.27,13.27,12.71,12.8,-2.29,1909,49.54,19
2007-05-31 00:00:00+00,12.6,13.14,12.6,13.14,2.66,11506,294.91,32
2007-06-01 00:00:00+00,12.61,13.09,12.61,12.8,-2.59,2150,55.69,12
2007-06-04 00:00:00+00,12.8,12.8,12.65,12.66,-1.09,1367,34.69,10
2007-06-05 00:00:00+00,12.66,12.99,12.57,12.8,1.11,836,21.38,8
2007-06-06 00:00:00+00,12.8,12.8,12,12.8,0,2995,75.1,15
2007-06-08 00:00:00+00,12.6,13.47,12.6,13.47,5.23,8503,218.49,21
2007-06-11 00:00:00+00,13.26,13.54,13.2,13.2,-2,3560,94.52,20
2007-06-12 00:00:00+00,13.2,13.46,13.2,13.2,0,4455,117.68,15
2007-06-13 00:00:00+00,0,0,0,13.2,0,0,0,0
2007-06-14 00:00:00+00,13.25,13.25,13,13.01,-1.44,2597,68.46,9
2007-06-15 00:00:00+00,13.19,13.2,12.86,13.19,1.38,3498,91.86,13
2007-06-18 00:00:00+00,13.2,13.35,12.8,13.01,-1.36,9359,248.33,34
2007-06-19 00:00:00+00,13.02,13.4,12.75,13.4,3,9234,243.33,36
2007-06-20 00:00:00+00,13.5,14,13.45,13.92,3.88,7433,204.57,43
2007-06-21 00:00:00+00,13.9,13.9,13.2,13.79,-0.93,3891,105.03,31
2007-06-22 00:00:00+00,13.3,13.49,13.17,13.17,-4.5,4964,130.94,25
2007-06-25 00:00:00+00,13.74,13.74,13.11,13.47,2.28,5497,148.99,23
