date,open,high,low,close,difference,volume,turnover,transactions
2011-12-16 00:00:00+00,0.38,0.4,0.38,0.38,-2.56,405184,158.24,58
2011-12-19 00:00:00+00,0.38,0.39,0.37,0.37,-2.63,369701,138.89,78
2011-12-20 00:00:00+00,0.37,0.38,0.37,0.38,2.7,732173,272.45,57
2011-12-21 00:00:00+00,0.37,0.38,0.37,0.37,-2.63,252005,94.44,34
2011-12-22 00:00:00+00,0.37,0.37,0.36,0.37,0,706272,257.56,68
2011-12-23 00:00:00+00,0.36,0.38,0.36,0.36,-2.7,438069,159.76,67
2011-12-27 00:00:00+00,0.36,0.37,0.36,0.36,0,941850,342.75,145
2011-12-28 00:00:00+00,0.37,0.37,0.36,0.36,0,57176,20.61,21
2011-12-29 00:00:00+00,0.37,0.37,0.35,0.37,2.78,1300956,467.96,55
2011-12-30 00:00:00+00,0.36,0.37,0.36,0.37,0,34079,12.37,16
2012-01-02 00:00:00+00,0.36,0.37,0.36,0.37,0,133038,48.65,27
2012-01-03 00:00:00+00,0.36,0.37,0.36,0.37,0,209424,75.49,34
2012-01-04 00:00:00+00,0.37,0.37,0.36,0.36,-2.7,94702,34.12,26
2012-01-05 00:00:00+00,0.36,0.37,0.36,0.36,0,94898,34.75,26
2012-01-09 00:00:00+00,0.36,0.37,0.36,0.37,2.78,292626,108.25,32
2012-01-10 00:00:00+00,0.37,0.38,0.36,0.38,2.7,611382,227.07,55
2012-01-11 00:00:00+00,0.37,0.38,0.37,0.38,0,114995,42.55,26
2012-01-12 00:00:00+00,0.38,0.39,0.38,0.38,0,518716,197.15,49
2012-01-13 00:00:00+00,0.38,0.39,0.37,0.38,0,371999,142.9,40
2012-01-16 00:00:00+00,0.38,0.38,0.37,0.38,0,294268,110.3,47
2012-01-17 00:00:00+00,0.38,0.38,0.37,0.38,0,284924,107.88,54
2012-01-18 00:00:00+00,0.38,0.38,0.37,0.38,0,86888,32.92,20
2012-01-19 00:00:00+00,0.38,0.4,0.37,0.39,2.63,1438341,557.16,150
2012-01-20 00:00:00+00,0.39,0.4,0.38,0.39,0,374926,146.55,60
2012-01-23 00:00:00+00,0.39,0.39,0.38,0.38,-2.56,618549,240.12,53
2012-01-24 00:00:00+00,0.38,0.39,0.38,0.39,2.63,348027,132.26,55
2012-01-25 00:00:00+00,0.38,0.39,0.38,0.39,0,56825,21.6,24
2012-01-26 00:00:00+00,0.39,0.4,0.38,0.39,0,879507,343.46,127
2012-01-27 00:00:00+00,0.39,0.39,0.38,0.39,0,354504,135.09,57
2012-01-30 00:00:00+00,0.38,0.39,0.38,0.38,-2.56,74149,28.28,23
2012-01-31 00:00:00+00,0.38,0.4,0.38,0.4,5.26,866315,339.6,100
2012-02-01 00:00:00+00,0.4,0.4,0.39,0.4,0,271838,107.64,49
2012-02-02 00:00:00+00,0.4,0.42,0.39,0.41,2.5,3660159,1497.63,352
2012-02-03 00:00:00+00,0.41,0.42,0.4,0.41,0,743177,303.48,129
2012-02-06 00:00:00+00,0.41,0.42,0.4,0.42,2.44,465746,189.26,63
2012-02-07 00:00:00+00,0.42,0.42,0.4,0.41,-2.38,578246,237.5,70
2012-02-08 00:00:00+00,0.41,0.41,0.4,0.41,0,452759,184.74,69
2012-02-09 00:00:00+00,0.4,0.41,0.39,0.4,-2.44,1421416,567.78,130
2012-02-10 00:00:00+00,0.4,0.4,0.39,0.39,-2.5,682886,272.85,59
2012-02-13 00:00:00+00,0.4,0.41,0.4,0.4,2.56,432485,176.59,63
2012-02-14 00:00:00+00,0.41,0.42,0.4,0.41,2.5,401404,165.02,49
2012-02-15 00:00:00+00,0.42,0.44,0.41,0.44,7.32,4047564,1739.22,394
2012-02-16 00:00:00+00,0.44,0.46,0.44,0.44,0,3423521,1532.27,284
2012-02-17 00:00:00+00,0.45,0.46,0.44,0.46,4.55,1007620,457.07,135
2012-02-20 00:00:00+00,0.46,0.46,0.44,0.45,-2.17,920910,415.42,158
2012-02-21 00:00:00+00,0.45,0.45,0.44,0.45,0,551164,245.73,80
2012-02-22 00:00:00+00,0.45,0.45,0.43,0.44,-2.22,1242496,541.99,143
2012-02-23 00:00:00+00,0.44,0.44,0.42,0.43,-2.27,599262,257.08,99
2012-02-24 00:00:00+00,0.43,0.44,0.42,0.43,0,439330,186.6,88
2012-02-27 00:00:00+00,0.42,0.43,0.41,0.43,0,441834,184.75,51
2012-02-28 00:00:00+00,0.43,0.44,0.41,0.43,0,492812,208.8,89
2012-02-29 00:00:00+00,0.44,0.44,0.42,0.43,0,288108,123.91,48
2012-03-01 00:00:00+00,0.43,0.43,0.41,0.43,0,664839,279.73,99
2012-03-02 00:00:00+00,0.42,0.44,0.42,0.43,0,1096648,469.59,114
2012-03-05 00:00:00+00,0.43,0.43,0.42,0.42,-2.33,280213,117.79,47
2012-03-06 00:00:00+00,0.42,0.42,0.39,0.39,-7.14,1584161,636.1,181
2012-03-07 00:00:00+00,0.39,0.41,0.39,0.4,2.56,572207,227.38,89
2012-03-08 00:00:00+00,0.4,0.41,0.4,0.41,2.5,356501,142.96,39
2012-03-09 00:00:00+00,0.41,0.41,0.4,0.4,-2.44,252733,101.57,37
2012-03-12 00:00:00+00,0.41,0.41,0.4,0.4,0,155768,62.75,27
2012-03-13 00:00:00+00,0.41,0.41,0.4,0.41,2.5,69686,28.2,15
2012-03-14 00:00:00+00,0.42,0.43,0.41,0.42,2.44,729638,303.62,96
2012-03-15 00:00:00+00,0.42,0.42,0.41,0.41,-2.38,199884,81.96,32
2012-03-16 00:00:00+00,0.41,0.41,0.4,0.41,0,213575,86.26,35
2012-03-19 00:00:00+00,0.41,0.41,0.4,0.41,0,42671,17.41,18
2012-03-20 00:00:00+00,0.41,0.41,0.4,0.41,0,689459,275.88,56
2012-03-21 00:00:00+00,0.4,0.41,0.4,0.4,-2.44,161604,64.75,30
2012-03-22 00:00:00+00,0.4,0.4,0.37,0.39,-2.5,1746351,668.25,153
2012-03-23 00:00:00+00,0.37,0.39,0.37,0.39,0,306417,116.38,55
2012-03-26 00:00:00+00,0.38,0.41,0.38,0.4,2.56,373217,146.37,56
2012-03-27 00:00:00+00,0.4,0.4,0.39,0.4,0,75791,29.82,22
2012-03-28 00:00:00+00,0.4,0.41,0.39,0.41,2.5,289446,116.46,54
2012-03-29 00:00:00+00,0.4,0.41,0.39,0.4,-2.44,845482,334.21,89
2012-03-30 00:00:00+00,0.4,0.41,0.39,0.39,-2.5,279940,110.11,34
2012-04-02 00:00:00+00,0.4,0.4,0.39,0.4,2.56,103132,40.34,22
2012-04-03 00:00:00+00,0.4,0.4,0.39,0.4,0,46632,18.33,11
2012-04-04 00:00:00+00,0.39,0.4,0.39,0.4,0,502700,199.76,46
2012-04-05 00:00:00+00,0.4,0.4,0.39,0.4,0,243664,95.04,28
2012-04-10 00:00:00+00,0.39,0.4,0.38,0.38,-5,617009,240.3,42
2012-04-11 00:00:00+00,0.38,0.39,0.38,0.39,2.63,423645,161.08,27
2012-04-12 00:00:00+00,0.38,0.39,0.37,0.39,0,361786,137.23,27
2012-04-13 00:00:00+00,0.38,0.39,0.38,0.39,0,117217,44.77,18
2012-04-16 00:00:00+00,0.39,0.39,0.38,0.38,-2.56,177943,67.63,14
2012-04-17 00:00:00+00,0.38,0.38,0.36,0.37,-2.63,535400,196.81,42
2012-04-18 00:00:00+00,0.37,0.37,0.35,0.36,-2.7,408831,147.13,58
2012-04-19 00:00:00+00,0.35,0.36,0.34,0.36,0,401356,140.42,75
2012-04-20 00:00:00+00,0.35,0.35,0.33,0.34,-5.56,680308,227.05,133
2012-04-23 00:00:00+00,0.33,0.33,0.31,0.32,-5.88,1360321,439.93,107
2012-04-24 00:00:00+00,0.31,0.33,0.31,0.32,0,481632,153.93,58
2012-04-25 00:00:00+00,0.32,0.33,0.32,0.33,3.13,149998,48.04,30
2012-04-26 00:00:00+00,0.33,0.33,0.32,0.32,-3.03,185195,59.64,54
2012-04-27 00:00:00+00,0.32,0.33,0.32,0.33,3.13,59407,19.1,30
2012-04-30 00:00:00+00,0.33,0.34,0.32,0.33,0,98515,32.52,39
2012-05-02 00:00:00+00,0.33,0.34,0.32,0.33,0,26265,8.67,15
2012-05-04 00:00:00+00,0.32,0.33,0.32,0.33,0,9829,3.24,7
2012-05-07 00:00:00+00,0.32,0.33,0.32,0.33,0,223047,71.4,15
2012-05-08 00:00:00+00,0.33,0.34,0.33,0.33,0,328359,108.37,37
2012-05-09 00:00:00+00,0.33,0.35,0.32,0.33,0,364665,120.83,61
2012-05-10 00:00:00+00,0.32,0.34,0.32,0.33,0,22100,7.3,14
2012-05-11 00:00:00+00,0.33,0.33,0.32,0.33,0,163413,53.89,28
2012-05-14 00:00:00+00,0.33,0.33,0.32,0.32,-3.03,165246,52.93,33
2012-05-15 00:00:00+00,0.32,0.32,0.31,0.32,0,58322,18.61,9
2012-05-16 00:00:00+00,0.31,0.31,0.3,0.31,-3.13,159396,49.02,41
2012-05-17 00:00:00+00,0.31,0.31,0.29,0.3,-3.23,248027,74.71,56
2012-05-18 00:00:00+00,0.28,0.3,0.28,0.29,-3.33,912200,257.66,113
2012-05-21 00:00:00+00,0.28,0.29,0.28,0.28,-3.45,254240,73.52,57
2012-05-22 00:00:00+00,0.29,0.3,0.27,0.28,0,610646,171.73,70
2012-05-23 00:00:00+00,0.28,0.28,0.26,0.28,0,150827,41.14,36
2012-05-24 00:00:00+00,0.27,0.28,0.26,0.28,0,100082,27.03,31
2012-05-25 00:00:00+00,0.27,0.28,0.26,0.26,-7.14,200147,52.67,45
2012-05-28 00:00:00+00,0.26,0.27,0.25,0.27,3.85,134168,34.8,32
2012-05-29 00:00:00+00,0.26,0.27,0.25,0.27,0,238749,61.78,33
2012-05-30 00:00:00+00,0.27,0.27,0.26,0.27,0,65289,17.36,27
2012-05-31 00:00:00+00,0.27,0.28,0.26,0.28,3.7,150189,40.27,30
2012-06-01 00:00:00+00,0.27,0.27,0.27,0.27,-3.57,35086,9.47,10
2012-06-04 00:00:00+00,0.26,0.27,0.26,0.26,-3.7,33375,8.82,12
2012-06-05 00:00:00+00,0.26,0.26,0.24,0.25,-3.85,322646,80.49,59
2012-06-06 00:00:00+00,0.25,0.26,0.24,0.26,4,123070,30.3,36
2012-06-08 00:00:00+00,0.25,0.26,0.25,0.26,0,33647,8.45,14
2012-06-11 00:00:00+00,0.26,0.27,0.26,0.27,3.85,157417,40.93,18
2012-06-12 00:00:00+00,0.26,0.27,0.25,0.26,-3.7,138403,35.82,28
2012-06-13 00:00:00+00,0.27,0.27,0.25,0.25,-3.85,40446,10.19,9
2012-06-14 00:00:00+00,0.26,0.26,0.25,0.26,4,136694,34.45,25
2012-06-15 00:00:00+00,0.25,0.26,0.24,0.26,0,75548,18.89,19
2012-06-18 00:00:00+00,0.26,0.26,0.24,0.25,-3.85,136762,33.02,23
2012-06-19 00:00:00+00,0.25,0.26,0.24,0.26,4,247320,61.94,32
2012-06-20 00:00:00+00,0.26,0.26,0.24,0.25,-3.85,287127,71.53,35
2012-06-21 00:00:00+00,0.25,0.25,0.24,0.25,0,113807,28.18,14
2012-06-22 00:00:00+00,0.25,0.25,0.23,0.25,0,396918,97.35,44
2012-06-25 00:00:00+00,0.25,0.25,0.24,0.25,0,173400,43.28,12
2012-06-26 00:00:00+00,0.25,0.25,0.24,0.25,0,63341,15.49,16
2012-06-27 00:00:00+00,0.25,0.25,0.24,0.25,0,115743,27.95,9
2012-06-28 00:00:00+00,0.24,0.24,0.23,0.24,-4,172294,41.13,31
2012-06-29 00:00:00+00,0.24,0.25,0.23,0.25,4.17,186150,44.35,22
2012-07-02 00:00:00+00,0.24,0.25,0.24,0.24,-4,215634,53.05,35
2012-07-03 00:00:00+00,0.24,0.25,0.23,0.24,0,67561,16.48,10
2012-07-04 00:00:00+00,0.23,0.24,0.23,0.24,0,40423,9.7,9
2012-07-05 00:00:00+00,0.24,0.24,0.23,0.24,0,435571,101.97,47
2012-07-06 00:00:00+00,0.24,0.24,0.22,0.23,-4.17,426871,96.84,57
2012-07-09 00:00:00+00,0.22,0.23,0.22,0.23,0,212016,48.07,31
2012-07-10 00:00:00+00,0.23,0.23,0.22,0.23,0,44415,9.94,14
2012-07-11 00:00:00+00,0.23,0.23,0.21,0.22,-4.35,126206,27.75,23
2012-07-12 00:00:00+00,0.21,0.21,0.2,0.21,-4.55,656437,135.54,69
2012-07-13 00:00:00+00,0.2,0.22,0.2,0.22,4.76,82332,17.37,21
2012-07-16 00:00:00+00,0.21,0.21,0.19,0.2,-9.09,392416,77.81,43
2012-07-17 00:00:00+00,0.2,0.2,0.19,0.2,0,123915,24.29,19
2012-07-18 00:00:00+00,0.19,0.2,0.18,0.2,0,576705,109.67,57
2012-07-19 00:00:00+00,0.2,0.2,0.19,0.2,0,160611,31.05,23
2012-07-20 00:00:00+00,0.2,0.2,0.19,0.2,0,83447,16.26,21
2012-07-23 00:00:00+00,0.19,0.2,0.18,0.18,-10,601858,110.54,60
2012-07-24 00:00:00+00,0.18,0.18,0.16,0.17,-5.56,529042,88.83,58
