date,open,high,low,close,difference,volume,turnover,transactions
2008-04-14 00:00:00+00,1.4,1.4,1.4,1.4,0.72,2501,7,6
2008-04-15 00:00:00+00,1.29,1.7,1.29,1.7,21.43,15940,50.46,30
2008-04-16 00:00:00+00,1.43,1.58,1.43,1.58,-7.06,340,1.04,2
2008-04-17 00:00:00+00,1.47,1.55,1.43,1.55,-1.9,7448,22.18,13
2008-04-18 00:00:00+00,1.51,1.57,1.46,1.46,-5.81,4136,12.54,5
2008-04-21 00:00:00+00,1.46,1.53,1.41,1.41,-3.42,4237,12.63,8
2008-04-22 00:00:00+00,1.54,1.54,1.33,1.45,2.84,4555,13.01,7
2008-04-23 00:00:00+00,1.39,1.39,1.39,1.39,-4.14,3,0.01,1
2008-04-24 00:00:00+00,1.45,1.45,1.34,1.34,-3.6,817,2.37,7
2008-04-25 00:00:00+00,1.43,1.43,1.34,1.4,4.48,2428,6.79,7
2008-04-28 00:00:00+00,1.34,1.39,1.34,1.34,-4.29,2021,5.45,6
2008-04-29 00:00:00+00,1.34,1.39,1.34,1.39,3.73,33,0.09,2
2008-04-30 00:00:00+00,1.38,1.38,1.25,1.38,-0.72,1235,3.34,8
2008-05-05 00:00:00+00,1.4,1.4,1.3,1.38,0,2301,6.37,10
2008-05-06 00:00:00+00,1.35,1.42,1.23,1.41,2.17,7689,19.89,25
2008-05-07 00:00:00+00,1.27,1.35,1.27,1.34,-4.96,11833,30.62,16
2008-05-08 00:00:00+00,1.31,1.36,1.26,1.26,-5.97,825,2.1,4
2008-05-09 00:00:00+00,1.27,1.36,1.26,1.36,7.94,1781,4.5,4
2008-05-12 00:00:00+00,1.26,1.34,1.24,1.26,-7.35,4042,10.12,8
2008-05-13 00:00:00+00,1.32,1.38,1.2,1.29,2.38,28591,74.14,41
2008-05-14 00:00:00+00,1.22,1.3,1.08,1.22,-5.43,5058,12.24,18
2008-05-15 00:00:00+00,1.2,1.28,1.13,1.19,-2.46,6343,15.24,17
2008-05-16 00:00:00+00,1.19,1.25,1.11,1.25,5.04,25231,60.62,14
2008-05-19 00:00:00+00,1.14,1.24,1.11,1.17,-6.4,5363,12.3,17
2008-05-20 00:00:00+00,1.23,1.23,1.15,1.2,2.56,1260,2.98,8
2008-05-21 00:00:00+00,1.14,1.14,1.12,1.14,-5,1975,4.47,5
2008-05-23 00:00:00+00,0,0,0,1.14,0,0,0,0
2008-05-26 00:00:00+00,1.1,1.1,1.01,1.01,-11.4,870,1.9,8
2008-05-27 00:00:00+00,1.18,1.18,1.01,1.15,13.86,63,0.15,3
2008-05-28 00:00:00+00,1.17,1.17,1.05,1.07,-6.96,2881,6.26,9
2008-05-29 00:00:00+00,1.13,1.25,1.12,1.2,12.15,16853,40.83,23
2008-05-30 00:00:00+00,1.25,1.28,1.17,1.28,6.67,6255,15.83,17
2008-06-02 00:00:00+00,1.31,1.31,1.17,1.26,-1.56,3382,8.07,13
2008-06-03 00:00:00+00,1.17,1.18,1.11,1.17,-7.14,4080,9.42,16
2008-06-04 00:00:00+00,0,0,0,1.17,0,0,0,0
2008-06-05 00:00:00+00,1.1,1.17,1.08,1.13,-3.42,6392,14.24,11
2008-06-06 00:00:00+00,1.1,1.13,1.07,1.07,-5.31,3650,7.93,8
2008-06-09 00:00:00+00,1.07,1.15,1.07,1.15,7.48,3456,7.67,7
2008-06-10 00:00:00+00,1.11,1.11,1.11,1.11,-3.48,1230,2.73,2
2008-06-11 00:00:00+00,1.08,1.11,1.02,1.11,0,6381,13.18,6
2008-06-12 00:00:00+00,1.13,1.13,1.13,1.13,1.8,200,0.45,1
2008-06-13 00:00:00+00,0,0,0,1.13,0,0,0,0
2008-06-16 00:00:00+00,1.13,1.13,1.13,1.13,0,800,1.81,2
2008-06-17 00:00:00+00,1.13,1.14,1.13,1.14,0.88,661,1.5,2
2008-06-18 00:00:00+00,0,0,0,1.14,0,0,0,0
2008-06-19 00:00:00+00,1.1,1.1,1.1,1.1,-3.51,800,1.76,2
2008-06-20 00:00:00+00,1.01,1.14,1.01,1.14,3.64,401,0.9,3
2008-06-23 00:00:00+00,1.14,1.14,1.14,1.14,0,92,0.21,3
2008-06-24 00:00:00+00,1.14,1.14,1.14,1.14,0,12,0.03,1
2008-06-25 00:00:00+00,0,0,0,1.14,0,0,0,0
2008-06-26 00:00:00+00,1.03,1.12,1.03,1.03,-9.65,2401,4.95,6
2008-06-27 00:00:00+00,1.04,1.11,1.01,1.11,7.77,6301,12.9,15
2008-06-30 00:00:00+00,1.11,1.11,1.03,1.03,-7.21,6484,13.62,11
2008-07-01 00:00:00+00,0.95,0.96,0.95,0.95,-7.77,4800,9.16,5
2008-07-02 00:00:00+00,0.86,0.86,0.85,0.85,-10.53,121,0.21,4
2008-07-03 00:00:00+00,0.85,0.93,0.85,0.93,9.41,10992,18.69,9
2008-07-04 00:00:00+00,1,1,0.8,0.95,2.15,3102,5.27,5
2008-07-07 00:00:00+00,0.81,0.89,0.81,0.89,-6.32,1887,3.14,6
2008-07-08 00:00:00+00,0.89,0.89,0.89,0.89,0,2,0,1
2008-07-09 00:00:00+00,0.81,0.91,0.81,0.91,2.25,11883,19.76,13
2008-07-10 00:00:00+00,0,0,0,0.91,0,0,0,0
