date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,10.25,10.45,10.15,10.45,3.47,115478,2388.59,318
2005-01-04 00:00:00+00,10.5,10.7,10.4,10.5,0.48,120096,2533.36,267
2005-01-05 00:00:00+00,10.4,10.7,10.2,10.5,0,79542,1666.52,181
2005-01-06 00:00:00+00,10.35,11.5,10.35,11.35,8.1,149873,3287.81,459
2005-01-07 00:00:00+00,11.35,11.4,10.8,11.05,-2.64,153191,3396.21,360
2005-01-10 00:00:00+00,11.15,11.15,10.9,10.95,-0.9,86458,1891.01,144
2005-01-11 00:00:00+00,10.9,11.7,10.8,11.5,5.02,133801,2978.09,198
2005-01-12 00:00:00+00,11.85,12.1,11.75,11.8,2.61,83214,1980.07,276
2005-01-13 00:00:00+00,11.85,12.45,11.85,12.25,3.81,77964,1899.03,222
2005-01-14 00:00:00+00,12.25,12.25,10.9,12,-2.04,30625,729.47,155
2005-01-17 00:00:00+00,12.05,12.05,11.65,11.9,-0.83,20678,489.03,102
2005-01-18 00:00:00+00,11.9,11.9,11.6,11.7,-1.68,44248,1035.48,94
2005-01-19 00:00:00+00,11.6,11.95,11.35,11.9,1.71,49784,1152.51,134
2005-01-20 00:00:00+00,11.5,11.9,11.5,11.8,-0.84,8994,211.52,30
2005-01-21 00:00:00+00,11.6,11.8,11.5,11.6,-1.69,14334,334.64,50
2005-01-24 00:00:00+00,11.3,11.8,10.6,11.4,-1.72,74313,1710.15,81
2005-01-25 00:00:00+00,11.3,11.8,11.3,11.7,2.63,13098,305.36,43
2005-01-26 00:00:00+00,11.9,12.15,11.8,12.1,3.42,22163,530.52,70
2005-01-27 00:00:00+00,12.25,12.9,12.25,12.9,6.61,79255,1999.76,242
2005-01-28 00:00:00+00,13,13.7,12.55,12.55,-2.71,133367,3537.9,422
2005-01-31 00:00:00+00,12.6,12.95,12.6,12.65,0.8,28445,727.69,143
2005-02-01 00:00:00+00,12.65,12.85,12.3,12.4,-1.98,32497,813.98,113
2005-02-02 00:00:00+00,12.75,12.8,12.5,12.8,3.23,17911,455.57,47
2005-02-03 00:00:00+00,12.85,13.15,12.85,12.95,1.17,26266,681.82,106
2005-02-04 00:00:00+00,13.2,13.4,13.2,13.3,2.7,28191,749.6,120
2005-02-07 00:00:00+00,13.45,13.5,12.9,13.1,-1.5,29092,770.48,113
2005-02-08 00:00:00+00,13,13.1,12.85,12.9,-1.53,25477,661.33,93
2005-02-09 00:00:00+00,13,13,12.7,12.75,-1.16,22222,566.91,70
2005-02-10 00:00:00+00,12.8,12.8,12.45,12.65,-0.78,28944,728.46,81
2005-02-11 00:00:00+00,12.55,12.55,12.35,12.4,-1.98,9625,239.93,53
2005-02-14 00:00:00+00,12.4,12.4,11.8,12,-3.23,31144,750.15,127
2005-02-15 00:00:00+00,12,12.25,11.6,12.25,2.08,27821,661.64,96
2005-02-16 00:00:00+00,12.3,12.7,12.3,12.5,2.04,17910,448.3,78
2005-02-17 00:00:00+00,12.7,12.7,12.05,12.1,-3.2,22755,554.88,92
2005-02-18 00:00:00+00,12.3,12.3,11.75,11.9,-1.65,41509,992.65,111
2005-02-21 00:00:00+00,12,12.2,11.9,11.95,0.42,15108,362.62,46
2005-02-22 00:00:00+00,11.9,12,11.65,11.8,-1.26,28123,662.14,81
2005-02-23 00:00:00+00,11.65,11.95,11.65,11.95,1.27,16770,396.33,38
2005-02-24 00:00:00+00,12.05,12.25,12,12.25,2.51,19436,470.66,80
2005-02-25 00:00:00+00,12.25,12.3,11.9,12.25,0,28018,679.13,67
2005-02-28 00:00:00+00,12.25,12.25,12,12.05,-1.63,17749,427.45,34
2005-03-01 00:00:00+00,12,12.4,12,12.3,2.07,12357,299.34,44
2005-03-02 00:00:00+00,11.6,11.85,11.5,11.75,-4.47,46666,1092.76,160
2005-03-03 00:00:00+00,11.7,11.9,11.7,11.85,0.85,10469,246.29,34
2005-03-04 00:00:00+00,11.65,12,11.65,12,1.27,23586,560.89,53
2005-03-07 00:00:00+00,12,12.05,11.85,11.95,-0.42,3586,85.83,16
2005-03-08 00:00:00+00,11.9,12,11.6,11.9,-0.42,12138,286.51,46
2005-03-09 00:00:00+00,11.9,12.15,11.65,12,0.84,29907,715.48,87
2005-03-10 00:00:00+00,11.95,12.05,11.95,12.05,0.42,4797,114.99,20
2005-03-11 00:00:00+00,11.95,12,11.85,12,-0.41,24004,575.7,22
2005-03-14 00:00:00+00,11.75,12,11.75,12,0,12654,303.11,23
2005-03-15 00:00:00+00,12,12,11.8,11.95,-0.42,22328,535.25,25
2005-03-16 00:00:00+00,11.95,12.6,11.8,12.55,5.02,60243,1454.13,115
2005-03-17 00:00:00+00,12.4,12.45,12.25,12.3,-1.99,8481,209.48,53
2005-03-18 00:00:00+00,12.3,12.35,12.1,12.35,0.41,11059,271.07,34
2005-03-21 00:00:00+00,12.35,12.95,12.35,12.85,4.05,25594,646.8,93
2005-03-22 00:00:00+00,12.85,13.1,12.7,13.05,1.56,32498,845.07,95
2005-03-23 00:00:00+00,12.95,12.95,12.75,12.85,-1.53,20554,530.75,52
2005-03-24 00:00:00+00,12.85,12.85,12.65,12.75,-0.78,14860,378.67,38
2005-03-29 00:00:00+00,12.75,12.8,12.65,12.7,-0.39,12464,317.19,30
2005-03-30 00:00:00+00,12.7,12.7,12.25,12.35,-2.76,19954,496.56,56
2005-03-31 00:00:00+00,12.3,12.3,12.25,12.3,-0.4,3126,76.9,16
2005-04-01 00:00:00+00,12.3,12.4,12,12,-2.44,25799,628.92,55
2005-04-04 00:00:00+00,12.1,12.1,11.9,11.9,-0.83,27868,668.52,57
2005-04-05 00:00:00+00,11.9,11.9,11.4,11.6,-2.52,25382,589.35,76
2005-04-06 00:00:00+00,11.6,11.85,11.6,11.85,2.16,15275,360.39,20
2005-04-07 00:00:00+00,11.95,12,11.8,11.85,0,12361,293.05,34
2005-04-11 00:00:00+00,11.75,12.1,11.75,11.95,0.84,37490,897.51,64
2005-04-12 00:00:00+00,12.1,12.1,11.9,11.9,-0.42,3323,79.58,15
2005-04-13 00:00:00+00,12,12.1,11.8,12,0.84,78677,1880.73,27
2005-04-14 00:00:00+00,12,12.1,11.8,12,0,43705,1047.16,49
2005-04-15 00:00:00+00,11.95,11.95,11.85,11.85,-1.25,8912,212.11,17
2005-04-18 00:00:00+00,11.8,11.8,11.4,11.6,-2.11,7944,183.65,29
2005-04-19 00:00:00+00,11.65,11.7,11.45,11.45,-1.29,30726,706.86,60
2005-04-20 00:00:00+00,11.05,11.4,10.9,11.4,-0.44,11272,250.43,67
2005-04-21 00:00:00+00,11.2,11.2,11,11.15,-2.19,46378,1024.61,38
2005-04-22 00:00:00+00,11.1,11.15,10.95,11.1,-0.45,51206,1131.42,38
2005-04-25 00:00:00+00,10.8,11.05,10.8,10.85,-2.25,15927,349.59,26
2005-04-26 00:00:00+00,10.8,10.85,10.5,10.75,-0.92,4711,100.54,27
2005-04-27 00:00:00+00,10.8,10.85,10.6,10.65,-0.93,11848,252.49,19
2005-04-28 00:00:00+00,10.6,10.6,10.45,10.45,-1.88,7269,152.46,17
2005-04-29 00:00:00+00,10.4,10.4,10.15,10.2,-2.39,13532,276.67,33
2005-05-02 00:00:00+00,10.15,10.2,10,10.2,0,7429,149.41,25
2005-05-04 00:00:00+00,10.2,10.2,9.9,10,-1.96,6848,137.18,22
2005-05-05 00:00:00+00,10,10,9.5,9.75,-2.5,12852,248.58,55
2005-05-06 00:00:00+00,9.95,9.95,9.45,9.7,-0.51,13612,260.46,31
2005-05-09 00:00:00+00,9.35,10.4,9.35,10.3,6.19,20090,395.89,67
2005-05-10 00:00:00+00,10.4,10.4,9.8,9.85,-4.37,14375,283.35,28
2005-05-11 00:00:00+00,9.85,10.1,9.7,10.1,2.54,12055,237.44,31
2005-05-12 00:00:00+00,10.05,10.1,9.8,10.05,-0.5,694,13.72,6
2005-05-13 00:00:00+00,10.05,10.2,10,10.1,0.5,1729,34.89,11
2005-05-16 00:00:00+00,10,10.4,10,10.3,1.98,2404,48.55,18
2005-05-17 00:00:00+00,10,10,9.5,9.9,-3.88,9896,193.93,48
2005-05-18 00:00:00+00,9.6,9.7,9.2,9.4,-5.05,11359,213.6,50
2005-05-19 00:00:00+00,9.5,10.2,9.3,10.2,8.51,21913,433.12,78
