date,open,high,low,close,difference,volume,turnover,transactions
2006-11-15 00:00:00+00,74.1,91.9,74.1,83.25,131.25,464762,75804.28,3804
2006-11-16 00:00:00+00,84,84,76,80.7,-3.06,59263,9520.31,665
2006-11-17 00:00:00+00,80,83,78.5,81.8,1.36,30335,4899.66,359
2006-11-20 00:00:00+00,81.8,118,81.8,118,44.25,194634,38296.85,1813
2006-11-21 00:00:00+00,120,142,120,128.2,8.64,193479,50946.97,2854
2006-11-22 00:00:00+00,136,136,116.3,124.6,-2.81,62272,15447.86,1120
2006-11-23 00:00:00+00,124.2,140,119.5,140,12.36,57149,14798.64,852
2006-11-24 00:00:00+00,144.6,147.9,135.4,141,0.71,66374,18869.81,1022
2006-11-27 00:00:00+00,141.5,141.5,134.9,134.9,-4.33,48886,13350.04,668
2006-11-28 00:00:00+00,128.5,135.5,125.5,128,-5.11,30222,7870.16,484
2006-11-29 00:00:00+00,129.1,133.8,129.1,132.9,3.83,14226,3743.53,218
2006-11-30 00:00:00+00,133.7,136.7,129,129,-2.93,23853,6340.47,295
2006-12-01 00:00:00+00,129.7,130,125,127.4,-1.24,25433,6480.28,304
2006-12-04 00:00:00+00,130,135,126.6,132.8,4.24,22780,6027.45,325
2006-12-05 00:00:00+00,133,133.7,128.6,130.1,-2.03,10264,2681.73,166
2006-12-06 00:00:00+00,129.1,130,125.6,129.1,-0.77,26890,6893.34,246
2006-12-07 00:00:00+00,129.5,131.6,128.1,129.9,0.62,16212,4227.9,150
2006-12-08 00:00:00+00,128.6,130,127,129.8,-0.08,4412,1133.6,106
2006-12-11 00:00:00+00,129.9,130.5,127.5,129,-0.62,10646,2757.88,109
2006-12-12 00:00:00+00,127.2,127.9,124,124.6,-3.41,12792,3207.24,178
2006-12-13 00:00:00+00,121.9,122.9,115,118,-5.3,28845,6788.75,476
2006-12-14 00:00:00+00,116.5,116.5,104.9,109.8,-6.95,72511,15801.58,841
2006-12-15 00:00:00+00,107.5,114,101,113,2.91,30217,6506.59,402
2006-12-18 00:00:00+00,114,114,108,110,-2.65,6414,1416.92,155
2006-12-19 00:00:00+00,107.8,107.8,96,96,-12.73,58798,11729.23,824
2006-12-20 00:00:00+00,95,103,94.05,100,4.17,93461,18670.51,799
2006-12-21 00:00:00+00,101.7,107.5,100,102.2,2.2,28159,5861.17,398
2006-12-22 00:00:00+00,103,105,99.1,101,-1.17,15927,3222.99,249
2006-12-27 00:00:00+00,101,103,99.8,101,0,7486,1514.97,128
2006-12-28 00:00:00+00,101.5,101.5,95,97.2,-3.76,19783,3833.88,255
2006-12-29 00:00:00+00,96,100,94.2,98.8,1.65,11826,2304.46,209
2007-01-02 00:00:00+00,100,100.8,97,98.6,-0.2,9363,1852.75,164
2007-01-03 00:00:00+00,99,99.7,96.05,96.15,-2.48,4763,927.48,106
2007-01-04 00:00:00+00,96.1,96.1,92.1,92.65,-3.64,12878,2397.33,172
2007-01-05 00:00:00+00,91,96,91,93.05,0.43,24758,4618.69,243
2007-01-08 00:00:00+00,99.1,109,96,107,14.99,73409,15063.41,1050
2007-01-09 00:00:00+00,115,115,105,109.1,1.96,79870,17759.17,1222
2007-01-10 00:00:00+00,109,110.9,105,109,-0.09,27004,5868.33,349
2007-01-11 00:00:00+00,109,112.3,107.5,109.2,0.18,25708,5676.83,313
2007-01-12 00:00:00+00,111.2,111.8,107,107.3,-1.74,13617,2958.64,229
2007-01-15 00:00:00+00,106,106,101.2,104.8,-2.33,17283,3590.71,320
2007-01-16 00:00:00+00,104,104,101.4,103.3,-1.43,12836,2635.51,243
2007-01-17 00:00:00+00,102.5,103.2,100,102,-1.26,8821,1794.33,195
2007-01-18 00:00:00+00,103,103,100.3,101.5,-0.49,11090,2249.49,175
2007-01-19 00:00:00+00,100.3,102.2,100.2,101.1,-0.39,7283,1475.86,150
2007-01-22 00:00:00+00,100.5,101.9,99,101.7,0.59,12732,2550,204
2007-01-23 00:00:00+00,101.2,101.2,99.5,99.5,-2.16,9395,1885.11,92
2007-01-24 00:00:00+00,99,99,98,98.45,-1.06,4057,800.14,82
2007-01-25 00:00:00+00,98.1,98.45,95,96.5,-1.98,17187,3323.49,256
2007-01-26 00:00:00+00,98.45,104.8,95,100,3.63,16485,3300.02,272
2007-01-29 00:00:00+00,104,104,99,100,0,15081,3031.02,196
2007-01-30 00:00:00+00,100,100,98,99.35,-0.65,14449,2849.8,140
2007-01-31 00:00:00+00,99.95,100,98.4,99.7,0.35,5956,1185,83
2007-02-01 00:00:00+00,99.85,99.9,99.1,99.7,0,11857,2363.45,110
2007-02-02 00:00:00+00,99.7,100,96.6,97.8,-1.91,9029,1767.53,140
2007-02-05 00:00:00+00,97,98.4,96,97,-0.82,3266,635.08,65
2007-02-06 00:00:00+00,97,98,96.5,96.9,-0.1,3028,586.97,81
2007-02-07 00:00:00+00,96.9,99,96,97.4,0.52,9097,1773.37,134
2007-02-08 00:00:00+00,97,97.4,95,95.1,-2.36,7916,1514.08,153
2007-02-09 00:00:00+00,94.5,96.1,94.1,94.95,-0.16,3676,698.42,82
2007-02-12 00:00:00+00,96,96,93.5,94.2,-0.79,7589,1428.44,102
2007-02-13 00:00:00+00,94.6,94.7,93.5,94.1,-0.11,4192,787.88,86
2007-02-14 00:00:00+00,94.1,103.4,94,100,6.27,166639,33381.46,998
2007-02-15 00:00:00+00,101.5,105.2,98,101.5,1.5,210911,42317.12,581
2007-02-16 00:00:00+00,101.5,104.3,100.4,102.9,1.38,12794,2627.88,158
2007-02-19 00:00:00+00,103.5,104.9,101.8,101.8,-1.07,16178,3334.23,178
2007-02-20 00:00:00+00,102,102.8,101,102,0.2,4780,971.31,74
2007-02-21 00:00:00+00,102.1,103,100.9,101.2,-0.78,10516,2134.69,136
2007-02-22 00:00:00+00,102.4,102.4,98.7,100.5,-0.69,16378,3269.06,190
2007-02-23 00:00:00+00,100,101,98.35,99.1,-1.39,8013,1587.51,98
