date,open,high,low,close,difference,volume,turnover,transactions
2015-09-01 00:00:00+00,0.77,0.79,0.72,0.75,0,65220,49.55,15
2015-09-02 00:00:00+00,0.79,0.8,0.77,0.8,6.67,18881,14.74,4
2015-09-03 00:00:00+00,0.8,0.8,0.78,0.78,-2.5,5800,4.62,3
2015-09-04 00:00:00+00,0.79,0.81,0.79,0.8,2.56,20500,16.32,6
2015-09-07 00:00:00+00,0.77,0.77,0.77,0.77,-3.75,10000,7.7,3
2015-09-08 00:00:00+00,0.78,0.8,0.78,0.8,3.9,20415,16.18,4
2015-09-09 00:00:00+00,0.8,0.8,0.8,0.8,0,2060,1.65,2
2015-09-10 00:00:00+00,0.82,0.82,0.82,0.82,2.5,2400,1.97,3
2015-09-11 00:00:00+00,0.84,1,0.84,0.95,15.85,50878,46.27,26
2015-09-14 00:00:00+00,0.95,0.95,0.89,0.89,-6.32,2499,2.28,2
2015-09-15 00:00:00+00,0.89,0.9,0.86,0.86,-3.37,11070,9.74,8
2015-09-16 00:00:00+00,0.87,0.87,0.86,0.86,0,20695,17.99,5
2015-09-17 00:00:00+00,0.87,0.89,0.87,0.89,3.49,6577,5.85,4
2015-09-18 00:00:00+00,0.9,0.9,0.89,0.89,0,10503,9.45,8
2015-09-21 00:00:00+00,0.93,0.93,0.9,0.9,1.12,183,0.16,2
2015-09-22 00:00:00+00,0.92,0.92,0.88,0.88,-2.22,2801,2.48,3
2015-09-23 00:00:00+00,0.92,0.92,0.91,0.91,3.41,876,0.8,2
2015-09-24 00:00:00+00,0.91,0.91,0.87,0.9,-1.1,15242,13.7,8
2015-09-25 00:00:00+00,0.92,0.93,0.9,0.9,0,20030,18.3,11
2015-09-28 00:00:00+00,0.92,0.92,0.89,0.89,-1.11,12150,10.81,3
2015-09-29 00:00:00+00,0.92,0.92,0.92,0.92,3.37,1,0,1
2015-09-30 00:00:00+00,0.93,0.93,0.89,0.9,-2.17,20551,18.34,5
2015-10-01 00:00:00+00,0.9,0.9,0.9,0.9,0,1,0,1
2015-10-02 00:00:00+00,0.9,0.93,0.9,0.93,3.33,14291,12.98,7
2015-10-05 00:00:00+00,0.92,0.92,0.92,0.92,-1.08,444,0.41,3
2015-10-06 00:00:00+00,0.91,0.91,0.91,0.91,-1.09,5,0,1
2015-10-07 00:00:00+00,0.92,0.92,0.92,0.92,1.1,11,0.01,2
2015-10-08 00:00:00+00,0.92,1,0.92,0.94,2.17,43527,41.38,16
2015-10-09 00:00:00+00,0.95,1.03,0.95,1.02,8.51,26055,26.21,14
2015-10-12 00:00:00+00,1.04,1.04,1.04,1.04,1.96,17000,17.68,6
2015-10-13 00:00:00+00,1.03,1.03,0.94,0.96,-7.69,4027,3.93,9
2015-10-14 00:00:00+00,0.96,1.1,0.96,1.04,8.33,34251,35.53,24
2015-10-15 00:00:00+00,1.09,1.12,1.02,1.02,-1.92,31539,34.6,24
2015-10-16 00:00:00+00,1.05,1.06,1.05,1.06,3.92,6400,6.74,7
2015-10-19 00:00:00+00,1.11,1.11,1.11,1.11,4.72,200,0.22,1
2015-10-20 00:00:00+00,1.07,1.09,1.04,1.04,-6.31,4004,4.19,5
2015-10-21 00:00:00+00,1.07,1.07,0.97,1,-3.85,20005,20.19,11
2015-10-22 00:00:00+00,1,1.04,0.93,1.01,1,9848,9.57,14
2015-10-23 00:00:00+00,1.01,1.04,1.01,1.04,2.97,794,0.8,3
2015-10-26 00:00:00+00,1.03,1.03,1.03,1.03,-0.96,1,0,1
2015-10-27 00:00:00+00,1.03,1.03,1.03,1.03,0,3001,3.09,2
2015-10-28 00:00:00+00,1.03,1.03,1.03,1.03,0,1,0,1
2015-10-29 00:00:00+00,1.05,1.05,1.03,1.03,0,856,0.88,2
2015-10-30 00:00:00+00,1.03,1.03,1.03,1.03,0,1,0,1
2015-11-02 00:00:00+00,1.02,1.02,0.94,0.95,-7.77,12762,12.33,7
2015-11-03 00:00:00+00,0.96,1.05,0.96,1.05,10.53,6384,6.4,6
2015-11-04 00:00:00+00,1.06,1.06,1.06,1.06,0.95,191,0.2,2
2015-11-05 00:00:00+00,1.05,1.05,1.05,1.05,-0.94,1,0,1
2015-11-06 00:00:00+00,1.04,1.04,1.04,1.04,-0.95,1,0,1
2015-11-09 00:00:00+00,1.04,1.04,1.04,1.04,0,1,0,1
2015-11-10 00:00:00+00,1.04,1.05,1.04,1.05,0.96,48,0.05,3
2015-11-12 00:00:00+00,1,1.02,1,1.02,-2.86,1620,1.64,3
2015-11-13 00:00:00+00,1.04,1.04,1,1.04,1.96,2476,2.48,3
2015-11-16 00:00:00+00,1.04,1.04,0.99,1.04,0,402,0.4,3
2015-11-17 00:00:00+00,1.04,1.04,1.04,1.04,0,1,0,1
2015-11-18 00:00:00+00,1.04,1.07,1.01,1.07,2.88,34752,36.37,16
2015-11-19 00:00:00+00,1.08,1.08,1,1,-6.54,10687,10.87,5
2015-11-20 00:00:00+00,1,1.06,0.97,1.06,6,14270,14.07,5
