date,open,high,low,close,difference,volume,turnover,transactions
2022-03-04 00:00:00+00,18.6,19.05,18,18.5,-0.54,39690,734.52,223
2022-03-07 00:00:00+00,18,18.384,17,18.054,-2.41,68061,1199.14,463
2022-03-08 00:00:00+00,17.8,18.298,17.202,17.55,-2.79,83627,1467.63,349
2022-03-09 00:00:00+00,17.65,18.08,17.55,18,2.56,133176,2353.39,188
2022-03-10 00:00:00+00,18.3,18.798,17.65,18.58,3.22,62858,1144.8,259
2022-03-11 00:00:00+00,18.89,18.9,17.722,18.68,0.54,50036,918.49,261
2022-03-14 00:00:00+00,18.6,18.8,18.13,18.684,0.02,74394,1365.57,245
2022-03-15 00:00:00+00,18.34,18.7,18.2,18.5,-0.98,34456,635.39,152
2022-03-16 00:00:00+00,18.41,19.88,18.41,19.5,5.41,338177,6399.45,303
2022-03-17 00:00:00+00,20,20.5,19.122,19.46,-0.21,119214,2381.26,383
2022-03-18 00:00:00+00,19.586,19.788,19.2,19.594,0.69,66255,1290.64,365
2022-03-21 00:00:00+00,19.768,19.768,19.342,19.598,0.02,44695,871.09,375
2022-03-22 00:00:00+00,19.36,19.68,18.9,19.002,-3.04,40478,775.63,275
2022-03-23 00:00:00+00,19.02,19.16,18.31,18.32,-3.59,29863,555.37,281
2022-03-24 00:00:00+00,18.628,19,18.102,18.65,1.8,26879,497.87,176
2022-03-25 00:00:00+00,19.116,19.116,18.66,18.9,1.34,12488,236.22,103
2022-03-28 00:00:00+00,18.9,19.4,18.804,19,0.53,41228,785.74,279
2022-03-29 00:00:00+00,20,20.975,18.666,18.9,-0.53,535041,10573.89,2990
2022-03-30 00:00:00+00,19.28,19.67,18.828,18.84,-0.32,160766,3083.73,761
2022-03-31 00:00:00+00,18.84,18.908,17.75,17.9,-4.99,201786,3659.51,932
2022-04-01 00:00:00+00,18.1,18.1,17.4,17.73,-0.95,383530,6810.43,650
2022-04-04 00:00:00+00,17.75,17.9,17.36,17.43,-1.69,103705,1826.56,464
2022-04-05 00:00:00+00,17.5,17.5,16.8,16.88,-3.16,143446,2471.71,561
2022-04-06 00:00:00+00,16.8,18.4,15.9,17.97,6.46,1009772,17063.27,1518
2022-04-07 00:00:00+00,18.19,18.38,17.44,17.65,-1.78,838079,14807.6,722
2022-04-08 00:00:00+00,17.6,17.76,17.01,17.5,-0.85,347690,6003.75,544
2022-04-11 00:00:00+00,17.5,17.748,16.864,17.25,-1.43,659637,11369.18,856
