date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,1.12,1.13,1.1,1.1,-0.9,61476,136.8,44
2005-01-04 00:00:00+00,1.1,1.11,1.07,1.11,0.91,184082,404.3,94
2005-01-05 00:00:00+00,1.09,1.1,1.08,1.1,-0.9,67004,145.34,56
2005-01-06 00:00:00+00,1.1,1.1,1.09,1.1,0,34564,75.65,27
2005-01-07 00:00:00+00,1.1,1.1,1.08,1.1,0,56990,124.84,30
2005-01-10 00:00:00+00,1.1,1.1,1.05,1.06,-3.64,221784,475.36,117
2005-01-11 00:00:00+00,1.07,1.07,1.04,1.05,-0.94,113604,239.56,104
2005-01-12 00:00:00+00,1.1,1.16,1.09,1.12,6.67,1038443,2352.07,461
2005-01-13 00:00:00+00,1.14,1.14,1.09,1.1,-1.79,464478,1041.29,202
2005-01-14 00:00:00+00,1.1,1.1,1.08,1.1,0,137090,299.63,83
2005-01-17 00:00:00+00,1.09,1.12,1.07,1.09,-0.91,165320,357.98,110
2005-01-18 00:00:00+00,1.09,1.09,1.06,1.07,-1.83,107914,231.84,68
2005-01-19 00:00:00+00,1.07,1.07,1.02,1.05,-1.87,189125,393.96,128
2005-01-20 00:00:00+00,1.04,1.05,1.02,1.02,-2.86,286802,590.54,146
2005-01-21 00:00:00+00,1.03,1.05,1.02,1.03,0.98,155319,320.29,90
2005-01-24 00:00:00+00,1.02,1.05,1.02,1.04,0.97,107249,222.03,64
2005-01-25 00:00:00+00,1.05,1.09,1.02,1.06,1.92,352997,745.13,203
2005-01-26 00:00:00+00,1.05,1.07,1.03,1.06,0,233812,489.34,127
2005-01-27 00:00:00+00,1.05,1.06,1.03,1.04,-1.89,245627,511.1,105
2005-01-28 00:00:00+00,1.05,1.1,1.03,1.08,3.85,1128846,2437.64,501
2005-01-31 00:00:00+00,1.12,1.18,1.11,1.17,8.33,985797,2278.85,460
2005-02-01 00:00:00+00,1.16,1.17,1.12,1.14,-2.56,428638,977.83,235
2005-02-02 00:00:00+00,1.16,1.16,1.1,1.13,-0.88,325742,738.57,172
2005-02-03 00:00:00+00,1.13,1.13,1.1,1.1,-2.65,204458,454.56,115
2005-02-04 00:00:00+00,1.1,1.13,1.09,1.11,0.91,159760,354.8,110
2005-02-07 00:00:00+00,1.12,1.13,1.11,1.12,0.9,155738,348.29,85
2005-02-08 00:00:00+00,1.12,1.14,1.1,1.11,-0.89,238989,532.38,125
2005-02-09 00:00:00+00,1.11,1.26,1.1,1.25,12.61,1438212,3436.95,721
2005-02-10 00:00:00+00,1.24,1.28,1.18,1.19,-4.8,1323715,3238.46,586
2005-02-11 00:00:00+00,1.19,1.2,1.14,1.14,-4.2,295430,685.43,176
2005-02-14 00:00:00+00,1.15,1.19,1.13,1.15,0.88,307343,710.09,175
2005-02-15 00:00:00+00,1.15,1.16,1.13,1.15,0,231580,530.91,121
