date,open,high,low,close,difference,volume,turnover,transactions
2007-05-25 00:00:00+00,39.89,41,39.8,40.3,4.49,1929378,156455.02,2203
2007-05-28 00:00:00+00,40.68,40.95,40,40.05,-0.62,122383,9890.37,541
2007-05-29 00:00:00+00,40.32,41.55,40.32,41.55,3.75,1128823,92831.98,545
2007-05-30 00:00:00+00,41.24,41.72,41,41.08,-1.13,563720,46568.51,249
2007-05-31 00:00:00+00,41.5,42.29,41.5,42.25,2.85,311407,26111.38,246
2007-06-01 00:00:00+00,42.25,42.7,42.05,42.4,0.36,152568,12940.96,222
2007-06-04 00:00:00+00,43.29,43.29,42,42.43,0.07,192341,16435.25,372
2007-06-05 00:00:00+00,42.5,44.44,42.5,43.65,2.88,331673,28896.02,322
2007-06-06 00:00:00+00,43.9,43.9,42.2,42.5,-2.63,119019,10202.08,292
2007-06-08 00:00:00+00,42.5,42.5,41.05,41.49,-2.38,83380,6925.11,250
2007-06-11 00:00:00+00,42,42.24,41.52,41.52,0.07,244267,20481.61,245
2007-06-12 00:00:00+00,41.7,42,40.6,40.8,-1.73,555228,45386.92,261
2007-06-13 00:00:00+00,40.8,40.8,40.35,40.55,-0.61,86778,7038.34,107
2007-06-14 00:00:00+00,40.9,41.2,40.05,40.39,-0.39,584411,47193.69,230
2007-06-15 00:00:00+00,40.45,40.8,39.8,40,-0.97,494712,39955.15,195
2007-06-18 00:00:00+00,40,40.8,39.6,40.1,0.25,142811,11430.35,206
2007-06-19 00:00:00+00,40.2,40.2,38.9,38.9,-2.99,434124,34067.63,363
2007-06-20 00:00:00+00,39.35,39.35,38.01,38.8,-0.26,170958,13278.51,201
2007-06-21 00:00:00+00,38.99,38.99,37.6,38.09,-1.83,64045,4871.89,227
2007-06-22 00:00:00+00,39.01,40,39.01,39.9,4.75,171372,13641.51,254
2007-06-25 00:00:00+00,40.89,40.89,39.15,39.5,-1,78374,6237.24,226
2007-06-26 00:00:00+00,39.85,39.85,39.1,39.4,-0.25,46203,3635.03,96
2007-06-27 00:00:00+00,39.15,39.71,38.8,39.1,-0.76,30458,2392.76,111
2007-06-28 00:00:00+00,39.5,40,39.1,39.5,1.02,98848,7808.04,86
2007-06-29 00:00:00+00,39.6,39.95,39,39.95,1.14,283842,22366.09,160
2007-07-02 00:00:00+00,39.5,39.59,39.01,39.5,-1.13,12750,1003.55,56
2007-07-03 00:00:00+00,39.05,39.5,38.4,39.5,0,22766,1760.92,84
2007-07-04 00:00:00+00,39.4,39.4,38.12,38.38,-2.84,24633,1896.69,81
2007-07-05 00:00:00+00,38.7,38.7,38.13,38.49,0.29,33187,2540.12,71
2007-07-06 00:00:00+00,38.69,38.69,37.76,38,-1.27,36882,2806.37,122
2007-07-09 00:00:00+00,37.8,38.51,37.01,38,0,45364,3445.33,96
2007-07-10 00:00:00+00,39.22,39.6,38.8,39.01,2.66,163025,12832.54,204
2007-07-11 00:00:00+00,38.99,39.62,38.1,38.75,-0.67,30719,2391.48,133
2007-07-12 00:00:00+00,38.89,38.89,37.1,37.95,-2.06,48120,3642.98,150
2007-07-13 00:00:00+00,38.1,38.2,37.35,37.64,-0.82,38939,2956.39,65
2007-07-16 00:00:00+00,37.4,37.98,37.25,37.4,-0.64,58074,4358.8,74
2007-07-17 00:00:00+00,37.62,37.98,37.49,37.49,0.24,7135,536.97,51
2007-07-18 00:00:00+00,37.6,37.6,36,36.26,-3.28,440240,31900.18,209
2007-07-19 00:00:00+00,36.12,37.1,36.12,36.7,1.21,21095,1555.63,63
2007-07-20 00:00:00+00,36.9,37,36.2,36.55,-0.41,11000,804.93,55
2007-07-23 00:00:00+00,36.85,37.5,36.85,37.02,1.29,227110,16922.69,98
2007-07-24 00:00:00+00,37,37,35.12,36.3,-1.94,9487,688.41,49
2007-07-25 00:00:00+00,35.61,37,35.6,37,1.93,23861,1734.98,67
2007-07-26 00:00:00+00,36.99,36.99,35.51,35.59,-3.81,59292,4228.5,51
