date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,15.15,15.8,15,15.7,6.8,59457,1840.67,204
2005-01-04 00:00:00+00,15.9,16.3,15.2,15.85,0.96,61595,1958.88,231
2005-01-05 00:00:00+00,15.3,16,15.25,15.8,-0.32,30865,970.18,98
2005-01-06 00:00:00+00,15.8,16.25,15.7,16.1,1.9,190152,6046.29,87
2005-01-07 00:00:00+00,16.1,16.2,15.35,15.7,-2.48,11873,376.23,67
2005-01-10 00:00:00+00,15.4,15.6,14.95,15,-4.46,30062,909.54,107
2005-01-11 00:00:00+00,15,15.1,14.8,15,0,14944,446.34,54
2005-01-12 00:00:00+00,15.15,15.2,15,15,0,3525,106.47,24
2005-01-13 00:00:00+00,14.95,15.3,14.85,14.85,-1,14880,447.22,36
2005-01-14 00:00:00+00,14.85,14.85,14.55,14.6,-1.68,5604,163.36,17
2005-01-17 00:00:00+00,14.3,14.9,14.3,14.55,-0.34,9263,271.44,31
2005-01-18 00:00:00+00,14.85,15,14.6,14.7,1.03,7947,235.18,52
2005-01-19 00:00:00+00,14.9,15.15,14.5,14.8,0.68,3367,98.88,29
2005-01-20 00:00:00+00,14.75,14.75,14.3,14.7,-0.68,11430,331.67,49
2005-01-21 00:00:00+00,14.8,14.8,14.5,14.65,-0.34,12846,373.92,52
2005-01-24 00:00:00+00,14.65,14.65,14.5,14.6,-0.34,3237,94.54,23
2005-01-25 00:00:00+00,14.6,14.9,14.55,14.6,0,520,15.27,6
2005-01-26 00:00:00+00,14.9,14.9,14.7,14.7,0.68,2300,68.03,21
2005-01-27 00:00:00+00,14.7,15.4,14.7,15.15,3.06,31384,938.34,55
2005-01-28 00:00:00+00,15.3,16.6,15.3,15.9,4.95,49670,1600.89,177
2005-01-31 00:00:00+00,16,16.15,15.3,15.4,-3.14,13060,410.9,50
2005-02-01 00:00:00+00,15.5,16,15.4,15.8,2.6,107275,3424.2,42
2005-02-02 00:00:00+00,15.8,15.8,15.4,15.5,-1.9,42908,1342.44,36
2005-02-03 00:00:00+00,15.15,15.5,15.15,15.4,-0.65,4367,133.28,21
2005-02-04 00:00:00+00,15.4,15.4,14.9,14.95,-2.92,11965,359.55,71
2005-02-07 00:00:00+00,14.9,15.15,14.9,14.9,-0.33,13595,408.02,62
2005-02-08 00:00:00+00,14.8,14.9,14.7,14.9,0,12872,379.56,41
2005-02-09 00:00:00+00,14.7,14.9,14.65,14.9,0,20602,610.88,52
2005-02-10 00:00:00+00,15.25,15.25,14.6,14.8,-0.67,6647,196.73,29
2005-02-11 00:00:00+00,14.8,15,14.8,15,1.35,23866,715.25,20
