date,open,high,low,close,difference,volume,turnover,transactions
2013-02-22 00:00:00+00,0.52,0.54,0.48,0.48,-11.11,116715,57.58,43
2013-02-25 00:00:00+00,0.47,0.48,0.4,0.42,-12.5,116950,50.73,63
2013-02-26 00:00:00+00,0.42,0.45,0.39,0.42,0,147257,61.98,47
2013-02-27 00:00:00+00,0.42,0.44,0.4,0.44,4.76,37486,15.72,29
2013-02-28 00:00:00+00,0.44,0.44,0.42,0.44,0,25949,11.21,16
2013-03-01 00:00:00+00,0.44,0.44,0.41,0.42,-4.55,12520,5.24,9
2013-03-04 00:00:00+00,0.41,0.44,0.41,0.42,0,31365,13.43,25
2013-03-05 00:00:00+00,0.41,0.44,0.39,0.44,4.76,1374294,550.56,41
2013-03-06 00:00:00+00,0.43,0.43,0.4,0.43,-2.27,12372,5.06,27
2013-03-07 00:00:00+00,0.43,0.43,0.41,0.41,-4.65,13498,5.61,17
2013-03-08 00:00:00+00,0.41,0.45,0.41,0.45,9.76,157594,69.32,38
2013-03-11 00:00:00+00,0.45,0.5,0.45,0.48,6.67,136046,65.7,84
2013-03-12 00:00:00+00,0.49,0.49,0.42,0.44,-8.33,100787,45.67,58
2013-03-13 00:00:00+00,0.42,0.44,0.42,0.44,0,24040,10.47,28
2013-03-14 00:00:00+00,0.43,0.46,0.42,0.45,2.27,30287,13.24,21
2013-03-15 00:00:00+00,0.44,0.44,0.41,0.43,-4.44,17093,7.24,34
2013-03-18 00:00:00+00,0.44,0.46,0.43,0.43,0,93777,41.43,29
2013-03-19 00:00:00+00,0.43,0.43,0.41,0.43,0,64384,26.83,38
2013-03-20 00:00:00+00,0.41,0.42,0.41,0.41,-4.65,25766,10.63,39
2013-03-21 00:00:00+00,0.4,0.41,0.38,0.4,-2.44,263069,105.14,319
2013-03-22 00:00:00+00,0.41,0.44,0.39,0.44,10,66049,28.17,91
2013-03-25 00:00:00+00,0.41,0.45,0.41,0.45,2.27,106681,47.26,137
2013-03-26 00:00:00+00,0.41,0.44,0.41,0.44,-2.22,37623,16.09,82
2013-03-27 00:00:00+00,0.41,0.45,0.41,0.44,0,73250,32.43,105
2013-03-28 00:00:00+00,0.42,0.45,0.42,0.44,0,5029,2.24,73
2013-04-02 00:00:00+00,0.44,0.46,0.43,0.44,0,39328,17.78,85
2013-04-03 00:00:00+00,0.45,0.46,0.44,0.44,0,94517,42.65,72
2013-04-04 00:00:00+00,0.46,0.46,0.44,0.44,0,17171,7.56,40
2013-04-05 00:00:00+00,0.43,0.45,0.43,0.43,-2.27,924,0.4,22
2013-04-08 00:00:00+00,0.43,0.44,0.43,0.43,0,22167,9.75,31
2013-04-09 00:00:00+00,0.43,0.44,0.42,0.43,0,32905,14.15,29
2013-04-10 00:00:00+00,0.44,0.44,0.4,0.44,2.33,16220,6.68,32
2013-04-11 00:00:00+00,0.44,0.44,0.4,0.41,-6.82,38785,15.55,62
2013-04-12 00:00:00+00,0.39,0.41,0.37,0.4,-2.44,44349,16.99,47
2013-04-15 00:00:00+00,0.43,0.43,0.38,0.4,0,822,0.33,40
2013-04-17 00:00:00+00,0.37,0.4,0.37,0.37,-7.5,7256,2.69,56
2013-04-18 00:00:00+00,0.4,0.4,0.37,0.38,2.7,11655,4.43,31
2013-04-19 00:00:00+00,0.38,0.39,0.34,0.39,2.63,1639,0.64,28
2013-04-22 00:00:00+00,0.35,0.36,0.34,0.36,-7.69,5322,1.88,26
2013-04-23 00:00:00+00,0.38,0.38,0.34,0.37,2.78,35067,12.08,21
2013-04-24 00:00:00+00,0.37,0.37,0.34,0.37,0,6966,2.5,27
2013-04-25 00:00:00+00,0.38,0.38,0.33,0.35,-5.41,5883,2.02,25
2013-04-26 00:00:00+00,0.38,0.38,0.33,0.35,0,4944,1.7,15
2013-04-29 00:00:00+00,0.35,0.35,0.33,0.34,-2.86,3005,1.01,15
2013-04-30 00:00:00+00,0.37,0.37,0.33,0.36,5.88,88,0.03,20
2013-05-02 00:00:00+00,0.36,0.36,0.33,0.34,-5.56,9832,3.5,15
2013-05-06 00:00:00+00,0.34,0.38,0.34,0.38,11.76,525,0.19,56
2013-05-07 00:00:00+00,0.38,0.38,0.36,0.36,-5.26,11050,4.01,26
2013-05-08 00:00:00+00,0.36,0.38,0.36,0.38,5.56,223,0.08,20
2013-05-09 00:00:00+00,0.38,0.38,0.35,0.38,0,28202,10.56,25
2013-05-10 00:00:00+00,0.37,0.4,0.37,0.4,5.26,38393,14.65,31
2013-05-13 00:00:00+00,0.38,0.39,0.36,0.39,-2.5,21851,8.49,20
2013-05-14 00:00:00+00,0.37,0.39,0.37,0.39,0,107769,40.95,27
2013-05-15 00:00:00+00,0.38,0.38,0.37,0.38,-2.56,46423,17.54,23
2013-05-16 00:00:00+00,0.37,0.38,0.37,0.38,0,3068,1.14,16
2013-05-17 00:00:00+00,0.38,0.38,0.37,0.38,0,3314,1.26,14
2013-05-20 00:00:00+00,0.38,0.38,0.37,0.37,-2.63,1288,0.48,14
2013-05-21 00:00:00+00,0.37,0.37,0.35,0.37,0,26796,9.91,17
2013-05-22 00:00:00+00,0.37,0.37,0.37,0.37,0,3210,1.19,16
2013-05-23 00:00:00+00,0.37,0.38,0.35,0.38,2.7,33633,12.44,19
2013-05-24 00:00:00+00,0.37,0.37,0.36,0.36,-5.26,3635,1.31,14
2013-05-27 00:00:00+00,0.38,0.38,0.37,0.37,2.78,27890,10.58,22
2013-05-28 00:00:00+00,0.37,0.37,0.37,0.37,0,986,0.36,14
2013-05-29 00:00:00+00,0.36,0.38,0.36,0.38,2.7,1823,0.66,21
2013-05-31 00:00:00+00,0.38,0.38,0.36,0.38,0,39100,14.86,20
2013-06-03 00:00:00+00,0.38,0.38,0.37,0.37,-2.63,3670,1.36,13
2013-06-04 00:00:00+00,0.38,0.38,0.36,0.38,2.7,1533,0.57,22
2013-06-05 00:00:00+00,0.38,0.38,0.37,0.38,0,455,0.17,11
2013-06-06 00:00:00+00,0.38,0.45,0.37,0.44,15.79,196621,81.04,59
2013-06-07 00:00:00+00,0.44,0.48,0.44,0.46,4.55,145646,69.52,45
2013-06-10 00:00:00+00,0.46,0.49,0.44,0.45,-2.17,56873,26.34,24
2013-06-11 00:00:00+00,0.48,0.48,0.44,0.46,2.22,5277,2.51,10
2013-06-12 00:00:00+00,0.46,0.46,0.44,0.46,0,14671,6.75,19
2013-06-13 00:00:00+00,0.46,0.47,0.46,0.46,0,29967,13.79,18
2013-06-14 00:00:00+00,0.49,0.49,0.46,0.46,0,62,0.03,10
2013-06-17 00:00:00+00,0.46,0.48,0.46,0.46,0,40782,19.16,20
2013-06-18 00:00:00+00,0.46,0.46,0.46,0.46,0,2069,0.95,13
2013-06-19 00:00:00+00,0.46,0.46,0.46,0.46,0,6674,3.07,14
2013-06-20 00:00:00+00,0.48,0.48,0.42,0.42,-8.7,4186,1.77,10
2013-06-21 00:00:00+00,0.42,0.44,0.42,0.44,4.76,3315,1.45,6
2013-06-24 00:00:00+00,0.43,0.44,0.39,0.4,-9.09,25066,10.05,10
2013-06-25 00:00:00+00,0.39,0.4,0.39,0.4,0,352,0.14,10
2013-06-26 00:00:00+00,0.39,0.4,0.39,0.4,0,170,0.07,7
2013-06-27 00:00:00+00,0.39,0.4,0.38,0.4,0,2963,1.16,10
2013-06-28 00:00:00+00,0.4,0.4,0.36,0.37,-7.5,7017,2.7,13
2013-07-01 00:00:00+00,0.38,0.41,0.37,0.4,8.11,3614,1.48,17
2013-07-02 00:00:00+00,0.41,0.41,0.38,0.39,-2.5,2089,0.79,13
2013-07-03 00:00:00+00,0.39,0.39,0.38,0.38,-2.56,1711,0.66,12
2013-07-04 00:00:00+00,0.39,0.39,0.36,0.37,-2.63,16516,6.03,22
2013-07-05 00:00:00+00,0.36,0.38,0.36,0.38,2.7,3495,1.29,9
2013-07-08 00:00:00+00,0.36,0.38,0.36,0.38,0,1520,0.58,8
2013-07-09 00:00:00+00,0.39,0.39,0.36,0.36,-5.26,211,0.08,12
2013-07-10 00:00:00+00,0.36,0.37,0.36,0.37,2.78,55,0.02,7
2013-07-11 00:00:00+00,0.37,0.4,0.37,0.37,0,6281,2.44,14
2013-07-12 00:00:00+00,0.37,0.38,0.37,0.37,0,2388,0.9,11
2013-07-15 00:00:00+00,0.37,0.37,0.37,0.37,0,1616,0.6,15
2013-07-16 00:00:00+00,0.37,0.37,0.37,0.37,0,71,0.03,7
2013-07-17 00:00:00+00,0.37,0.37,0.37,0.37,0,1648,0.61,22
2013-07-18 00:00:00+00,0.37,0.37,0.37,0.37,0,14183,5.25,18
2013-07-19 00:00:00+00,0.37,0.37,0.37,0.37,0,5275,1.95,8
2013-07-22 00:00:00+00,0.37,0.37,0.37,0.37,0,169,0.06,13
2013-07-23 00:00:00+00,0.4,0.4,0.37,0.37,0,5178,1.92,10
2013-07-24 00:00:00+00,0.4,0.4,0.37,0.37,0,1342,0.54,14
2013-07-25 00:00:00+00,0.38,0.4,0.37,0.4,8.11,5608,2.08,7
2013-07-26 00:00:00+00,0.4,0.4,0.37,0.37,-7.5,3814,1.45,8
2013-07-29 00:00:00+00,0.37,0.37,0.37,0.37,0,98,0.04,9
2013-07-30 00:00:00+00,0.37,0.37,0.37,0.37,0,1252,0.46,15
2013-07-31 00:00:00+00,0.39,0.39,0.36,0.36,-2.7,17171,6.35,14
2013-08-01 00:00:00+00,0.36,0.37,0.36,0.37,2.78,7538,2.73,12
2013-08-02 00:00:00+00,0.37,0.37,0.37,0.37,0,43,0.02,5
2013-08-05 00:00:00+00,0.37,0.37,0.36,0.37,0,9851,3.64,15
2013-08-06 00:00:00+00,0.37,0.39,0.36,0.37,0,386,0.14,13
2013-08-07 00:00:00+00,0.37,0.37,0.36,0.37,0,119,0.04,12
2013-08-08 00:00:00+00,0.37,0.39,0.36,0.37,0,3287,1.21,12
2013-08-09 00:00:00+00,0.37,0.39,0.36,0.37,0,40344,15.09,12
2013-08-12 00:00:00+00,0.36,0.37,0.35,0.37,0,13225,4.79,22
2013-08-13 00:00:00+00,0.39,0.39,0.36,0.36,-2.7,2382,0.87,12
2013-08-14 00:00:00+00,0.36,0.36,0.35,0.36,0,16865,6.07,16
2013-08-16 00:00:00+00,0.36,0.36,0.35,0.35,-2.78,951279,342.45,10
2013-08-19 00:00:00+00,0.38,0.38,0.35,0.35,0,55135,19.3,27
2013-08-20 00:00:00+00,0.35,0.35,0.32,0.35,0,3047,1.07,9
2013-08-21 00:00:00+00,0.36,0.36,0.34,0.34,-2.86,2089,0.74,11
2013-08-22 00:00:00+00,0.36,0.36,0.34,0.34,0,671,0.23,6
2013-08-23 00:00:00+00,0.36,0.36,0.33,0.36,5.88,236626,81.21,29
2013-08-26 00:00:00+00,0.34,0.37,0.34,0.36,0,3951,1.43,8
2013-08-27 00:00:00+00,0.36,0.36,0.36,0.36,0,5813,2.09,9
2013-08-28 00:00:00+00,0.36,0.39,0.36,0.39,8.33,225896,85.99,16
2013-08-29 00:00:00+00,0.38,0.39,0.38,0.38,-2.56,758,0.29,12
2013-08-30 00:00:00+00,0.38,0.39,0.38,0.38,0,5538,2.12,7
2013-09-02 00:00:00+00,0.38,0.39,0.35,0.37,-2.63,258629,95.09,16
2013-09-03 00:00:00+00,0.36,0.38,0.36,0.36,-2.7,7210,2.74,10
2013-09-04 00:00:00+00,0.36,0.38,0.35,0.38,5.56,244394,89.09,30
2013-09-05 00:00:00+00,0.35,0.38,0.35,0.38,0,13335,4.76,12
2013-09-06 00:00:00+00,0.38,0.38,0.35,0.36,-5.26,24423,9.2,19
2013-09-09 00:00:00+00,0.38,0.38,0.35,0.36,0,148,0.06,11
2013-09-10 00:00:00+00,0.36,0.38,0.36,0.38,5.56,9716,3.69,9
2013-09-11 00:00:00+00,0.38,0.38,0.36,0.36,-5.26,7550,2.78,12
2013-09-12 00:00:00+00,0.36,0.36,0.36,0.36,0,20382,7.34,9
2013-09-13 00:00:00+00,0.36,0.38,0.36,0.36,0,1055,0.4,8
2013-09-16 00:00:00+00,0.36,0.36,0.36,0.36,0,3251,1.17,11
2013-09-17 00:00:00+00,0.36,0.38,0.36,0.38,5.56,11732,4.41,7
2013-09-18 00:00:00+00,0.38,0.38,0.36,0.38,0,57006,20.69,15
2013-09-19 00:00:00+00,0.37,0.37,0.36,0.36,-5.26,3997,1.48,5
