date,open,high,low,close,difference,volume,turnover,transactions
2014-01-22 00:00:00+00,2,2.04,1.97,2.02,1,103892,207.7,110
2014-01-23 00:00:00+00,1.98,2.04,1.94,1.96,-2.97,105216,208.52,111
2014-01-24 00:00:00+00,1.96,2,1.91,1.97,0.51,90892,176,108
2014-01-27 00:00:00+00,1.96,1.97,1.9,1.9,-3.55,44693,85.89,85
2014-01-28 00:00:00+00,1.94,1.98,1.92,1.95,2.63,120547,235.89,101
2014-01-29 00:00:00+00,1.94,2.06,1.92,1.94,-0.51,184634,367.12,173
2014-01-30 00:00:00+00,1.97,2,1.92,2,3.09,139040,271.74,110
2014-01-31 00:00:00+00,2,2.01,1.95,1.99,-0.5,222038,440.78,104
2014-02-03 00:00:00+00,1.98,2,1.93,1.97,-1.01,85492,166.69,76
2014-02-04 00:00:00+00,1.97,1.97,1.78,1.85,-6.09,320830,601.39,190
2014-02-05 00:00:00+00,1.8,1.88,1.78,1.86,0.54,165981,301.51,158
2014-02-06 00:00:00+00,1.85,1.86,1.7,1.74,-6.45,370206,642.58,339
2014-02-07 00:00:00+00,1.74,1.83,1.67,1.82,4.6,235679,415.7,220
2014-02-10 00:00:00+00,1.81,1.85,1.79,1.82,0,133060,242.55,154
2014-02-11 00:00:00+00,1.82,1.82,1.74,1.79,-1.65,136934,244.02,123
2014-02-12 00:00:00+00,1.76,1.8,1.73,1.8,0.56,131746,234.42,101
2014-02-13 00:00:00+00,1.81,1.81,1.74,1.79,-0.56,94823,169.14,100
2014-02-14 00:00:00+00,1.8,1.82,1.77,1.78,-0.56,29537,52.91,40
2014-02-17 00:00:00+00,1.77,1.82,1.75,1.78,0,157413,281.12,105
2014-02-18 00:00:00+00,1.75,1.76,1.7,1.72,-3.37,149111,256.71,127
2014-02-19 00:00:00+00,1.68,1.71,1.55,1.69,-1.74,237000,391.04,229
2014-02-20 00:00:00+00,1.7,1.72,1.62,1.69,0,97052,161.84,110
2014-02-21 00:00:00+00,1.69,1.71,1.67,1.69,0,47706,80.4,59
2014-02-24 00:00:00+00,1.68,1.69,1.52,1.54,-8.88,479302,758.75,315
2014-02-25 00:00:00+00,1.5,1.68,1.5,1.57,1.95,432129,678.74,414
2014-02-26 00:00:00+00,1.57,1.61,1.53,1.53,-2.55,230235,358.35,184
2014-02-27 00:00:00+00,1.54,1.56,1.39,1.4,-8.5,582397,840.76,460
2014-02-28 00:00:00+00,1.38,1.44,1.27,1.28,-8.57,1031464,1358.53,656
2014-03-03 00:00:00+00,1.22,1.23,0.99,1.06,-17.19,1029422,1128.68,595
2014-03-04 00:00:00+00,1.12,1.27,1.1,1.24,16.98,784143,929.36,474
2014-03-05 00:00:00+00,1.26,1.36,1.25,1.3,4.84,521259,675,354
2014-03-06 00:00:00+00,1.3,1.4,1.25,1.4,7.69,487019,656.32,324
2014-03-07 00:00:00+00,1.43,1.57,1.43,1.55,10.71,1203994,1824.06,773
2014-03-10 00:00:00+00,1.51,1.64,1.47,1.6,3.23,667656,1041.85,367
2014-03-11 00:00:00+00,1.62,1.64,1.53,1.57,-1.88,263111,415.71,183
2014-03-12 00:00:00+00,1.54,1.57,1.39,1.46,-7.01,497359,737.2,302
2014-03-13 00:00:00+00,1.45,1.53,1.41,1.46,0,199960,294.88,133
2014-03-14 00:00:00+00,1.41,1.48,1.32,1.41,-3.42,335128,470.16,254
2014-03-17 00:00:00+00,1.44,1.5,1.41,1.47,4.26,159238,231.64,109
2014-03-18 00:00:00+00,1.49,1.51,1.45,1.47,0,159649,237.29,109
2014-03-19 00:00:00+00,1.5,1.56,1.48,1.5,2.04,238435,363.04,115
2014-03-20 00:00:00+00,1.48,1.54,1.48,1.5,0,82634,124.4,85
2014-03-21 00:00:00+00,1.52,1.62,1.51,1.61,7.33,400797,631.41,219
2014-03-24 00:00:00+00,1.67,1.79,1.67,1.74,8.07,784985,1352.8,466
2014-03-25 00:00:00+00,1.76,1.79,1.71,1.72,-1.15,573029,1005.29,331
2014-03-26 00:00:00+00,1.74,1.74,1.66,1.67,-2.91,209254,354.03,186
2014-03-27 00:00:00+00,1.66,1.77,1.64,1.69,1.2,531438,911.44,273
2014-03-28 00:00:00+00,1.72,1.72,1.66,1.71,1.18,185434,312.92,102
2014-03-31 00:00:00+00,1.72,1.82,1.7,1.82,6.43,547530,968.32,317
2014-04-01 00:00:00+00,1.82,1.82,1.74,1.75,-3.85,493225,871.92,317
2014-04-02 00:00:00+00,1.75,1.81,1.74,1.77,1.14,261478,464.47,168
2014-04-03 00:00:00+00,1.79,1.84,1.74,1.75,-1.13,320295,571.02,187
2014-04-04 00:00:00+00,1.76,1.87,1.75,1.84,5.14,355929,643.74,184
2014-04-07 00:00:00+00,1.81,1.85,1.79,1.8,-2.17,367044,666.27,167
2014-04-08 00:00:00+00,1.8,1.9,1.8,1.88,4.44,288720,539.34,240
2014-04-09 00:00:00+00,1.89,1.95,1.87,1.87,-0.53,411899,784.45,315
2014-04-10 00:00:00+00,1.9,1.93,1.83,1.84,-1.6,221759,414.52,169
2014-04-11 00:00:00+00,1.8,1.81,1.77,1.81,-1.63,261852,469.48,183
2014-04-14 00:00:00+00,1.81,1.81,1.68,1.77,-2.21,266929,463.58,225
2014-04-15 00:00:00+00,1.78,1.78,1.72,1.73,-2.26,141593,246.08,130
2014-04-16 00:00:00+00,1.75,1.75,1.66,1.66,-4.05,130249,220.67,121
2014-04-17 00:00:00+00,1.64,1.78,1.63,1.76,6.02,264573,455.85,182
2014-04-22 00:00:00+00,1.77,1.79,1.73,1.73,-1.7,117174,205.49,73
2014-04-23 00:00:00+00,1.71,1.75,1.66,1.69,-2.31,88483,149.64,109
2014-04-24 00:00:00+00,1.69,1.73,1.66,1.66,-1.78,172831,291.63,100
2014-04-25 00:00:00+00,1.66,1.68,1.61,1.65,-0.6,118434,193.53,80
2014-04-28 00:00:00+00,1.61,1.65,1.6,1.63,-1.21,86885,140.13,85
2014-04-29 00:00:00+00,1.63,1.67,1.63,1.65,1.23,43854,72.44,46
2014-04-30 00:00:00+00,1.65,1.69,1.62,1.65,0,45262,75.42,46
2014-05-02 00:00:00+00,1.65,1.66,1.58,1.64,-0.61,103662,167.13,82
2014-05-05 00:00:00+00,1.66,1.66,1.56,1.59,-3.05,56138,88.79,94
2014-05-06 00:00:00+00,1.61,1.61,1.56,1.59,0,37796,59.98,51
2014-05-07 00:00:00+00,1.58,1.69,1.52,1.68,5.66,373387,608.16,270
2014-05-08 00:00:00+00,1.68,1.75,1.68,1.73,2.98,276001,472.37,97
2014-05-09 00:00:00+00,1.74,1.77,1.65,1.65,-4.62,112917,192.23,115
2014-05-12 00:00:00+00,1.65,1.67,1.59,1.66,0.61,101617,164.91,78
2014-05-13 00:00:00+00,1.64,1.69,1.64,1.68,1.2,51738,86.02,48
2014-05-14 00:00:00+00,1.68,1.78,1.66,1.78,5.95,278484,485.81,181
2014-05-15 00:00:00+00,1.78,1.78,1.71,1.72,-3.37,130480,226.89,95
2014-05-16 00:00:00+00,1.74,1.77,1.68,1.71,-0.58,111350,191.85,124
2014-05-19 00:00:00+00,1.7,1.72,1.62,1.64,-4.09,165286,275.15,119
2014-05-20 00:00:00+00,1.66,1.67,1.61,1.65,0.61,108293,176.32,97
2014-05-21 00:00:00+00,1.65,1.65,1.6,1.61,-2.42,87129,141.03,72
2014-05-22 00:00:00+00,1.64,1.65,1.61,1.63,1.24,46804,76.08,47
2014-05-23 00:00:00+00,1.61,1.63,1.58,1.58,-3.07,131899,211,71
2014-05-26 00:00:00+00,1.57,1.65,1.54,1.58,0,89380,140.88,91
2014-05-27 00:00:00+00,1.58,1.66,1.55,1.59,0.63,163658,263.21,151
2014-05-28 00:00:00+00,1.6,1.63,1.57,1.58,-0.63,104690,166.03,55
2014-05-29 00:00:00+00,1.62,1.62,1.56,1.58,0,30989,48.95,22
2014-05-30 00:00:00+00,1.61,1.61,1.53,1.57,-0.63,62888,98.22,65
2014-06-02 00:00:00+00,1.55,1.55,1.36,1.37,-12.74,499190,730.16,318
2014-06-03 00:00:00+00,1.35,1.48,1.31,1.45,5.84,405044,571.82,295
2014-06-04 00:00:00+00,1.46,1.46,1.43,1.44,-0.69,69159,99.65,58
2014-06-05 00:00:00+00,1.44,1.48,1.43,1.46,1.39,35390,51.42,44
2014-06-06 00:00:00+00,1.46,1.46,1.41,1.43,-2.05,55048,78.25,50
2014-06-09 00:00:00+00,1.41,1.42,1.37,1.39,-2.8,108921,152.16,121
2014-06-10 00:00:00+00,1.38,1.4,1.34,1.35,-2.88,105187,143.29,189
2014-06-11 00:00:00+00,1.35,1.45,1.32,1.4,3.7,466347,644.78,335
2014-06-12 00:00:00+00,1.4,1.4,1.35,1.35,-3.57,95835,131.26,65
2014-06-13 00:00:00+00,1.35,1.37,1.23,1.32,-2.22,390990,507.94,239
2014-06-16 00:00:00+00,1.32,1.37,1.32,1.36,3.03,211777,280.92,85
2014-06-17 00:00:00+00,1.37,1.4,1.35,1.35,-0.74,99179,135.97,77
2014-06-18 00:00:00+00,1.36,1.4,1.36,1.38,2.22,104107,143.8,85
2014-06-20 00:00:00+00,1.38,1.4,1.36,1.38,0,59821,81.82,39
2014-06-23 00:00:00+00,1.38,1.43,1.37,1.38,0,184443,256.32,114
2014-06-24 00:00:00+00,1.36,1.38,1.36,1.36,-1.45,78863,107.96,56
2014-06-25 00:00:00+00,1.38,1.4,1.32,1.36,0,334601,458.12,75
2014-06-26 00:00:00+00,1.34,1.37,1.34,1.35,-0.74,32644,44.02,43
2014-06-27 00:00:00+00,1.36,1.37,1.3,1.33,-1.48,41691,55.59,37
2014-06-30 00:00:00+00,1.33,1.36,1.28,1.32,-0.75,42178,54.89,45
2014-07-01 00:00:00+00,1.33,1.33,1.27,1.28,-3.03,46853,60.29,55
2014-07-02 00:00:00+00,1.29,1.35,1.23,1.33,3.91,139324,177.62,114
2014-07-03 00:00:00+00,1.34,1.34,1.28,1.31,-1.5,52344,69.04,45
2014-07-04 00:00:00+00,1.33,1.33,1.3,1.32,0.76,46225,60.74,36
2014-07-07 00:00:00+00,1.33,1.33,1.29,1.31,-0.76,41801,54.52,29
2014-07-08 00:00:00+00,1.33,1.33,1.29,1.29,-1.53,29864,38.75,37
2014-07-09 00:00:00+00,1.3,1.3,1.24,1.28,-0.78,43459,54.51,32
2014-07-10 00:00:00+00,1.25,1.28,1.23,1.24,-3.13,68922,86.94,47
2014-07-11 00:00:00+00,1.26,1.28,1.2,1.27,2.42,117796,144.95,90
2014-07-14 00:00:00+00,1.24,1.29,1.24,1.27,0,31221,39.66,27
2014-07-15 00:00:00+00,1.28,1.28,1.22,1.24,-2.36,66111,82.05,37
2014-07-16 00:00:00+00,1.25,1.27,1.22,1.24,0,91343,112.78,56
2014-07-17 00:00:00+00,1.24,1.25,1.22,1.25,0.81,76046,93.3,55
2014-07-18 00:00:00+00,1.21,1.27,1.21,1.22,-2.4,62455,76.41,58
2014-07-21 00:00:00+00,1.21,1.22,1.17,1.19,-2.46,98484,117.28,77
