date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,65.5,66,65.5,66,1.69,518,68.28,11
2005-01-04 00:00:00+00,65.8,66.9,65.8,66.9,1.36,369,48.71,5
2005-01-05 00:00:00+00,65.1,67.3,65,67.2,0.45,740,97.19,13
2005-01-06 00:00:00+00,67.2,67.2,65,66.1,-1.64,364,47.62,6
2005-01-07 00:00:00+00,66,67.2,65.1,67.2,1.66,236,31.47,8
2005-01-10 00:00:00+00,65.3,65.7,64.9,65,-3.27,437,56.88,12
2005-01-11 00:00:00+00,62.8,67,62.8,67,3.08,571,75.07,8
2005-01-12 00:00:00+00,63.2,67,63.2,67,0,21,2.66,2
2005-01-13 00:00:00+00,66.7,66.7,66.5,66.7,-0.45,70,9.33,5
2005-01-14 00:00:00+00,66.7,66.7,64.1,66.6,-0.15,160,21.23,8
2005-01-17 00:00:00+00,66.7,66.8,63.8,66.6,0,461,60.24,13
2005-01-18 00:00:00+00,66.8,66.8,66.8,66.8,0.3,50,6.68,2
2005-01-19 00:00:00+00,66.7,66.7,66.7,66.7,-0.15,12,1.6,1
2005-01-20 00:00:00+00,0,0,0,66.7,0,0,0,0
2005-01-21 00:00:00+00,66.3,66.6,64,65,-2.55,315,40.96,9
2005-01-24 00:00:00+00,65,66.4,65,66.4,2.15,144,18.79,2
2005-01-25 00:00:00+00,63.8,64.4,63,64.4,-3.01,765,97.45,18
2005-01-26 00:00:00+00,65,65,64.9,65,0.93,311,40.4,11
2005-01-27 00:00:00+00,62.5,65,62.5,65,0,332,43.13,7
2005-01-28 00:00:00+00,65,65,64,65,0,100,12.99,4
2005-01-31 00:00:00+00,65,65,63.5,65,0,188,24.09,6
2005-02-01 00:00:00+00,62.7,65,62.7,64.9,-0.15,332,42.99,9
2005-02-02 00:00:00+00,64.9,65,64.9,64.9,0,49,6.36,3
2005-02-03 00:00:00+00,65,65,64.8,65,0.15,122,15.84,9
2005-02-04 00:00:00+00,65,65,64.9,64.9,-0.15,125,16.24,4
2005-02-07 00:00:00+00,63.3,65.5,63.3,65.5,0.92,33,4.21,3
2005-02-08 00:00:00+00,65,65,65,65,-0.76,60,7.8,2
2005-02-09 00:00:00+00,65,65,64,64,-1.54,8042,1029.38,6
2005-02-10 00:00:00+00,65.4,65.4,64,64.5,0.78,2591,331.76,6
