date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,383,395,383,390,0.26,150,116.86,36
2005-01-04 00:00:00+00,390,394,390,392,0.51,340,267.18,22
2005-01-05 00:00:00+00,392,399,390.5,391.5,-0.13,5949,4675.23,64
2005-01-06 00:00:00+00,391,396,391,392,0.13,411,322.55,37
2005-01-07 00:00:00+00,391.5,392,391,391,-0.26,329,257.52,37
2005-01-10 00:00:00+00,385,385,380,385,-1.53,255,195.41,35
2005-01-11 00:00:00+00,385,386,385,385,0,140,107.88,19
2005-01-12 00:00:00+00,385,385.5,385,385,0,139,107.11,25
2005-01-13 00:00:00+00,385,385,385,385,0,289,222.53,19
2005-01-14 00:00:00+00,380,385,380,383,-0.52,6636,5108.92,25
2005-01-17 00:00:00+00,382.5,383,382.5,383,0,94,71.97,14
2005-01-18 00:00:00+00,382.5,383,382.5,383,0,412,315.58,19
2005-01-19 00:00:00+00,382.5,384,382.5,382.5,-0.13,5137,3939.94,12
2005-01-20 00:00:00+00,382.5,392,382.5,386,0.92,227,175.81,26
2005-01-21 00:00:00+00,386,387,382.5,383,-0.78,66,50.62,10
2005-01-24 00:00:00+00,382.5,383,382.5,383,0,81,62.02,14
2005-01-25 00:00:00+00,385,386,383,383.5,0.13,140,107.77,15
2005-01-26 00:00:00+00,383,383.5,383,383.5,0,65,49.83,12
2005-01-27 00:00:00+00,383.5,389,383.5,389,1.43,101,78.51,13
2005-01-28 00:00:00+00,385,389,384,389,0,265,205.07,29
2005-01-31 00:00:00+00,384,393,384,393,1.03,130,100.9,24
2005-02-01 00:00:00+00,385,394,385,387,-1.53,368,285.67,42
2005-02-02 00:00:00+00,387,397,385.5,397,2.58,276,216.94,49
2005-02-03 00:00:00+00,395,403.5,395,403.5,1.64,881,704.85,83
2005-02-04 00:00:00+00,401,402,398,400.5,-0.74,743,596.06,58
2005-02-07 00:00:00+00,391,409,391,406,1.37,592,477.48,56
2005-02-08 00:00:00+00,401.5,410,401.5,405,-0.25,6707,5467.34,69
2005-02-09 00:00:00+00,402,409,399,405.5,0.12,380,307.94,58
2005-02-10 00:00:00+00,410,410,405,405,-0.12,311,253.08,51
2005-02-11 00:00:00+00,403,409,403,409,0.99,345,279.74,37
2005-02-14 00:00:00+00,405,412,405,406,-0.73,377,308.13,44
2005-02-15 00:00:00+00,405.5,410,405,406,0,189,153.51,34
2005-02-16 00:00:00+00,407,410,407,410,0.99,703,575.89,41
2005-02-17 00:00:00+00,415.5,436,415.5,435.5,6.22,1540,1320.24,112
2005-02-18 00:00:00+00,435,440,432,437,0.34,922,804.14,92
2005-02-21 00:00:00+00,430,437,430,436,-0.23,330,286.46,54
2005-02-22 00:00:00+00,436.5,444,436.5,444,1.83,846,743.05,80
2005-02-23 00:00:00+00,430,439.5,430,437.5,-1.46,926,806.21,59
2005-02-24 00:00:00+00,432,438,432,437,-0.11,1127,981.7,74
2005-02-25 00:00:00+00,437,444,437,443,1.37,725,637.35,75
2005-02-28 00:00:00+00,445,468,445,451,1.81,1204,1095.55,89
2005-03-01 00:00:00+00,452.5,462,452,456.5,1.22,558,508.33,60
2005-03-02 00:00:00+00,455,462,455,456,-0.11,740,676.97,54
2005-03-03 00:00:00+00,451,465,445.5,465,1.97,766,696.23,68
2005-03-04 00:00:00+00,460,466,460,465,0,313,289.48,61
2005-03-07 00:00:00+00,485,500,485,487,4.73,1943,1920.53,117
2005-03-08 00:00:00+00,488,494,487.5,489,0.41,1139,1114.04,54
2005-03-09 00:00:00+00,490,500,487.5,491,0.41,5308,5215.21,89
2005-03-10 00:00:00+00,491.5,500,491.5,495,0.81,1010,1006.36,62
2005-03-11 00:00:00+00,493.5,495,486,486,-1.82,2468,2433.59,59
2005-03-14 00:00:00+00,481,486,470,475,-2.26,1042,996.76,77
2005-03-15 00:00:00+00,470,470,468,470,-1.05,693,650.35,57
2005-03-16 00:00:00+00,468,468,462,465,-1.06,749,699.39,36
2005-03-17 00:00:00+00,464,465,443.5,450,-3.23,1195,1078.23,87
2005-03-18 00:00:00+00,445,451,441,450,0,1927,1733.6,37
2005-03-21 00:00:00+00,445.5,445.5,442,444.5,-1.22,4301,3827.51,51
2005-03-22 00:00:00+00,441,444.5,435,440,-1.01,20415,17805.76,110
2005-03-23 00:00:00+00,425.5,430,418.5,418.5,-4.89,25484,21631.98,217
