date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,1.1,1.1,1.06,1.08,2.86,15835,34.42,17
2005-01-04 00:00:00+00,1.1,1.11,1.08,1.08,0,21238,46.43,19
2005-01-05 00:00:00+00,1.07,1.07,1.03,1.03,-4.63,16786,35.43,15
2005-01-06 00:00:00+00,1.09,1.1,1.03,1.1,6.8,39858,86.62,22
2005-01-07 00:00:00+00,1.08,1.1,1.08,1.1,0,21831,47.8,10
2005-01-10 00:00:00+00,1.1,1.13,1.09,1.09,-0.91,22793,50.49,22
2005-01-11 00:00:00+00,1.09,1.12,1.02,1.05,-3.67,24296,51.15,23
2005-01-12 00:00:00+00,1.02,1.08,1.02,1.05,0,15209,32.02,11
2005-01-13 00:00:00+00,1.04,1.09,1.03,1.09,3.81,24405,51.19,16
2005-01-14 00:00:00+00,1.09,1.11,1.05,1.06,-2.75,20324,44.11,21
2005-01-17 00:00:00+00,1.05,1.05,1.04,1.04,-1.89,4300,8.99,7
2005-01-18 00:00:00+00,1.04,1.04,1.02,1.04,0,14080,28.89,9
2005-01-19 00:00:00+00,1.1,1.1,1.07,1.07,2.88,10571,23.22,6
2005-01-20 00:00:00+00,1.03,1.03,1.02,1.03,-3.74,6890,14.11,5
2005-01-21 00:00:00+00,1.05,1.07,1,1.01,-1.94,23878,49.31,21
2005-01-24 00:00:00+00,1.01,1.04,1.01,1.04,2.97,1645,3.41,3
2005-01-25 00:00:00+00,1.01,1.04,1.01,1.02,-1.92,14343,29.16,11
2005-01-26 00:00:00+00,1.05,1.05,1.05,1.05,2.94,1890,3.97,3
2005-01-27 00:00:00+00,1.02,1.03,1.02,1.03,-1.9,13343,27.45,9
2005-01-28 00:00:00+00,1.01,1.04,1.01,1.04,0.97,7935,16.27,5
2005-01-31 00:00:00+00,1.04,1.04,1.03,1.03,-0.96,10610,21.96,11
2005-02-01 00:00:00+00,1.04,1.04,1.03,1.04,0.97,12558,26.09,6
2005-02-02 00:00:00+00,1.01,1.04,0.95,1.01,-2.88,33895,68.3,35
2005-02-03 00:00:00+00,0.98,1.04,0.97,1.01,0,17760,36.38,14
2005-02-04 00:00:00+00,1.01,1.05,1.01,1.02,0.99,17380,36.01,19
2005-02-07 00:00:00+00,1.02,1.05,1,1.02,0,28026,57.45,29
2005-02-08 00:00:00+00,1.03,1.06,1.02,1.06,3.92,23696,49.56,28
2005-02-09 00:00:00+00,1.06,1.3,1.06,1.24,16.98,306851,751.48,228
2005-02-10 00:00:00+00,1.25,1.28,1.11,1.17,-5.65,107881,263.14,93
2005-02-11 00:00:00+00,1.14,1.22,1.08,1.1,-5.98,74954,166.45,70
2005-02-14 00:00:00+00,1.1,1.12,1.05,1.09,-0.91,28263,61.14,27
2005-02-15 00:00:00+00,1.09,1.13,1.09,1.13,3.67,23785,52.65,23
