date,open,high,low,close,difference,volume,turnover,transactions
2007-12-04 00:00:00+00,14.4,14.4,13.3,14.3,2.14,15993,444.63,41
2007-12-05 00:00:00+00,14.3,14.4,14,14.3,0,13494,384.69,21
2007-12-06 00:00:00+00,14.49,14.56,14,14.5,1.4,1259,36.44,7
2007-12-07 00:00:00+00,14.4,14.4,13.95,14.01,-3.38,1040,29.11,11
2007-12-10 00:00:00+00,14.01,14.3,14,14.15,1,3481,98.32,9
2007-12-11 00:00:00+00,14.01,14.01,14.01,14.01,-0.99,1300,36.43,2
2007-12-12 00:00:00+00,13.65,13.8,13.65,13.8,-1.5,578,15.78,2
2007-12-13 00:00:00+00,13.98,14.17,13.8,13.8,0,11631,325.18,22
2007-12-14 00:00:00+00,14,14,13.02,13.7,-0.72,1170,31.59,6
2007-12-17 00:00:00+00,14.01,14.01,14.01,14.01,2.26,222,6.22,3
2007-12-18 00:00:00+00,14,14,13.1,13.1,-6.5,117,3.12,3
2007-12-19 00:00:00+00,13.21,14.01,13.21,14.01,6.95,5394,146.05,11
2007-12-20 00:00:00+00,14.2,14.2,13.87,13.87,-1,2700,74.96,7
2007-12-21 00:00:00+00,13.88,14.1,13.85,13.85,-0.14,6645,186.98,17
2007-12-27 00:00:00+00,14.1,14.1,13.5,13.7,-1.08,4666,126.01,14
2007-12-28 00:00:00+00,13.8,13.8,13.3,13.65,-0.36,1410,37.68,7
2008-01-02 00:00:00+00,13.29,14.32,13.29,13.8,1.1,2492,67.68,13
2008-01-03 00:00:00+00,13.8,13.8,13.23,13.55,-1.81,6461,173.27,21
2008-01-04 00:00:00+00,13.55,13.55,13.55,13.55,0,1393,37.75,4
2008-01-07 00:00:00+00,13.29,14,13.29,13.65,0.74,7478,204.03,9
2008-01-08 00:00:00+00,14,14,13.63,13.85,1.47,123,3.37,3
2008-01-09 00:00:00+00,14.08,14.08,13.7,13.8,-0.36,397,10.89,3
2008-01-10 00:00:00+00,13.68,13.79,13.1,13.43,-2.68,1005,27.08,6
2008-01-11 00:00:00+00,13.8,13.8,13.44,13.44,0.07,547,14.71,2
2008-01-14 00:00:00+00,13.5,13.5,11.87,12.99,-3.35,2771,69.87,11
2008-01-15 00:00:00+00,12.99,12.99,12.67,12.67,-2.46,1040,26.83,7
2008-01-16 00:00:00+00,12.1,12.3,11.8,12.1,-4.5,5155,124.41,14
2008-01-17 00:00:00+00,12.1,12.39,12.09,12.39,2.4,1720,42.56,5
