date,open,high,low,close,difference,volume,turnover,transactions
2005-01-03 00:00:00+00,37.5,38,37.5,37.5,0.27,10528,793.97,32
2005-01-04 00:00:00+00,37.7,37.7,37.1,37.4,-0.27,1643,122.51,18
2005-01-05 00:00:00+00,37.2,37.4,37,37.4,0,3945,293.53,23
2005-01-06 00:00:00+00,36.8,37,36.3,36.8,-1.6,5145,378.18,32
2005-01-07 00:00:00+00,36.8,36.8,36.5,36.5,-0.82,12051,882.68,32
2005-01-10 00:00:00+00,37,37,36.5,36.8,0.82,15384,1123.25,20
2005-01-11 00:00:00+00,36.5,36.8,36.5,36.7,-0.27,1760,128.81,15
2005-01-12 00:00:00+00,36.6,36.9,36.6,36.9,0.54,2822,207.54,14
2005-01-13 00:00:00+00,36.7,36.7,36.3,36.3,-1.63,13572,990.19,28
2005-01-14 00:00:00+00,36.3,36.5,36.3,36.5,0.55,1842,133.89,23
2005-01-17 00:00:00+00,36.8,37.8,36.8,37.5,2.74,24088,1805.34,67
2005-01-18 00:00:00+00,37.3,37.6,34.6,37,-1.33,16320,1207.26,40
2005-01-19 00:00:00+00,37,37,36.5,36.5,-1.35,2535,185.68,19
2005-01-20 00:00:00+00,36.2,36.5,36.1,36.5,0,16518,1198.97,15
2005-01-21 00:00:00+00,36.5,37,36.5,36.9,1.1,1804,132.75,21
2005-01-24 00:00:00+00,36.8,37.2,36.8,37.2,0.81,1538,113.99,14
2005-01-25 00:00:00+00,37.5,37.5,37,37.3,0.27,45776,3406.24,18
2005-01-26 00:00:00+00,37.5,37.7,37.5,37.7,1.07,3426,257.15,21
2005-01-27 00:00:00+00,37.7,39.4,37.7,39.4,4.51,30912,2386,104
2005-01-28 00:00:00+00,39.5,40.5,39.2,40.2,2.03,40711,3234.2,140
2005-01-31 00:00:00+00,40.5,40.8,40.3,40.5,0.75,10420,844.23,58
2005-02-01 00:00:00+00,40.3,40.3,38.9,40,-1.23,16565,1319.52,86
2005-02-02 00:00:00+00,39.8,40.4,39.2,39.6,-1,43366,3460.94,49
2005-02-03 00:00:00+00,39.8,40,39.7,39.7,0.25,42128,3367.5,73
2005-02-04 00:00:00+00,39.6,41.6,39.6,41.5,4.53,24859,2024.52,92
2005-02-07 00:00:00+00,42.1,42.8,40.9,41,-1.2,94296,7750.96,89
2005-02-08 00:00:00+00,41,41.1,41,41,0,112998,9266.05,38
2005-02-09 00:00:00+00,40.8,40.9,40.7,40.9,-0.24,9647,787.71,26
2005-02-10 00:00:00+00,40.7,40.7,40.2,40.7,-0.49,2452,198.81,14
2005-02-11 00:00:00+00,40.7,40.7,40.2,40.2,-1.23,4836,390.78,9
2005-02-14 00:00:00+00,40.1,40.2,39.3,39.8,-1,5085,406.04,23
2005-02-15 00:00:00+00,39.1,40,39,40,0.5,24165,1912.97,55
2005-02-16 00:00:00+00,40.4,40.6,39.9,39.9,-0.25,172017,13931.17,48
2005-02-17 00:00:00+00,39.8,40.3,39.7,39.8,-0.25,2036,162.82,20
2005-02-18 00:00:00+00,39.8,39.8,39.5,39.6,-0.5,4029,319.47,22
2005-02-21 00:00:00+00,39.9,39.9,39.2,39.2,-1.01,1853,146.81,17
2005-02-22 00:00:00+00,39.2,39.3,38.5,38.5,-1.79,4487,349.57,23
2005-02-23 00:00:00+00,38.4,38.5,38.4,38.5,0,5025,386.2,12
2005-02-24 00:00:00+00,39,39,37.9,38.9,1.04,4221,321.99,20
2005-02-25 00:00:00+00,38.9,38.9,38.1,38.5,-1.03,849,65.59,10
2005-02-28 00:00:00+00,38.6,38.6,38,38.5,0,8847,680.31,26
2005-03-01 00:00:00+00,38.5,39.1,38.5,39.1,1.56,60158,4661.93,23
2005-03-02 00:00:00+00,39,39.5,38.5,39.4,0.77,1083,84.07,12
2005-03-03 00:00:00+00,39.5,39.8,39,39.5,0.25,20334,1599.55,16
2005-03-04 00:00:00+00,39.5,39.5,39.2,39.5,0,49537,3912.87,19
2005-03-07 00:00:00+00,39.6,39.8,39,39.5,0,21429,1691.99,10
2005-03-08 00:00:00+00,39.5,39.5,39.4,39.5,0,20243,1598.74,11
2005-03-09 00:00:00+00,39.5,39.5,39.5,39.5,0,15577,1230.58,15
2005-03-10 00:00:00+00,39.4,39.5,37.9,39.5,0,17749,1395.91,17
2005-03-11 00:00:00+00,0,0,0,39.5,0,0,0,0
2005-03-14 00:00:00+00,38.6,38.6,38.3,38.3,-3.04,530,40.81,6
2005-03-15 00:00:00+00,38.3,38.3,38,38,-0.78,961,73.28,14
2005-03-16 00:00:00+00,37.5,37.6,37,37,-2.63,4864,362.2,21
2005-03-17 00:00:00+00,36.8,36.8,35,35.5,-4.05,21727,1584.28,30
2005-03-18 00:00:00+00,35.2,36.5,34.5,34.8,-1.97,12393,873.82,55
2005-03-21 00:00:00+00,35,35,34.5,34.5,-0.86,6698,467.68,9
2005-03-22 00:00:00+00,34.5,35,33.2,33.4,-3.19,6716,454.2,35
2005-03-23 00:00:00+00,33.6,34.7,33.2,34.7,3.89,886,60.39,16
2005-03-24 00:00:00+00,34.8,35.4,34.8,34.8,0.29,1789,125.37,9
2005-03-29 00:00:00+00,34.5,34.5,33.9,34.5,-0.86,3414,233.96,13
2005-03-30 00:00:00+00,34.1,34.1,34,34,-1.45,973,66.21,14
2005-03-31 00:00:00+00,34,34.8,34,34.8,2.35,1245,85.61,12
2005-04-01 00:00:00+00,34.7,35.2,34.6,35.1,0.86,405,28.2,11
2005-04-04 00:00:00+00,35.4,35.4,34.8,34.8,-0.85,220,15.33,4
2005-04-05 00:00:00+00,34.8,35.3,34.8,35.3,1.44,168,11.72,7
2005-04-06 00:00:00+00,35.5,35.9,35.4,35.9,1.7,685,48.72,12
2005-04-07 00:00:00+00,35.9,36,35.8,36,0.28,255,18.32,9
2005-04-11 00:00:00+00,36,36,35,35,-2.78,110,7.81,4
2005-04-12 00:00:00+00,35,35.9,35,35,0,170,12.01,6
2005-04-13 00:00:00+00,35.7,36,35.4,36,2.86,293,21,9
2005-04-14 00:00:00+00,35.4,35.4,35.1,35.1,-2.5,646,45.37,7
2005-04-15 00:00:00+00,35.1,35.2,35,35,-0.28,1091,76.49,10
2005-04-18 00:00:00+00,35,35,34.2,35,0,632,44.07,12
2005-04-19 00:00:00+00,34.5,34.9,34.5,34.9,-0.29,844,58.3,8
2005-04-20 00:00:00+00,34.9,35.5,34.6,35.5,1.72,47846,3348.82,13
2005-04-21 00:00:00+00,34.3,35.3,34.3,35.3,-0.56,80,5.51,2
2005-04-22 00:00:00+00,35.3,35.3,34.7,34.7,-1.7,352,24.51,5
2005-04-25 00:00:00+00,35,35.5,35,35,0.86,909,64.02,12
2005-04-26 00:00:00+00,34.1,34.8,33.1,33.2,-5.14,870,58.63,19
2005-04-27 00:00:00+00,32,35,31,35,5.42,5122,330.32,29
2005-04-28 00:00:00+00,32.6,34.7,32.6,34.7,-0.86,140,9.54,3
2005-04-29 00:00:00+00,32.6,33.8,32.6,33.5,-2.9,240,16.03,9
2005-05-02 00:00:00+00,0,0,0,33.5,0,0,0,0
2005-05-04 00:00:00+00,32.6,34,32.1,32.7,-2.39,10833,708.26,18
2005-05-05 00:00:00+00,33,33.5,33,33.5,2.45,375,25.1,5
2005-05-06 00:00:00+00,33.5,33.5,33,33,-1.49,240,15.98,4
2005-05-09 00:00:00+00,33,33,30.6,30.6,-7.27,2342,144.77,15
2005-05-10 00:00:00+00,31,31.5,30,30.9,0.98,6284,380.31,43
2005-05-11 00:00:00+00,30.2,31,30.2,31,0.32,4000,242.97,14
2005-05-12 00:00:00+00,30.3,30.5,30.3,30.5,-1.61,963,58.51,15
2005-05-13 00:00:00+00,30.1,30.1,28,28,-8.2,4499,258.42,22
2005-05-16 00:00:00+00,28.1,28.1,27,27.3,-2.5,7278,395.83,53
2005-05-17 00:00:00+00,27.3,28,27.3,28,2.56,1562,85.82,11
2005-05-18 00:00:00+00,29,30.3,28.9,30.3,8.21,4738,281.84,30
2005-05-19 00:00:00+00,30.4,30.8,28.8,29,-4.29,3900,228.76,43
2005-05-20 00:00:00+00,29.9,29.9,29.1,29.9,3.1,697,41.43,16
2005-05-23 00:00:00+00,29.9,31.3,29.9,31.3,4.68,1075,66.81,8
2005-05-24 00:00:00+00,31,31.3,30.7,31.3,0,202,12.55,7
2005-05-25 00:00:00+00,31,31.2,30.6,31.2,-0.32,337,20.78,7
2005-05-27 00:00:00+00,0,0,0,31.2,0,0,0,0
2005-05-30 00:00:00+00,0,0,0,31.2,0,0,0,0
2005-05-31 00:00:00+00,31,31,31,31,-0.64,100,6.2,2
2005-06-01 00:00:00+00,30.1,30.9,30.1,30.2,-2.58,1265,76.55,7
2005-06-02 00:00:00+00,30.1,30.1,30.1,30.1,-0.33,1787,107.58,9
