date,open,high,low,close,difference,volume,turnover,transactions
2006-08-31 00:00:00+00,5.95,6.05,5.8,6,0.84,6855,81.29,27
2006-09-01 00:00:00+00,5.9,5.98,5.79,5.9,-1.67,16810,196.38,39
2006-09-04 00:00:00+00,5.82,5.95,5.74,5.89,-0.17,23761,277.3,57
2006-09-05 00:00:00+00,5.78,5.88,5.76,5.87,-0.34,19828,231.67,48
2006-09-06 00:00:00+00,5.81,5.85,5.5,5.79,-1.36,23210,265.99,57
2006-09-07 00:00:00+00,5.7,5.94,5.7,5.93,2.42,14822,172.91,38
2006-09-08 00:00:00+00,5.83,5.94,5.82,5.93,0,15407,180.15,35
2006-09-11 00:00:00+00,5.82,5.94,5.74,5.8,-2.19,23741,274.12,61
2006-09-12 00:00:00+00,5.8,5.85,5.75,5.77,-0.52,16000,184.77,54
2006-09-13 00:00:00+00,5.75,5.91,5.72,5.82,0.87,4835,55.87,23
2006-09-14 00:00:00+00,5.8,5.89,5.75,5.83,0.17,4222,48.83,15
2006-09-15 00:00:00+00,5.9,5.9,5.74,5.86,0.51,4485,51.66,18
2006-09-18 00:00:00+00,5.88,5.88,5.7,5.81,-0.85,11772,134.92,46
2006-09-19 00:00:00+00,5.69,5.81,5.65,5.81,0,19432,222.8,65
2006-09-20 00:00:00+00,5.69,5.79,5.6,5.7,-1.89,20503,232.05,37
2006-09-21 00:00:00+00,5.73,5.73,5.4,5.5,-3.51,29609,327.6,83
2006-09-22 00:00:00+00,5.5,5.63,5.39,5.55,0.91,30344,333.56,64
2006-09-25 00:00:00+00,5.75,5.89,5.73,5.85,5.41,82103,953.9,76
2006-09-26 00:00:00+00,5.89,5.95,5.8,5.95,1.71,29277,344.92,50
2006-09-27 00:00:00+00,5.98,5.98,5.65,5.78,-2.86,17022,196.45,50
2006-09-28 00:00:00+00,5.89,5.92,5.65,5.89,1.9,25266,297.81,21
2006-09-29 00:00:00+00,5.78,5.89,5.74,5.89,0,6901,79.91,32
2006-10-02 00:00:00+00,5.78,5.84,5.68,5.8,-1.53,5691,65.61,23
2006-10-03 00:00:00+00,5.85,5.85,5.74,5.81,0.17,20373,234.31,38
2006-10-04 00:00:00+00,5.86,5.95,5.8,5.93,2.07,27882,328.56,85
2006-10-05 00:00:00+00,5.99,6.1,5.93,6.05,2.02,25419,304.68,58
2006-10-06 00:00:00+00,6.03,6.05,5.98,6.04,-0.17,6541,78.65,34
2006-10-09 00:00:00+00,6.04,6.1,5.96,6.09,0.83,24183,291.62,56
2006-10-10 00:00:00+00,6.1,6.1,6.02,6.02,-1.15,14767,178.37,36
2006-10-11 00:00:00+00,6.06,6.09,5.96,6.05,0.5,7067,84.9,18
