date,open,high,low,close,difference,volume,turnover,transactions
2008-01-21 00:00:00+00,8.6,9,8.5,9,4.77,30833,535.25,43
2008-01-22 00:00:00+00,8.6,9.45,8.5,9.45,5,37417,677.4,55
2008-01-23 00:00:00+00,9.5,9.8,9.4,9.8,3.7,40097,763.27,42
2008-01-24 00:00:00+00,9.87,9.92,9.87,9.92,1.22,19200,379.85,31
2008-01-25 00:00:00+00,9.8,9.93,9.21,9.93,0.1,14710,285.9,26
2008-01-28 00:00:00+00,9.79,9.8,9.4,9.8,-1.31,4670,91.06,9
2008-01-29 00:00:00+00,9.4,9.75,9.4,9.75,-0.51,10912,210.49,22
2008-01-30 00:00:00+00,9.75,9.99,9.31,9.99,2.46,25896,510.09,56
2008-01-31 00:00:00+00,9.85,10.25,9.78,9.8,-1.9,38382,773.53,72
2008-02-01 00:00:00+00,9.8,9.8,9.41,9.76,-0.41,3006,57.62,14
2008-02-04 00:00:00+00,9.49,9.76,9.14,9.25,-5.23,18600,346.74,52
2008-02-05 00:00:00+00,8.91,9.25,8.72,9.2,-0.54,1227,22,11
2008-02-06 00:00:00+00,8.89,8.99,8.89,8.99,-2.28,863,15.48,7
2008-02-07 00:00:00+00,8.6,8.6,8.6,8.6,-4.34,777,13.36,3
2008-02-08 00:00:00+00,9.24,9.24,8.96,8.96,4.19,2,0.04,2
2008-02-11 00:00:00+00,8.63,8.89,8.4,8.89,-0.78,8094,138.72,23
2008-02-12 00:00:00+00,8.88,8.9,8.88,8.9,0.11,410,7.28,2
2008-02-13 00:00:00+00,8.96,9.24,8.55,8.86,-0.45,4561,79.17,15
2008-02-14 00:00:00+00,8.99,8.99,8.8,8.98,1.35,854,15.29,8
2008-02-15 00:00:00+00,9,9,8.7,8.99,0.11,48,0.84,5
2008-02-18 00:00:00+00,8.93,8.93,8.93,8.93,-0.67,127,2.27,1
2008-02-19 00:00:00+00,8.94,8.94,8.62,8.9,-0.34,170,3.01,4
2008-02-20 00:00:00+00,8.88,8.9,8.42,8.79,-1.24,5655,97.2,12
2008-02-21 00:00:00+00,8.46,8.68,8.41,8.68,-1.25,1617,27.31,6
2008-02-22 00:00:00+00,8.69,8.69,8.69,8.69,0.12,10,0.17,1
2008-02-25 00:00:00+00,8.5,8.7,8.31,8.7,0.12,1300,21.99,10
2008-02-26 00:00:00+00,8.7,8.7,8.31,8.69,-0.11,1051,17.81,7
2008-02-27 00:00:00+00,8.2,8.65,8.2,8.63,-0.69,1312,21.84,11
2008-02-28 00:00:00+00,8.62,8.62,8.11,8.6,-0.35,2110,34.66,7
2008-02-29 00:00:00+00,8.5,8.55,8.5,8.55,-0.58,2523,43.14,6
2008-03-03 00:00:00+00,8.56,8.56,8.56,8.56,0.12,5,0.09,1
2008-03-04 00:00:00+00,8.2,8.58,8.2,8.52,-0.47,161,2.68,4
2008-03-05 00:00:00+00,8.12,8.39,7.99,8.39,-1.53,10018,163.39,28
2008-03-06 00:00:00+00,8.58,8.58,8.01,8.54,1.79,1633,27.61,10
2008-03-07 00:00:00+00,8.1,8.45,8.1,8.45,-1.05,100583,1639.8,11
2008-03-10 00:00:00+00,8.45,8.45,8.4,8.4,-0.59,60,1.01,2
2008-03-11 00:00:00+00,7.93,8.3,7.81,8.2,-2.38,2166,34.32,12
2008-03-12 00:00:00+00,7.86,8.1,7.85,8.09,-1.34,2105,33.35,11
2008-03-13 00:00:00+00,8.03,8.03,7.7,8,-1.11,4959,77.09,11
2008-03-14 00:00:00+00,7.9,7.9,7.9,7.9,-1.25,2607,41.19,5
2008-03-17 00:00:00+00,7.75,7.99,7.75,7.9,0,7675,119.02,10
2008-03-18 00:00:00+00,7.7,7.96,7.64,7.96,0.76,3215,50.53,15
2008-03-19 00:00:00+00,7.75,7.84,7.75,7.84,-1.51,360,5.59,4
2008-03-20 00:00:00+00,7.94,7.94,7.63,7.84,0,4074,62.78,11
2008-03-25 00:00:00+00,7.93,7.95,7.75,7.95,1.4,5855,92.93,19
2008-03-26 00:00:00+00,7.98,8.09,7.97,8.09,1.76,10245,164.02,8
2008-03-27 00:00:00+00,8.09,8.09,7.75,8.05,-0.49,9879,155.91,15
2008-03-28 00:00:00+00,8,8,7.99,8,-0.62,524,8.38,4
2008-03-31 00:00:00+00,8,8,8,8,0,947,15.15,2
2008-04-01 00:00:00+00,8,8,7.92,8,0,3432,54.37,6
2008-04-02 00:00:00+00,7.95,8,7.95,8,0,5806,92.87,9
2008-04-03 00:00:00+00,8,8,7.86,8,0,917,14.65,6
2008-04-04 00:00:00+00,8,8.05,8,8.05,0.63,2550,41,6
2008-04-07 00:00:00+00,7.81,8,7.5,8,-0.62,4100,62.66,7
2008-04-08 00:00:00+00,8,8,8,8,0,20,0.32,1
2008-04-09 00:00:00+00,8,8.01,7.73,8.01,0.13,6002,95.75,20
2008-04-10 00:00:00+00,8.02,8.03,8.02,8.02,0.12,1015,16.28,8
2008-04-11 00:00:00+00,8,8.03,7.97,7.97,-0.62,1834,29.32,10
2008-04-14 00:00:00+00,7.98,7.98,7.62,7.81,-2.01,5661,87.12,11
2008-04-15 00:00:00+00,7.81,7.9,7.66,7.86,0.64,3704,58.32,12
2008-04-16 00:00:00+00,7.85,7.9,7.75,7.86,0,18915,295.45,27
2008-04-17 00:00:00+00,7.8,7.85,7.71,7.84,-0.25,4459,69.48,9
2008-04-18 00:00:00+00,7.8,7.9,7.64,7.9,0.77,8754,137.76,14
2008-04-21 00:00:00+00,7.85,7.9,7.67,7.9,0,5517,86.11,8
2008-04-22 00:00:00+00,7.9,7.9,7.68,7.68,-2.78,4926,75.9,9
2008-04-23 00:00:00+00,7.68,7.68,7.22,7.68,0,7830,117.89,29
2008-04-24 00:00:00+00,7.8,7.88,7.5,7.88,2.6,10582,164.87,16
2008-04-25 00:00:00+00,7.6,7.98,7.6,7.98,1.27,1342,20.63,4
2008-04-28 00:00:00+00,7.99,8,7.99,8,0.25,1000,15.98,3
2008-04-29 00:00:00+00,7.99,7.99,7.95,7.99,-0.13,21192,336.96,3
2008-04-30 00:00:00+00,8.02,8.1,7.95,8.1,1.38,32054,510.01,9
