date,open,high,low,close,difference,volume,turnover,transactions
2014-10-06 00:00:00+00,0.22,0.23,0.22,0.23,9.52,54650,12.15,16
2014-10-07 00:00:00+00,0.24,0.24,0.24,0.24,4.35,831,0.2,4
2014-10-08 00:00:00+00,0.19,0.19,0.19,0.19,-20.83,136663,25.97,21
2014-10-09 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-10 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-13 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-14 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-15 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-16 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-17 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-20 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-21 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-22 00:00:00+00,0.17,0.17,0.17,0.17,-10.53,121462,20.65,24
2014-10-23 00:00:00+00,0.16,0.16,0.16,0.16,-5.88,62905,10.06,19
2014-10-24 00:00:00+00,0.16,0.17,0.16,0.17,6.25,21321,3.46,7
2014-10-27 00:00:00+00,0.19,0.19,0.19,0.19,11.76,400,0.08,2
2014-10-28 00:00:00+00,0.19,0.19,0.19,0.19,0,20010,3.8,6
2014-10-29 00:00:00+00,0,0,0,0.19,0,0,0,0
2014-10-30 00:00:00+00,0.17,0.17,0.17,0.17,-10.53,297649,50.6,16
2014-10-31 00:00:00+00,0,0,0,0.17,0,0,0,0
2014-11-03 00:00:00+00,0.16,0.17,0.16,0.17,0,3260,0.55,4
2014-11-04 00:00:00+00,0.16,0.16,0.16,0.16,-5.88,509,0.08,3
2014-11-05 00:00:00+00,0.16,0.16,0.16,0.16,0,1000,0.16,2
2014-11-06 00:00:00+00,0.16,0.16,0.16,0.16,0,385603,61.7,6
2014-11-07 00:00:00+00,0.16,0.16,0.16,0.16,0,120824,19.33,8
2014-11-10 00:00:00+00,0,0,0,0.16,0,0,0,0
2014-11-12 00:00:00+00,0.15,0.15,0.14,0.14,-12.5,29592,4.15,6
2014-11-13 00:00:00+00,0.14,0.14,0.14,0.14,0,67408,9.44,7
2014-11-14 00:00:00+00,0,0,0,0.14,0,0,0,0
2014-11-17 00:00:00+00,0,0,0,0.14,0,0,0,0
2014-11-18 00:00:00+00,0,0,0,0.14,0,0,0,0
2014-11-19 00:00:00+00,0.12,0.14,0.12,0.14,0,88114,10.76,11
2014-11-20 00:00:00+00,0.14,0.14,0.14,0.14,0,500,0.07,2
2014-11-21 00:00:00+00,0.13,0.13,0.13,0.13,-7.14,1700,0.22,2
2014-11-24 00:00:00+00,0.14,0.14,0.14,0.14,7.69,18000,2.52,4
